600699 均胜电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.04	8.04	7.51	7.54	879400	6907097.000
01/05/2012	7.51	7.60	7.28	7.31	787866	5901646.000
01/06/2012	7.31	7.44	6.95	7.44	906006	6620433.000
01/09/2012	7.53	7.81	7.39	7.72	769730	5962903.000
01/10/2012	7.84	7.97	7.62	7.90	685564	5460787.000
01/11/2012	8.09	8.09	7.69	7.81	742057	5906292.000
01/12/2012	7.86	7.94	7.70	7.78	500916	3974697.000
01/13/2012	7.77	7.84	7.49	7.55	624331	4814309.000
01/16/2012	7.50	7.62	7.29	7.36	499096	3777101.000
01/17/2012	7.28	7.73	7.28	7.64	721405	5530045.000
01/18/2012	7.69	7.74	7.36	7.42	559832	4288389.000
01/19/2012	7.37	7.80	7.37	7.80	2013106	15862645.000
01/20/2012	7.79	8.14	7.79	8.10	1348029	10817423.000
01/30/2012	8.10	8.11	7.93	7.97	581177	4702542.000
01/31/2012	7.97	8.24	7.90	8.17	611554	5025286.000
02/01/2012	8.17	8.28	8.09	8.14	433907	3590591.000
02/02/2012	8.10	8.22	8.08	8.16	299779	2477416.000
03/30/2012	8.99	8.99	8.99	8.99	3408197	31014592.000
04/05/2012	9.66	9.90	9.49	9.90	14730957	146163776.000
04/06/2012	10.29	10.47	9.84	9.93	17940546	183199280.000
04/09/2012	10.00	10.43	9.73	9.98	10534071	107163392.000
04/10/2012	9.55	9.84	9.07	9.76	10673353	101677824.000
04/11/2012	9.49	10.75	9.38	10.75	16457448	169588352.000
04/12/2012	10.89	11.67	10.79	11.25	18900936	214949504.000
04/13/2012	11.07	11.34	10.91	11.19	10164534	113630288.000
04/16/2012	11.01	11.57	10.91	11.05	11475440	130391792.000
04/17/2012	10.84	11.39	10.76	11.10	9466653	106002976.000
04/18/2012	11.08	12.22	10.94	12.22	15741671	187365248.000
04/19/2012	12.63	12.67	11.59	11.94	18031007	219481040.000
04/20/2012	11.87	11.94	11.49	11.74	10482016	123337856.000
04/23/2012	11.44	11.64	10.79	10.98	10256442	116466480.000
04/24/2012	10.79	11.09	10.38	10.96	9388722	101848488.000
04/25/2012	10.96	11.17	10.74	11.06	7917410	87671568.000
04/26/2012	11.01	11.53	10.93	10.95	8745672	99411176.000
04/27/2012	10.79	10.81	10.35	10.54	7572729	80863136.000
05/02/2012	10.68	11.09	10.56	10.93	4509618	49401076.000
05/03/2012	10.88	11.06	10.71	10.97	3293729	36271980.000
05/04/2012	10.94	11.46	10.91	11.10	4122599	46581224.000
05/07/2012	10.99	11.24	10.85	11.10	2821315	31320584.000
05/08/2012	11.17	11.17	10.91	11.07	2628021	29341804.000
05/09/2012	11.04	11.17	10.91	11.03	2591442	28878718.000
05/10/2012	11.09	11.79	10.99	11.49	6653933	76604864.000
05/11/2012	11.47	11.65	11.25	11.54	4303235	49621320.000
