600706 曲江文旅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	11.28	11.28	10.90	10.90	125201	1382301.000
01/05/2012	10.61	10.90	10.36	10.36	141344	1497690.000
01/06/2012	10.44	10.44	9.84	10.19	351380	3488512.000
01/09/2012	10.70	10.70	10.60	10.70	378028	4044424.000
01/10/2012	10.85	11.24	10.79	11.24	607802	6758015.000
01/11/2012	11.20	11.47	10.91	11.20	470983	5273925.000
01/12/2012	11.06	11.33	11.06	11.15	174200	1943947.000
01/13/2012	11.10	11.25	10.59	10.59	752981	8039136.000
01/16/2012	10.47	10.59	10.22	10.28	84400	874515.000
01/17/2012	10.50	10.73	10.20	10.70	110734	1155059.000
01/18/2012	11.10	11.19	10.31	10.43	161799	1705708.000
01/19/2012	10.23	10.59	10.00	10.26	189000	1950208.000
01/20/2012	10.22	10.42	10.15	10.38	219100	2254645.000
01/30/2012	10.59	10.69	10.30	10.36	154800	1611253.000
01/31/2012	10.35	10.60	10.30	10.57	198452	2065421.000
02/01/2012	10.75	10.75	10.36	10.43	162608	1713846.000
02/03/2012	10.49	10.95	10.45	10.95	262324	2853017.000
02/06/2012	11.38	11.50	11.20	11.50	755521	8657743.000
02/07/2012	11.13	11.48	11.13	11.32	481612	5435997.000
02/08/2012	11.37	11.78	11.37	11.58	421996	4901787.000
02/09/2012	11.50	11.65	11.37	11.51	423081	4852421.000
02/10/2012	11.48	11.69	11.25	11.64	606892	6947451.000
02/13/2012	11.64	12.12	11.40	11.83	584690	6930394.000
02/14/2012	11.79	11.95	11.70	11.79	261450	3086006.000
02/15/2012	11.79	12.29	11.79	12.26	624023	7583488.000
02/16/2012	12.26	12.54	12.00	12.17	421735	5137657.000
02/17/2012	12.20	12.36	11.86	12.01	257823	3111809.000
02/20/2012	12.10	12.24	12.01	12.05	169700	2059806.000
02/21/2012	12.01	12.16	11.92	12.06	182038	2182449.000
02/22/2012	12.12	12.24	11.95	12.22	298702	3616681.000
02/23/2012	12.10	12.34	12.00	12.10	194990	2358494.000
02/24/2012	12.03	12.25	12.03	12.20	229878	2785696.000
02/27/2012	12.45	12.45	12.12	12.16	598834	7327667.000
02/28/2012	12.00	12.15	11.92	11.98	209890	2518381.000
02/29/2012	11.92	12.01	11.90	11.97	155700	1861463.000
03/01/2012	11.89	12.07	11.86	12.06	156684	1873802.000
03/02/2012	12.01	12.20	11.91	12.10	267411	3233410.000
03/05/2012	12.24	12.24	12.10	12.20	288425	3511639.000
03/06/2012	12.23	12.26	11.96	12.20	458113	5570169.000
03/07/2012	12.00	12.27	11.89	12.12	201500	2454183.000
03/08/2012	12.12	12.22	12.06	12.21	384604	4672681.000
03/09/2012	12.24	12.24	11.96	12.10	624393	7515141.000
03/12/2012	12.10	12.20	12.05	12.18	380056	4609442.000
03/13/2012	12.10	12.79	12.10	12.79	910061	11428248.000
03/14/2012	12.90	13.15	12.15	12.18	794106	9925612.000
03/15/2012	11.91	12.21	11.80	12.05	305633	3669156.000
03/16/2012	12.04	12.24	11.97	12.22	259911	3146064.000
03/19/2012	12.18	12.75	12.01	12.62	682002	8499824.000
03/20/2012	12.53	12.59	12.30	12.30	288381	3582279.000
03/21/2012	12.15	12.37	12.05	12.24	309797	3769726.000
03/22/2012	12.24	12.35	12.14	12.22	250675	3069958.000
03/23/2012	12.27	12.70	12.10	12.51	339844	4227130.000
03/26/2012	12.64	13.14	12.50	13.10	1127946	14721986.000
03/27/2012	12.95	13.05	12.66	12.70	422626	5411894.000
03/29/2012	12.07	12.28	12.07	12.07	547357	6622871.000
03/30/2012	12.00	12.15	11.95	12.09	187899	2263565.000
04/05/2012	12.08	12.27	12.02	12.27	196232	2382865.000
04/06/2012	12.22	12.25	11.92	12.13	287780	3474892.000
04/09/2012	12.08	12.08	11.73	11.94	263900	3150898.000
04/10/2012	11.76	11.98	11.34	11.77	307823	3571727.000
04/11/2012	11.76	11.87	11.60	11.80	117671	1383097.000
04/12/2012	11.66	12.01	11.66	11.98	119700	1420607.000
04/13/2012	11.95	12.18	11.84	12.13	261384	3128039.000
04/16/2012	12.12	12.20	11.98	12.11	127740	1546034.000
04/17/2012	12.12	12.12	11.91	11.97	169082	2024931.000
04/18/2012	11.82	12.13	11.82	12.13	286897	3452261.000
04/19/2012	12.13	12.13	11.93	12.00	137850	1651976.000
04/20/2012	12.05	12.05	11.84	11.91	369619	4398680.000
04/23/2012	11.99	12.04	11.75	11.85	201001	2378540.000
04/24/2012	11.81	11.86	11.26	11.47	466722	5338097.000
04/25/2012	11.45	11.45	11.01	11.31	441802	4932840.000
04/26/2012	11.31	11.35	11.10	11.14	225469	2511060.000
04/27/2012	11.14	11.26	11.08	11.20	153800	1715933.000
05/02/2012	11.02	11.29	10.68	11.00	711840	7819945.000
05/03/2012	11.00	11.00	10.46	10.61	552285	5858037.000
05/04/2012	10.61	11.10	10.61	11.07	394595	4300199.000
05/07/2012	11.05	11.62	11.00	11.62	1037675	11913037.000
05/08/2012	11.63	11.99	11.51	11.60	370880	4335841.000
05/09/2012	11.57	11.78	11.48	11.67	175427	2037930.000
05/10/2012	11.55	11.67	11.39	11.54	291850	3349869.000
05/11/2012	11.55	11.60	11.42	11.56	126759	1456552.000
05/14/2012	11.52	11.89	11.52	11.76	470527	5526486.000
05/15/2012	11.60	11.85	11.45	11.79	151300	1772167.000
05/16/2012	11.79	12.38	11.79	12.36	462923	5659394.000
05/17/2012	12.45	12.93	12.10	12.44	883178	11197772.000
05/18/2012	12.21	12.55	12.21	12.41	163012	2017819.000
05/21/2012	12.52	12.52	12.13	12.25	148899	1828411.000
05/22/2012	12.30	12.37	12.21	12.31	163034	1999214.000
05/23/2012	12.32	12.58	12.10	12.16	146313	1785959.000
05/24/2012	12.23	12.32	12.10	12.12	180098	2186248.000
05/25/2012	12.11	12.58	12.11	12.39	433182	5391854.000
05/28/2012	12.39	13.01	12.39	12.86	887670	11412229.000
05/29/2012	12.86	13.20	12.68	12.95	577566	7470836.000
05/31/2012	13.13	13.13	12.69	12.76	335935	4307571.000
06/01/2012	12.74	12.90	12.73	12.83	237948	3049310.000
06/04/2012	12.66	12.98	12.30	12.50	222574	2787003.000
06/05/2012	12.36	12.65	12.20	12.24	269748	3323400.000
06/06/2012	12.30	12.30	11.90	12.09	272310	3294129.000
06/07/2012	12.18	12.18	11.98	12.07	216200	2615845.000
06/08/2012	12.04	12.09	11.62	11.73	243291	2879439.000
06/11/2012	12.24	12.24	11.76	12.02	637050	7629805.000
06/12/2012	12.00	12.62	11.92	12.62	1429025	17937786.000
06/13/2012	12.60	12.80	12.30	12.61	710943	8874696.000
06/14/2012	12.52	12.52	12.21	12.36	473513	5846423.000
06/18/2012	12.55	12.78	12.31	12.52	322692	4045621.000
06/19/2012	12.48	12.54	12.15	12.16	478509	5912735.000
06/20/2012	12.28	12.28	11.80	11.89	527071	6302129.000
06/21/2012	11.90	11.90	11.41	11.60	724436	8407792.000
06/25/2012	11.31	11.65	11.10	11.25	301420	3393470.000
06/26/2012	11.23	11.62	11.15	11.40	244800	2787135.000
06/27/2012	11.42	11.53	11.30	11.43	201700	2302593.000
06/28/2012	11.74	11.98	11.50	11.52	519375	6048940.000
06/29/2012	11.61	11.75	11.43	11.70	231839	2682020.000
07/02/2012	11.60	11.97	11.29	11.93	277134	3279937.000
07/03/2012	11.93	12.07	11.80	11.91	410397	4902007.000
07/04/2012	11.94	11.94	11.50	11.60	232308	2711509.000
07/05/2012	11.53	11.57	11.42	11.48	138820	1593854.000
07/06/2012	11.62	11.68	11.22	11.50	484021	5515721.000
07/09/2012	11.34	11.59	11.11	11.13	363300	4110332.000
07/10/2012	11.05	11.17	10.75	10.75	365703	3987375.000
07/11/2012	10.80	10.90	10.70	10.86	214102	2325032.000
07/12/2012	10.90	11.10	10.76	11.05	527489	5783434.000
07/13/2012	10.95	11.00	10.90	10.99	222600	2442370.000
07/16/2012	10.99	11.08	10.78	10.80	274940	2990995.000
07/17/2012	10.79	10.96	10.79	10.91	361320	3934139.000
07/18/2012	10.94	11.23	10.90	11.05	371275	4091657.000
07/19/2012	11.01	11.13	10.95	11.07	525099	5801192.000
07/20/2012	11.04	11.13	10.91	10.98	399558	4400261.000
07/23/2012	10.98	10.98	10.74	10.84	347500	3772345.000
07/24/2012	10.83	10.96	10.81	10.96	161070	1756847.000
07/25/2012	10.90	10.95	10.86	10.93	201206	2192908.000
07/26/2012	10.94	11.02	10.85	10.89	253300	2766372.000
07/27/2012	11.29	11.39	11.07	11.14	553615	6237614.000
07/30/2012	10.59	10.95	10.59	10.65	933629	9969734.000
07/31/2012	10.61	10.90	10.61	10.83	343949	3687661.000
08/01/2012	10.80	11.19	10.80	11.08	442506	4880647.000
08/02/2012	11.07	11.15	10.97	11.06	400500	4438122.000
08/03/2012	11.08	11.61	11.06	11.61	514881	5843927.000
08/06/2012	11.61	11.84	11.51	11.72	345369	4037483.000
08/07/2012	11.80	12.09	11.74	12.00	490468	5873133.000
08/08/2012	11.95	12.60	11.88	12.09	364910	4386939.000
08/09/2012	12.18	12.18	11.89	12.09	871669	10450482.000
08/10/2012	12.10	12.15	11.90	11.90	506800	6064438.000
08/13/2012	11.82	12.03	11.81	11.90	330494	3938299.000
08/14/2012	11.71	12.40	11.71	12.36	477087	5748378.000
08/15/2012	12.30	12.45	12.22	12.32	284904	3518129.000
08/16/2012	12.38	12.38	12.13	12.22	301705	3692752.000
08/17/2012	12.22	12.43	12.20	12.36	478717	5907335.000
08/20/2012	12.32	12.32	12.00	12.05	956028	11589778.000
08/21/2012	12.13	12.34	12.02	12.18	781096	9507899.000
08/22/2012	12.32	12.79	12.23	12.79	2180670	27647158.000
08/23/2012	12.78	13.04	12.66	12.85	2010858	25818216.000
08/24/2012	12.86	13.49	12.33	13.49	3519725	45880256.000
08/27/2012	13.00	14.00	12.88	13.72	2919119	39089716.000
08/28/2012	13.66	13.91	13.27	13.47	1796443	24291268.000
08/29/2012	13.47	13.47	12.89	13.00	1253650	16595361.000
08/30/2012	12.83	13.15	12.35	12.42	1394664	17665332.000
09/04/2012	13.00	13.47	12.80	12.84	4820556	63184760.000
09/05/2012	12.57	12.75	12.10	12.34	2003720	24900164.000
09/06/2012	12.35	12.48	12.10	12.47	1144965	14103675.000
09/07/2012	12.55	13.34	12.45	13.12	2468111	31821536.000
09/10/2012	13.13	13.15	12.77	13.13	1706648	22147872.000
09/11/2012	13.08	13.41	12.90	13.25	1078063	14222209.000
09/12/2012	13.18	13.36	13.06	13.17	866708	11420423.000
09/13/2012	13.13	13.56	13.13	13.20	1327665	17820170.000
09/14/2012	13.15	13.30	13.06	13.18	712431	9388450.000
09/17/2012	13.18	13.38	12.70	12.70	856664	11180140.000
09/18/2012	12.35	12.75	12.35	12.69	736414	9253712.000
09/19/2012	12.67	13.96	12.61	13.13	1439439	18992768.000
09/20/2012	13.01	13.25	12.56	12.60	992785	12638268.000
09/21/2012	12.60	12.80	12.35	12.54	796123	9988990.000
