600713 南京医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.89	3.97	3.84	3.86	7911641	31064120.000
01/05/2012	3.82	3.90	3.56	3.63	13064368	49002864.000
01/06/2012	3.62	3.70	3.51	3.63	6951596	25204394.000
01/09/2012	3.64	3.82	3.58	3.82	8947536	33481956.000
01/10/2012	3.86	4.11	3.81	4.08	16866343	66898456.000
01/11/2012	4.08	4.11	3.97	4.06	12541683	50990888.000
01/12/2012	4.05	4.28	3.98	4.09	22579253	93437536.000
01/13/2012	4.06	4.10	3.89	3.91	10516668	41971628.000
01/16/2012	3.85	3.89	3.79	3.80	4809616	18561610.000
01/17/2012	3.81	4.02	3.80	4.02	9997995	39643220.000
01/18/2012	4.03	4.07	3.90	3.92	8933988	35827756.000
01/19/2012	3.92	3.99	3.89	3.94	4622189	18294920.000
01/20/2012	3.96	3.99	3.93	3.97	4420431	17627732.000
01/30/2012	3.99	4.00	3.94	3.95	3737288	14924475.000
01/31/2012	3.94	3.98	3.89	3.95	4056259	15987274.000
02/01/2012	3.83	3.88	3.68	3.87	9777098	37641824.000
02/02/2012	3.84	3.91	3.82	3.91	6236984	24223620.000
02/03/2012	3.91	4.04	3.85	3.99	10611467	42182224.000
02/06/2012	3.99	4.10	3.98	4.06	11057306	44848212.000
02/07/2012	4.05	4.05	3.91	3.95	8597341	34272172.000
02/08/2012	3.94	4.08	3.93	4.06	11465921	46391456.000
02/09/2012	4.06	4.47	4.03	4.47	39078721	169929248.000
02/10/2012	4.55	4.63	4.46	4.58	45595903	208000080.000
02/13/2012	4.57	4.86	4.47	4.61	41710701	194521408.000
02/14/2012	4.62	4.64	4.49	4.58	18698339	85656280.000
02/15/2012	4.57	4.75	4.54	4.67	24579876	114312920.000
02/16/2012	4.62	4.71	4.50	4.59	17770782	82238184.000
02/17/2012	4.60	4.66	4.50	4.62	14507484	66824100.000
02/20/2012	4.66	4.77	4.63	4.66	21514131	101428328.000
