600715 文投控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.39	2.45	2.29	2.31	1634209	7763907.000
01/05/2012	2.29	2.33	2.20	2.24	1304981	5881505.000
01/06/2012	2.27	2.30	2.21	2.30	821609	3681259.000
01/09/2012	2.30	2.41	2.28	2.41	1755635	8399653.000
01/10/2012	2.44	2.51	2.40	2.50	1480545	7312494.000
01/11/2012	2.50	2.51	2.43	2.51	1825849	8991458.000
01/12/2012	2.51	2.58	2.48	2.54	1268383	6420861.000
01/13/2012	2.51	2.56	2.44	2.48	1789280	8898398.000
01/16/2012	2.44	2.52	2.44	2.50	729349	3621725.000
01/17/2012	2.54	2.59	2.48	2.59	1045677	5263224.000
01/18/2012	2.55	2.62	2.53	2.57	821649	4234818.000
01/19/2012	2.60	2.60	2.50	2.53	919284	4691567.000
01/20/2012	2.57	2.65	2.55	2.65	1672969	8826764.000
01/30/2012	2.68	2.78	2.62	2.76	1590875	8685846.000
01/31/2012	2.77	2.89	2.75	2.84	1803418	10243652.000
02/01/2012	2.83	2.98	2.78	2.94	4457501	26225446.000
02/02/2012	2.86	2.94	2.85	2.91	2239590	12928097.000
02/03/2012	2.91	3.03	2.87	2.95	1935015	11470348.000
02/06/2012	2.95	3.05	2.91	3.01	1885205	11325045.000
02/07/2012	3.00	3.00	2.86	2.86	2336675	13476613.000
02/08/2012	2.84	2.92	2.75	2.91	2132122	12049624.000
02/09/2012	2.91	2.93	2.87	2.89	1097100	6360236.000
02/10/2012	2.89	2.96	2.86	2.95	1743134	10171969.000
02/13/2012	2.92	3.03	2.90	2.97	1614802	9631144.000
02/14/2012	2.97	3.04	2.95	3.02	1443060	8622548.000
02/15/2012	3.01	3.08	3.01	3.06	1704088	10418746.000
02/16/2012	3.05	3.08	2.96	3.01	1926393	11590677.000
02/17/2012	3.01	3.09	2.92	3.05	2307488	13908824.000
02/20/2012	3.07	3.11	3.04	3.06	1217670	7469358.000
02/21/2012	3.06	3.08	3.03	3.06	1153401	7024256.000
02/22/2012	3.06	3.08	3.03	3.08	1025818	6285389.000
02/23/2012	3.08	3.08	3.01	3.06	1225487	7468362.000
02/24/2012	3.03	3.07	3.01	3.07	1574345	9572407.000
02/27/2012	3.07	3.09	3.04	3.06	1901511	11654398.000
02/28/2012	3.04	3.05	3.00	3.02	2509525	15128417.000
02/29/2012	3.01	3.01	2.93	2.95	1507955	8935893.000
03/01/2012	2.95	3.01	2.93	2.98	1023427	6094247.000
03/02/2012	2.97	3.01	2.95	2.99	1257913	7484207.000
03/05/2012	2.97	3.14	2.97	3.14	2334269	14516582.000
03/06/2012	3.30	3.30	3.25	3.30	2227769	14671311.000
03/07/2012	3.45	3.45	3.23	3.23	5142983	34322532.000
03/08/2012	3.21	3.36	3.18	3.29	2051326	13546682.000
03/09/2012	3.29	3.45	3.26	3.45	1059624	7262957.000
03/12/2012	3.56	3.63	3.53	3.63	5943733	42917812.000
03/13/2012	3.62	3.74	3.59	3.64	3460044	25314240.000
03/14/2012	3.65	3.66	3.46	3.46	3679649	26102492.000
03/15/2012	3.42	3.44	3.28	3.33	2467568	16476702.000
03/16/2012	3.33	3.50	3.30	3.50	2464542	17107336.000
03/19/2012	3.52	3.64	3.51	3.63	2705939	19320780.000
03/20/2012	3.63	3.63	3.51	3.55	1817950	12946797.000
03/21/2012	3.56	3.59	3.49	3.54	1079677	7620065.000
03/22/2012	3.54	3.59	3.53	3.58	1068050	7588299.000
03/23/2012	3.55	3.57	3.44	3.50	1179514	8254974.000
03/26/2012	3.53	3.53	3.38	3.43	857400	5866139.000
03/27/2012	3.47	3.60	3.43	3.58	2464183	17653950.000
03/28/2012	3.55	3.55	3.40	3.40	2150300	14793457.000
03/29/2012	3.35	3.35	3.23	3.23	1897997	12343205.000
