600724 宁波富达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.87	5.96	5.78	5.80	2692686	16918116.000
01/05/2012	5.79	5.92	5.71	5.73	1267142	7919813.000
01/06/2012	5.78	5.80	5.50	5.73	1416530	8586883.000
01/09/2012	5.69	5.94	5.59	5.93	1870203	11658128.000
01/10/2012	5.89	6.10	5.84	6.06	2030965	13038025.000
01/11/2012	6.06	6.16	5.95	6.04	1824322	11823457.000
01/12/2012	6.03	6.20	5.99	6.13	2503876	16400413.000
01/13/2012	6.20	6.23	5.87	5.88	1725823	11119567.000
01/16/2012	5.88	5.93	5.64	5.71	1083317	6699277.000
01/17/2012	5.76	6.02	5.58	6.00	2434725	15125009.000
01/18/2012	6.02	6.13	5.94	5.96	1938969	12488189.000
01/19/2012	5.98	6.06	5.89	5.99	1122771	7198094.000
01/20/2012	5.95	6.06	5.95	5.99	994349	6388899.000
01/30/2012	6.03	6.06	5.89	5.91	1007129	6453883.000
01/31/2012	5.91	6.01	5.91	5.98	651048	4146807.000
02/01/2012	5.91	6.02	5.85	5.85	630700	4000003.000
02/02/2012	5.85	5.94	5.80	5.93	972431	6103583.000
02/03/2012	5.90	6.07	5.90	6.04	1015585	6518303.000
02/06/2012	6.05	6.15	5.98	6.05	1207489	7807124.000
02/07/2012	5.99	6.01	5.85	5.91	1152186	7275842.000
02/08/2012	5.89	6.26	5.89	6.14	3496910	22939732.000
02/09/2012	6.07	6.36	6.07	6.19	3646215	24278080.000
02/10/2012	6.16	6.38	6.16	6.36	4142349	27901308.000
02/13/2012	6.36	6.59	6.18	6.49	5917340	40601820.000
02/14/2012	6.41	6.46	6.34	6.44	3184396	21686976.000
02/15/2012	6.44	6.49	6.33	6.43	2747837	18785324.000
02/16/2012	6.46	6.50	6.25	6.35	3011277	20440340.000
02/17/2012	6.31	6.48	6.29	6.37	1829318	12435636.000
02/20/2012	6.43	6.49	6.31	6.33	3343560	22717318.000
02/21/2012	6.32	6.39	6.28	6.39	1963204	13265009.000
02/22/2012	6.42	6.63	6.37	6.63	4845804	33785904.000
02/23/2012	6.63	7.33	6.61	7.17	12024806	90071504.000
02/24/2012	7.14	7.57	7.00	7.29	7392296	56922192.000
02/27/2012	7.29	7.31	7.08	7.18	4039504	30830640.000
02/28/2012	7.16	7.36	7.10	7.30	2967652	22762624.000
02/29/2012	7.26	7.26	6.86	6.99	3537274	26421080.000
03/01/2012	6.94	7.09	6.89	6.99	1454424	10810682.000
03/02/2012	6.97	7.21	6.97	7.18	3337147	25181800.000
03/05/2012	7.20	7.26	7.11	7.17	3065168	23260104.000
03/06/2012	7.09	7.17	6.93	7.02	1930092	14352750.000
03/07/2012	6.98	6.98	6.86	6.88	4368462	31949136.000
03/08/2012	6.88	6.99	6.86	6.96	3321758	24378908.000
03/09/2012	7.00	7.13	6.97	7.10	2968380	22191466.000
03/12/2012	7.12	7.45	7.08	7.20	6061307	46813060.000
03/13/2012	7.22	7.30	7.14	7.27	3087707	23602578.000
03/14/2012	7.29	7.64	7.23	7.34	11411093	89684832.000
03/15/2012	7.31	7.37	6.95	7.03	3333776	25236786.000
03/16/2012	7.05	7.63	7.05	7.30	5808700	45361884.000
03/19/2012	7.34	7.50	7.28	7.40	4562029	35467208.000
03/20/2012	7.39	7.45	7.28	7.31	2489443	19308444.000
03/21/2012	7.33	7.38	7.10	7.19	2484185	18973694.000
03/22/2012	7.13	7.22	7.06	7.13	1979081	14939668.000
03/23/2012	7.07	7.07	6.92	6.97	2067971	15308304.000
03/26/2012	6.96	6.98	6.58	6.76	2177049	15734492.000
03/27/2012	6.83	6.87	6.78	6.80	745018	5393615.000
03/28/2012	6.79	6.82	6.56	6.59	1649140	11711938.000
03/30/2012	6.53	6.74	6.50	6.72	1442298	10158691.000
04/05/2012	6.71	6.89	6.62	6.87	1133163	8204397.000
04/06/2012	6.80	7.06	6.80	6.97	1964819	14425399.000
04/09/2012	6.89	6.93	6.80	6.80	1133616	8240284.000
04/10/2012	6.77	6.96	6.67	6.95	1803146	12975314.000
04/11/2012	6.88	7.17	6.84	7.00	2960949	22105364.000
04/12/2012	7.01	7.31	6.96	7.29	5654498	42927616.000
04/13/2012	7.26	7.34	7.12	7.22	3584879	27443612.000
04/16/2012	7.21	7.36	7.13	7.23	2637098	20200284.000
04/17/2012	7.22	7.22	6.78	6.84	6499379	47688552.000
04/18/2012	6.83	7.30	6.72	7.25	7011048	52537808.000
04/19/2012	7.23	7.56	7.15	7.25	7875808	61119672.000
04/20/2012	7.19	7.39	6.99	7.10	8222087	62147468.000
04/23/2012	7.02	7.11	6.88	7.08	3953748	29347088.000
04/24/2012	6.97	7.21	6.92	7.18	4383434	32906854.000
04/25/2012	7.20	7.57	7.05	7.49	11988088	93142728.000
04/26/2012	7.47	7.83	7.30	7.70	12059168	96531472.000
04/27/2012	7.58	7.76	7.48	7.57	5369702	43060880.000
05/02/2012	7.63	7.93	7.58	7.81	5834894	48032944.000
05/03/2012	7.76	7.86	7.66	7.81	3683285	30121768.000
05/04/2012	7.76	7.91	7.59	7.79	3927767	32038524.000
05/07/2012	7.72	7.83	7.48	7.72	3137249	25022576.000
05/08/2012	7.68	7.75	7.53	7.65	2061227	16374117.000
05/09/2012	7.60	7.68	7.43	7.46	2068237	16211532.000
05/10/2012	7.42	7.54	7.42	7.48	1068423	8363529.000
05/11/2012	7.58	7.64	7.40	7.41	1763306	13849910.000
05/14/2012	7.49	7.62	7.40	7.54	1662685	13042660.000
05/15/2012	7.51	7.63	7.42	7.61	1877324	14743522.000
05/16/2012	7.57	7.69	7.49	7.52	2039156	16143864.000
05/17/2012	7.49	7.64	7.39	7.59	1441635	11337296.000
05/18/2012	7.54	7.83	7.51	7.61	4287529	34386668.000
05/21/2012	7.48	7.76	7.44	7.72	2556717	20386852.000
05/22/2012	7.76	7.92	7.70	7.91	3887407	31794648.000
05/23/2012	7.90	7.96	7.74	7.79	2687342	21942032.000
05/24/2012	7.77	7.85	7.66	7.68	2357714	19024448.000
05/25/2012	7.72	7.73	7.59	7.66	1994400	15929725.000
05/28/2012	7.62	7.78	7.53	7.74	2288042	18336070.000
05/29/2012	7.74	8.18	7.74	8.12	7309152	61061256.000
05/30/2012	8.11	8.16	8.00	8.06	2900633	24384058.000
05/31/2012	8.00	8.08	7.96	8.02	1568980	13085994.000
06/01/2012	8.00	8.17	8.00	8.14	2079089	17470348.000
06/04/2012	8.07	8.07	7.78	7.85	2960204	24355712.000
06/05/2012	7.84	7.90	7.71	7.74	1227900	9946176.000
06/06/2012	7.74	7.82	7.60	7.68	1224104	9801136.000
06/07/2012	7.74	7.81	7.61	7.63	1306178	10517063.000
06/08/2012	7.73	7.80	7.54	7.55	1061880	8481150.000
06/11/2012	7.54	7.85	7.46	7.80	2676874	21417746.000
06/12/2012	7.76	8.03	7.69	7.89	3048901	24975948.000
06/13/2012	7.89	8.00	7.80	7.91	1438921	11852803.000
06/14/2012	7.88	7.99	7.77	7.81	1290271	10591231.000
06/15/2012	7.85	7.90	7.68	7.70	1199526	9677345.000
06/18/2012	7.70	7.81	7.65	7.68	1153015	9265138.000
06/19/2012	7.70	7.70	7.56	7.64	1127407	8938743.000
06/20/2012	7.53	7.66	7.48	7.51	1284830	10130239.000
06/21/2012	7.48	7.55	7.37	7.54	1399161	10842009.000
06/25/2012	7.52	7.57	7.35	7.48	2548501	19868054.000
06/26/2012	7.47	7.55	7.39	7.51	726798	5663701.000
06/27/2012	7.47	7.54	7.33	7.45	1297809	10079126.000
06/28/2012	7.44	7.47	7.16	7.25	987994	7538931.000
06/29/2012	7.21	7.56	7.18	7.46	1648343	12677633.000
07/02/2012	7.46	7.54	7.35	7.42	1186604	9173986.000
07/03/2012	7.46	7.56	7.39	7.47	751034	5862796.000
07/04/2012	7.48	7.53	7.38	7.44	342353	2663977.000
07/05/2012	7.43	7.43	7.20	7.33	1062460	8075040.000
07/06/2012	7.38	7.48	7.15	7.48	2355653	17899910.000
07/09/2012	7.33	7.39	7.09	7.10	1944144	14622046.000
07/10/2012	7.10	7.18	6.81	6.99	1328793	9651185.000
07/11/2012	6.89	6.93	6.78	6.90	1892569	13567117.000
07/12/2012	6.86	7.01	6.76	6.98	1173966	8467279.000
07/13/2012	6.96	7.02	6.90	6.92	593765	4333472.000
07/16/2012	6.89	6.92	6.74	6.76	719676	5119383.000
07/17/2012	6.76	6.94	6.72	6.91	702310	5038169.000
07/18/2012	6.86	6.92	6.69	6.78	705943	5005609.000
07/19/2012	6.82	7.00	6.72	6.93	1102399	7972866.000
07/20/2012	6.86	7.66	6.83	7.18	12895548	101105624.000
07/23/2012	7.25	7.25	6.73	6.77	7631996	54923952.000
07/24/2012	6.65	6.65	6.48	6.54	3618248	24883624.000
07/25/2012	6.54	6.58	6.28	6.54	3569103	24055686.000
07/26/2012	6.47	6.52	6.36	6.45	1713648	11561056.000
07/27/2012	6.43	6.54	6.39	6.47	1394601	9467167.000
07/30/2012	6.41	6.50	6.41	6.44	1746798	11860464.000
07/31/2012	6.44	6.51	6.40	6.42	1446105	9817955.000
08/01/2012	6.32	6.51	6.32	6.44	732486	4960867.000
08/02/2012	6.42	6.46	6.03	6.18	3676580	23973518.000
08/03/2012	6.17	6.26	6.13	6.23	927925	6047167.000
08/06/2012	6.18	6.50	6.06	6.41	1855928	12262012.000
08/07/2012	6.35	6.42	6.32	6.40	878247	5880779.000
08/08/2012	6.43	6.44	6.34	6.39	626520	4211258.000
08/09/2012	6.39	6.47	6.31	6.47	1511458	10189426.000
08/10/2012	6.40	6.51	6.38	6.49	1488080	10085851.000
08/13/2012	6.42	6.47	6.33	6.37	747637	5023020.000
08/14/2012	6.40	6.46	6.17	6.44	1450747	9590860.000
08/15/2012	6.34	6.38	6.23	6.26	943631	6235078.000
