600726 华电能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.63	2.65	2.58	2.58	1621862	4244642.000
01/05/2012	2.56	2.58	2.49	2.49	1987893	5042030.000
01/06/2012	2.45	2.51	2.42	2.50	1296071	3197569.000
01/09/2012	2.51	2.58	2.49	2.58	1602011	4069889.000
01/10/2012	2.59	2.66	2.56	2.65	3261611	8571669.000
01/11/2012	2.66	2.67	2.60	2.61	2623654	6905002.000
01/12/2012	2.61	2.65	2.61	2.62	1739400	4568488.000
01/13/2012	2.60	2.63	2.49	2.53	2418055	6175129.000
01/16/2012	2.52	2.56	2.48	2.49	1484780	3744383.000
01/17/2012	2.48	2.61	2.47	2.60	2180286	5561273.000
01/18/2012	2.59	2.63	2.54	2.56	1919828	4966306.000
01/19/2012	2.55	2.60	2.54	2.56	1850522	4753343.000
01/20/2012	2.58	2.59	2.55	2.59	1626734	4176000.000
01/30/2012	2.59	2.60	2.55	2.56	950858	2449705.000
01/31/2012	2.58	2.58	2.53	2.57	1057257	2696335.000
02/01/2012	2.55	2.59	2.53	2.57	1612925	4145523.000
02/02/2012	2.56	2.61	2.55	2.60	1903369	4919560.000
02/03/2012	2.60	2.64	2.59	2.62	2645739	6918810.000
02/06/2012	2.61	2.64	2.60	2.62	1864773	4879452.000
02/07/2012	2.62	2.62	2.57	2.59	1886680	4889193.000
02/08/2012	2.58	2.63	2.57	2.62	2489485	6501727.000
02/09/2012	2.61	2.65	2.60	2.65	3246315	8564288.000
02/10/2012	2.64	2.68	2.63	2.65	2934820	7795834.000
02/13/2012	2.64	2.66	2.61	2.64	2819825	7435590.000
02/14/2012	2.65	2.66	2.62	2.66	2707092	7145728.000
02/15/2012	2.66	2.70	2.64	2.69	3998153	10697976.000
02/16/2012	2.69	2.74	2.68	2.74	5789495	15686551.000
02/17/2012	2.74	2.74	2.68	2.70	2529843	6839858.000
02/20/2012	2.72	2.74	2.69	2.70	2553298	6918541.000
02/21/2012	2.71	2.73	2.68	2.71	2658912	7178122.000
02/22/2012	2.73	2.74	2.70	2.74	3485603	9492224.000
02/23/2012	2.72	2.76	2.72	2.74	3955267	10842189.000
02/24/2012	2.74	2.80	2.73	2.78	4469915	12353356.000
02/27/2012	2.78	2.84	2.78	2.80	5826847	16404290.000
02/28/2012	2.81	2.86	2.74	2.85	7961716	22370064.000
02/29/2012	2.84	2.84	2.76	2.77	3117249	8711907.000
03/01/2012	2.77	2.79	2.75	2.77	3253819	9006340.000
03/02/2012	2.76	2.80	2.76	2.80	3246063	9042472.000
03/05/2012	2.80	2.81	2.78	2.79	2898642	8109297.000
03/06/2012	2.78	2.78	2.72	2.74	2626267	7202923.000
03/07/2012	2.71	2.75	2.70	2.72	1929527	5257684.000
03/08/2012	2.73	2.76	2.72	2.75	1677234	4602282.000
03/09/2012	2.75	2.80	2.74	2.79	3839886	10638818.000
03/12/2012	2.80	2.80	2.76	2.78	2480925	6908227.000
03/13/2012	2.77	2.80	2.76	2.79	2752692	7652677.000
03/14/2012	2.80	2.81	2.68	2.70	4916471	13562007.000
03/15/2012	2.69	2.70	2.58	2.61	3465969	9148493.000
03/16/2012	2.62	2.70	2.62	2.69	3309791	8849420.000
03/19/2012	2.69	2.73	2.67	2.71	2767227	7470178.000
03/20/2012	2.71	2.78	2.69	2.72	3322110	9071326.000
03/21/2012	2.71	2.77	2.68	2.75	3468262	9446923.000
03/22/2012	2.75	2.76	2.72	2.74	1979361	5417500.000
03/23/2012	2.74	2.74	2.67	2.68	1882660	5069958.000
03/26/2012	2.68	2.72	2.65	2.68	1694307	4553811.000
03/27/2012	2.70	2.71	2.67	2.69	857565	2300610.000
03/28/2012	2.68	2.69	2.56	2.58	2062840	5369076.000
03/29/2012	2.58	2.60	2.53	2.55	1960242	5038982.000
03/30/2012	2.56	2.59	2.51	2.55	1614587	4119630.000
04/05/2012	2.55	2.61	2.52	2.60	1820074	4683935.000
04/06/2012	2.62	2.63	2.59	2.60	1199605	3129549.000
04/09/2012	2.60	2.62	2.58	2.59	1121598	2920165.000
04/10/2012	2.59	2.64	2.53	2.63	1574763	4061449.000
04/11/2012	2.60	2.64	2.57	2.62	1878206	4913674.000
04/12/2012	2.62	2.66	2.61	2.66	2927622	7725650.000
04/13/2012	2.67	2.69	2.64	2.67	3187891	8508519.000
04/16/2012	2.66	2.70	2.62	2.69	3852768	10312267.000
04/17/2012	2.70	2.74	2.66	2.67	3985492	10784438.000
04/18/2012	2.68	2.73	2.65	2.73	3556112	9629874.000
04/19/2012	2.73	2.73	2.69	2.72	1691758	4580445.000
04/20/2012	2.72	2.74	2.68	2.72	4276660	11575653.000
04/23/2012	2.71	2.72	2.65	2.68	2807100	7537643.000
04/24/2012	2.67	2.69	2.56	2.62	5837952	15234792.000
04/25/2012	2.60	2.66	2.59	2.63	3892222	10221686.000
04/27/2012	2.62	2.62	2.58	2.59	3050063	7925900.000
05/02/2012	2.63	2.64	2.60	2.62	2965827	7770831.000
05/03/2012	2.62	2.62	2.57	2.60	3066560	7940076.000
05/04/2012	2.60	2.62	2.57	2.61	2429383	6322533.000
05/07/2012	2.61	2.63	2.59	2.62	2381562	6208998.000
05/08/2012	2.62	2.64	2.60	2.63	2586230	6781850.000
05/09/2012	2.62	2.62	2.58	2.59	2589476	6727877.000
05/10/2012	2.60	2.60	2.57	2.59	1781698	4600285.000
