600738 兰州民百 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.76	5.86	5.54	5.55	2614344	15431296.000
01/05/2012	5.48	5.58	5.24	5.25	3466840	19491712.000
01/06/2012	5.24	5.27	5.00	5.26	2981738	16023878.000
01/09/2012	5.24	5.48	5.14	5.47	3999450	22372928.000
01/10/2012	5.43	5.74	5.41	5.70	8185584	48034988.000
01/11/2012	5.68	5.83	5.65	5.71	6041375	35949704.000
01/12/2012	5.68	5.78	5.63	5.68	4033765	23880880.000
01/13/2012	5.69	5.71	5.34	5.37	4298032	24537860.000
04/11/2012	5.93	5.93	5.93	5.93	99834	613979.000
04/12/2012	6.55	6.55	6.55	6.55	168323	1139547.000
04/13/2012	7.23	7.23	7.23	7.23	679754	5064167.000
04/16/2012	7.98	7.98	7.79	7.98	30388038	248736560.000
04/17/2012	7.98	8.04	7.45	7.61	30242390	240137376.000
04/18/2012	7.48	7.71	7.48	7.61	17030107	133365736.000
04/20/2012	7.51	8.03	7.45	7.63	18973888	151248640.000
04/23/2012	7.48	7.67	7.16	7.18	17610043	133026528.000
04/24/2012	7.04	7.41	6.90	7.37	14339104	105758312.000
04/25/2012	7.28	7.63	7.17	7.48	15870626	121883616.000
04/26/2012	7.45	7.47	7.06	7.14	11639403	86807424.000
04/27/2012	7.13	7.29	7.03	7.10	6014756	44358836.000
05/02/2012	7.19	7.69	7.10	7.58	22054513	170841936.000
05/03/2012	7.48	7.62	7.32	7.59	12425805	95545024.000
05/04/2012	7.52	7.52	7.35	7.45	9527203	72952000.000
05/07/2012	7.37	7.58	7.36	7.52	7530818	57980532.000
05/08/2012	7.51	7.71	7.36	7.54	12175369	94510936.000
05/09/2012	7.45	7.48	7.28	7.40	8920385	67710024.000
05/10/2012	7.38	7.53	7.29	7.33	6792303	51735836.000
05/11/2012	7.33	7.39	6.92	6.93	10616586	77271856.000
05/14/2012	7.05	7.06	6.85	6.93	4504065	32305052.000
05/15/2012	6.88	7.01	6.83	6.98	4136507	29560488.000
05/16/2012	6.94	7.00	6.85	6.86	3503155	24983108.000
05/17/2012	6.89	6.96	6.76	6.93	4968252	35349604.000
05/18/2012	6.92	7.00	6.54	6.62	7784606	54331420.000
05/21/2012	6.58	6.63	6.40	6.47	3436872	23153924.000
