600747 大连控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.81	4.86	4.70	4.72	12142475	57760232.000
01/05/2012	4.72	4.75	4.50	4.63	12851991	59885600.000
01/06/2012	4.57	4.64	4.17	4.41	10562167	46352780.000
01/09/2012	4.40	4.66	4.34	4.59	9333128	42643996.000
01/10/2012	4.59	4.87	4.59	4.78	11511430	54801428.000
01/11/2012	4.82	5.26	4.75	5.05	23495951	118751304.000
01/12/2012	4.99	5.17	4.93	5.03	16388147	82590672.000
01/13/2012	5.03	5.05	4.72	4.78	11791532	57281328.000
01/16/2012	4.72	4.73	4.61	4.63	4280898	19947880.000
01/17/2012	4.65	5.00	4.63	4.97	10491316	51086228.000
01/18/2012	5.00	5.15	4.82	4.85	10598833	52852708.000
01/19/2012	4.88	5.03	4.82	4.89	7252474	35723544.000
01/20/2012	4.96	5.06	4.90	4.95	6225868	30994218.000
01/30/2012	5.03	5.08	4.95	4.97	6137664	30736928.000
01/31/2012	4.96	5.02	4.83	4.91	5377694	26396612.000
02/01/2012	4.91	5.03	4.86	4.91	5732619	28369526.000
02/02/2012	4.92	5.01	4.92	5.01	4261244	21188046.000
02/03/2012	5.03	5.11	4.97	5.10	8625735	43689300.000
02/06/2012	5.11	5.11	5.02	5.08	7447524	37669092.000
02/07/2012	5.00	5.08	4.90	4.92	7822530	38805572.000
02/08/2012	4.91	5.08	4.90	5.07	8170900	40921980.000
02/09/2012	5.16	5.26	5.07	5.11	27566113	142303056.000
02/10/2012	5.06	5.20	5.02	5.14	14380795	73629384.000
02/13/2012	5.11	5.28	5.06	5.25	21222944	110384640.000
02/14/2012	5.20	5.30	5.14	5.23	12770298	66688764.000
02/15/2012	5.22	5.56	5.18	5.41	22060807	118310680.000
02/16/2012	5.40	5.68	5.37	5.49	28573105	157883440.000
02/17/2012	5.53	5.54	5.34	5.41	12253690	66186016.000
02/20/2012	5.49	5.51	5.38	5.38	11209072	60825956.000
02/21/2012	5.38	5.41	5.16	5.35	14229939	75255056.000
02/22/2012	5.34	5.45	5.30	5.44	13448097	72477152.000
02/23/2012	5.44	5.55	5.37	5.44	17146060	93245760.000
02/24/2012	5.43	5.51	5.35	5.50	19099313	103802832.000
02/27/2012	5.51	5.61	5.48	5.49	28380308	157349920.000
02/28/2012	5.45	5.48	5.32	5.37	21287543	114970416.000
02/29/2012	5.46	5.54	5.33	5.39	18909775	103012448.000
03/01/2012	5.35	5.47	5.32	5.42	11321604	61307472.000
03/02/2012	5.41	5.78	5.41	5.70	39431992	220993360.000
03/05/2012	5.77	5.85	5.61	5.64	26418218	150907120.000
03/06/2012	5.62	5.75	5.57	5.64	19733469	111606440.000
03/07/2012	5.58	5.64	5.50	5.54	14658827	81828080.000
03/08/2012	5.59	5.71	5.53	5.60	13842814	77703552.000
