600757 长江传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.94	8.12	7.75	7.76	4312822	34321892.000
01/05/2012	7.65	7.75	7.42	7.50	2621564	19971740.000
01/06/2012	7.58	7.87	7.48	7.83	2120116	16393463.000
01/09/2012	7.85	8.22	7.80	8.16	3116553	25382656.000
01/10/2012	8.12	8.38	8.06	8.31	4044352	33525080.000
01/11/2012	8.24	8.47	8.21	8.31	2687759	22527644.000
01/12/2012	8.31	8.44	8.27	8.37	1830727	15409495.000
01/13/2012	8.44	8.79	8.32	8.56	5991829	51615260.000
01/17/2012	8.13	8.61	8.13	8.54	5677517	47566052.000
01/18/2012	8.54	8.60	8.17	8.20	3171625	26651088.000
01/20/2012	8.35	8.60	8.27	8.56	3988529	34078540.000
01/30/2012	8.59	8.72	8.46	8.47	2542254	21927596.000
01/31/2012	8.52	8.61	8.39	8.61	2398935	20492704.000
02/01/2012	8.55	8.80	8.47	8.49	3213146	27935716.000
02/02/2012	8.45	8.60	8.35	8.56	3219165	27465694.000
02/03/2012	8.60	8.75	8.53	8.68	2816872	24531172.000
02/06/2012	8.69	8.74	8.61	8.67	1908023	16630303.000
02/07/2012	8.66	8.66	8.44	8.52	2487985	21398588.000
02/08/2012	8.49	8.69	8.45	8.65	2388214	20654180.000
02/09/2012	8.64	8.77	8.57	8.71	4291658	37488660.000
02/10/2012	8.65	9.15	8.65	9.15	8476049	76220216.000
02/13/2012	9.10	9.24	8.98	9.15	5302141	48452132.000
02/14/2012	9.15	9.15	8.95	9.00	4190446	38090196.000
02/15/2012	8.91	9.17	8.91	9.09	3339036	30520828.000
02/16/2012	9.18	9.32	8.97	9.02	4565566	41873044.000
02/17/2012	9.05	9.43	8.98	9.33	5582286	51613344.000
02/20/2012	9.36	9.53	9.20	9.22	4522103	42596696.000
02/21/2012	9.20	9.49	9.18	9.44	5263516	49400176.000
02/22/2012	9.47	9.52	9.36	9.45	4183638	39677072.000
02/23/2012	9.44	9.66	9.35	9.54	5085349	48531436.000
02/24/2012	9.47	9.80	9.46	9.68	4059686	39474324.000
02/27/2012	9.76	10.05	9.74	9.81	7034581	70195632.000
02/28/2012	9.79	10.14	9.72	9.90	7751730	77820048.000
02/29/2012	9.95	10.07	9.40	9.40	12469599	121391272.000
03/01/2012	9.29	9.55	9.20	9.45	6315662	59558336.000
03/02/2012	9.38	9.93	9.38	9.67	7327390	71291136.000
03/05/2012	9.65	9.93	9.64	9.67	5410020	53027240.000
03/06/2012	9.65	9.88	9.61	9.77	5986878	58578168.000
03/07/2012	9.63	10.03	9.59	9.96	7722541	76376616.000
03/08/2012	9.93	10.09	9.84	9.90	6869932	68873224.000
03/09/2012	9.95	10.00	9.81	9.93	5948380	59214768.000
03/12/2012	9.91	10.29	9.87	10.21	7308757	74023768.000
03/13/2012	10.17	10.28	10.01	10.09	6793358	68936616.000
03/14/2012	10.12	10.18	9.58	9.58	9835525	97514040.000
03/15/2012	9.49	9.56	9.11	9.16	8368591	78103728.000
03/16/2012	9.20	9.50	9.18	9.49	5154483	48496220.000
03/19/2012	9.49	9.81	9.49	9.77	4958524	48320872.000
03/20/2012	9.75	9.84	9.42	9.52	7964583	76810688.000
03/21/2012	9.45	9.57	9.19	9.36	6954720	65262740.000
03/26/2012	9.58	10.14	9.38	9.40	26243315	257436240.000
03/27/2012	9.15	9.64	8.90	9.62	15202882	141686688.000
03/28/2012	9.48	9.57	9.15	9.25	9863546	92702880.000
03/29/2012	9.15	9.95	9.01	9.65	22590372	216862624.000
03/30/2012	9.48	9.73	8.68	8.68	21805841	199603344.000
04/05/2012	8.37	8.55	8.05	8.52	14822659	123908264.000
04/06/2012	8.45	8.50	8.26	8.44	8944158	75506824.000
04/09/2012	8.37	8.43	7.92	7.94	10227720	83828864.000
04/10/2012	7.93	8.27	7.93	8.14	7301349	59438984.000
04/11/2012	7.98	8.10	7.86	8.01	7364537	59132928.000
04/12/2012	8.04	8.24	8.01	8.18	8089869	66387952.000
04/13/2012	8.17	8.32	8.11	8.23	7850942	64948016.000
04/16/2012	8.20	8.52	8.16	8.37	8070929	67772240.000
04/17/2012	8.39	8.53	8.25	8.32	7589574	63962948.000
04/18/2012	8.32	8.52	8.30	8.46	8337374	70671056.000
04/19/2012	8.44	8.44	8.20	8.24	6223050	52110096.000
04/20/2012	8.20	8.29	8.08	8.22	7467187	61367020.000
04/23/2012	8.28	8.36	7.99	8.03	6446186	53257756.000
04/24/2012	7.97	8.06	7.60	7.79	6497351	51251224.000
04/25/2012	7.80	8.22	7.70	8.14	8001321	64348648.000
04/26/2012	8.15	8.27	8.03	8.06	4628166	37794780.000
04/27/2012	7.97	8.20	7.97	8.09	4774265	39007208.000
05/02/2012	8.20	8.27	8.05	8.24	6280148	51741416.000
05/03/2012	8.24	8.28	8.13	8.25	4534126	37461892.000
