600769 祥龙电业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.22	3.25	3.15	3.15	1854260	5926424.000
01/05/2012	3.11	3.11	2.99	3.03	1608210	4878524.000
01/06/2012	3.00	3.10	2.95	3.09	1055114	3170155.000
01/09/2012	3.06	3.23	3.04	3.22	1948948	6171592.000
01/10/2012	3.21	3.38	3.16	3.38	3047820	10097429.000
01/11/2012	3.36	3.43	3.28	3.36	2537148	8518908.000
01/12/2012	3.34	3.53	3.33	3.40	2732920	9413120.000
01/13/2012	3.38	3.42	3.23	3.23	3384008	11015356.000
01/16/2012	3.13	3.23	3.10	3.16	1124500	3553852.000
01/17/2012	3.16	3.32	3.14	3.32	1848721	6000222.000
01/18/2012	3.33	3.37	3.25	3.26	1420289	4685279.000
01/19/2012	3.29	3.32	3.16	3.27	889279	2906623.000
01/20/2012	3.22	3.36	3.22	3.35	1178646	3897794.000
01/30/2012	3.35	3.40	3.32	3.35	1435424	4812512.000
01/31/2012	3.35	3.52	3.32	3.51	4269000	14732205.000
02/01/2012	3.48	3.69	3.44	3.57	7049112	25572320.000
02/02/2012	3.51	3.57	3.39	3.57	3763689	13112383.000
02/03/2012	3.54	3.69	3.48	3.59	3805453	13776460.000
02/06/2012	3.60	3.77	3.59	3.77	8482024	31766072.000
02/07/2012	3.77	3.78	3.58	3.63	6901990	24921360.000
02/08/2012	3.61	3.69	3.57	3.68	3274777	11931465.000
02/09/2012	3.66	3.75	3.64	3.69	2391054	8860280.000
02/10/2012	3.69	3.76	3.64	3.72	2206526	8189564.000
02/13/2012	3.72	3.78	3.65	3.73	2468651	9209898.000
02/14/2012	3.75	3.92	3.71	3.92	7677519	29838414.000
02/15/2012	3.95	4.10	3.90	4.05	8799118	35347624.000
02/16/2012	4.02	4.02	3.86	3.93	4449317	17501316.000
02/17/2012	3.96	3.97	3.86	3.92	2769335	10816841.000
02/20/2012	3.95	4.04	3.90	3.98	3506298	13894547.000
