600790 轻纺城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.88	3.90	3.71	3.72	3732370	21008232.000
01/05/2012	3.68	3.74	3.30	3.30	9890370	50449008.000
01/06/2012	3.23	3.34	3.17	3.30	4218541	20565100.000
01/09/2012	3.35	3.48	3.25	3.45	6725151	34090744.000
01/10/2012	3.58	3.83	3.55	3.72	15670948	84951344.000
01/11/2012	3.72	3.75	3.60	3.68	7203021	39160704.000
01/12/2012	3.68	3.78	3.62	3.72	8001879	43971160.000
01/13/2012	3.72	3.74	3.46	3.56	5449936	28923196.000
01/16/2012	3.56	3.92	3.52	3.56	7533037	41186356.000
01/17/2012	3.46	3.78	3.44	3.76	9188283	49755580.000
01/18/2012	3.71	3.82	3.59	3.68	7921432	43264700.000
01/19/2012	3.71	3.75	3.63	3.70	3301297	18037408.000
01/20/2012	3.73	3.75	3.70	3.72	3492724	19203772.000
01/30/2012	3.72	3.75	3.55	3.59	5069033	27268764.000
01/31/2012	3.61	3.61	3.51	3.60	2507810	13208177.000
02/01/2012	3.56	3.64	3.53	3.55	2428170	12868646.000
02/02/2012	3.55	3.63	3.53	3.62	2358730	12535400.000
02/03/2012	3.62	3.77	3.59	3.75	6425751	35173352.000
02/06/2012	3.76	3.78	3.71	3.77	5136819	28384380.000
02/07/2012	3.75	3.80	3.65	3.69	3946667	21574074.000
02/08/2012	3.68	3.84	3.66	3.82	5336835	29631628.000
02/09/2012	3.82	3.94	3.79	3.87	7793277	44256712.000
02/10/2012	3.85	3.92	3.82	3.87	5706675	32376146.000
02/13/2012	3.85	3.98	3.79	3.97	6178849	35337388.000
02/14/2012	3.93	3.97	3.89	3.94	4285948	24664484.000
02/15/2012	3.92	4.04	3.92	4.02	5729684	33491772.000
02/16/2012	4.03	4.18	3.99	4.13	12619015	75454320.000
02/17/2012	4.15	4.54	4.13	4.35	23410987	147205632.000
02/20/2012	4.42	4.60	4.28	4.30	20799295	133682432.000
02/21/2012	4.32	4.36	4.18	4.34	8956429	55658712.000
02/22/2012	4.35	4.42	4.30	4.38	7196333	45589312.000
02/23/2012	4.38	4.47	4.29	4.34	7722239	49085248.000
02/24/2012	4.33	4.41	4.27	4.40	8307802	52347104.000
02/27/2012	4.39	4.47	4.37	4.38	7421546	47454448.000
02/28/2012	4.38	4.40	4.26	4.36	5164309	32387774.000
02/29/2012	4.35	4.35	4.19	4.22	5447053	33837680.000
03/01/2012	4.21	4.29	4.19	4.24	4331630	26709544.000
03/02/2012	4.29	4.39	4.29	4.37	5550203	34985972.000
03/05/2012	4.38	4.41	4.34	4.38	5525090	34944704.000
03/06/2012	4.35	4.35	4.23	4.28	4436346	27563628.000
03/07/2012	4.26	4.31	4.22	4.25	4199540	26001048.000
03/08/2012	4.24	4.43	4.24	4.38	7767395	49045052.000
03/12/2012	4.46	4.48	4.36	4.44	6319746	40383968.000
03/13/2012	4.42	4.50	4.38	4.49	6517484	42120432.000
03/14/2012	4.50	4.75	4.37	4.42	18986594	125485960.000
03/16/2012	4.42	4.91	4.37	4.91	16844912	114671424.000
03/19/2012	5.13	5.14	4.83	4.92	22869310	161924288.000
03/20/2012	4.88	4.89	4.65	4.66	12169466	83014808.000
03/21/2012	4.68	4.72	4.51	4.65	9710707	64544792.000
03/22/2012	4.67	4.70	4.55	4.61	5812865	38685356.000
03/23/2012	4.58	4.68	4.46	4.50	6060912	39956984.000
03/26/2012	4.49	4.55	4.40	4.45	4650376	30036504.000
03/27/2012	4.49	4.52	4.32	4.35	5583808	35731520.000
03/28/2012	4.35	4.35	4.07	4.19	8420064	51031904.000
03/29/2012	4.15	4.18	3.93	4.00	5362047	31874684.000
03/30/2012	3.96	4.05	3.95	4.01	4017214	23504376.000
04/05/2012	4.05	4.18	4.01	4.18	4686958	28177796.000
04/06/2012	4.15	4.24	4.12	4.18	4495176	27361428.000
04/09/2012	4.20	4.21	4.08	4.08	3320449	20001952.000
04/10/2012	4.08	4.19	3.97	4.18	5138814	30820162.000
04/11/2012	4.18	4.65	4.13	4.65	11194379	73413408.000
04/12/2012	5.16	5.17	5.05	5.17	22710334	167148672.000
04/13/2012	5.58	5.58	5.02	5.14	70014255	521645952.000
04/16/2012	5.18	5.70	5.05	5.47	97968857	764262784.000
04/17/2012	5.32	5.33	4.87	5.07	64653313	467694336.000
04/18/2012	5.03	5.38	4.97	5.18	48269515	355420032.000
04/19/2012	5.08	5.18	4.96	5.15	28856339	208717104.000
04/20/2012	5.15	5.34	5.08	5.15	41916915	311381472.000
04/23/2012	5.04	5.26	4.94	4.98	32278984	234485440.000
04/24/2012	4.88	5.46	4.84	5.32	52984274	390836256.000
04/25/2012	5.16	5.91	5.12	5.91	92914106	749651072.000
04/26/2012	6.01	6.01	5.47	5.52	67415448	544901120.000
04/27/2012	5.32	5.71	5.24	5.42	34019366	264437744.000
05/02/2012	5.47	5.69	5.30	5.57	27345277	213787088.000
05/03/2012	5.48	5.85	5.42	5.67	35246930	281610592.000
05/04/2012	5.60	5.67	5.51	5.58	24716481	195398800.000
05/07/2012	5.50	5.62	5.47	5.50	14814774	116097912.000
05/09/2012	5.39	5.54	5.24	5.41	16643119	128330048.000
05/10/2012	5.39	5.51	5.34	5.45	10916803	84113472.000
05/11/2012	5.43	5.77	5.39	5.57	23980220	190676464.000
05/14/2012	5.58	5.73	5.47	5.48	19148840	152035824.000
05/15/2012	5.74	5.95	5.52	5.65	24668970	198346736.000
05/16/2012	5.65	6.16	5.58	5.86	49533510	410252160.000
05/17/2012	5.85	6.07	5.78	5.92	39134956	326891488.000
