600806 *ST昆机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.94	6.01	5.86	5.86	1394011	8263643.000
01/05/2012	5.85	5.85	5.48	5.49	1539650	8734775.000
01/06/2012	5.50	5.63	5.31	5.51	1436209	7804387.000
01/09/2012	5.51	5.73	5.43	5.71	1582927	8942952.000
01/10/2012	5.71	6.04	5.71	6.03	3224218	19158708.000
01/11/2012	5.98	6.10	5.92	6.07	3113826	18811466.000
01/12/2012	6.04	6.13	5.99	6.06	1704746	10399149.000
01/13/2012	6.06	6.08	5.75	5.79	2229574	13119128.000
01/16/2012	5.77	5.77	5.54	5.55	1597088	9061471.000
01/17/2012	5.55	5.94	5.50	5.89	1973050	11475750.000
01/18/2012	5.91	6.06	5.82	5.88	2368728	14156067.000
01/19/2012	5.90	6.03	5.83	5.97	1978400	11821990.000
01/20/2012	5.97	6.07	5.92	6.02	1937618	11670163.000
01/30/2012	6.06	6.10	5.95	5.96	1706077	10279914.000
01/31/2012	5.93	6.01	5.83	5.89	1014687	5989777.000
02/01/2012	5.84	5.92	5.73	5.74	1466884	8568732.000
02/02/2012	5.78	5.87	5.73	5.87	921351	5361172.000
02/03/2012	5.87	6.16	5.79	6.06	3127547	18872300.000
02/06/2012	6.03	6.14	5.99	6.12	2635724	16079001.000
02/07/2012	6.09	6.09	5.94	5.97	1785826	10737760.000
02/08/2012	5.98	6.14	5.89	6.13	2722023	16587472.000
02/09/2012	6.13	6.30	6.09	6.27	4818810	30142482.000
02/10/2012	6.23	6.36	6.18	6.27	4434716	27853964.000
02/13/2012	6.22	6.44	6.16	6.40	3856501	24345120.000
02/14/2012	6.35	6.58	6.30	6.33	4434197	28504408.000
02/15/2012	6.33	6.51	6.23	6.47	5856712	37428064.000
02/16/2012	6.44	6.74	6.41	6.56	5413363	35719864.000
02/17/2012	6.57	6.66	6.43	6.62	3744682	24562480.000
02/20/2012	6.72	6.73	6.54	6.65	3617501	24045328.000
02/21/2012	6.64	6.73	6.47	6.73	3579886	23707724.000
02/22/2012	6.74	6.94	6.66	6.88	5039016	34473904.000
02/23/2012	6.91	7.10	6.78	6.87	6069049	42202656.000
02/24/2012	6.84	6.96	6.79	6.90	3251694	22376016.000
02/27/2012	6.90	7.02	6.84	6.85	4448302	30939486.000
02/28/2012	6.77	6.84	6.60	6.70	3509488	23663164.000
02/29/2012	6.68	6.77	6.60	6.61	2122348	14174233.000
03/01/2012	6.62	6.72	6.62	6.65	1324610	8844193.000
03/02/2012	6.69	6.95	6.64	6.77	5067352	34451184.000
03/05/2012	6.78	6.88	6.70	6.73	3403123	23151488.000
03/07/2012	6.54	6.64	6.45	6.52	3837892	25169656.000
03/08/2012	6.50	6.88	6.50	6.83	8935995	60425024.000
03/09/2012	6.86	7.52	6.79	7.52	23399536	167946112.000
03/12/2012	7.52	7.95	7.36	7.79	26472861	201504640.000
03/13/2012	7.68	8.08	7.60	8.02	24188658	189532864.000
03/14/2012	7.93	8.48	7.63	7.79	19191888	152960272.000
03/15/2012	7.72	8.07	7.54	8.05	12389996	96907568.000
03/16/2012	7.92	8.27	7.68	7.94	25662026	204420592.000
03/19/2012	7.88	7.88	7.66	7.78	8523945	66180008.000
03/20/2012	7.70	7.76	7.35	7.39	8117741	61081312.000
03/21/2012	7.39	7.54	7.30	7.52	5900133	43999104.000
03/22/2012	7.52	7.62	7.40	7.41	4920173	37046968.000
03/23/2012	7.33	7.47	7.27	7.29	3827829	28234782.000
03/26/2012	7.28	7.68	7.13	7.57	12269751	92054960.000
03/27/2012	7.51	7.64	7.30	7.33	8521852	63898456.000
03/28/2012	7.28	7.28	6.63	6.72	7219964	50132232.000
03/29/2012	6.71	6.75	6.53	6.55	3640864	24165084.000
03/30/2012	6.55	6.71	6.49	6.64	3810055	25365882.000
04/05/2012	6.66	7.04	6.64	6.97	5301396	36544584.000
04/06/2012	6.96	7.01	6.82	6.91	3758381	26044704.000
04/09/2012	6.88	6.91	6.70	6.72	2595172	17696020.000
04/10/2012	6.72	6.95	6.64	6.94	3515521	24084664.000
04/11/2012	6.87	7.28	6.69	7.17	7991658	56831184.000
04/12/2012	7.14	7.26	7.06	7.21	5416192	39017740.000
04/13/2012	7.22	7.26	7.10	7.19	4555585	32793614.000
04/16/2012	7.19	7.23	7.02	7.16	3784477	27050684.000
04/17/2012	7.16	7.19	6.91	6.97	3563251	25154532.000
04/18/2012	6.98	7.15	6.87	7.11	6396258	45128052.000
04/19/2012	7.09	7.15	6.99	7.03	4324359	30708952.000
04/20/2012	6.92	7.15	6.89	7.13	4968451	35104236.000
04/23/2012	7.12	7.16	7.00	7.09	3506129	24851068.000
04/24/2012	7.05	7.13	6.59	6.81	5153342	35255284.000
04/25/2012	6.78	6.89	6.63	6.84	4050022	27387980.000
04/26/2012	6.85	6.87	6.73	6.74	2933141	19976264.000
04/27/2012	6.74	6.86	6.69	6.77	2560805	17442900.000
05/02/2012	6.88	7.16	6.75	7.08	5695900	40112144.000
05/03/2012	7.08	7.13	6.98	7.10	4986697	35373368.000
05/04/2012	7.07	7.11	6.99	7.10	3610591	25582040.000
05/07/2012	7.09	7.09	7.00	7.08	3144113	22178428.000
05/08/2012	7.08	7.14	6.97	7.13	5360265	38110536.000
05/09/2012	7.10	7.10	6.88	6.90	3584058	24989576.000
05/10/2012	6.86	6.96	6.83	6.86	2122696	14691659.000
05/11/2012	6.86	6.86	6.64	6.66	2842757	19203296.000
05/14/2012	6.73	6.77	6.60	6.61	1583039	10632501.000
05/16/2012	6.64	6.66	6.49	6.51	2064502	13626641.000
05/17/2012	6.50	6.65	6.50	6.62	1489146	9848162.000
05/18/2012	6.60	6.72	6.56	6.62	1628774	10832114.000
