600808 马钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.51	2.55	2.48	2.49	15743297	39445248.000
01/05/2012	2.49	2.52	2.46	2.47	7094902	17650672.000
01/06/2012	2.48	2.49	2.44	2.49	7754647	19104068.000
01/09/2012	2.49	2.55	2.47	2.55	13871809	34832612.000
01/10/2012	2.54	2.64	2.53	2.62	24177690	62562412.000
01/11/2012	2.62	2.66	2.58	2.61	21020535	55239504.000
01/12/2012	2.60	2.63	2.58	2.61	14749372	38405936.000
01/13/2012	2.62	2.63	2.52	2.55	12917834	33194978.000
01/16/2012	2.53	2.55	2.51	2.52	6122107	15494554.000
01/17/2012	2.52	2.65	2.49	2.64	25573488	65742228.000
01/18/2012	2.63	2.66	2.58	2.59	23454317	61255396.000
01/19/2012	2.59	2.65	2.58	2.63	17252993	45105700.000
01/20/2012	2.63	2.64	2.61	2.63	10928397	28713524.000
01/30/2012	2.64	2.64	2.58	2.58	11051775	28814684.000
01/31/2012	2.58	2.59	2.54	2.56	9353903	23881234.000
02/01/2012	2.56	2.58	2.54	2.55	5617604	14354988.000
02/02/2012	2.56	2.60	2.54	2.59	6276093	16137121.000
02/03/2012	2.59	2.62	2.57	2.61	7767213	20164048.000
02/06/2012	2.61	2.63	2.59	2.62	11792960	30774092.000
02/07/2012	2.62	2.62	2.56	2.57	10793958	27956768.000
02/08/2012	2.57	2.64	2.56	2.62	9200517	23965012.000
02/09/2012	2.62	2.64	2.60	2.63	13641703	35833012.000
02/10/2012	2.63	2.71	2.61	2.65	21833889	58207204.000
02/13/2012	2.63	2.66	2.60	2.66	19522077	51391096.000
02/14/2012	2.65	2.65	2.62	2.63	5536102	14567026.000
02/15/2012	2.62	2.68	2.61	2.67	13000687	34550956.000
02/16/2012	2.66	2.69	2.63	2.66	11821120	31395480.000
02/17/2012	2.66	2.68	2.64	2.67	8036133	21367126.000
02/20/2012	2.69	2.70	2.67	2.68	13788528	36957012.000
02/21/2012	2.68	2.68	2.64	2.67	7995926	21269662.000
02/22/2012	2.67	2.70	2.66	2.70	16311845	43726024.000
02/23/2012	2.69	2.78	2.68	2.75	35766772	97895152.000
02/24/2012	2.74	2.77	2.71	2.77	22808296	62499120.000
02/27/2012	2.76	2.83	2.76	2.79	28312270	79233720.000
02/28/2012	2.78	2.82	2.76	2.80	23907825	66659664.000
02/29/2012	2.79	2.80	2.73	2.74	14543293	40270660.000
03/01/2012	2.72	2.76	2.72	2.75	6971618	19147232.000
03/02/2012	2.75	2.78	2.74	2.78	13414586	37065864.000
03/05/2012	2.78	2.79	2.73	2.75	12025296	33185500.000
03/06/2012	2.74	2.75	2.70	2.71	11127339	30201438.000
03/07/2012	2.69	2.74	2.68	2.71	15069955	40847208.000
03/08/2012	2.71	2.74	2.70	2.72	8616926	23430476.000
03/09/2012	2.72	2.73	2.70	2.72	8197513	22260842.000
03/12/2012	2.72	2.73	2.68	2.69	9835698	26577976.000
03/13/2012	2.69	2.72	2.68	2.72	7389327	19983880.000
03/14/2012	2.73	2.78	2.63	2.66	29028655	78990304.000
03/15/2012	2.64	2.66	2.60	2.61	16359246	42948992.000
03/16/2012	2.61	2.63	2.59	2.62	13981478	36548064.000
03/19/2012	2.62	2.62	2.58	2.60	14633443	38079036.000
03/20/2012	2.60	2.63	2.58	2.60	16409413	42737784.000
03/21/2012	2.60	2.62	2.58	2.59	11356819	29496686.000
03/22/2012	2.60	2.61	2.59	2.60	7984826	20759660.000
03/23/2012	2.59	2.61	2.57	2.58	9664641	25030120.000
03/26/2012	2.57	2.59	2.54	2.56	9853479	25255372.000
03/27/2012	2.57	2.58	2.55	2.56	5783949	14843087.000
03/28/2012	2.55	2.56	2.49	2.49	15723684	39608780.000
03/29/2012	2.49	2.50	2.43	2.44	10914001	26825684.000
03/30/2012	2.45	2.45	2.43	2.45	6876151	16789192.000
04/05/2012	2.44	2.49	2.43	2.48	11716047	28841920.000
04/06/2012	2.48	2.49	2.46	2.48	9124374	22556820.000
04/09/2012	2.47	2.50	2.45	2.47	6995980	17306050.000
04/10/2012	2.47	2.49	2.44	2.48	6554121	16131863.000
04/11/2012	2.46	2.49	2.45	2.48	7058409	17446800.000
04/12/2012	2.48	2.52	2.47	2.51	10380723	25900692.000
04/13/2012	2.51	2.53	2.50	2.52	10722783	26980470.000
04/16/2012	2.50	2.55	2.49	2.53	10709238	26922754.000
04/17/2012	2.52	2.60	2.50	2.53	22056326	56383444.000
04/18/2012	2.53	2.58	2.52	2.57	22238818	56692720.000
04/19/2012	2.55	2.57	2.53	2.54	13103477	33338558.000
04/20/2012	2.54	2.57	2.53	2.56	12843930	32835472.000
04/23/2012	2.55	2.56	2.52	2.53	10345988	26323984.000
04/24/2012	2.52	2.56	2.46	2.51	18437679	46289144.000
04/25/2012	2.49	2.54	2.47	2.53	16036606	40194540.000
04/26/2012	2.52	2.53	2.50	2.52	10768735	27079120.000
04/27/2012	2.51	2.55	2.48	2.51	13697321	34497916.000
05/02/2012	2.53	2.56	2.51	2.55	18329312	46493488.000
05/03/2012	2.55	2.57	2.53	2.56	15430429	39343292.000
05/04/2012	2.55	2.58	2.55	2.56	12877021	33021916.000
