600830 香溢融通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.05	6.19	5.81	5.83	1080156	6884873.000
01/05/2012	5.83	5.86	5.53	5.73	1751518	10661907.000
01/06/2012	5.69	5.79	5.46	5.62	1912152	11468150.000
01/09/2012	5.62	5.89	5.54	5.87	3338816	20634576.000
01/10/2012	5.86	6.24	5.82	6.21	2893491	18721232.000
01/11/2012	6.20	6.34	6.11	6.28	2350923	15604802.000
01/12/2012	6.28	6.36	6.22	6.27	1389904	9286444.000
01/13/2012	6.22	6.28	5.95	6.03	1499029	9756034.000
01/16/2012	5.95	6.01	5.75	5.80	916276	5797309.000
01/17/2012	5.96	6.37	5.94	6.22	3965340	26086794.000
01/18/2012	6.22	6.46	6.16	6.35	4500303	30297538.000
01/19/2012	6.40	6.56	6.30	6.48	5093337	34808708.000
01/20/2012	6.48	6.50	6.40	6.43	3082645	21089412.000
01/30/2012	6.46	6.46	6.15	6.23	3733749	24969596.000
01/31/2012	6.23	6.27	6.11	6.27	1155151	7632490.000
02/01/2012	6.23	6.34	6.08	6.12	2582840	16961240.000
02/02/2012	6.15	6.28	6.10	6.25	1756002	11584820.000
02/03/2012	6.27	6.68	6.23	6.50	5458813	37584012.000
02/06/2012	6.46	6.78	6.43	6.71	7667195	54047528.000
02/07/2012	6.70	6.70	6.47	6.53	3600974	25027790.000
02/08/2012	6.56	6.73	6.50	6.71	4678042	32957436.000
02/09/2012	6.67	6.78	6.63	6.65	5065814	35976088.000
02/10/2012	6.65	6.72	6.58	6.64	2689406	18979268.000
02/13/2012	6.57	6.93	6.50	6.77	4146960	29561338.000
02/14/2012	6.77	6.77	6.64	6.69	2064871	14649622.000
02/15/2012	6.65	6.84	6.64	6.82	4183847	30007160.000
02/16/2012	6.84	7.01	6.78	6.88	4715183	34406604.000
02/17/2012	6.96	6.96	6.68	6.82	3177378	22959106.000
02/20/2012	6.94	6.94	6.71	6.78	4679108	33943260.000
02/21/2012	6.75	6.82	6.58	6.78	4078220	28922648.000
02/22/2012	6.80	6.92	6.73	6.90	5993797	43292696.000
02/23/2012	6.86	7.06	6.75	7.05	7312637	53822332.000
02/24/2012	7.10	7.12	6.96	7.09	5260560	39174140.000
02/27/2012	7.09	7.33	7.03	7.12	9226469	70050464.000
02/28/2012	7.09	7.15	6.92	7.05	4438585	33021108.000
02/29/2012	7.02	7.15	6.95	6.97	3788271	28120566.000
03/01/2012	6.92	7.06	6.92	6.99	2423155	17931760.000
03/02/2012	7.00	7.15	6.99	7.10	4159287	31111188.000
03/05/2012	7.12	7.27	7.09	7.22	5954853	45238548.000
03/06/2012	7.17	7.23	7.00	7.12	3877037	29157956.000
03/07/2012	7.04	7.35	7.02	7.17	6042015	46024904.000
03/08/2012	7.24	7.47	7.20	7.39	9932328	76706936.000
03/09/2012	7.39	7.65	7.36	7.48	9183819	72667208.000
03/12/2012	7.45	7.64	7.37	7.60	5887199	46503236.000
03/13/2012	7.58	7.76	7.52	7.62	7557176	60712280.000
03/14/2012	7.75	7.75	6.95	7.05	8411151	65946964.000
03/15/2012	7.05	7.35	7.01	7.12	7661798	58283084.000
03/16/2012	7.05	7.38	7.02	7.35	6774349	51555364.000
03/19/2012	7.43	7.47	7.23	7.46	5164033	39946412.000
03/20/2012	7.40	7.59	7.31	7.47	8017611	63239848.000
03/21/2012	7.53	7.59	7.34	7.57	6485858	51186980.000
03/22/2012	7.53	7.59	7.45	7.47	4115092	32547184.000
03/23/2012	7.45	7.45	6.97	7.11	4703860	35817808.000
03/26/2012	7.14	7.19	6.95	7.04	2452595	18235636.000
03/27/2012	7.08	7.13	6.98	6.98	1850758	13797361.000
03/28/2012	6.97	6.98	6.58	6.65	2924520	20843448.000
03/29/2012	7.05	7.36	6.74	6.78	13589600	100815456.000
03/30/2012	6.57	7.50	6.40	7.50	21713704	167369792.000
04/05/2012	7.81	8.29	7.52	8.29	38885059	323270336.000
04/06/2012	9.10	9.14	8.34	8.42	46275687	416559776.000
04/09/2012	8.25	8.68	8.10	8.37	28338086	249051232.000
04/10/2012	8.20	9.25	8.12	9.25	38877626	348878304.000
04/11/2012	9.08	10.22	9.01	9.87	65959185	666073792.000
04/12/2012	9.55	10.05	9.51	9.82	44224030	448512032.000
04/13/2012	9.67	10.13	9.42	9.62	41938858	425830720.000
04/16/2012	9.60	10.62	9.38	10.42	67507214	715844928.000
04/17/2012	10.18	10.25	9.34	9.34	58486471	588591360.000
04/18/2012	9.35	9.95	9.16	9.57	50127598	500859712.000
04/19/2012	9.35	9.44	8.86	9.12	34980319	332168320.000
04/20/2012	9.02	10.06	9.00	9.58	51070833	509845440.000
04/23/2012	9.40	10.16	9.33	9.73	41228280	419963808.000
04/24/2012	9.60	10.74	9.55	10.74	62535463	669848576.000
04/25/2012	11.11	11.85	10.98	11.85	88455886	1057903872.000
04/27/2012	10.63	11.15	10.63	10.63	64508222	721855040.000
05/02/2012	10.63	11.05	10.16	10.80	46082710	507901952.000
05/03/2012	10.63	11.18	10.41	11.04	39368553	441854976.000
05/04/2012	10.90	11.04	10.50	10.66	34533349	384965216.000
05/07/2012	10.43	10.65	10.22	10.36	31687895	342493760.000
05/08/2012	10.38	10.65	9.93	10.12	33631024	358104832.000
05/09/2012	9.99	10.44	9.81	10.26	31261467	331741728.000
05/10/2012	10.11	10.38	9.80	9.96	26156979	273226464.000
05/11/2012	9.92	10.28	9.86	9.96	20207746	211245792.000
05/14/2012	10.05	10.36	9.90	10.09	22940070	242710384.000
05/15/2012	9.98	10.34	9.50	9.82	27439275	282885312.000
05/16/2012	9.72	10.05	9.60	9.69	18209616	185910688.000
05/17/2012	9.71	10.33	9.62	10.10	37152154	388845440.000
05/18/2012	9.88	9.89	9.05	9.06	41449427	403535904.000
05/21/2012	8.95	9.16	8.81	8.89	18123007	169726272.000
05/22/2012	8.97	9.10	8.91	9.06	14009929	132007536.000
05/23/2012	9.00	9.37	8.93	9.17	22877558	218461360.000
05/24/2012	9.00	9.18	8.85	8.95	16275524	153269952.000
05/25/2012	8.93	9.14	8.85	8.91	13800115	129513216.000
05/28/2012	8.90	9.48	8.87	9.33	28863175	277484512.000
05/29/2012	9.23	9.34	9.05	9.29	21355727	204620864.000
05/30/2012	9.21	9.45	9.14	9.20	17301059	167450528.000
05/31/2012	9.10	9.24	8.94	9.09	12649682	120021912.000
06/01/2012	9.11	9.18	8.99	9.05	8346329	79072216.000
06/04/2012	8.81	8.95	8.13	8.22	20137965	180388960.000
06/05/2012	8.26	8.41	8.04	8.34	12847854	111108336.000
06/06/2012	8.29	8.37	8.14	8.23	7400797	63986768.000
06/07/2012	8.32	8.60	8.21	8.28	12688756	111487712.000
06/08/2012	8.35	8.38	8.11	8.13	8098177	70075960.000
06/11/2012	8.10	8.57	8.04	8.33	14768977	128412184.000
06/12/2012	8.20	8.40	8.16	8.29	6808769	59198308.000
06/13/2012	8.30	8.64	8.28	8.55	20594028	183116160.000
06/14/2012	8.48	8.55	8.21	8.24	12592732	110367560.000
06/15/2012	8.30	8.39	8.10	8.25	6589917	56606180.000
06/18/2012	8.30	8.46	8.27	8.35	6880834	59947308.000
06/19/2012	8.33	8.60	8.25	8.35	10776319	94704888.000
06/20/2012	8.34	8.49	8.23	8.26	7880516	68599336.000
06/21/2012	8.20	8.51	8.00	8.31	12541536	108648784.000
06/25/2012	8.22	8.22	7.82	7.88	8391377	69965128.000
06/26/2012	7.78	8.09	7.69	7.98	7243098	60050944.000
06/27/2012	7.93	8.19	7.91	8.00	7535861	63446756.000
06/28/2012	8.01	8.53	8.00	8.15	18332727	158404944.000
06/29/2012	7.98	8.12	7.76	8.07	10252070	84813104.000
07/02/2012	8.13	8.20	8.03	8.10	6977800	58980720.000
07/03/2012	8.11	8.31	8.07	8.30	11549317	98897384.000
07/04/2012	8.36	8.38	8.00	8.20	8140376	69485408.000
07/05/2012	8.01	8.54	7.90	8.17	28701725	249331920.000
07/06/2012	8.13	8.13	7.32	7.66	26554392	211384464.000
07/09/2012	7.48	7.65	7.30	7.31	12362563	96920880.000
07/10/2012	7.26	7.40	7.05	7.15	6843054	51950700.000
07/11/2012	7.12	7.24	7.08	7.21	5582655	41971280.000
07/12/2012	7.19	7.27	6.95	7.24	8191904	61346896.000
07/13/2012	7.14	7.39	7.13	7.23	7986985	60855784.000
07/16/2012	7.22	7.22	6.63	6.74	9784814	70700840.000
07/17/2012	6.72	6.99	6.60	6.91	6849349	49274040.000
07/18/2012	6.87	7.10	6.79	7.06	7090397	51762608.000
07/19/2012	6.98	7.80	6.98	7.54	35185673	277673984.000
07/20/2012	7.30	7.90	7.26	7.53	24869233	196626448.000
07/23/2012	7.75	7.78	7.30	7.37	9382049	73523672.000
07/24/2012	7.23	7.93	7.20	7.56	19979292	158869824.000
07/25/2012	7.46	7.48	7.31	7.32	8746573	67612152.000
07/26/2012	7.29	7.41	7.07	7.16	7873785	59581284.000
07/27/2012	7.20	7.25	6.95	6.97	6072435	45032960.000
07/30/2012	6.99	7.03	6.70	6.77	5881154	41992376.000
07/31/2012	6.69	7.02	6.57	6.87	6675380	47930144.000
08/01/2012	6.82	7.01	6.76	6.93	6363635	46356700.000
08/02/2012	6.93	6.96	6.68	6.75	5078250	36298700.000
08/03/2012	6.75	6.90	6.74	6.89	4389949	31473824.000
08/06/2012	6.85	7.15	6.84	7.11	8677292	64072268.000
08/07/2012	7.11	7.21	7.05	7.18	8177099	61263116.000
08/08/2012	7.16	7.38	7.15	7.19	10050639	76338952.000
08/09/2012	7.20	7.29	7.05	7.26	8797376	66354792.000
08/10/2012	7.23	7.45	7.16	7.29	9611365	73949032.000
08/13/2012	7.19	7.29	6.95	7.01	7483096	55969980.000
08/14/2012	7.00	7.20	6.86	7.20	7050358	51970420.000
08/15/2012	7.16	7.16	7.00	7.00	3380014	25109996.000
08/16/2012	6.96	7.06	6.89	7.02	4005049	29362880.000
08/17/2012	7.23	7.43	7.12	7.19	18740332	142376592.000
08/20/2012	7.03	7.05	6.86	7.00	7748722	56501352.000
08/21/2012	7.02	7.27	6.94	7.17	9891808	73860224.000
08/22/2012	7.13	7.32	6.98	7.19	14905587	112229976.000
08/23/2012	7.10	7.26	7.01	7.16	9173586	68666168.000
08/24/2012	7.10	7.15	6.76	6.77	7744942	56325672.000
08/27/2012	6.79	6.84	6.64	6.64	4759126	33626976.000
08/28/2012	6.66	6.78	6.59	6.71	3319976	23387476.000
08/29/2012	6.73	6.82	6.64	6.70	4266197	30228756.000
08/30/2012	6.65	6.80	6.56	6.79	5748195	40673584.000
08/31/2012	6.73	6.75	6.60	6.64	4711210	33082682.000
09/03/2012	6.62	6.80	6.56	6.77	4049938	28674130.000
09/04/2012	6.85	6.85	6.68	6.76	4262466	30252012.000
09/05/2012	6.71	6.86	6.65	6.76	11863310	84673200.000
09/06/2012	7.09	7.09	6.72	6.81	7904954	56616720.000
09/07/2012	6.85	7.14	6.80	7.05	12402226	91038984.000
09/10/2012	7.02	7.18	6.99	7.12	9812503	72885144.000
09/11/2012	7.09	7.09	6.92	7.02	6700292	49145828.000
09/12/2012	7.03	7.13	6.97	7.12	8225322	61008504.000
09/13/2012	7.11	7.12	6.88	6.92	7780952	57311912.000
09/14/2012	6.97	7.02	6.82	6.86	6481475	47035352.000
09/17/2012	6.94	7.19	6.80	6.80	12917656	95380584.000
09/18/2012	6.67	6.70	6.44	6.50	9268935	64035728.000
09/19/2012	6.54	6.58	6.46	6.53	3686196	25312578.000
09/20/2012	6.51	6.51	6.14	6.19	6316009	41971464.000
09/21/2012	6.16	6.30	6.13	6.13	4029874	26464916.000
09/24/2012	6.13	6.18	5.95	6.10	3004487	19334244.000
09/25/2012	6.10	6.19	6.06	6.13	2402501	15566938.000
09/26/2012	6.08	6.20	5.99	6.00	2585737	16546241.000
09/27/2012	5.97	6.16	5.88	6.10	4638506	29734068.000
09/28/2012	6.06	6.22	6.03	6.21	4450572	28935882.000
10/08/2012	6.21	6.22	6.11	6.16	2616288	17024284.000
10/09/2012	6.15	6.39	6.15	6.34	5916063	39333296.000
10/10/2012	6.31	6.46	6.27	6.45	5402214	36422560.000
10/11/2012	6.44	6.45	6.23	6.25	3814498	25556236.000
10/12/2012	6.22	6.37	6.19	6.35	3751187	24943074.000
10/15/2012	6.35	6.36	6.13	6.18	2590449	16979502.000
10/16/2012	6.18	6.33	6.16	6.24	3115226	20610994.000
10/17/2012	6.24	6.39	6.21	6.30	3273424	21788372.000
10/18/2012	6.30	6.43	6.28	6.39	4630635	31142788.000
10/19/2012	6.40	6.48	6.35	6.43	3302294	22349698.000
10/22/2012	6.36	6.40	6.28	6.36	3405812	22755306.000
10/23/2012	6.36	6.47	6.22	6.25	5551075	36961868.000
10/24/2012	6.22	6.30	6.15	6.17	4818034	31611920.000
10/25/2012	6.17	6.32	6.15	6.21	3228282	21203964.000
10/26/2012	6.18	6.24	5.88	5.94	4798501	30603258.000
10/29/2012	5.97	6.04	5.85	5.88	2510679	15713516.000
10/30/2012	5.88	5.89	5.75	5.78	2708908	16678317.000
10/31/2012	5.77	5.93	5.77	5.92	2248607	14009460.000
11/01/2012	6.00	6.15	5.95	6.09	4302811	27464688.000
11/02/2012	6.09	6.15	6.01	6.14	2250039	14469868.000
11/05/2012	6.14	6.15	6.03	6.08	1874708	12060212.000
11/06/2012	6.08	6.08	5.88	6.00	2132638	13471051.000
11/07/2012	5.97	6.10	5.95	6.01	1840273	11731009.000
11/08/2012	5.97	6.35	5.75	5.80	11708794	74990664.000
11/09/2012	5.77	5.93	5.65	5.87	6243103	38233576.000
