600831 广电网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	10.06	10.14	9.65	9.67	5890162	59123240.000
01/05/2012	9.57	9.63	9.02	9.12	8727914	82054264.000
01/06/2012	9.10	9.27	8.92	9.26	4733770	43522628.000
01/09/2012	9.29	9.69	9.11	9.65	5811658	55503520.000
01/10/2012	9.65	9.99	9.57	9.96	10277048	102182416.000
01/11/2012	9.90	10.19	9.81	9.94	9187218	92891808.000
01/12/2012	9.87	9.97	9.65	9.76	8652262	85824912.000
01/13/2012	9.79	9.79	9.24	9.27	7548336	72113784.000
01/16/2012	9.11	9.19	8.92	8.95	5565026	51022356.000
01/17/2012	9.01	9.53	8.95	9.52	5993298	56254180.000
01/18/2012	9.53	9.66	9.04	9.13	6997315	66626652.000
01/19/2012	9.14	9.21	8.97	9.08	7061766	64814168.000
01/20/2012	9.09	9.37	9.08	9.23	5320908	49806680.000
01/30/2012	9.29	9.35	9.09	9.11	5255808	49068496.000
01/31/2012	9.12	9.43	9.02	9.42	6374316	59669056.000
02/01/2012	9.38	9.45	9.21	9.23	5014802	47276520.000
02/02/2012	9.31	9.51	9.17	9.48	7217153	68365520.000
02/03/2012	9.46	9.71	9.36	9.57	10984679	106370176.000
02/06/2012	9.61	9.63	9.47	9.57	6760634	65241876.000
02/07/2012	9.51	9.62	9.37	9.42	7250818	69574096.000
02/08/2012	9.39	9.62	9.29	9.61	11150906	106731944.000
02/09/2012	9.59	9.74	9.54	9.65	13239618	129301648.000
02/10/2012	9.59	9.72	9.54	9.64	8833861	86150904.000
02/13/2012	9.56	9.85	9.48	9.76	10759463	105460864.000
02/14/2012	9.72	9.75	9.58	9.65	6990676	68130920.000
02/15/2012	9.63	9.91	9.59	9.90	14171366	140355920.000
02/16/2012	10.04	10.22	9.77	9.88	20642729	209101264.000
02/17/2012	9.91	9.96	9.73	9.82	8898895	88294368.000
02/20/2012	10.08	10.08	9.75	9.76	9690369	96947304.000
02/21/2012	9.72	10.33	9.72	10.29	32091005	326170720.000
02/22/2012	10.31	10.47	10.19	10.33	32307931	336973984.000
02/23/2012	10.28	10.49	10.07	10.28	19679510	204632752.000
02/24/2012	10.31	11.28	10.31	10.74	37005017	400554272.000
02/27/2012	10.84	10.99	10.64	10.65	24888929	271493568.000
02/28/2012	10.57	10.73	10.38	10.57	17215563	183490784.000
02/29/2012	10.66	10.87	10.42	10.44	16743543	180330496.000
03/01/2012	10.38	10.61	10.32	10.50	10341131	109491080.000
03/02/2012	10.51	10.71	10.45	10.70	11932301	127749496.000
03/05/2012	10.72	11.03	10.66	10.78	20368665	222872256.000
03/06/2012	10.79	10.99	10.74	10.79	18658129	204418160.000
03/07/2012	10.59	10.72	10.40	10.44	14594344	155762160.000
03/08/2012	10.54	10.87	10.51	10.78	14753445	159489152.000
03/09/2012	10.76	10.99	10.73	10.85	15587964	171128064.000
03/13/2012	10.97	11.09	10.79	11.06	20696859	229248496.000
