600847 万里股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.33	13.33	12.80	12.83	131650	1705132.000
01/05/2012	12.69	12.81	12.41	12.72	28550	361107.000
01/06/2012	12.37	12.68	12.37	12.59	20212	252306.000
01/09/2012	12.55	12.95	12.55	12.93	73300	936832.000
01/10/2012	12.90	13.55	12.90	13.35	317097	4226595.000
01/11/2012	13.69	13.73	13.09	13.46	178850	2389529.000
01/12/2012	13.46	14.13	13.20	14.11	1193912	16719098.000
01/13/2012	14.38	14.38	13.88	14.10	734145	10346479.000
01/16/2012	13.75	14.70	13.60	13.60	583100	8184082.000
01/17/2012	13.32	14.00	13.32	13.99	211700	2927546.000
01/18/2012	13.95	14.18	13.40	13.45	132703	1814686.000
01/19/2012	13.17	13.59	12.83	13.32	520300	6888163.000
01/20/2012	13.10	13.49	13.00	13.43	375090	4933366.000
01/30/2012	13.39	13.77	13.22	13.25	72400	961719.000
01/31/2012	13.10	13.50	12.72	13.18	818801	10786986.000
02/01/2012	13.06	13.30	12.81	13.05	736150	9553814.000
02/02/2012	12.82	13.05	12.72	12.91	280481	3599838.000
02/03/2012	12.91	13.11	12.71	12.97	488039	6325710.000
02/06/2012	13.18	13.18	12.94	13.06	230339	3001284.000
02/07/2012	13.07	13.15	12.80	12.92	220800	2852254.000
02/08/2012	12.80	13.30	12.80	13.26	293289	3848036.000
02/09/2012	13.14	13.38	13.13	13.37	435668	5774376.000
02/10/2012	13.38	13.38	13.17	13.31	195500	2594703.000
02/13/2012	13.29	13.50	12.99	13.48	364699	4842700.000
02/14/2012	13.43	13.58	13.35	13.54	319600	4296133.000
02/15/2012	13.45	13.53	13.35	13.50	313191	4214868.000
02/16/2012	13.41	13.52	13.30	13.44	575890	7723255.000
02/17/2012	13.39	13.49	13.25	13.41	311900	4168203.000
02/20/2012	13.55	13.55	13.25	13.28	304000	4051638.000
02/21/2012	13.28	13.35	12.80	13.02	349148	4547375.000
02/22/2012	13.01	13.50	12.96	13.49	777425	10219451.000
02/23/2012	13.41	13.45	13.20	13.31	384930	5128097.000
02/24/2012	13.33	13.45	13.21	13.37	374678	5002622.000
02/27/2012	13.44	13.95	13.35	13.87	753852	10281021.000
02/28/2012	13.91	13.93	13.68	13.83	672753	9281480.000
02/29/2012	13.95	14.33	13.60	13.61	576766	8070658.000
03/01/2012	13.78	13.97	13.25	13.81	364795	5004924.000
03/02/2012	13.80	13.88	13.73	13.83	202101	2793289.000
03/05/2012	13.81	13.99	13.76	13.81	376370	5228202.000
03/06/2012	13.84	13.87	13.40	13.49	439344	5991891.000
03/07/2012	13.41	13.58	13.30	13.35	261058	3502548.000
03/08/2012	13.35	13.48	13.20	13.38	485286	6469027.000
03/09/2012	13.34	13.46	13.27	13.43	327827	4380158.000
03/12/2012	13.40	13.86	13.40	13.61	424500	5801105.000
03/13/2012	13.73	13.78	13.53	13.74	440684	6021349.000
03/14/2012	13.75	13.84	13.19	13.23	779950	10626750.000
03/15/2012	13.29	13.35	12.81	12.86	440359	5723020.000
03/16/2012	12.71	12.99	12.71	12.95	280652	3614245.000
03/19/2012	12.93	13.18	12.85	13.16	319288	4179029.000
03/20/2012	13.10	13.14	12.65	12.68	209931	2721177.000
03/21/2012	12.75	12.83	12.52	12.69	314214	3982824.000
03/22/2012	12.68	12.99	12.56	12.98	245011	3149761.000
03/23/2012	13.00	13.10	12.82	12.90	315054	4087038.000
