600860 京城股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.07	4.08	3.95	3.96	351380	1411535.000
01/05/2012	3.94	4.00	3.76	3.79	358100	1376154.000
01/06/2012	3.79	3.86	3.66	3.80	303400	1156382.000
01/09/2012	3.93	3.96	3.78	3.95	386390	1510043.000
01/10/2012	3.96	4.12	3.95	4.11	622571	2529214.000
01/11/2012	4.15	4.26	4.10	4.18	916118	3835120.000
01/12/2012	4.24	4.24	4.13	4.18	684999	2861479.000
01/13/2012	4.20	4.21	4.02	4.05	474100	1932364.000
01/16/2012	3.98	4.06	3.97	3.99	245279	987274.000
01/17/2012	3.93	4.19	3.93	4.15	563899	2310048.000
01/18/2012	4.18	4.18	4.05	4.06	657939	2712542.000
01/19/2012	4.06	4.13	4.01	4.11	413401	1681114.000
01/20/2012	4.11	4.17	4.10	4.16	529131	2187754.000
01/30/2012	4.18	4.20	4.09	4.15	571646	2370904.000
01/31/2012	4.11	4.34	4.11	4.30	2305535	9699084.000
02/01/2012	4.25	4.37	4.16	4.20	1576844	6732724.000
02/02/2012	4.18	4.29	4.10	4.24	775572	3249612.000
02/03/2012	4.21	4.44	4.18	4.34	1470342	6399356.000
02/06/2012	4.37	4.49	4.35	4.47	1874294	8311860.000
02/07/2012	4.49	4.62	4.33	4.45	3065972	13804681.000
02/08/2012	4.46	4.50	4.23	4.49	1660402	7264170.000
02/09/2012	4.45	4.53	4.39	4.47	1162140	5184618.000
02/10/2012	4.40	4.50	4.38	4.46	1069794	4751743.000
02/13/2012	4.46	4.65	4.41	4.54	1584940	7215899.000
02/14/2012	4.52	4.62	4.50	4.61	1387216	6329290.000
02/15/2012	4.57	4.84	4.57	4.84	4064390	19519950.000
02/16/2012	4.80	4.84	4.62	4.70	2509847	11895174.000
02/17/2012	4.75	4.83	4.65	4.78	1822539	8644483.000
02/20/2012	4.88	4.90	4.66	4.70	1551810	7355495.000
02/21/2012	4.70	4.79	4.63	4.73	1051462	4964722.000
02/22/2012	4.74	4.78	4.70	4.76	1369080	6489013.000
02/23/2012	4.72	4.93	4.68	4.91	2539998	12169923.000
02/24/2012	4.88	5.10	4.88	5.07	3658763	18290484.000
02/27/2012	5.09	5.22	4.96	5.01	3879386	19440856.000
02/28/2012	5.00	5.00	4.89	4.94	1201630	5928235.000
02/29/2012	4.92	4.97	4.87	4.91	621166	3051131.000
03/01/2012	4.96	4.96	4.89	4.92	541411	2664587.000
03/02/2012	4.93	5.02	4.85	4.98	1670666	8255502.000
03/05/2012	4.99	5.07	4.94	4.98	1912544	9553683.000
03/06/2012	5.00	5.00	4.80	4.92	1713100	8358410.000
03/07/2012	4.87	5.14	4.81	5.09	3633315	18202996.000
03/08/2012	5.08	5.32	5.05	5.27	4062911	21197332.000
03/09/2012	5.27	5.41	5.22	5.40	3864843	20667760.000
03/12/2012	5.43	5.64	5.26	5.50	5062183	27790972.000
03/13/2012	5.49	5.65	5.37	5.38	3604476	19794340.000
03/14/2012	5.38	5.44	5.11	5.13	2027426	10680641.000
03/15/2012	5.13	5.24	4.90	5.16	1467874	7521474.000
03/16/2012	5.10	5.15	5.00	5.11	1606423	8135762.000
03/19/2012	5.12	5.35	5.06	5.34	4196946	22216948.000
03/20/2012	5.29	5.45	5.25	5.36	3226400	17400590.000
03/21/2012	5.31	5.52	5.30	5.34	2493468	13486063.000
03/22/2012	5.32	5.45	5.15	5.41	2231049	11786185.000
03/23/2012	5.41	5.47	5.27	5.28	2381392	12845655.000
03/26/2012	5.29	5.29	5.18	5.23	677150	3539321.000
03/27/2012	5.25	5.36	5.18	5.20	715469	3753489.000
03/28/2012	5.20	5.20	4.94	4.94	1358876	6797112.000
03/29/2012	4.93	4.93	4.69	4.69	1537900	7326179.000
03/30/2012	4.69	4.72	4.60	4.72	611235	2833619.000
04/05/2012	4.71	4.95	4.48	4.87	1945736	9492393.000
04/06/2012	4.95	5.09	4.83	4.95	2123721	10643489.000
07/06/2012	5.20	5.20	5.20	5.20	42303	219976.000
07/09/2012	5.46	5.46	5.46	5.46	20101	109751.000
07/10/2012	5.73	5.73	5.73	5.73	126251	723418.000
07/11/2012	6.02	6.02	5.82	6.02	1812846	10889955.000
07/12/2012	6.29	6.29	5.72	5.72	8208964	48468216.000
07/13/2012	5.70	5.70	5.44	5.59	1697724	9468521.000
07/16/2012	5.59	5.63	5.31	5.31	1549714	8364638.000
07/17/2012	5.31	5.45	5.15	5.35	1186500	6304558.000
07/18/2012	5.35	5.35	5.08	5.26	1562909	8139576.000
07/19/2012	5.28	5.43	5.12	5.36	1551620	8203833.000
07/20/2012	5.33	5.41	5.21	5.27	911611	4845826.000
07/23/2012	5.21	5.23	5.06	5.10	693766	3543554.000
07/24/2012	5.05	5.20	5.05	5.13	532690	2743379.000
07/25/2012	5.11	5.16	5.01	5.01	1228401	6230853.000
07/26/2012	5.05	5.05	4.94	5.04	866010	4330548.000
07/27/2012	4.95	5.00	4.79	4.79	1697575	8196768.000
07/30/2012	4.55	4.55	4.55	4.55	158700	722085.000
07/31/2012	4.32	4.32	4.32	4.32	65500	282960.000
08/01/2012	4.10	4.32	4.10	4.15	3020965	12431968.000
08/02/2012	4.15	4.15	3.94	4.09	1347326	5455482.000
08/03/2012	4.08	4.09	3.89	3.94	2384147	9332524.000
08/06/2012	3.94	4.09	3.94	4.06	1119153	4471130.000
08/07/2012	4.04	4.21	3.89	4.15	1663534	6836593.000
08/08/2012	4.14	4.17	4.07	4.14	1514343	6214376.000
08/09/2012	4.10	4.23	4.10	4.16	2552956	10597829.000
08/10/2012	4.11	4.21	4.07	4.15	1662480	6919619.000
08/13/2012	4.15	4.25	4.15	4.16	1741120	7287513.000
08/14/2012	4.15	4.16	4.02	4.12	1233810	5048035.000
08/15/2012	4.14	4.20	4.03	4.12	1421666	5847832.000
