600867 通化东宝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.15	4.24	4.02	4.03	6251512	52685812.000
01/05/2012	4.03	4.06	3.56	3.64	11994410	93776400.000
01/06/2012	3.62	3.72	3.45	3.71	7030072	52377492.000
01/09/2012	3.74	3.88	3.64	3.87	10681966	83449704.000
01/10/2012	3.88	4.02	3.82	4.01	11848642	95714280.000
01/11/2012	4.00	4.09	3.95	3.99	9224646	75386080.000
01/12/2012	3.99	4.04	3.96	3.99	5992070	48908936.000
01/13/2012	3.97	4.01	3.68	3.75	8364376	65729616.000
01/16/2012	3.75	3.80	3.60	3.60	4605987	35264164.000
01/17/2012	3.57	3.88	3.56	3.87	7229007	55844528.000
01/18/2012	3.88	3.97	3.76	3.80	6719944	53272896.000
01/19/2012	3.83	3.89	3.73	3.81	8613204	67735136.000
01/20/2012	3.85	3.92	3.80	3.91	7329855	58205460.000
01/30/2012	3.91	3.93	3.83	3.85	6018811	47805676.000
01/31/2012	3.85	3.87	3.77	3.82	5064247	39616876.000
02/01/2012	3.81	3.86	3.77	3.80	5675429	44493264.000
02/02/2012	3.79	3.84	3.73	3.84	8885463	69252352.000
02/03/2012	3.84	3.92	3.80	3.91	10705329	85142880.000
02/06/2012	3.91	3.97	3.89	3.97	10186736	81958144.000
02/07/2012	3.95	3.97	3.82	3.84	7748562	61663128.000
02/08/2012	3.84	3.99	3.81	3.99	8980033	72034936.000
02/09/2012	3.99	4.13	3.96	4.06	14694909	121156368.000
02/10/2012	4.07	4.12	4.01	4.04	9531266	78761032.000
02/13/2012	4.00	4.14	3.98	4.08	9575214	79499096.000
02/14/2012	4.08	4.11	4.03	4.10	6520671	54012860.000
02/15/2012	4.08	4.16	4.03	4.15	10201622	85318504.000
02/16/2012	4.14	4.27	4.11	4.18	12087211	102678616.000
02/17/2012	4.18	4.22	4.08	4.11	7117466	59720088.000
02/20/2012	4.17	4.19	4.08	4.11	8602758	72075160.000
02/21/2012	4.11	4.14	4.03	4.14	6786176	56366692.000
02/22/2012	4.12	4.22	4.08	4.21	12681331	106881432.000
02/23/2012	4.20	4.24	4.15	4.20	9478317	80531384.000
02/24/2012	4.20	4.28	4.18	4.27	11965947	102770976.000
02/27/2012	4.29	4.34	4.24	4.26	15402107	133377336.000
02/28/2012	4.23	4.26	4.14	4.20	9735440	82926536.000
02/29/2012	4.20	4.26	4.15	4.15	7024888	59860976.000
03/01/2012	4.13	4.20	4.13	4.17	5341277	45176400.000
03/02/2012	4.17	4.30	4.16	4.28	8294427	71336144.000
03/05/2012	4.30	4.32	4.26	4.28	8447191	73148200.000
03/06/2012	4.27	4.27	4.16	4.19	7269360	61881032.000
03/07/2012	4.14	4.22	4.12	4.15	6499566	54983728.000
03/08/2012	4.18	4.34	4.16	4.33	13929939	120425672.000
03/09/2012	4.39	4.39	4.28	4.34	10828308	94467728.000
03/12/2012	4.34	4.43	4.33	4.43	14474250	128297792.000
03/13/2012	4.45	4.45	4.32	4.40	9511691	83922144.000
03/14/2012	4.43	4.43	4.06	4.07	17181444	148535152.000
03/15/2012	4.07	4.13	3.93	4.06	9989846	82240984.000
03/16/2012	4.08	4.18	4.06	4.17	8705264	72978216.000
03/19/2012	4.21	4.37	4.15	4.31	12897927	111999200.000
03/20/2012	4.28	4.35	4.15	4.16	10263876	88036736.000
03/21/2012	4.18	4.23	4.10	4.16	6163787	52024852.000
03/22/2012	4.16	4.19	4.11	4.12	4471984	37591804.000
03/23/2012	4.12	4.19	4.07	4.10	5593253	46794120.000
03/26/2012	4.11	4.12	4.04	4.08	2950226	24436396.000
03/27/2012	4.13	4.13	4.06	4.07	3071958	25569190.000
03/28/2012	4.05	4.06	3.82	3.84	7434749	59586516.000
03/29/2012	3.79	3.85	3.72	3.78	4642157	36252032.000
03/30/2012	3.76	3.82	3.73	3.76	3243710	25184168.000
04/05/2012	3.78	3.89	3.75	3.88	4323284	34159452.000
04/06/2012	3.88	3.93	3.85	3.88	2925151	23314964.000
04/09/2012	3.87	3.88	3.79	3.80	3692843	28952934.000
04/10/2012	3.79	3.83	3.62	3.80	5761214	44318288.000
04/11/2012	3.79	3.83	3.69	3.83	4259923	33125392.000
04/12/2012	3.83	3.93	3.82	3.92	5954794	47481400.000
04/13/2012	3.93	4.04	3.89	4.01	7335373	59426752.000
04/16/2012	3.96	4.00	3.92	3.97	4133451	33441112.000
04/17/2012	3.97	4.07	3.93	3.94	5442125	44338104.000
04/18/2012	4.04	4.17	4.04	4.06	11997654	99777080.000
04/19/2012	4.02	4.19	4.01	4.15	11418120	95935624.000
04/20/2012	4.16	4.16	4.06	4.13	7228226	60380948.000
04/23/2012	4.10	4.12	3.99	4.00	6510238	53673384.000
04/24/2012	3.97	4.08	3.86	3.95	6432335	52047964.000
04/25/2012	3.96	4.01	3.93	4.00	5213086	42271080.000
04/26/2012	4.00	4.05	3.97	4.00	3705592	30242216.000
04/27/2012	3.99	4.01	3.87	3.88	5877280	47108408.000
05/02/2012	3.97	3.99	3.93	3.97	5782644	46840816.000
05/03/2012	3.99	4.10	3.97	4.08	7232020	59645236.000
05/04/2012	4.07	4.08	4.00	4.04	4556379	37534584.000
05/07/2012	4.02	4.12	4.00	4.12	6456569	53631492.000
05/08/2012	4.14	4.14	4.04	4.07	5070724	42059928.000
05/10/2012	3.99	4.12	3.95	4.03	5752444	47509100.000
05/11/2012	4.02	4.06	3.97	4.01	4275816	35010332.000
05/14/2012	4.05	4.16	3.99	4.06	12176819	101276560.000
05/15/2012	4.03	4.03	3.87	3.95	8171535	65725260.000
05/16/2012	3.93	3.93	3.85	3.86	3976415	31710002.000
05/17/2012	3.88	3.96	3.82	3.93	3991788	31830720.000
05/18/2012	3.89	3.90	3.80	3.84	4831355	38115096.000
05/21/2012	3.80	3.87	3.79	3.84	2197491	17284840.000
05/22/2012	3.87	3.91	3.84	3.90	2297830	18311908.000
05/23/2012	3.90	3.92	3.85	3.87	2908910	23143780.000
05/24/2012	3.86	3.89	3.79	3.81	3563085	28057386.000
05/25/2012	3.81	3.82	3.69	3.71	4409692	34008780.000
05/28/2012	3.69	3.78	3.66	3.77	2761521	21219054.000
05/29/2012	3.78	3.85	3.73	3.83	4831849	37772224.000
05/30/2012	3.83	3.87	3.80	3.81	2968485	23349796.000
05/31/2012	3.79	3.85	3.77	3.80	3395834	26678964.000
06/01/2012	3.85	3.85	3.79	3.80	2736156	21465296.000
06/04/2012	3.72	3.76	3.68	3.69	3270774	25086338.000
06/05/2012	3.70	3.76	3.66	3.70	2862398	21906748.000
06/06/2012	3.71	3.76	3.66	3.68	1913478	14636293.000
06/07/2012	3.73	3.73	3.61	3.62	2756523	20880720.000
06/08/2012	3.66	3.68	3.58	3.59	3288880	24691880.000
06/11/2012	3.56	3.66	3.56	3.66	2225787	16717985.000
06/12/2012	3.64	3.66	3.61	3.63	2128129	16030281.000
06/13/2012	3.66	3.72	3.63	3.71	4121347	31450750.000
06/14/2012	3.72	3.75	3.68	3.70	2996481	22371102.000
06/15/2012	3.72	3.87	3.72	3.82	6351850	48452404.000
06/18/2012	3.88	4.02	3.85	4.00	13167683	103818088.000
06/19/2012	4.07	4.13	3.95	3.95	12677224	101554720.000
06/20/2012	3.96	3.99	3.84	3.88	7303409	56754384.000
06/21/2012	3.89	3.91	3.82	3.88	4003961	30925570.000
06/25/2012	3.88	3.89	3.81	3.81	3764426	28968742.000
06/26/2012	3.82	3.83	3.72	3.81	3130103	23693220.000
06/27/2012	3.83	3.84	3.75	3.76	2906568	22110956.000
06/28/2012	3.78	3.82	3.73	3.74	2861222	21653768.000
06/29/2012	3.73	3.91	3.70	3.90	7964264	61310728.000
07/02/2012	3.92	4.03	3.89	3.97	9753239	77492304.000
07/03/2012	3.99	4.04	3.90	3.92	5983289	47264456.000
07/04/2012	3.93	4.04	3.92	4.03	9714711	77261968.000
07/05/2012	3.99	4.02	3.88	3.95	4967981	39136096.000
07/06/2012	3.96	4.07	3.83	4.04	8883401	70321976.000
07/09/2012	4.00	4.16	3.97	3.98	15931778	129181280.000
07/10/2012	3.95	4.05	3.92	4.02	6070104	48189416.000
07/11/2012	4.02	4.07	3.92	4.05	6896675	54949364.000
07/12/2012	4.03	4.15	3.98	4.11	12354172	100534568.000
07/13/2012	4.08	4.14	4.01	4.06	7024081	56782916.000
07/16/2012	4.07	4.12	3.95	4.00	7524223	60298796.000
07/17/2012	3.95	3.97	3.79	3.86	8032743	61954488.000
07/18/2012	3.86	3.91	3.80	3.89	4691341	36162384.000
07/19/2012	3.91	4.05	3.88	3.99	8741521	69527080.000
07/20/2012	3.99	4.06	3.99	4.02	5471880	43781188.000
07/23/2012	4.00	4.07	3.98	4.06	6190747	49674224.000
07/24/2012	4.02	4.13	4.00	4.12	6897649	56009916.000
07/25/2012	4.10	4.12	4.03	4.05	6533727	52863124.000
07/26/2012	4.03	4.21	4.03	4.14	12875109	105867168.000
07/27/2012	4.14	4.16	4.05	4.11	6951320	56525076.000
07/30/2012	4.10	4.11	4.01	4.06	5001971	40312580.000
07/31/2012	4.02	4.04	3.96	3.97	3126561	24839172.000
08/01/2012	3.98	4.11	3.96	4.06	5019228	40491476.000
08/02/2012	4.07	4.18	4.04	4.10	6099069	49854992.000
08/03/2012	4.11	4.15	4.05	4.15	3943009	32158844.000
08/06/2012	4.12	4.41	4.11	4.41	20894749	178106016.000
08/07/2012	4.40	4.42	4.30	4.42	10248697	88230384.000
08/08/2012	4.38	4.41	4.31	4.32	5639575	48297288.000
