600870 厦华电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.96	4.04	3.88	3.92	1785900	7034833.000
01/05/2012	3.92	3.96	3.73	3.77	2184803	8319631.000
01/06/2012	3.80	3.84	3.58	3.81	3844807	13942370.000
01/09/2012	3.79	4.00	3.67	4.00	2944505	11402439.000
01/10/2012	4.05	4.15	3.99	4.13	4577201	18636020.000
01/11/2012	4.14	4.16	4.02	4.09	3440151	14001165.000
01/12/2012	4.09	4.10	4.02	4.08	1876263	7605574.000
01/13/2012	4.08	4.08	3.88	3.89	3112700	12200163.000
01/16/2012	3.94	3.94	3.70	3.70	2053200	7804409.000
01/17/2012	3.72	3.88	3.57	3.84	3017485	11284713.000
01/18/2012	3.81	3.85	3.73	3.81	2833495	10709306.000
01/19/2012	3.79	3.85	3.76	3.84	2329002	8832675.000
01/20/2012	3.86	3.87	3.76	3.86	2592600	9907724.000
01/30/2012	3.88	3.92	3.80	3.91	3163600	12222541.000
01/31/2012	3.94	4.05	3.86	4.04	3916498	15594346.000
02/01/2012	4.05	4.12	3.93	4.01	4183831	16880104.000
02/02/2012	4.07	4.07	3.95	4.04	3194878	12826232.000
02/03/2012	4.04	4.19	4.01	4.17	5498068	22617404.000
02/06/2012	4.16	4.28	4.15	4.25	5442161	22846508.000
02/07/2012	4.26	4.28	4.04	4.18	4983602	20539288.000
02/08/2012	4.17	4.34	4.10	4.33	5350204	22803450.000
02/09/2012	4.30	4.37	4.28	4.34	4201191	18130476.000
02/10/2012	4.34	4.36	4.26	4.34	3303091	14236552.000
02/13/2012	4.35	4.37	4.26	4.34	3693558	15993951.000
02/14/2012	4.33	4.38	4.30	4.36	4400071	19090188.000
02/15/2012	4.39	4.55	4.37	4.48	4303508	19267196.000
02/16/2012	4.50	4.51	4.34	4.36	3626300	15960091.000
02/17/2012	4.40	4.46	4.28	4.33	2018864	8756610.000
02/20/2012	4.40	4.41	4.33	4.35	2205711	9642726.000
02/21/2012	4.37	4.38	4.25	4.37	1955373	8473081.000
02/22/2012	4.39	4.48	4.35	4.47	4650298	20528888.000
02/23/2012	4.47	4.54	4.38	4.44	2735675	12159456.000
02/24/2012	4.42	4.47	4.36	4.44	4085835	17992732.000
02/27/2012	4.44	4.54	4.42	4.48	4805315	21541458.000
02/28/2012	4.47	4.47	4.35	4.40	2854860	12571993.000
02/29/2012	4.41	4.41	4.30	4.32	1922325	8359527.000
03/01/2012	4.30	4.39	4.27	4.35	2122743	9184794.000
03/02/2012	4.38	4.39	4.30	4.39	2127950	9265117.000
03/05/2012	4.39	4.61	4.35	4.61	5847123	26368436.000
03/06/2012	4.62	4.84	4.60	4.68	8058538	37895244.000
03/08/2012	4.66	4.66	4.52	4.61	3587571	16445318.000
03/09/2012	4.61	4.62	4.55	4.60	2153387	9859084.000
03/12/2012	4.56	4.60	4.51	4.55	2120650	9640626.000
03/13/2012	4.55	4.58	4.49	4.58	2292578	10408311.000
03/14/2012	4.60	4.61	4.35	4.35	3956777	17636880.000
03/15/2012	4.27	4.33	4.13	4.13	2530850	10582542.000
03/16/2012	4.21	4.21	4.08	4.20	2601521	10817001.000
03/19/2012	4.22	4.25	4.15	4.24	2498976	10481843.000
03/20/2012	4.23	4.30	4.18	4.21	3622275	15361351.000
03/21/2012	4.21	4.21	4.08	4.15	2178808	9021338.000
03/22/2012	4.16	4.16	4.05	4.13	1932797	7940807.000
03/23/2012	4.12	4.16	4.03	4.11	1808210	7413127.000
03/26/2012	4.10	4.14	4.06	4.13	1242163	5109255.000
03/27/2012	4.15	4.17	4.09	4.13	1522240	6274618.000
03/28/2012	4.13	4.13	3.92	3.98	2188199	8686856.000
03/29/2012	3.93	3.94	3.80	3.86	2175499	8392678.000
03/30/2012	3.87	3.90	3.80	3.88	1723710	6633670.000
04/05/2012	3.89	3.97	3.80	3.96	1961718	7640094.000
04/06/2012	3.96	4.01	3.93	4.01	1985879	7881832.000
04/09/2012	3.99	4.03	3.96	4.02	1267549	5072969.000
04/10/2012	4.02	4.10	3.97	4.09	2252032	9104734.000
04/11/2012	4.06	4.10	4.00	4.10	1454299	5900577.000
04/12/2012	4.07	4.24	4.07	4.22	1993913	8344241.000
04/13/2012	4.23	4.26	4.14	4.25	1528258	6417884.000
04/16/2012	4.23	4.26	4.17	4.24	1202900	5073551.000
04/17/2012	4.25	4.25	4.12	4.16	876900	3664267.000
04/18/2012	4.16	4.27	4.13	4.25	2084449	8773185.000
04/19/2012	4.27	4.27	4.21	4.23	1048192	4436363.000
04/20/2012	4.23	4.29	4.20	4.28	1624995	6903741.000
04/23/2012	4.28	4.29	4.21	4.24	1396546	5921550.000
04/24/2012	4.23	4.24	4.03	4.14	3499810	14360447.000
04/25/2012	4.14	4.20	4.09	4.18	1449861	6035363.000
04/26/2012	4.19	4.20	4.12	4.17	2251969	9371092.000
04/27/2012	4.15	4.18	4.06	4.17	1884883	7786325.000
05/02/2012	4.00	4.00	3.96	3.96	1661200	6582418.000
