600891 秋林集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.74	7.95	7.40	7.41	989692	7794373.000
01/05/2012	7.41	7.46	6.89	6.90	1344088	9996033.000
01/06/2012	6.85	6.99	6.66	6.94	1406316	9953862.000
01/09/2012	6.91	7.25	6.86	7.22	1628628	12037450.000
01/10/2012	7.22	7.97	7.10	7.97	3960009	31991992.000
01/11/2012	7.97	8.56	7.93	8.17	6615908	55816400.000
01/12/2012	7.95	8.15	7.90	8.10	2806841	23277564.000
01/13/2012	8.10	8.13	7.60	7.84	2241366	18234380.000
01/16/2012	7.72	7.92	7.66	7.71	1216579	9795922.000
01/17/2012	7.74	8.42	7.71	8.21	3221026	26834744.000
01/18/2012	8.20	8.34	7.95	8.04	2110346	17699992.000
01/19/2012	8.03	8.56	7.90	8.19	2188266	18628170.000
01/20/2012	8.16	8.31	8.13	8.28	1578601	13394668.000
01/30/2012	8.38	8.71	8.36	8.41	3607252	31765140.000
01/31/2012	8.30	8.48	8.30	8.41	1354108	11672018.000
02/01/2012	8.35	8.46	8.18	8.27	1360104	11672359.000
02/02/2012	8.34	8.67	8.24	8.53	2271321	19761002.000
02/03/2012	8.51	8.78	8.43	8.59	2891658	25681380.000
02/06/2012	8.70	8.72	8.54	8.62	2318824	20555784.000
02/07/2012	8.55	8.55	8.22	8.27	2225182	19131630.000
02/08/2012	8.21	8.50	8.20	8.48	2771539	23865298.000
02/09/2012	8.46	8.55	8.39	8.46	2020675	17640318.000
02/10/2012	8.45	9.25	8.44	8.85	5378443	49230096.000
02/13/2012	8.70	8.88	8.55	8.81	3304637	29690998.000
02/14/2012	8.76	9.26	8.71	9.01	3533255	32713272.000
02/15/2012	8.94	9.22	8.93	9.13	2656728	24817828.000
02/16/2012	9.11	10.07	9.05	9.92	8685787	86871728.000
02/17/2012	9.88	10.03	9.60	9.62	4375297	43789028.000
02/20/2012	9.65	9.92	9.36	9.41	5254429	51875164.000
02/21/2012	9.35	9.49	9.17	9.45	2818559	27058004.000
02/22/2012	9.40	9.57	9.38	9.52	3449060	33538150.000
02/23/2012	9.45	10.43	9.34	10.07	7621803	77208192.000
02/24/2012	9.97	10.01	9.69	9.80	5827642	58686452.000
02/27/2012	9.25	9.75	9.13	9.47	16662521	161173840.000
02/28/2012	9.30	9.39	8.93	8.96	11515127	107636280.000
02/29/2012	8.92	9.11	8.77	8.89	5759509	53019048.000
03/01/2012	8.81	9.18	8.78	9.13	9170005	84846336.000
03/02/2012	9.04	9.23	9.04	9.20	4697548	44132508.000
03/05/2012	9.21	9.32	9.17	9.21	5877875	55752752.000
03/06/2012	9.16	9.24	9.00	9.03	3436205	32019140.000
03/07/2012	8.99	9.09	8.72	8.78	4354272	39893336.000
03/08/2012	8.82	8.97	8.75	8.87	3056238	27916736.000
03/09/2012	8.87	9.05	8.87	9.04	3786064	34876616.000
03/12/2012	9.05	9.17	8.96	9.05	4551565	42371720.000
03/13/2012	9.07	9.10	8.95	9.08	3932646	36539708.000
03/14/2012	9.11	9.24	8.50	8.66	9029451	83309328.000
03/15/2012	8.66	8.71	8.09	8.11	6264059	53821128.000
03/16/2012	8.15	8.31	8.06	8.30	3219751	27225360.000
03/19/2012	8.25	8.50	8.23	8.41	3203878	27700684.000
03/20/2012	8.41	8.60	8.24	8.24	3192850	27583018.000
03/21/2012	8.30	8.35	7.93	8.12	4184015	34938304.000
03/22/2012	8.07	8.13	7.91	8.01	3403422	28090056.000
03/23/2012	7.96	8.35	7.92	7.97	2977863	24711590.000
03/26/2012	7.93	8.04	7.75	7.81	2437952	19702588.000
03/27/2012	7.85	7.97	7.72	7.77	2739679	22145700.000
03/28/2012	7.66	7.77	7.26	7.29	3720840	28805056.000
03/29/2012	7.29	7.41	7.15	7.34	3031101	22843516.000
03/30/2012	7.27	7.39	7.11	7.19	2246925	16863648.000
04/05/2012	7.21	7.42	7.20	7.36	1952825	14824615.000
04/06/2012	7.36	7.61	7.35	7.47	2588399	20064404.000
04/09/2012	7.47	7.75	7.40	7.70	4132357	32483916.000
04/10/2012	7.66	7.83	7.50	7.71	3311318	26155868.000
04/11/2012	7.60	8.09	7.56	8.07	6498831	52995896.000
04/12/2012	8.15	8.15	7.97	8.07	5195178	43132336.000
04/13/2012	7.97	8.65	7.97	8.48	10666016	92340984.000
04/16/2012	8.34	8.52	8.21	8.35	5484018	47132628.000
04/17/2012	8.35	8.50	8.22	8.22	4707965	40347192.000
04/18/2012	8.20	8.33	8.09	8.32	4125791	35079416.000
04/19/2012	8.29	8.31	8.15	8.20	3093089	26178832.000
04/20/2012	8.20	8.27	8.17	8.19	2748152	23265088.000
04/23/2012	8.22	8.24	7.72	7.76	4983347	40776352.000
04/24/2012	7.67	7.82	7.28	7.52	4474724	34738628.000
04/25/2012	7.51	7.76	7.44	7.73	2707556	21439756.000
04/26/2012	7.76	7.96	7.73	7.94	3357530	27323698.000
04/27/2012	7.96	7.96	7.77	7.85	2202022	17815644.000
05/02/2012	7.97	8.13	7.88	7.98	3002410	24745976.000
05/03/2012	7.97	8.00	7.81	7.83	3209564	26129948.000
05/04/2012	7.82	8.10	7.81	8.09	4237451	34936736.000
05/07/2012	8.09	8.21	8.01	8.17	5323193	44516784.000
05/08/2012	8.10	8.52	8.02	8.30	7908889	67014376.000
05/09/2012	8.21	8.34	8.05	8.13	5561009	47055960.000
05/10/2012	8.07	8.22	7.96	7.97	3394670	28180564.000
05/11/2012	7.97	8.11	7.91	8.09	3181982	26355696.000
05/14/2012	8.13	8.33	8.07	8.15	5084365	43012128.000
05/15/2012	8.14	8.17	7.93	8.16	2563321	21286176.000
05/16/2012	8.16	8.48	8.12	8.24	5651685	48420176.000
05/17/2012	8.43	8.52	8.24	8.40	6112541	52761216.000
05/18/2012	8.34	8.39	7.91	7.93	4758751	39837576.000
05/21/2012	7.90	8.00	7.70	7.92	2424513	19681764.000
05/22/2012	8.11	8.21	7.96	8.00	2341504	19459156.000
05/23/2012	7.95	8.02	7.78	7.85	2535126	20571844.000
05/24/2012	7.90	7.91	7.75	7.77	1499768	12101499.000
05/25/2012	7.80	7.95	7.78	7.90	2133671	17335060.000
05/28/2012	7.90	7.99	7.76	7.95	2371316	19317800.000
05/29/2012	7.95	8.13	7.90	8.05	2754474	22756518.000
05/30/2012	7.97	8.13	7.97	8.08	2458306	20417538.000
05/31/2012	8.04	8.09	7.95	8.00	1936843	15992569.000
06/01/2012	8.05	8.44	7.98	8.39	7686305	65447832.000
06/04/2012	8.29	8.41	8.05	8.06	6029280	51270832.000
06/05/2012	8.00	8.07	7.82	7.92	3407760	27842968.000
06/06/2012	7.97	8.27	7.91	8.17	4024244	33701800.000
06/07/2012	8.20	9.00	8.13	8.59	15871035	140489872.000
06/08/2012	8.59	9.40	8.45	9.15	20924131	192567776.000
06/11/2012	8.95	9.18	8.80	9.14	13296924	122998632.000
06/12/2012	9.03	9.19	8.80	9.03	8894660	81950616.000
06/13/2012	9.03	9.09	8.88	8.99	7622493	70270528.000
06/14/2012	8.99	9.03	8.62	8.67	9145083	82616376.000
06/15/2012	8.70	8.78	8.50	8.69	5602435	49789096.000
06/18/2012	8.71	8.91	8.66	8.82	5033750	45604316.000
06/19/2012	8.76	8.81	8.53	8.55	4183191	37128472.000
06/20/2012	8.53	8.67	8.50	8.55	2697155	23834148.000
06/21/2012	8.59	8.59	8.24	8.31	3754057	32234972.000
06/25/2012	8.28	8.29	7.81	7.87	3385050	28157468.000
06/27/2012	7.94	8.02	7.66	7.75	4166481	33834872.000
06/28/2012	7.76	7.83	7.50	7.51	4078945	31997280.000
06/29/2012	7.40	7.63	7.39	7.62	2159633	16855468.000
07/02/2012	7.65	7.95	7.60	7.86	3029965	24359372.000
07/03/2012	7.85	7.91	7.77	7.79	1838940	14871395.000
07/04/2012	7.82	7.90	7.68	7.79	1612264	12956351.000
07/05/2012	7.75	7.75	7.48	7.50	2034423	15860677.000
07/06/2012	7.63	7.70	7.44	7.69	1898420	14856884.000
07/09/2012	7.68	7.72	7.39	7.48	2041357	15867691.000
07/10/2012	7.40	7.54	7.29	7.41	1421099	10903010.000
07/11/2012	7.43	7.55	7.42	7.49	1146005	8870640.000
07/12/2012	7.42	7.67	7.41	7.64	1713588	13399644.000
07/13/2012	7.67	7.82	7.58	7.72	1970711	15716800.000
07/16/2012	7.68	7.78	7.42	7.49	1678612	13122823.000
07/17/2012	7.46	7.79	7.40	7.79	2458891	19389864.000
07/18/2012	7.79	7.81	7.62	7.79	1720282	13667792.000
07/19/2012	7.77	8.03	7.71	7.87	3000896	24433204.000
07/20/2012	7.82	7.90	7.54	7.61	2127905	16976640.000
07/23/2012	7.54	7.54	7.33	7.46	1344343	10314175.000
07/24/2012	7.44	7.55	7.41	7.51	880177	6803050.000
07/25/2012	7.54	8.13	7.45	7.80	3304498	26789540.000
07/26/2012	7.75	7.83	7.66	7.75	1433595	11439908.000
07/27/2012	7.75	8.00	7.70	7.83	2184212	17750584.000
07/30/2012	7.80	7.94	7.46	7.53	1721193	13716981.000
07/31/2012	7.47	7.54	7.25	7.39	1350321	10324858.000
08/01/2012	7.41	7.57	7.36	7.49	1022672	7893431.000
08/02/2012	7.48	7.50	7.29	7.35	1518636	11586396.000
08/03/2012	7.36	7.53	7.33	7.48	979379	7521340.000
08/06/2012	7.50	7.64	7.45	7.61	1329294	10381867.000
08/07/2012	7.61	7.74	7.60	7.68	1397435	11081292.000
08/08/2012	7.68	7.73	7.56	7.63	1645295	12984056.000
08/09/2012	7.60	7.73	7.60	7.70	1802443	14271127.000
08/10/2012	7.69	7.88	7.63	7.71	1685047	13459357.000
08/13/2012	7.65	7.87	7.61	7.64	2264467	18178754.000
08/14/2012	7.63	7.74	7.40	7.63	1792396	13966150.000
08/15/2012	7.51	7.69	7.47	7.60	1137724	8916629.000
08/16/2012	7.61	7.61	7.15	7.17	3475946	26240478.000
08/17/2012	7.16	7.17	6.95	7.14	1957455	14284429.000
08/20/2012	7.12	7.13	7.00	7.13	1040484	7566995.000
08/21/2012	7.15	7.25	7.06	7.18	1192176	8805153.000
08/22/2012	7.28	7.28	7.07	7.12	1079949	7936722.000
08/23/2012	7.14	7.28	7.14	7.27	1776176	13183946.000
08/24/2012	7.27	7.28	7.05	7.08	1435389	10535631.000
08/27/2012	7.05	7.05	6.81	6.83	1759014	12494904.000
08/28/2012	6.81	6.95	6.81	6.87	1100947	7797489.000
08/29/2012	6.84	6.95	6.82	6.82	1013200	7167678.000
08/30/2012	6.83	6.88	6.64	6.70	963638	6705325.000
08/31/2012	6.66	6.88	6.66	6.85	1160909	8134336.000
09/03/2012	6.85	7.00	6.83	6.93	1335223	9522828.000
09/04/2012	6.92	6.96	6.76	6.77	1019759	7205856.000
09/05/2012	6.80	6.89	6.74	6.83	660040	4637680.000
09/06/2012	6.91	6.92	6.79	6.85	1011152	7114514.000
09/07/2012	6.90	7.20	6.87	7.09	2768982	20097716.000
09/10/2012	7.10	7.39	7.07	7.21	2678319	19946618.000
09/11/2012	7.20	7.25	7.06	7.23	1587353	11632533.000
09/12/2012	7.23	7.35	7.15	7.23	1357273	10072329.000
09/13/2012	7.29	7.29	7.01	7.03	2175170	15995388.000
09/14/2012	7.20	7.39	7.13	7.17	2752908	20442070.000
09/17/2012	7.08	7.25	7.06	7.06	2128489	15644477.000
09/18/2012	7.00	7.05	6.82	6.89	1817780	12935939.000
09/19/2012	6.94	7.40	6.85	7.37	5809806	42978064.000
09/20/2012	7.28	8.13	7.22	7.82	21737749	175919104.000
09/21/2012	7.58	8.23	7.58	8.01	19205205	156984368.000
09/24/2012	7.80	7.89	7.52	7.73	8816760	69426520.000
09/25/2012	7.65	7.68	7.45	7.59	5917689	45878788.000
09/26/2012	7.51	7.59	7.06	7.08	5571919	41890308.000
09/27/2012	6.99	7.49	6.78	7.15	7890555	57657020.000
09/28/2012	7.15	7.37	7.03	7.25	5428485	40401504.000
10/08/2012	7.20	7.26	6.93	7.03	4912016	35602760.000
10/09/2012	7.05	7.32	7.05	7.26	4881050	36105912.000
10/10/2012	7.20	7.48	7.20	7.44	4724105	35518696.000
10/11/2012	7.38	7.68	7.32	7.54	7255129	55994752.000
10/12/2012	7.49	7.57	7.25	7.40	4018509	30452196.000
10/15/2012	7.35	7.35	7.16	7.33	2687455	20040124.000
10/16/2012	7.28	7.39	7.25	7.34	2034120	15284884.000
