600961 株冶集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.33	9.40	8.80	8.82	3432868	31234810.000
01/05/2012	8.77	8.88	8.41	8.45	3775471	32569438.000
01/06/2012	8.30	8.66	8.30	8.60	2825128	23963588.000
01/09/2012	8.60	9.08	8.50	9.05	5273851	47019544.000
01/10/2012	9.09	9.80	9.01	9.68	9321137	88262064.000
01/11/2012	9.60	10.13	9.48	9.88	11270710	110610384.000
01/12/2012	9.86	10.59	9.76	10.30	12560991	128479504.000
01/13/2012	10.28	10.59	9.90	10.09	10190629	104032600.000
01/16/2012	9.91	9.94	9.35	9.39	6916622	66986156.000
01/17/2012	9.57	10.33	9.39	10.33	10984566	110809392.000
01/18/2012	10.59	10.80	10.14	10.20	13530059	142476432.000
01/19/2012	10.11	10.50	10.10	10.35	6598106	68266096.000
01/20/2012	10.47	10.64	10.11	10.25	6761929	69275880.000
01/30/2012	10.37	10.45	10.06	10.23	4653967	47870732.000
01/31/2012	10.25	10.31	10.03	10.24	3132426	31920710.000
02/01/2012	10.18	10.18	9.71	9.96	9958404	98513376.000
02/02/2012	9.86	10.10	9.80	10.09	6614300	66049320.000
02/03/2012	9.99	10.39	9.90	10.25	7721403	78860200.000
02/06/2012	10.42	10.45	10.05	10.21	6155099	62565376.000
02/07/2012	10.14	10.73	9.87	10.67	19059957	198552352.000
02/08/2012	10.65	11.40	10.51	11.34	24857343	272399776.000
02/09/2012	11.10	11.58	10.99	11.17	17167583	192937056.000
02/10/2012	11.07	11.23	10.88	11.17	11571297	128096968.000
02/13/2012	11.00	11.28	10.94	11.19	7532089	83793792.000
02/14/2012	11.30	11.39	11.00	11.20	8199163	91872896.000
02/15/2012	11.24	11.46	11.02	11.17	14308265	160596800.000
02/16/2012	11.00	11.18	10.85	11.06	9856306	108806064.000
02/17/2012	11.07	11.12	10.85	10.89	4975257	54486384.000
02/20/2012	11.07	11.29	10.90	10.91	8734617	97161448.000
02/21/2012	10.85	11.03	10.73	11.02	5384575	58532488.000
02/22/2012	11.09	11.17	11.00	11.14	8783500	97439536.000
02/23/2012	11.14	11.36	11.09	11.29	11966115	134498304.000
02/24/2012	11.28	11.32	11.11	11.29	8843633	99268400.000
02/27/2012	11.32	11.55	11.23	11.25	12234861	139750576.000
02/28/2012	11.12	11.17	10.90	11.00	7881416	86972968.000
02/29/2012	11.02	11.32	10.95	11.06	7980688	89101264.000
03/01/2012	10.95	11.24	10.84	11.08	5631783	62457572.000
03/02/2012	11.18	11.37	11.16	11.27	6694648	75423152.000
03/05/2012	11.33	11.70	11.19	11.46	11880662	136698400.000
03/06/2012	11.38	11.42	11.00	11.31	8550944	96085280.000
03/07/2012	11.09	11.30	11.02	11.06	5605819	62387508.000
03/08/2012	11.10	11.43	11.10	11.20	6620400	74452288.000
03/09/2012	11.31	11.44	11.20	11.42	7443529	84456688.000
03/12/2012	11.42	12.09	11.40	11.80	13992966	164438752.000
03/13/2012	11.69	11.83	11.56	11.80	8607613	100522512.000
03/14/2012	11.85	12.12	11.05	11.16	17958208	209918944.000
03/15/2012	11.10	11.29	10.57	10.69	9026286	97922640.000
03/16/2012	10.79	10.89	10.36	10.78	9838591	104508680.000
03/19/2012	10.71	11.08	10.52	11.06	8423384	91117592.000
03/20/2012	11.06	11.06	10.73	10.78	5377892	58354640.000
03/21/2012	10.77	11.38	10.75	11.06	9560399	106026712.000
03/22/2012	11.02	11.02	10.68	10.73	5894461	63487328.000
03/23/2012	10.60	10.66	10.28	10.36	5595694	58578636.000
03/26/2012	10.32	10.45	10.17	10.30	4326230	44433280.000
03/27/2012	10.30	10.47	10.18	10.22	3109106	32129202.000
03/28/2012	10.16	10.16	9.55	9.57	5276100	51732196.000
03/29/2012	9.50	9.50	9.13	9.18	3619311	33672952.000
03/30/2012	9.23	9.37	8.91	8.94	4588959	41800572.000
04/05/2012	8.95	9.24	8.89	9.23	5226282	47718836.000
04/06/2012	9.25	9.37	9.15	9.30	3025688	28071108.000
04/09/2012	9.26	9.40	9.11	9.16	3059615	28351052.000
04/10/2012	9.10	9.29	8.95	9.24	3672923	33500054.000
04/11/2012	9.09	9.30	9.03	9.19	2980866	27338754.000
04/12/2012	9.20	9.58	9.19	9.55	5327397	50043688.000
04/13/2012	9.51	9.70	9.48	9.64	5314524	51102168.000
04/16/2012	9.55	9.69	9.45	9.60	3497285	33425172.000
04/17/2012	9.55	9.64	9.30	9.32	3802213	35892400.000
04/19/2012	9.55	9.64	9.46	9.49	4398852	41953264.000
