600980 北矿科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	13.60	13.60	12.85	12.94	2286957	30240276.000
01/05/2012	12.60	13.31	12.41	12.56	2256582	29011372.000
01/06/2012	12.50	13.21	12.33	13.16	2566321	33081984.000
01/09/2012	13.20	13.73	12.83	13.65	2890331	38747608.000
01/10/2012	13.63	14.18	13.43	14.06	4343340	60238296.000
01/11/2012	14.00	14.50	13.70	14.09	4320768	60967748.000
01/12/2012	13.95	15.30	13.85	14.43	5097135	74554944.000
01/13/2012	14.37	14.94	14.02	14.60	4811640	69946856.000
01/16/2012	14.17	14.25	13.14	13.14	3111328	42541320.000
01/17/2012	12.86	14.38	12.86	14.36	3565551	49403904.000
01/18/2012	14.39	15.10	13.85	14.00	3886275	56603176.000
01/19/2012	13.98	14.40	13.82	14.06	1782970	25102148.000
01/20/2012	14.00	14.00	13.40	13.67	2789700	38202816.000
01/30/2012	13.66	14.00	13.50	13.76	1715077	23629376.000
01/31/2012	13.63	14.45	13.63	14.34	3777372	53778072.000
02/01/2012	14.20	14.55	13.80	13.97	2689905	38090752.000
02/02/2012	13.97	14.30	13.90	14.27	2173906	30728084.000
02/03/2012	14.29	14.45	14.10	14.40	2756250	39439360.000
02/06/2012	14.39	14.54	14.18	14.29	2156268	30937672.000
02/07/2012	14.30	14.30	13.73	13.90	1927854	26811998.000
02/08/2012	13.85	14.78	13.81	14.60	3714008	53486028.000
02/09/2012	14.60	15.12	14.45	14.73	5266874	78363008.000
02/10/2012	14.60	14.88	14.51	14.72	2946458	43255380.000
02/13/2012	14.54	15.25	14.45	14.97	3654710	54489116.000
02/14/2012	14.88	15.00	14.62	14.89	2414000	35676688.000
02/15/2012	14.89	16.38	14.65	15.76	6593395	102132832.000
02/16/2012	15.60	15.76	15.25	15.46	4303707	66722016.000
02/17/2012	15.48	15.80	15.28	15.38	2500480	38808696.000
02/20/2012	15.65	15.75	15.33	15.36	2818630	43799036.000
02/21/2012	15.20	15.49	15.11	15.49	2091609	32026894.000
02/22/2012	15.50	15.95	15.50	15.85	4482752	70905056.000
02/23/2012	15.90	16.87	15.90	16.32	7523365	124091512.000
02/24/2012	16.01	16.30	16.01	16.21	3249378	52502704.000
02/27/2012	16.22	16.70	16.15	16.27	4354435	71327904.000
02/28/2012	16.15	16.27	15.79	16.01	2679371	42887012.000
02/29/2012	16.00	16.31	15.80	15.81	2173807	34852636.000
03/01/2012	15.75	15.98	15.68	15.83	1388310	22023416.000
03/02/2012	15.87	16.15	15.87	16.11	1657499	26601390.000
03/05/2012	16.27	16.27	15.97	15.99	1992046	32051772.000
03/06/2012	15.89	16.25	15.70	15.74	2020770	32171420.000
03/07/2012	15.67	15.67	15.30	15.31	2303009	35638756.000
03/08/2012	15.45	16.15	15.36	15.90	3054373	48260884.000
03/09/2012	15.91	16.14	15.74	16.09	3308688	52915880.000
03/12/2012	16.09	16.50	16.07	16.20	4088425	66446560.000
03/13/2012	16.06	16.21	15.94	16.20	2181160	35088184.000
03/14/2012	16.24	17.82	16.24	17.57	17599017	308063264.000
03/15/2012	17.00	17.42	16.63	16.98	9503906	162157568.000
03/16/2012	16.88	17.70	16.54	17.58	10747572	185840016.000
03/19/2012	17.50	18.13	17.20	17.94	9242590	164398176.000
03/20/2012	17.90	17.90	17.30	17.30	4886962	85482000.000
03/21/2012	17.32	17.94	17.16	17.51	4602440	80808704.000
03/22/2012	17.50	17.57	16.84	17.09	3322400	56944692.000
03/23/2012	16.90	17.25	16.55	16.68	2546420	42949768.000
03/26/2012	16.60	16.82	16.12	16.35	1961677	32226354.000
03/27/2012	16.55	16.88	16.48	16.50	2137946	35675360.000
03/28/2012	16.38	16.38	15.14	15.21	2837408	44386016.000
03/29/2012	14.98	15.17	14.08	14.46	2119394	31108124.000
03/30/2012	14.58	14.79	14.18	14.33	1592320	23052964.000
04/05/2012	14.41	15.15	14.41	15.10	2353302	35206428.000
04/06/2012	15.11	15.50	15.00	15.26	2000698	30466644.000
04/09/2012	15.26	15.55	15.07	15.09	1621555	24796936.000
04/10/2012	14.96	15.25	14.23	15.24	1881581	27810758.000
04/11/2012	15.10	15.18	14.80	15.08	1227646	18400492.000
04/12/2012	15.07	15.38	15.07	15.36	1988093	30385952.000
04/13/2012	15.44	16.00	15.43	15.73	3670296	57852404.000
04/16/2012	15.52	15.71	15.36	15.58	1828075	28386816.000
04/17/2012	15.53	15.68	15.14	15.17	1696205	26133426.000
04/18/2012	15.15	15.56	15.11	15.50	2064787	31747682.000
04/19/2012	15.50	15.65	15.30	15.36	1467966	22744794.000
04/20/2012	15.36	15.53	15.10	15.39	1838477	28121416.000
04/23/2012	15.39	15.45	14.65	14.68	2066787	31004384.000
04/24/2012	14.47	14.80	13.90	14.34	1983903	28377760.000
04/25/2012	14.30	14.60	14.23	14.47	1308229	18907576.000
04/26/2012	14.47	14.66	14.22	14.55	1384627	20097420.000
04/27/2012	14.34	14.94	14.34	14.63	1720687	25311336.000
05/02/2012	14.89	15.21	14.72	15.11	2658849	39970540.000
05/03/2012	15.09	15.16	14.95	14.99	1572600	23660532.000
05/04/2012	14.99	15.33	14.85	15.22	1774813	26966866.000
05/07/2012	15.22	15.39	15.05	15.27	2006878	30582396.000
05/08/2012	15.20	15.75	14.94	15.51	3365944	51683440.000
05/09/2012	15.35	15.60	15.00	15.04	2880453	43922876.000
05/11/2012	15.39	16.54	15.36	16.54	8878960	145102176.000
05/14/2012	16.98	16.98	16.04	16.67	11771173	192731808.000
05/15/2012	16.00	16.50	15.97	16.42	4922604	80117272.000
05/16/2012	16.19	16.38	15.77	15.83	4413000	71065616.000
05/17/2012	15.71	15.99	15.31	15.77	3697518	57754340.000
05/18/2012	15.51	16.45	15.44	15.70	4706170	75286096.000
05/21/2012	15.58	16.99	15.47	16.53	8062329	133001424.000
05/22/2012	16.53	16.54	16.05	16.36	4233414	68916536.000
05/23/2012	16.18	16.88	16.15	16.33	5149905	85101744.000
