601020 华钰矿业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2016	8.52	10.24	8.52	10.24	25800	262816.000
03/17/2016	11.27	11.27	11.27	11.27	18950	215462.000
03/18/2016	12.41	12.41	12.41	12.41	12941	161892.000
03/21/2016	13.66	13.66	13.66	13.66	16201	222926.000
03/22/2016	15.04	15.04	15.04	15.04	50699	767583.000
03/23/2016	16.55	16.55	16.55	16.55	78100	1300815.000
03/24/2016	18.22	18.22	18.22	18.22	190300	3486333.000
03/25/2016	20.05	20.05	20.05	20.05	561800	11321076.000
03/28/2016	22.07	22.07	22.07	22.07	1879482	41668116.000
03/29/2016	23.87	24.29	23.62	24.29	16972989	409423584.000
03/30/2016	25.90	26.73	25.07	25.29	35964100	939171264.000
03/31/2016	24.61	27.10	24.53	25.95	25577872	665291200.000
04/01/2016	25.89	26.70	24.68	25.09	17600490	450922208.000
04/05/2016	24.56	25.08	24.06	24.98	17518880	434083136.000
04/06/2016	24.85	27.02	24.71	25.72	19400581	504956704.000
04/07/2016	25.50	28.30	25.28	27.83	28115800	774845056.000
04/08/2016	26.90	30.59	26.72	29.63	28474200	816708800.000
04/11/2016	29.30	30.60	28.53	29.26	26235900	767592448.000
04/12/2016	28.70	29.22	26.34	27.64	20012600	562966336.000
04/13/2016	28.10	30.41	28.02	30.41	24820500	739506048.000
04/14/2016	30.50	32.30	29.40	31.49	32034525	991647808.000
04/15/2016	30.20	31.28	29.85	30.21	18197238	554838336.000
04/18/2016	29.40	29.91	28.90	29.68	9319800	274706976.000
04/19/2016	30.29	30.78	29.19	29.81	11899100	360127584.000
04/20/2016	30.71	31.38	27.50	29.84	17750675	532122304.000
04/21/2016	29.40	31.09	29.03	29.78	18081300	547344384.000
04/22/2016	28.50	28.58	27.71	28.30	11643700	328852960.000
04/25/2016	27.50	27.50	25.46	26.59	10792502	285516640.000
04/26/2016	26.36	27.03	25.65	26.60	8586460	226823296.000
04/27/2016	26.40	27.35	26.20	26.56	7856461	211089376.000
04/28/2016	26.20	26.46	25.41	25.85	7741868	200136704.000
04/29/2016	25.69	26.73	25.50	26.21	7439414	196240240.000
05/03/2016	26.59	26.85	25.80	26.80	8192000	218021616.000
05/04/2016	26.44	26.88	26.30	26.56	7258635	193053440.000
05/05/2016	26.42	26.78	26.12	26.76	5592988	148465152.000
05/06/2016	26.72	28.22	26.61	26.97	13912530	382812960.000
05/09/2016	26.00	26.21	24.26	24.26	9449310	236366272.000
05/10/2016	23.75	24.19	23.15	23.57	5897913	139521136.000
05/11/2016	23.74	24.00	22.93	22.95	4447306	104351328.000
05/12/2016	22.01	22.80	21.45	22.66	5546345	123416200.000
05/13/2016	22.25	22.67	22.13	22.28	4063364	91293824.000
05/16/2016	21.95	23.50	21.91	23.38	6584164	152255776.000
05/17/2016	23.36	23.87	23.02	23.09	6544100	153905808.000
05/18/2016	22.70	22.70	20.95	21.40	6320900	139018128.000
05/19/2016	21.50	22.20	21.30	21.59	4472143	97541656.000
05/20/2016	21.09	21.85	21.00	21.80	3388440	73130552.000
05/23/2016	21.89	22.60	21.86	22.40	4641836	103456376.000
05/24/2016	22.46	22.74	21.60	21.82	4237957	93463784.000
05/25/2016	21.90	22.20	21.68	22.09	4012941	88247952.000
05/26/2016	22.18	24.30	22.13	24.30	13493240	315655616.000
05/27/2016	24.28	26.00	24.28	24.64	14891144	372219808.000
05/30/2016	24.00	24.49	22.71	23.89	7260348	172189792.000
05/31/2016	23.70	25.98	23.70	25.35	11041313	277498816.000
