601021 春秋航空 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/21/2015	10.57	12.75	10.57	12.75	170100	4432855.000
01/22/2015	14.06	14.06	14.06	14.06	60400	1737708.000
01/23/2015	15.50	15.50	15.50	15.50	158500	5016525.000
01/26/2015	17.08	17.08	17.08	17.08	454100	15811762.000
01/27/2015	18.82	18.82	18.82	18.82	1351695	51769920.000
01/28/2015	20.74	20.74	20.74	20.74	2574097	108446704.000
01/29/2015	22.84	22.84	22.84	22.84	3191209	147880624.000
01/30/2015	25.16	25.16	25.16	25.16	15543010	792227200.000
02/02/2015	25.66	27.71	25.16	27.71	61903188	3323897856.000
02/03/2015	28.67	30.51	28.43	30.51	23072212	1374358912.000
02/04/2015	32.07	33.14	29.22	29.54	39018159	2447929088.000
02/05/2015	30.82	32.52	30.34	32.52	30368741	1943429632.000
02/06/2015	31.67	32.92	30.31	31.15	22612197	1449942016.000
02/09/2015	30.47	31.99	29.90	30.56	10748369	673599168.000
02/10/2015	30.42	31.47	29.07	31.25	10852451	666626176.000
02/11/2015	30.93	34.20	30.68	32.84	12596686	821715648.000
02/12/2015	32.62	36.15	32.07	36.15	13387631	931785472.000
02/13/2015	36.92	37.59	34.98	36.36	12740198	935944896.000
02/16/2015	35.97	37.27	35.67	36.57	4878541	358273600.000
02/17/2015	36.72	38.17	35.82	36.76	5605437	415780896.000
02/25/2015	36.07	36.61	33.82	36.16	6107790	434911744.000
02/26/2015	35.42	36.02	34.30	34.75	3930011	277179072.000
02/27/2015	34.92	35.42	34.17	34.68	4377954	306379232.000
03/02/2015	34.33	34.92	33.77	34.35	4313705	299180288.000
03/03/2015	34.46	34.46	33.19	33.37	5067200	345511840.000
03/04/2015	33.41	34.27	32.80	34.21	4629654	313398112.000
03/05/2015	34.28	36.77	33.96	35.50	5714666	409520608.000
03/06/2015	35.50	35.50	33.40	33.69	5980987	414803616.000
03/09/2015	33.75	37.00	32.94	35.60	5985472	430035328.000
03/10/2015	35.78	39.20	35.78	39.20	3831852	298227456.000
03/11/2015	40.58	43.15	40.17	42.82	7385898	625473024.000
03/12/2015	41.67	42.61	38.94	40.35	4513313	370848704.000
03/13/2015	41.16	43.02	40.73	41.81	3258103	276149824.000
03/16/2015	42.62	45.15	40.92	43.99	6257773	538015488.000
03/17/2015	43.66	47.61	42.67	45.23	6635657	607316096.000
03/18/2015	45.42	45.57	42.89	44.49	5745087	510590656.000
03/19/2015	43.57	43.61	42.45	42.86	4266809	368346464.000
03/20/2015	42.67	43.30	41.76	43.27	3016281	258444960.000
03/23/2015	43.27	47.63	42.67	47.63	5590771	514329920.000
03/24/2015	45.33	46.51	44.36	45.81	6741053	613876416.000
03/25/2015	44.67	44.77	43.67	44.35	5131203	456548352.000
03/26/2015	43.82	45.17	43.00	43.59	3237509	285684352.000
03/27/2015	43.70	44.27	42.57	42.76	2612500	227983088.000
03/30/2015	42.69	43.92	42.47	43.43	3689338	321446784.000
03/31/2015	43.17	43.92	42.79	43.19	1877305	164361152.000
04/01/2015	43.66	45.12	43.17	44.06	2893567	257647712.000
04/02/2015	43.69	43.71	42.67	42.98	3844065	333248320.000
04/03/2015	42.80	43.40	41.63	42.33	5011272	427002624.000
04/07/2015	42.25	44.45	41.36	43.55	9059572	780092160.000
04/08/2015	43.97	45.45	42.68	44.95	6869013	618626496.000
04/09/2015	44.27	49.48	43.61	49.48	7295240	690841280.000
04/10/2015	48.87	51.17	46.17	48.47	6090155	592160128.000
04/13/2015	48.47	50.14	47.24	49.16	2587647	254673408.000
04/14/2015	48.59	50.67	46.30	47.38	4528713	439443104.000
04/15/2015	46.67	46.67	43.82	45.24	4640665	420425728.000
04/16/2015	44.42	45.63	42.10	44.49	6358447	559451584.000
04/17/2015	45.17	48.97	42.97	48.97	6998133	637562048.000
04/20/2015	47.84	52.17	46.78	48.91	5381126	541726656.000
04/21/2015	48.84	51.85	48.67	51.55	5711967	580428544.000
04/22/2015	51.85	53.17	50.17	51.59	4197557	434297600.000
04/23/2015	51.80	52.92	49.93	51.67	3795611	392589600.000
04/24/2015	50.71	55.07	49.57	53.74	3750273	389137152.000
04/27/2015	53.17	59.14	52.70	56.25	3829091	436801024.000
04/28/2015	55.70	57.67	52.82	53.92	2863350	317782496.000
04/29/2015	52.92	56.89	52.67	55.60	1883996	207648352.000
04/30/2015	54.97	59.07	54.91	56.11	2209002	256315552.000
05/04/2015	55.17	58.31	54.05	56.99	1763391	201304736.000
05/05/2015	56.68	57.07	52.17	52.81	2198254	239465584.000
05/06/2015	52.95	55.57	51.67	53.58	1941102	208960112.000
05/07/2015	53.08	53.77	49.72	50.25	1876132	196144672.000
05/08/2015	51.17	53.11	51.12	51.89	2294450	239854704.000
05/11/2015	52.67	54.51	51.89	53.86	2307538	249358480.000
05/12/2015	53.87	58.92	52.97	57.60	4536102	512382464.000
05/13/2015	56.92	62.67	55.17	60.79	3868154	468968864.000
05/14/2015	61.00	66.77	61.00	64.34	3441243	446043744.000
05/15/2015	63.02	66.21	59.68	64.33	4727235	598305728.000
05/18/2015	65.18	70.79	65.02	70.13	4330550	599737920.000
05/19/2015	70.17	75.67	65.72	69.61	4391838	627119104.000
05/20/2015	69.77	71.97	65.81	66.25	4585066	631996864.000
05/21/2015	66.22	67.17	64.32	66.55	2849440	376034848.000
05/22/2015	67.46	67.57	62.67	64.68	5225546	681520448.000
05/25/2015	64.60	67.27	62.92	65.80	3257508	432326784.000
05/26/2015	65.67	70.17	64.17	69.85	4995371	680359744.000
05/27/2015	69.83	73.36	68.67	70.28	4619521	661455168.000
05/28/2015	70.41	72.17	66.70	67.14	5244536	732735616.000
05/29/2015	67.14	67.67	60.39	64.80	4849035	629400576.000
06/01/2015	64.42	65.42	59.70	63.68	6331948	794908544.000
06/02/2015	63.02	64.61	61.27	64.14	4691103	594982912.000
06/03/2015	64.70	64.86	60.17	62.63	4438868	555768960.000
06/04/2015	62.63	64.26	59.42	61.93	3244363	403185152.000
06/05/2015	61.97	63.42	59.73	63.05	5064311	633697280.000
06/08/2015	63.20	69.39	61.84	69.39	7088013	950947200.000
06/09/2015	69.37	71.17	66.24	67.66	5891410	811123072.000
06/10/2015	66.82	72.67	65.50	70.15	4404166	611172864.000
06/11/2015	69.65	71.50	67.55	68.37	3082705	428833856.000
