601028 玉龙股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.40	3.42	3.21	3.21	2474101	20633902.000
01/05/2012	3.18	3.23	3.00	3.02	2372506	18603980.000
01/06/2012	3.02	3.08	2.94	3.06	2130868	16224077.000
01/09/2012	3.06	3.25	3.01	3.24	3716860	29590200.000
01/10/2012	3.22	3.60	3.19	3.59	10914442	94432200.000
01/11/2012	3.53	3.85	3.49	3.67	10198958	90798392.000
01/12/2012	3.55	3.65	3.51	3.55	5149582	45660128.000
01/13/2012	3.54	3.56	3.34	3.35	4405212	37477000.000
01/16/2012	3.28	3.33	3.23	3.24	1737592	14298249.000
01/17/2012	3.22	3.49	3.20	3.47	3559135	30031920.000
01/18/2012	3.44	3.62	3.44	3.45	5778076	50721432.000
01/19/2012	3.46	3.58	3.43	3.50	3954566	34604904.000
01/20/2012	3.50	3.61	3.47	3.58	3223860	28463272.000
01/30/2012	3.62	3.65	3.50	3.50	3451993	30421134.000
01/31/2012	3.50	3.52	3.37	3.44	2279399	19502296.000
02/01/2012	3.43	3.49	3.40	3.42	1679958	14410865.000
02/02/2012	3.43	3.47	3.39	3.47	2355932	20174744.000
02/03/2012	3.47	3.55	3.44	3.52	3315692	28893348.000
02/06/2012	3.54	3.61	3.49	3.60	4429708	39056904.000
02/07/2012	3.55	3.61	3.44	3.44	5770784	50590856.000
02/08/2012	3.41	3.56	3.41	3.55	4687645	40777216.000
02/09/2012	3.54	3.72	3.53	3.64	10764253	96793440.000
02/10/2012	3.65	3.68	3.57	3.61	8209019	73696920.000
02/13/2012	3.58	3.84	3.55	3.76	11396061	104735896.000
02/14/2012	3.74	3.75	3.68	3.74	6111957	56106752.000
02/15/2012	3.73	3.81	3.70	3.80	7996203	74321616.000
02/16/2012	3.79	3.82	3.69	3.75	6398813	59351640.000
02/17/2012	3.76	3.79	3.67	3.71	4704695	43217040.000
02/20/2012	3.75	3.80	3.71	3.71	4742291	43861448.000
02/21/2012	3.72	3.78	3.69	3.78	4538383	41890672.000
02/22/2012	3.77	3.87	3.76	3.86	8109289	76399752.000
02/23/2012	3.86	4.00	3.83	3.94	10960936	105835576.000
02/24/2012	3.93	4.01	3.90	3.99	8293078	80644744.000
02/27/2012	4.02	4.06	3.95	3.98	9460148	92831376.000
02/28/2012	3.97	4.05	3.87	4.01	9059545	88219816.000
02/29/2012	3.99	4.02	3.90	3.90	4274608	41509952.000
03/01/2012	3.87	4.30	3.82	4.14	17421379	171668960.000
03/02/2012	4.10	4.49	4.08	4.35	25938792	269543232.000
03/05/2012	4.29	4.34	4.23	4.28	12605480	131399816.000
03/06/2012	4.26	4.44	4.24	4.40	15006929	159500816.000
03/07/2012	4.34	4.58	4.31	4.42	11670591	125982832.000
03/08/2012	4.45	4.52	4.38	4.41	6980872	75032664.000
03/09/2012	4.39	4.44	4.30	4.43	8430683	89623336.000
03/12/2012	4.43	4.48	4.35	4.39	5553846	59500608.000
03/13/2012	4.40	4.41	4.33	4.40	6055101	64474064.000
03/14/2012	4.41	4.57	4.11	4.17	11835460	126521680.000
03/15/2012	4.14	4.25	3.98	4.08	6704335	67252496.000
03/16/2012	4.10	4.30	4.10	4.23	5788505	59475420.000
03/19/2012	4.23	4.44	4.14	4.41	6054152	63553736.000
03/20/2012	4.35	4.38	4.18	4.20	4798254	50029496.000
03/21/2012	4.18	4.33	4.17	4.28	4053633	42037608.000
03/22/2012	4.27	4.39	4.22	4.36	4835315	51059312.000
03/23/2012	4.34	4.34	4.14	4.20	3296549	33966936.000
03/26/2012	4.15	4.20	4.08	4.15	2508033	25386418.000
03/27/2012	4.20	4.20	4.08	4.10	2398047	24185616.000
03/28/2012	4.09	4.09	3.67	3.69	4391784	41775444.000
03/29/2012	3.59	3.77	3.58	3.67	3990564	36252024.000
03/30/2012	3.67	3.71	3.54	3.59	2056476	18465056.000
04/05/2012	3.63	3.75	3.63	3.75	2554493	23396398.000
04/06/2012	3.76	3.80	3.70	3.75	2386947	22144220.000
04/09/2012	3.75	3.88	3.71	3.77	1938094	18130320.000
04/10/2012	3.74	3.78	3.58	3.76	2824860	25755060.000
04/11/2012	3.71	3.80	3.66	3.76	2039958	18890340.000
04/12/2012	3.76	3.86	3.76	3.85	2863617	26981572.000
04/13/2012	3.86	3.95	3.83	3.90	3193796	30744794.000
04/16/2012	3.89	3.94	3.83	3.89	2096027	20019802.000
04/17/2012	3.95	4.01	3.87	3.97	4222016	40952268.000
04/18/2012	3.94	4.42	3.86	4.42	18933752	195409888.000
04/19/2012	4.43	4.62	4.31	4.31	27589746	297831616.000
04/20/2012	4.22	4.52	4.17	4.34	15470250	163584528.000
04/23/2012	4.31	4.31	4.13	4.20	9093878	93364992.000
04/24/2012	4.15	4.40	4.15	4.35	12535234	130743560.000
04/25/2012	4.29	4.48	4.18	4.44	10470040	110490656.000
04/26/2012	4.40	4.53	4.27	4.51	9749353	104426656.000
04/27/2012	4.52	4.66	4.36	4.37	14049886	153464128.000
05/02/2012	4.40	4.43	4.27	4.36	7047137	74613736.000
05/03/2012	4.35	4.39	4.28	4.33	4039047	42524112.000
05/04/2012	4.32	4.46	4.30	4.34	7642690	81614872.000
05/07/2012	4.27	4.31	4.17	4.23	5914848	60986036.000
05/08/2012	4.23	4.35	4.19	4.33	5454969	56814736.000
05/10/2012	4.22	4.53	4.20	4.49	13010099	138694784.000
05/11/2012	4.45	4.61	4.33	4.34	10731980	115805104.000
05/14/2012	4.34	4.40	4.15	4.15	6550760	67747712.000
05/15/2012	4.15	4.20	4.11	4.20	3412355	34762192.000
05/16/2012	4.21	4.21	4.10	4.12	3300911	33536030.000
05/17/2012	4.10	4.21	4.05	4.19	4925383	50008612.000
05/18/2012	4.18	4.35	4.13	4.30	12306762	128014160.000
05/21/2012	4.27	4.44	4.18	4.22	8451196	87833360.000
05/22/2012	4.23	4.28	4.10	4.19	5686356	57930212.000
05/23/2012	4.16	4.18	4.07	4.13	3699270	37279156.000
05/24/2012	4.19	4.24	4.13	4.15	3806294	38008092.000
05/25/2012	4.14	4.15	3.85	3.90	5846907	55694832.000
05/28/2012	3.87	3.91	3.73	3.89	3199638	29543444.000
05/29/2012	3.92	4.00	3.89	3.96	3049129	29033944.000
05/30/2012	3.96	4.40	3.93	4.25	12130662	121866432.000
05/31/2012	4.20	4.20	4.06	4.12	6470550	64036960.000
06/01/2012	4.10	4.17	4.05	4.10	3630823	35827976.000
06/04/2012	3.95	4.00	3.80	3.82	4403738	41438548.000
06/05/2012	3.85	3.86	3.78	3.81	2040220	18811020.000
06/06/2012	3.83	3.88	3.78	3.81	1625438	14990786.000
06/07/2012	3.88	3.89	3.72	3.75	1959795	17981428.000
06/08/2012	3.80	3.81	3.71	3.74	1771013	16064474.000
06/11/2012	3.72	3.84	3.72	3.82	1598090	14618214.000
06/12/2012	3.78	3.81	3.75	3.77	1346911	12280654.000
06/13/2012	3.77	3.84	3.76	3.84	2055412	18891100.000
06/14/2012	3.82	3.95	3.81	3.86	3214031	30066748.000
06/15/2012	3.89	3.90	3.73	3.80	2063820	19009268.000
06/18/2012	3.80	3.87	3.80	3.83	1385758	12844885.000
06/19/2012	3.81	3.85	3.80	3.81	1360749	12555055.000
06/20/2012	3.84	3.84	3.77	3.78	1821835	16699146.000
06/21/2012	3.77	3.77	3.69	3.71	1711664	15412914.000
06/25/2012	3.69	3.72	3.53	3.55	1768269	15511044.000
06/26/2012	3.55	3.60	3.50	3.57	1548557	13385153.000
06/27/2012	3.58	3.70	3.58	3.59	2341995	20695488.000
06/28/2012	3.63	3.66	3.44	3.45	2291601	19787404.000
06/29/2012	3.45	3.56	3.39	3.50	1879149	15939753.000
07/02/2012	3.52	3.57	3.51	3.53	1358102	11662995.000
07/03/2012	3.55	3.60	3.53	3.57	1975001	17092646.000
07/04/2012	3.57	3.59	3.48	3.52	1973306	16875844.000
07/05/2012	3.52	3.52	3.35	3.37	1839190	15219126.000
07/06/2012	3.37	3.46	3.32	3.45	1994708	16496626.000
07/09/2012	3.40	3.54	3.34	3.34	1818821	15196430.000
07/10/2012	3.33	3.36	3.28	3.31	1141920	9239686.000
07/11/2012	3.32	3.48	3.29	3.37	1292139	10671413.000
07/12/2012	3.35	3.45	3.33	3.43	1875017	15521494.000
07/13/2012	3.44	3.44	3.36	3.37	1313648	10849019.000
07/16/2012	3.39	3.41	3.23	3.24	2200125	17805460.000
07/17/2012	3.31	3.34	3.21	3.28	2250112	17991116.000
07/18/2012	3.24	3.26	3.15	3.25	2610025	20478860.000
07/19/2012	3.23	3.35	3.22	3.31	3078982	24830040.000
07/20/2012	3.32	3.33	3.25	3.26	1637277	13150901.000
07/23/2012	3.26	3.40	3.16	3.29	2277833	18363466.000
07/24/2012	3.27	3.38	3.25	3.34	2130552	17344896.000
07/25/2012	3.32	3.40	3.32	3.34	2015565	16552974.000
07/26/2012	3.34	3.36	3.26	3.27	1297574	10490165.000
07/27/2012	3.30	3.31	3.23	3.30	1286552	10294187.000
07/30/2012	3.28	3.34	3.23	3.25	1145200	9187454.000
07/31/2012	3.25	3.31	3.14	3.20	1615349	12745087.000
08/01/2012	3.20	3.28	3.20	3.25	973965	7750372.000
08/02/2012	3.26	3.31	3.18	3.20	1249789	9892965.000
08/03/2012	3.21	3.29	3.20	3.29	1502318	11989457.000
08/06/2012	3.27	3.35	3.26	3.35	2093613	16929250.000
08/07/2012	3.35	3.39	3.34	3.38	2382445	19547476.000
08/08/2012	3.36	3.39	3.34	3.39	2058338	16926824.000
08/09/2012	3.38	3.49	3.36	3.46	3705505	30999624.000
08/10/2012	3.45	3.67	3.44	3.55	7237580	62703456.000
08/13/2012	3.50	3.54	3.38	3.40	3277166	27658316.000
08/14/2012	3.38	3.69	3.36	3.64	7403546	64060500.000
08/15/2012	3.61	3.71	3.51	3.54	6428430	56215648.000
08/16/2012	3.50	3.50	3.43	3.48	2636057	22259170.000
08/17/2012	3.45	3.52	3.40	3.45	2283877	19245732.000
08/20/2012	3.44	3.83	3.41	3.81	8354461	74235880.000
08/21/2012	3.76	3.93	3.73	3.85	13349609	123453224.000
08/22/2012	3.78	4.20	3.78	3.93	12836351	122343968.000
08/23/2012	3.94	4.04	3.83	3.84	8839257	83122784.000
08/24/2012	3.79	3.80	3.68	3.68	6107784	54960536.000
08/27/2012	4.04	4.09	4.04	4.09	8279222	81054488.000
08/28/2012	4.45	4.53	4.24	4.39	38073295	402984224.000
08/29/2012	4.35	4.86	4.35	4.47	37935944	417373024.000
08/30/2012	4.36	4.46	3.99	4.00	26278922	260424208.000
08/31/2012	3.95	4.34	3.90	4.17	25841006	254364592.000
09/03/2012	4.05	4.29	3.94	4.15	18207991	178851488.000
09/04/2012	4.09	4.47	4.05	4.27	22510516	229838864.000
09/05/2012	4.18	4.25	4.00	4.08	15391939	151051264.000
09/06/2012	4.09	4.16	4.00	4.08	9772886	95142240.000
09/07/2012	4.11	4.38	4.05	4.23	18507874	186516800.000
09/10/2012	4.19	4.36	4.11	4.35	18982293	192727456.000
09/11/2012	4.29	4.38	4.19	4.23	13265417	135622048.000
09/12/2012	4.25	4.69	4.25	4.55	27399615	294608736.000
09/13/2012	4.50	4.62	4.38	4.39	19933027	213247280.000
09/14/2012	4.38	4.43	4.15	4.21	11973551	121806304.000
09/17/2012	4.20	4.21	3.97	4.00	7567187	73453512.000
09/18/2012	4.00	4.04	3.91	3.99	4305078	41115012.000
09/19/2012	3.98	4.03	3.91	3.98	3539403	33790232.000
09/20/2012	4.01	4.01	3.69	3.70	6313407	58416828.000
09/21/2012	3.70	3.76	3.65	3.66	3887820	34874220.000
09/24/2012	3.67	3.75	3.60	3.71	3089587	27564592.000
09/25/2012	3.72	3.83	3.67	3.76	4769445	43310320.000
09/26/2012	3.73	3.75	3.49	3.53	4991464	43565396.000
09/27/2012	3.53	3.65	3.50	3.60	3877583	33712168.000
09/28/2012	3.56	3.62	3.52	3.61	3527512	30654004.000
10/08/2012	3.63	3.70	3.60	3.65	2883884	25468958.000
