601166 兴业银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.17	6.19	6.05	6.07	40528547	510576576.000
01/05/2012	6.07	6.35	6.07	6.21	91364291	1166513152.000
01/06/2012	6.18	6.28	6.13	6.26	50166029	638925504.000
01/09/2012	6.25	6.50	6.22	6.43	89679316	1164720640.000
01/10/2012	6.44	6.55	6.40	6.50	80289622	1052076288.000
01/11/2012	6.51	6.52	6.39	6.41	65305524	852010752.000
01/12/2012	6.50	6.69	6.50	6.60	94476382	1259441536.000
01/13/2012	6.61	6.67	6.51	6.59	57388567	762642048.000
01/16/2012	6.54	6.78	6.52	6.61	52900037	710374848.000
01/17/2012	6.64	6.83	6.47	6.80	94865630	1276200832.000
01/18/2012	6.82	6.83	6.65	6.69	47632220	641927744.000
01/19/2012	6.73	6.92	6.71	6.92	83951958	1146262912.000
01/20/2012	6.93	7.15	6.87	7.10	79116465	1100644352.000
01/30/2012	7.10	7.10	6.94	6.95	59952828	835855616.000
01/31/2012	6.96	7.03	6.89	6.97	29655404	409706464.000
02/01/2012	6.94	7.02	6.77	6.77	38790933	531671840.000
02/02/2012	6.80	7.18	6.75	7.17	81882452	1138729856.000
02/03/2012	7.14	7.33	7.10	7.19	74336648	1056510784.000
02/06/2012	7.20	7.31	7.09	7.18	49953305	708252032.000
02/07/2012	7.11	7.13	7.04	7.08	47809058	670600704.000
02/08/2012	7.11	7.38	7.09	7.35	70191503	1002734144.000
02/09/2012	7.35	7.44	7.30	7.35	51921551	750352256.000
02/10/2012	7.32	7.42	7.17	7.23	47773355	685576512.000
02/13/2012	7.13	7.24	7.03	7.15	52164850	735327296.000
02/14/2012	7.09	7.16	7.06	7.12	36047102	506154624.000
02/15/2012	7.09	7.23	7.01	7.13	65343550	920194624.000
02/16/2012	7.13	7.21	7.03	7.11	44286099	623521152.000
02/17/2012	7.19	7.22	7.05	7.15	33292960	470428928.000
02/20/2012	7.33	7.33	7.07	7.09	63675273	903146304.000
02/21/2012	7.10	7.16	7.03	7.13	31832494	446860000.000
02/22/2012	7.13	7.19	7.03	7.15	68784274	966387968.000
02/23/2012	7.13	7.19	7.10	7.15	49942380	704285632.000
02/24/2012	7.16	7.32	7.13	7.31	85624957	1218914560.000
02/27/2012	7.35	7.37	7.25	7.27	99420332	1427614848.000
03/06/2012	7.07	7.17	6.87	6.99	138121447	1927344512.000
03/07/2012	6.89	7.03	6.88	6.89	49992208	692048192.000
03/08/2012	6.91	7.02	6.91	6.98	40306030	558132928.000
03/09/2012	7.01	7.03	6.89	6.95	52411272	723746304.000
03/12/2012	6.93	6.94	6.75	6.81	71380271	973223680.000
03/13/2012	6.81	6.99	6.81	6.96	50300195	693873792.000
03/14/2012	7.05	7.10	6.77	6.81	78672714	1090587008.000
03/15/2012	6.81	6.95	6.80	6.81	42052763	576063808.000
03/16/2012	6.81	6.88	6.75	6.87	36895827	502932064.000
03/19/2012	6.82	6.87	6.74	6.83	34155477	464924000.000
03/20/2012	6.82	6.82	6.69	6.69	33025400	446032000.000
03/21/2012	6.77	6.79	6.67	6.70	32819612	442911968.000
03/22/2012	6.73	6.91	6.67	6.81	35168666	478130048.000
03/23/2012	6.79	6.87	6.76	6.79	34138684	464493568.000
03/26/2012	6.82	6.92	6.77	6.89	33540999	459025088.000
03/27/2012	6.92	6.93	6.82	6.89	22995577	315227328.000
03/28/2012	6.87	6.89	6.59	6.65	39291430	532534976.000
03/29/2012	6.57	6.63	6.47	6.48	49130736	649343168.000
03/30/2012	6.52	6.63	6.51	6.61	28867304	382610048.000
04/05/2012	6.59	6.62	6.44	6.58	55913928	739041408.000
04/06/2012	6.58	6.60	6.48	6.56	56238193	743031232.000
04/10/2012	6.46	6.55	6.37	6.54	47846122	625332544.000
04/11/2012	6.45	6.57	6.43	6.51	29239550	384859232.000
04/12/2012	6.51	6.73	6.47	6.72	57477754	765251968.000
04/13/2012	6.71	6.76	6.63	6.68	38269937	513798016.000
04/16/2012	6.63	6.66	6.57	6.59	25108638	334034336.000
04/17/2012	6.59	6.62	6.50	6.51	26372854	348420896.000
04/18/2012	6.53	6.72	6.52	6.69	35313467	471901760.000
04/19/2012	6.67	6.83	6.64	6.78	58824039	794091520.000
04/20/2012	6.79	7.05	6.78	7.02	74220530	1026620736.000
04/23/2012	7.01	7.15	6.91	7.01	57990186	808735104.000
04/24/2012	6.97	7.44	6.97	7.15	125912865	1794553856.000
04/25/2012	7.10	7.28	7.09	7.24	69661175	990005376.000
04/26/2012	7.40	7.45	7.15	7.23	87479022	1252957056.000
04/27/2012	7.24	7.35	7.24	7.27	47696854	683421568.000
05/02/2012	7.42	7.52	7.36	7.41	102204331	1488341504.000
05/03/2012	7.41	7.45	7.29	7.33	64621446	932458048.000
05/04/2012	7.32	7.51	7.29	7.49	73713015	1070734272.000
05/07/2012	7.47	7.53	7.42	7.51	66059136	941408064.000
05/08/2012	7.50	7.55	7.43	7.55	55618333	793743872.000
05/09/2012	7.47	7.51	7.30	7.31	55035751	775953600.000
05/10/2012	7.32	7.39	7.23	7.28	39725342	555412992.000
05/11/2012	7.29	7.36	7.22	7.25	36085249	503574848.000
05/14/2012	7.32	7.33	7.16	7.17	51269032	713098368.000
05/15/2012	7.12	7.14	7.02	7.11	40764899	556678720.000
05/16/2012	7.11	7.11	6.91	6.91	46029165	621613312.000
05/17/2012	6.95	7.09	6.91	7.04	38431639	520402304.000
05/18/2012	6.97	6.99	6.88	6.93	36846165	493926496.000
05/21/2012	6.94	7.03	6.91	6.97	26813155	361497440.000
05/22/2012	7.01	7.12	6.98	7.09	32601361	444126784.000
05/23/2012	7.08	7.10	6.93	6.97	32296740	436953888.000
05/24/2012	6.97	7.00	6.82	6.85	46660111	624519552.000
05/25/2012	6.87	6.93	6.80	6.84	28401486	378368416.000
05/28/2012	6.81	6.92	6.80	6.91	38924038	518718752.000
05/29/2012	6.88	7.07	6.83	7.06	64706070	870003392.000
05/30/2012	7.01	7.05	6.86	6.95	65543342	879209216.000
05/31/2012	6.87	6.92	6.85	6.87	34624107	462310848.000
06/01/2012	6.89	6.95	6.83	6.89	42348923	565430272.000
06/04/2012	6.81	6.81	6.67	6.69	52211280	686608704.000
06/05/2012	6.70	6.74	6.63	6.71	32226294	420764352.000
06/06/2012	6.72	6.79	6.68	6.76	32458993	426093120.000
06/07/2012	6.81	6.83	6.66	6.69	28659993	376720576.000
06/08/2012	6.64	6.65	6.37	6.39	92348974	1172880896.000
06/11/2012	6.40	6.44	6.31	6.37	47924893	603949248.000
06/12/2012	6.31	6.50	6.17	6.33	89052253	1113213056.000
06/13/2012	6.37	6.45	6.24	6.39	53617740	673090304.000
06/14/2012	6.34	6.39	6.25	6.27	37795674	473851488.000
06/15/2012	6.31	6.68	6.30	6.61	110094569	1408330880.000
06/18/2012	6.59	6.63	6.54	6.59	40032295	516427456.000
06/19/2012	6.57	6.67	6.50	6.59	47694722	614351680.000
06/20/2012	6.60	6.71	6.57	6.63	36722008	477131296.000
06/21/2012	6.59	6.63	6.47	6.49	26401433	338387136.000
06/25/2012	6.47	6.59	6.43	6.51	40772707	523719200.000
06/26/2012	6.49	6.59	6.45	6.52	27079872	347200032.000
06/27/2012	6.51	6.57	6.45	6.48	20999997	268460608.000
06/28/2012	6.49	6.52	6.39	6.41	20242953	258016832.000
06/29/2012	6.39	6.68	6.39	6.63	39400406	508689920.000
07/02/2012	6.66	6.67	6.56	6.63	25516444	330262976.000
07/03/2012	6.62	6.75	6.60	6.69	32754712	427878112.000
07/04/2012	6.71	6.84	6.66	6.74	30968353	407155488.000
07/05/2012	6.69	6.73	6.56	6.65	34470410	447407136.000
