601179 中国西电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.40	3.41	3.23	3.24	5484503	20036404.000
01/05/2012	3.20	3.32	3.15	3.21	6583095	23441596.000
01/06/2012	3.21	3.37	3.19	3.26	17067103	61546672.000
01/09/2012	3.25	3.42	3.23	3.41	15930958	58104512.000
01/10/2012	3.38	3.56	3.36	3.51	22837383	86324952.000
01/11/2012	3.50	3.62	3.48	3.54	29575952	114692768.000
01/12/2012	3.53	3.62	3.49	3.50	13689418	52838184.000
01/13/2012	3.53	3.58	3.36	3.41	15240640	57459580.000
01/16/2012	3.39	3.41	3.33	3.34	5948277	22005220.000
01/17/2012	3.35	3.55	3.29	3.52	18990776	71989808.000
01/18/2012	3.53	3.62	3.43	3.45	19252220	73844392.000
01/19/2012	3.42	3.48	3.35	3.44	12355588	46251784.000
01/20/2012	3.45	3.48	3.42	3.47	14055739	53022740.000
01/30/2012	3.48	3.53	3.42	3.48	18778760	71300496.000
01/31/2012	3.49	3.51	3.39	3.41	10439615	39202468.000
02/01/2012	3.43	3.43	3.34	3.35	9354252	34708208.000
02/02/2012	3.37	3.40	3.34	3.40	8832230	32626168.000
02/03/2012	3.38	3.46	3.37	3.44	16763704	62737688.000
02/06/2012	3.46	3.49	3.43	3.46	16813555	63593280.000
02/07/2012	3.44	3.48	3.33	3.35	17712692	65745940.000
02/08/2012	3.35	3.44	3.32	3.43	14538706	54036384.000
02/09/2012	3.43	3.52	3.41	3.50	22739784	86224640.000
02/10/2012	3.47	3.53	3.47	3.52	23582515	90097832.000
02/13/2012	3.49	3.56	3.48	3.54	22095923	84959128.000
02/14/2012	3.54	3.54	3.48	3.50	11754466	44965416.000
02/15/2012	3.49	3.60	3.47	3.59	30533293	118073848.000
02/16/2012	3.57	3.60	3.53	3.59	27327902	106191168.000
02/17/2012	3.62	3.77	3.62	3.67	43877112	176016304.000
02/20/2012	3.70	3.71	3.64	3.67	19189496	76558048.000
02/21/2012	3.67	3.69	3.60	3.69	18273331	72634952.000
02/22/2012	3.69	3.75	3.66	3.73	22005713	88573568.000
02/23/2012	3.72	3.74	3.68	3.72	16569920	66735032.000
02/24/2012	3.71	3.82	3.69	3.81	30887947	125809080.000
02/27/2012	3.80	3.87	3.77	3.78	28319521	117046632.000
02/28/2012	3.77	3.81	3.73	3.76	17189234	70205728.000
02/29/2012	3.76	3.78	3.72	3.73	14564590	59198896.000
03/01/2012	3.71	3.75	3.70	3.73	7218618	29240052.000
03/02/2012	3.73	3.78	3.72	3.77	13304031	54178752.000
03/05/2012	3.77	3.80	3.71	3.72	15660882	63746868.000
03/06/2012	3.70	3.72	3.63	3.64	13531430	53919464.000
03/07/2012	3.61	3.67	3.60	3.62	11106337	43896792.000
03/08/2012	3.62	3.69	3.62	3.65	10214240	40667656.000
03/09/2012	3.67	3.73	3.67	3.72	11907547	47843212.000
03/12/2012	3.72	3.73	3.67	3.72	10463888	42032260.000
03/13/2012	3.73	3.91	3.73	3.87	41129188	171095136.000
03/14/2012	3.88	3.99	3.69	3.75	36135458	150908224.000
03/15/2012	3.75	3.80	3.70	3.77	18800170	76624400.000
03/16/2012	3.77	3.85	3.75	3.84	15022009	61814528.000
03/19/2012	3.82	3.86	3.75	3.86	15246657	62898484.000
03/20/2012	3.86	3.86	3.75	3.77	8738843	35921932.000
03/21/2012	3.78	3.81	3.66	3.71	13608666	55145884.000
03/22/2012	3.71	3.74	3.68	3.70	6455226	26021274.000
03/23/2012	3.71	3.71	3.61	3.64	10698862	42504836.000
03/26/2012	3.68	3.91	3.68	3.79	23790527	97945776.000
03/27/2012	3.80	3.83	3.71	3.72	9819851	40046208.000
03/28/2012	3.73	3.73	3.54	3.60	13672341	53882420.000
03/29/2012	3.58	3.58	3.45	3.50	8294152	31887588.000
03/30/2012	3.51	3.53	3.44	3.48	5600769	21292420.000
04/05/2012	3.46	3.55	3.43	3.54	8477526	32509814.000
04/06/2012	3.53	3.54	3.48	3.51	7072358	27070020.000
04/09/2012	3.50	3.51	3.41	3.41	9816872	36958604.000
04/10/2012	3.40	3.44	3.34	3.42	8552692	31698896.000
04/11/2012	3.38	3.42	3.36	3.40	10740525	39822344.000
04/12/2012	3.41	3.48	3.37	3.48	13708310	51243792.000
04/13/2012	3.47	3.50	3.45	3.47	12015414	45572064.000
04/16/2012	3.47	3.59	3.44	3.57	23213000	89922768.000
04/17/2012	3.58	3.59	3.49	3.51	9114935	35097544.000
04/18/2012	3.51	3.58	3.48	3.56	20178732	77844360.000
04/19/2012	3.59	3.61	3.52	3.54	21727463	83910656.000
04/20/2012	3.53	3.63	3.51	3.62	20058569	78108768.000
05/08/2012	4.01	4.01	4.01	4.01	9547296	41339792.000
05/09/2012	4.08	4.21	3.94	3.95	126199150	551690752.000
05/10/2012	3.96	4.02	3.81	3.98	42535772	179438416.000
05/11/2012	3.94	4.00	3.90	3.92	20500077	87572992.000
05/14/2012	3.98	3.98	3.81	3.81	30018698	126076792.000
05/15/2012	3.76	3.82	3.71	3.79	20895258	85292888.000
05/17/2012	3.73	3.80	3.70	3.75	16532839	67292456.000
05/18/2012	3.73	3.77	3.68	3.71	14618376	58997680.000
05/21/2012	3.72	3.76	3.70	3.72	7620409	30886716.000
05/22/2012	3.75	3.76	3.71	3.73	7473452	30257364.000
05/23/2012	3.72	3.76	3.71	3.73	8374555	33934892.000
05/24/2012	3.72	3.75	3.67	3.69	10606284	42755012.000
05/25/2012	3.69	3.76	3.67	3.75	14264493	57619500.000
05/28/2012	3.75	3.79	3.69	3.78	12164137	49356176.000
05/29/2012	3.79	3.92	3.77	3.85	18335836	76452920.000
05/30/2012	3.84	3.85	3.80	3.84	10497158	43496944.000
05/31/2012	3.81	3.83	3.72	3.74	18657982	76198656.000
06/01/2012	3.74	3.78	3.71	3.72	6883789	27893732.000
06/04/2012	3.66	3.69	3.56	3.56	16689996	65758712.000
06/05/2012	3.56	3.77	3.55	3.76	28658289	114277336.000
06/06/2012	3.77	3.79	3.64	3.68	13471742	54366452.000
06/07/2012	3.72	3.74	3.64	3.65	5192237	20760100.000
06/08/2012	3.68	3.70	3.62	3.65	7205510	28598576.000
06/11/2012	3.68	3.74	3.67	3.73	8011298	32326104.000
06/12/2012	3.72	3.72	3.66	3.69	4787730	19151676.000
06/13/2012	3.70	3.75	3.66	3.74	7597302	30591772.000
06/14/2012	3.74	3.77	3.71	3.74	7615404	30914738.000
06/15/2012	3.76	3.77	3.71	3.75	5270967	21363966.000
06/18/2012	3.74	3.77	3.73	3.75	5351142	21776132.000
06/19/2012	3.73	3.75	3.69	3.70	4986163	20094472.000
06/20/2012	3.72	3.73	3.66	3.68	5349902	21437204.000
06/21/2012	3.68	3.68	3.61	3.67	8235906	32583812.000
06/25/2012	3.61	3.83	3.61	3.70	23449885	95110664.000
06/26/2012	3.69	3.77	3.67	3.75	14261306	57718192.000
06/27/2012	3.74	3.75	3.70	3.72	4508650	18222252.000
06/28/2012	3.71	3.73	3.64	3.64	5121366	20557764.000
06/29/2012	3.63	3.67	3.59	3.66	6165911	24403912.000
07/02/2012	3.67	3.68	3.61	3.62	6389895	25246960.000
07/03/2012	3.64	3.64	3.57	3.59	5420894	21244400.000
07/04/2012	3.62	3.65	3.60	3.62	4093249	16152314.000
07/05/2012	3.61	3.66	3.57	3.57	9071116	35624768.000
07/06/2012	3.60	3.63	3.53	3.61	5253960	20477808.000
07/09/2012	3.60	3.62	3.47	3.48	6564290	25323184.000
07/10/2012	3.47	3.51	3.44	3.46	3753470	14216922.000
07/11/2012	3.46	3.50	3.43	3.47	3170450	12002571.000
07/12/2012	3.47	3.49	3.43	3.46	7631636	28863808.000
