601208 东材科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.85	8.92	8.63	8.65	1647562	31168978.000
01/05/2012	8.58	8.64	8.17	8.22	1282936	23385844.000
01/06/2012	8.24	8.51	8.13	8.47	1070435	19218048.000
01/09/2012	8.49	9.09	8.45	9.06	2233951	42645392.000
01/10/2012	8.95	9.32	8.95	9.30	3050639	60222116.000
01/12/2012	9.27	9.48	9.10	9.25	2615667	52480552.000
01/13/2012	9.32	9.32	8.58	8.78	2023348	38520040.000
01/16/2012	8.69	8.69	7.88	8.00	3887425	68850640.000
01/17/2012	8.09	8.49	7.86	8.46	3143706	56077236.000
01/18/2012	8.45	8.59	7.86	7.89	3152929	56338364.000
01/19/2012	7.89	8.16	7.62	8.11	3532503	60780232.000
01/20/2012	8.13	8.33	8.05	8.24	2044561	36563812.000
01/30/2012	8.30	8.44	8.12	8.31	1898294	34321488.000
01/31/2012	8.37	8.40	8.04	8.36	1687861	29976976.000
02/01/2012	8.24	8.47	8.16	8.19	1123198	20257928.000
02/02/2012	8.21	8.37	8.13	8.36	1439089	25841812.000
02/03/2012	8.36	8.67	8.31	8.58	2931855	53989128.000
02/06/2012	8.65	8.68	8.50	8.56	2683217	49925624.000
02/07/2012	8.48	8.55	8.24	8.33	1769022	32072244.000
02/08/2012	8.29	8.80	8.29	8.80	4309109	80308904.000
02/09/2012	8.80	9.06	8.71	8.87	4131402	79563664.000
02/10/2012	8.87	8.93	8.69	8.83	2054566	39104704.000
02/13/2012	8.74	9.19	8.60	9.06	3020713	58390440.000
02/14/2012	8.99	9.38	8.97	9.12	2506087	49480272.000
02/15/2012	9.02	9.33	9.02	9.29	2034892	40383136.000
02/16/2012	9.29	9.38	9.16	9.23	2105303	41871868.000
02/17/2012	9.24	9.37	8.98	9.20	1881396	37027916.000
02/20/2012	9.32	9.36	9.12	9.12	2001848	39901244.000
02/21/2012	9.12	9.23	8.87	9.22	2209647	43146420.000
02/22/2012	9.22	9.51	9.13	9.43	2997054	60288816.000
02/23/2012	9.44	9.79	9.43	9.47	3779866	77745776.000
02/24/2012	9.40	9.66	9.40	9.56	2242480	45892072.000
02/27/2012	9.49	9.73	9.49	9.54	2854416	58986764.000
02/28/2012	9.53	9.57	9.13	9.25	2817880	56578248.000
02/29/2012	9.15	9.37	9.12	9.16	1482720	29464448.000
