601216 君正集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.50	1.50	1.45	1.47	8500434	149925264.000
01/05/2012	1.48	1.49	1.45	1.46	7515110	131439408.000
01/06/2012	1.46	1.49	1.37	1.38	9414517	159012848.000
01/09/2012	1.38	1.41	1.31	1.41	8601159	139016736.000
01/10/2012	1.38	1.47	1.37	1.46	7783289	131715920.000
01/11/2012	1.45	1.46	1.42	1.44	5197401	89193904.000
01/12/2012	1.43	1.45	1.39	1.40	3994202	67481936.000
01/13/2012	1.39	1.41	1.29	1.30	6298774	100072208.000
01/16/2012	1.28	1.29	1.23	1.23	3462318	52324804.000
01/17/2012	1.23	1.31	1.23	1.31	2995593	45729268.000
01/18/2012	1.31	1.35	1.28	1.28	4628548	72763552.000
01/19/2012	1.28	1.32	1.27	1.30	2387700	37168216.000
01/20/2012	1.30	1.34	1.29	1.31	2355154	36961600.000
01/30/2012	1.31	1.33	1.30	1.31	1450139	22782028.000
01/31/2012	1.31	1.31	1.28	1.29	1694754	26170068.000
02/01/2012	1.29	1.32	1.29	1.30	1730146	27019484.000
02/02/2012	1.30	1.32	1.29	1.32	2104782	32871954.000
02/03/2012	1.31	1.36	1.31	1.35	3618728	57605728.000
02/06/2012	1.35	1.39	1.32	1.38	5520215	89885672.000
02/07/2012	1.37	1.37	1.32	1.34	3647296	58485396.000
02/08/2012	1.33	1.38	1.32	1.37	3208920	52079312.000
02/09/2012	1.37	1.39	1.36	1.37	5139116	84353648.000
02/10/2012	1.37	1.41	1.37	1.40	5326958	88357336.000
02/13/2012	1.38	1.42	1.38	1.41	3652472	60925912.000
02/14/2012	1.41	1.42	1.39	1.40	2675943	44679792.000
02/15/2012	1.39	1.41	1.38	1.40	5682666	94589688.000
02/16/2012	1.40	1.40	1.37	1.38	4213914	69681024.000
02/17/2012	1.39	1.39	1.37	1.38	2716295	44790212.000
02/20/2012	1.40	1.41	1.39	1.39	4626150	77117504.000
02/21/2012	1.40	1.40	1.37	1.40	3141349	51968416.000
02/22/2012	1.40	1.49	1.40	1.48	9952679	173136992.000
02/23/2012	1.49	1.55	1.47	1.52	8492290	153608272.000
02/24/2012	1.52	1.54	1.50	1.52	4427567	79793816.000
02/27/2012	1.53	1.54	1.51	1.54	5421263	98581784.000
02/28/2012	1.53	1.57	1.52	1.55	5725529	105078544.000
02/29/2012	1.54	1.54	1.49	1.49	3849159	69332960.000
03/01/2012	1.49	1.53	1.48	1.51	2411358	43287256.000
03/02/2012	1.51	1.57	1.51	1.56	3949547	72468968.000
03/05/2012	1.56	1.57	1.53	1.53	3471755	63925684.000
03/06/2012	1.52	1.53	1.50	1.50	2972600	53410224.000
03/07/2012	1.48	1.53	1.47	1.48	2327544	41574572.000
03/08/2012	1.50	1.54	1.49	1.52	2834385	51318856.000
03/09/2012	1.52	1.58	1.52	1.58	4804240	88896456.000
03/12/2012	1.59	1.60	1.56	1.58	3319697	62361120.000
03/13/2012	1.57	1.69	1.56	1.66	5544278	107431928.000
03/14/2012	1.66	1.67	1.55	1.57	6743568	129195512.000
03/15/2012	1.57	1.59	1.52	1.56	3229560	59311056.000
03/16/2012	1.56	1.60	1.55	1.59	2864973	53841900.000
03/19/2012	1.59	1.62	1.57	1.62	2449896	46274416.000
03/20/2012	1.61	1.61	1.54	1.55	2301510	43124532.000
03/21/2012	1.55	1.57	1.50	1.55	2396962	43757088.000
03/22/2012	1.54	1.56	1.52	1.52	1391120	25324912.000
03/23/2012	1.52	1.53	1.49	1.50	1522131	27383934.000
03/26/2012	1.48	1.50	1.46	1.47	1779798	31355362.000
03/27/2012	1.48	1.50	1.45	1.47	1319583	23256504.000
03/28/2012	1.45	1.47	1.39	1.39	1797374	30348932.000
03/29/2012	1.40	1.41	1.31	1.33	3081183	49697148.000
03/30/2012	1.34	1.35	1.32	1.34	1507538	23994244.000
04/05/2012	1.39	1.48	1.39	1.48	6916152	120004232.000
04/06/2012	1.50	1.50	1.44	1.47	5698029	99704592.000
04/09/2012	1.45	1.46	1.43	1.44	2537349	43582176.000
04/10/2012	1.42	1.45	1.37	1.44	3200029	53755080.000
04/11/2012	1.42	1.44	1.40	1.43	2230476	37819984.000
04/12/2012	1.42	1.47	1.42	1.46	3869443	66822960.000
04/13/2012	1.46	1.49	1.45	1.48	3201464	56156800.000
04/16/2012	1.47	1.49	1.46	1.48	2123759	37310280.000
04/17/2012	1.48	1.48	1.46	1.46	2310982	40382736.000
04/18/2012	1.46	1.50	1.46	1.50	3322998	58708868.000
04/19/2012	1.50	1.50	1.48	1.49	1864416	33091596.000
04/20/2012	1.49	1.52	1.48	1.52	2887467	51631544.000
04/23/2012	1.49	1.49	1.38	1.40	7164135	121061568.000
04/24/2012	1.39	1.41	1.35	1.40	2641740	43575120.000
04/25/2012	1.40	1.42	1.38	1.41	1670536	27967568.000
04/26/2012	1.50	1.50	1.41	1.46	3080856	53383316.000
04/27/2012	1.45	1.48	1.43	1.44	2222984	38579832.000
05/02/2012	1.47	1.51	1.44	1.49	4551874	79591936.000
05/04/2012	1.49	1.51	1.47	1.50	3060394	54203764.000
05/07/2012	1.48	1.54	1.48	1.53	3532872	64070188.000
05/08/2012	1.53	1.54	1.50	1.53	2174129	39321388.000
05/09/2012	1.51	1.51	1.48	1.48	1900256	33788932.000
05/10/2012	1.49	1.50	1.48	1.49	1578543	28043788.000
05/11/2012	1.49	1.51	1.48	1.48	1475072	26226904.000
05/14/2012	1.49	1.51	1.48	1.48	1414149	25050404.000
05/15/2012	1.45	1.46	1.44	1.45	1535427	26425448.000
05/16/2012	1.44	1.45	1.40	1.40	2259160	38190292.000
05/17/2012	1.40	1.42	1.39	1.42	1357710	22838960.000
05/18/2012	1.42	1.44	1.42	1.42	2583994	44013932.000
05/21/2012	1.42	1.43	1.41	1.43	1358706	23063596.000
05/22/2012	1.43	1.45	1.43	1.44	1884245	32294428.000
05/23/2012	1.44	1.44	1.39	1.40	2573208	43303968.000
05/24/2012	1.40	1.45	1.39	1.40	2342245	19693116.000
05/25/2012	1.39	1.39	1.32	1.33	3908992	31241332.000
05/28/2012	1.33	1.35	1.29	1.35	3028424	23695292.000
05/29/2012	1.34	1.38	1.33	1.38	4082162	32948164.000
05/30/2012	1.38	1.38	1.35	1.36	2837152	22915548.000
05/31/2012	1.36	1.38	1.35	1.37	2593957	21051744.000
06/01/2012	1.37	1.38	1.35	1.36	2257784	18304572.000
06/04/2012	1.33	1.33	1.29	1.30	4310645	33458284.000
06/05/2012	1.30	1.30	1.27	1.28	3002288	22925182.000
06/06/2012	1.29	1.29	1.26	1.26	2000467	15113951.000
06/07/2012	1.28	1.28	1.24	1.24	2467743	18435112.000
06/08/2012	1.27	1.27	1.24	1.25	1870929	13924427.000
06/11/2012	1.26	1.27	1.24	1.26	1732559	12940719.000
06/12/2012	1.26	1.26	1.24	1.24	1755518	12994625.000
06/13/2012	1.24	1.26	1.24	1.26	2597152	19306448.000
06/14/2012	1.26	1.31	1.26	1.29	4413742	33858440.000
06/15/2012	1.29	1.29	1.26	1.28	2649076	20044062.000
06/18/2012	1.30	1.30	1.28	1.29	2058909	15815422.000
06/19/2012	1.29	1.30	1.28	1.29	1882364	14416133.000
06/20/2012	1.30	1.30	1.28	1.28	1836771	14026173.000
06/21/2012	1.28	1.28	1.24	1.25	1745211	12987359.000
06/25/2012	1.25	1.25	1.20	1.20	2491153	18089816.000
06/26/2012	1.20	1.20	1.19	1.20	1559473	11087543.000
