601328 交通银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.36	3.36	3.30	3.31	50240228	225053856.000
01/05/2012	3.31	3.46	3.30	3.42	109265494	495813088.000
01/06/2012	3.40	3.51	3.40	3.46	75901357	349354112.000
01/09/2012	3.46	3.57	3.45	3.56	83258356	387547104.000
01/10/2012	3.55	3.62	3.52	3.60	81933095	386427008.000
01/11/2012	3.60	3.63	3.57	3.58	49609197	235064688.000
01/12/2012	3.58	3.65	3.57	3.60	62842573	298832192.000
01/13/2012	3.62	3.64	3.56	3.62	60783899	288374336.000
01/16/2012	3.58	3.62	3.58	3.60	37353815	177258640.000
01/17/2012	3.59	3.73	3.55	3.71	87898503	420114208.000
01/18/2012	3.70	3.71	3.60	3.62	54747436	262468944.000
01/19/2012	3.62	3.71	3.61	3.69	66334587	319473856.000
01/20/2012	3.71	3.79	3.69	3.78	71532837	348955392.000
01/30/2012	3.79	3.82	3.69	3.70	63400997	309600800.000
01/31/2012	3.71	3.74	3.68	3.70	28665235	138967920.000
02/01/2012	3.69	3.73	3.63	3.64	32055542	154375872.000
02/02/2012	3.66	3.80	3.64	3.79	66185099	322651360.000
02/03/2012	3.77	3.91	3.76	3.88	90824711	452190560.000
02/06/2012	3.88	3.95	3.87	3.94	93499013	472648544.000
02/07/2012	3.91	3.92	3.80	3.82	71132095	354838752.000
02/08/2012	3.81	3.96	3.79	3.94	100719481	505685472.000
02/09/2012	3.92	3.94	3.88	3.89	51900247	261817648.000
02/10/2012	3.87	3.92	3.80	3.81	87405285	436830176.000
02/13/2012	3.78	3.81	3.73	3.75	97152362	476836000.000
02/14/2012	3.76	3.77	3.70	3.75	54600575	265547648.000
02/15/2012	3.73	3.81	3.72	3.75	41731560	204888432.000
02/16/2012	3.75	3.80	3.71	3.73	46819710	229213488.000
02/17/2012	3.76	3.81	3.76	3.79	66897537	329759232.000
02/20/2012	3.85	3.87	3.80	3.81	48197529	239716512.000
02/21/2012	3.83	3.83	3.77	3.82	32847697	162648848.000
02/22/2012	3.82	3.84	3.78	3.82	38028423	188173504.000
02/23/2012	3.81	3.83	3.79	3.81	52726207	260859504.000
02/24/2012	3.82	3.85	3.78	3.85	103075774	509992800.000
02/27/2012	3.86	3.89	3.83	3.85	85596168	428580896.000
02/28/2012	3.86	3.95	3.85	3.93	112376297	568339584.000
02/29/2012	3.93	3.93	3.87	3.88	43165884	217123872.000
03/01/2012	3.89	3.91	3.87	3.87	32974846	165924096.000
03/02/2012	3.88	3.93	3.87	3.91	48373774	243806688.000
03/05/2012	3.92	3.93	3.84	3.85	63476591	319539104.000
03/06/2012	3.85	3.87	3.79	3.79	53516512	266036432.000
03/07/2012	3.76	3.82	3.74	3.75	46257326	227485792.000
03/08/2012	3.76	3.80	3.75	3.76	44706982	219642464.000
03/09/2012	3.77	3.80	3.75	3.78	35792435	175950432.000
03/12/2012	3.77	3.78	3.72	3.72	51849806	253157792.000
03/13/2012	3.73	3.78	3.72	3.77	35260337	172790864.000
03/14/2012	3.79	3.82	3.71	3.73	84901456	417157888.000
03/16/2012	3.71	3.76	3.68	3.70	75946924	368258240.000
03/19/2012	3.69	3.70	3.64	3.65	56985905	273943712.000
03/20/2012	3.64	3.65	3.59	3.61	40174274	191217968.000
03/21/2012	3.64	3.64	3.59	3.59	39572491	188034384.000
03/22/2012	3.60	3.63	3.57	3.60	40133658	190182240.000
03/23/2012	3.60	3.60	3.56	3.58	38596515	182316928.000
03/26/2012	3.59	3.61	3.58	3.60	18061148	85496984.000
03/27/2012	3.61	3.62	3.59	3.61	21047192	99789776.000
03/28/2012	3.60	3.62	3.55	3.55	40074529	189770080.000
03/29/2012	3.54	3.57	3.49	3.51	43026340	201022880.000
03/30/2012	3.52	3.59	3.51	3.57	38629220	181462816.000
04/05/2012	3.55	3.56	3.49	3.53	72221201	336528512.000
04/06/2012	3.52	3.54	3.50	3.53	34198817	159268304.000
04/09/2012	3.51	3.52	3.49	3.49	23966748	111193552.000
04/10/2012	3.50	3.54	3.49	3.53	26921886	125165456.000
04/11/2012	3.51	3.55	3.50	3.51	31400906	146215104.000
04/12/2012	3.51	3.59	3.50	3.58	59741270	279882272.000
04/13/2012	3.58	3.61	3.55	3.60	61854532	291615872.000
04/16/2012	3.57	3.60	3.56	3.58	28247001	133256320.000
04/17/2012	3.58	3.59	3.55	3.57	30935569	145547504.000
04/18/2012	3.58	3.67	3.56	3.66	59799288	285012448.000
04/19/2012	3.65	3.68	3.63	3.68	41313979	197895584.000
04/20/2012	3.66	3.73	3.65	3.71	47853032	231186176.000
04/23/2012	3.69	3.70	3.67	3.69	33226978	160409184.000
04/24/2012	3.69	3.80	3.68	3.73	84317998	410963392.000
04/25/2012	3.71	3.75	3.69	3.72	57537176	279544544.000
04/26/2012	3.73	3.76	3.69	3.72	49822406	241955568.000
04/27/2012	3.72	3.76	3.70	3.75	51714990	252357488.000
05/02/2012	3.81	3.82	3.78	3.79	82660901	408610080.000
05/03/2012	3.78	3.80	3.74	3.78	43206251	212164080.000
05/04/2012	3.77	3.81	3.76	3.79	82506932	405935200.000
05/07/2012	3.77	3.80	3.74	3.76	80722460	395893824.000
05/08/2012	3.77	3.78	3.74	3.75	89720674	439487392.000
05/10/2012	3.70	3.76	3.66	3.74	133272118	645144832.000
05/11/2012	3.71	3.74	3.67	3.67	53785598	260518016.000
05/14/2012	3.70	3.71	3.62	3.64	58501603	281320672.000
05/15/2012	3.62	3.66	3.58	3.60	70908848	337007904.000
05/16/2012	3.58	3.60	3.53	3.54	53143724	249735552.000
05/17/2012	3.55	3.59	3.53	3.57	37648917	177010720.000
05/18/2012	3.55	3.56	3.52	3.53	53374110	249841888.000
05/21/2012	3.53	3.58	3.53	3.57	34425311	161771296.000
05/22/2012	3.58	3.60	3.55	3.59	36434275	171688144.000
05/23/2012	3.58	3.60	3.55	3.57	35871015	169096784.000
05/24/2012	3.57	3.61	3.56	3.58	32530380	153757680.000
05/25/2012	3.58	3.61	3.56	3.58	36322303	171660496.000
05/28/2012	3.56	3.62	3.55	3.61	47319862	223566416.000
05/29/2012	3.61	3.66	3.57	3.65	60052743	285589056.000
05/30/2012	3.64	3.66	3.60	3.63	34899710	166205344.000
05/31/2012	3.63	3.63	3.56	3.57	42389600	196333312.000
06/01/2012	3.56	3.62	3.56	3.58	58041630	268148000.000
06/04/2012	3.56	3.56	3.51	3.51	45402968	207538000.000
06/05/2012	3.53	3.55	3.51	3.52	34865187	159198592.000
06/06/2012	3.53	3.57	3.51	3.56	43138580	197859680.000
06/07/2012	3.57	3.58	3.52	3.52	36085560	165945792.000
06/08/2012	3.52	3.52	3.41	3.46	56721433	255934128.000
06/11/2012	3.48	3.51	3.45	3.47	35541196	160599168.000
06/12/2012	3.46	3.47	3.38	3.41	43747708	194810816.000
06/13/2012	3.42	3.45	3.40	3.43	38412199	171576464.000
06/14/2012	3.43	3.43	3.40	3.41	23952004	106597920.000
06/15/2012	3.42	3.52	3.41	3.49	43734483	197177440.000
06/18/2012	3.51	3.51	3.45	3.47	36354285	164061840.000
06/19/2012	3.47	3.51	3.45	3.48	23677459	107059712.000
06/20/2012	3.50	3.52	3.48	3.49	24092609	109436000.000
06/21/2012	3.49	3.51	3.43	3.47	33541945	151238224.000
06/25/2012	3.47	3.51	3.45	3.47	48711175	220670848.000
06/26/2012	3.47	3.52	3.47	3.49	42975759	195049792.000
06/27/2012	3.49	3.51	3.45	3.46	34444785	156070576.000
06/29/2012	3.46	3.51	3.44	3.50	49933048	225480736.000
07/02/2012	3.50	3.50	3.44	3.46	43037480	193638048.000
07/03/2012	3.45	3.49	3.44	3.46	31083821	140102704.000
07/04/2012	3.46	3.49	3.46	3.47	32445285	146437216.000
