601339 百隆东方 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/12/2012	5.63	6.03	5.62	5.79	33198945	412397696.000
06/13/2012	5.72	5.91	5.67	5.87	14200534	176655168.000
06/14/2012	5.83	5.89	5.76	5.88	10867164	134306976.000
06/15/2012	5.85	5.90	5.75	5.80	7755522	96043776.000
06/18/2012	5.82	5.86	5.78	5.82	5350667	66237232.000
06/19/2012	5.81	5.81	5.67	5.69	6914658	84369208.000
06/20/2012	5.69	5.77	5.67	5.75	4686722	57142728.000
06/21/2012	5.73	5.75	5.67	5.68	4257623	51588620.000
06/25/2012	5.64	5.64	5.39	5.40	8235281	96297160.000
06/26/2012	5.39	5.40	5.23	5.31	4796310	54376780.000
06/27/2012	5.31	5.40	5.29	5.31	3105471	35499448.000
06/28/2012	5.31	5.35	5.13	5.14	4260455	47827008.000
06/29/2012	5.15	5.26	5.15	5.25	2551209	28504906.000
07/02/2012	5.26	5.34	5.25	5.30	2865950	32525846.000
07/03/2012	5.31	5.33	5.26	5.31	2900880	32913194.000
07/04/2012	5.32	5.57	5.32	5.45	7717126	90127104.000
07/05/2012	5.49	5.49	5.24	5.26	4865181	55589184.000
07/06/2012	5.29	5.36	5.18	5.33	3843646	43363832.000
07/09/2012	5.29	5.32	5.18	5.18	2794111	31386540.000
07/10/2012	5.18	5.22	5.15	5.18	2026418	22484012.000
07/11/2012	5.18	5.35	5.18	5.28	2789689	31517634.000
07/12/2012	5.28	5.34	5.22	5.32	2561988	28997268.000
07/13/2012	5.30	5.30	5.17	5.18	5187519	57832688.000
07/16/2012	5.18	5.20	4.74	4.75	7672906	80508608.000
07/17/2012	4.76	4.79	4.72	4.78	2205605	22608420.000
07/18/2012	4.77	4.88	4.74	4.87	2844761	29506900.000
07/19/2012	4.84	4.93	4.81	4.85	4002237	41968040.000
07/20/2012	4.84	4.85	4.75	4.76	2668065	27537468.000
07/23/2012	4.73	4.77	4.70	4.73	1935231	19751464.000
07/24/2012	4.71	4.80	4.70	4.76	1713340	17597144.000
07/25/2012	4.76	4.90	4.74	4.82	3582403	37387880.000
07/26/2012	4.80	4.83	4.75	4.76	2180158	22470676.000
07/27/2012	4.78	4.82	4.75	4.78	1717764	17708836.000
07/30/2012	4.53	4.53	4.26	4.26	9207008	85810584.000
07/31/2012	4.16	4.20	4.02	4.04	6052671	53616152.000
08/01/2012	4.04	4.10	4.03	4.06	2833566	25158592.000
08/02/2012	4.05	4.06	3.95	3.99	3077791	26897460.000
08/03/2012	4.00	4.07	3.97	4.07	2670189	23529922.000
08/06/2012	4.03	4.16	4.02	4.15	3874429	34709816.000
08/07/2012	4.15	4.21	4.13	4.18	3517600	31917760.000
08/08/2012	4.18	4.19	4.11	4.14	2527231	22880316.000
08/09/2012	4.13	4.20	4.11	4.20	2760572	25065468.000
08/10/2012	4.18	4.26	4.18	4.21	2529764	23176864.000
08/13/2012	4.21	4.21	4.04	4.04	2845400	25546218.000
08/14/2012	4.03	4.07	3.99	4.06	2570005	22603468.000
08/15/2012	4.06	4.08	4.02	4.05	1612752	14257784.000
08/16/2012	4.03	4.06	4.02	4.03	1080635	9537627.000
08/17/2012	4.06	4.12	4.02	4.11	1841386	16358746.000
08/20/2012	4.05	4.11	4.01	4.10	1884308	16721200.000
08/21/2012	4.10	4.16	4.07	4.15	2619400	23634782.000
08/22/2012	4.13	4.16	4.06	4.08	2126688	19011566.000
08/23/2012	4.07	4.21	4.07	4.20	3696477	33451082.000
08/24/2012	4.17	4.21	4.07	4.09	2871257	25903768.000
08/27/2012	4.05	4.05	3.91	3.91	3225648	27922116.000
08/28/2012	3.89	3.96	3.89	3.92	1985707	17056648.000
08/29/2012	3.91	3.95	3.88	3.89	1262425	10820037.000
08/30/2012	3.89	3.92	3.79	3.84	2188648	18471484.000
08/31/2012	3.84	3.86	3.81	3.82	1095500	9211264.000
09/03/2012	3.81	3.86	3.80	3.84	2653112	22316408.000
09/04/2012	3.84	3.86	3.80	3.82	1812100	15228385.000
09/05/2012	3.83	3.89	3.80	3.85	1868574	15779745.000
09/06/2012	3.84	3.91	3.84	3.91	2100373	17887882.000
09/07/2012	3.93	4.11	3.92	4.06	6788314	59759192.000
09/10/2012	4.06	4.10	4.02	4.08	3890923	34542528.000
09/11/2012	4.07	4.21	4.04	4.11	5084530	45819396.000
09/12/2012	4.12	4.14	4.06	4.10	2797668	24977862.000
09/13/2012	4.11	4.13	4.05	4.06	2213591	19767804.000
09/14/2012	4.09	4.11	4.01	4.05	2396336	21217594.000
09/17/2012	4.05	4.05	3.84	3.84	2461821	21265586.000
09/18/2012	3.83	3.87	3.82	3.82	1367156	11523146.000
09/19/2012	3.83	3.88	3.83	3.88	965247	8161731.000
09/20/2012	3.88	3.89	3.74	3.75	1947729	16281864.000
09/21/2012	3.73	3.85	3.73	3.77	1003221	8320591.000
09/24/2012	3.78	3.78	3.73	3.76	1416424	11679179.000
09/25/2012	3.77	3.77	3.69	3.70	1167810	9576063.000
09/26/2012	3.69	3.72	3.59	3.59	1490262	11976918.000
09/27/2012	3.60	3.71	3.58	3.68	2397937	19266572.000
09/28/2012	3.65	3.71	3.64	3.71	1773890	14406296.000
10/08/2012	3.68	3.70	3.62	3.65	1465752	11796975.000
10/09/2012	3.65	3.77	3.65	3.76	2919643	23925732.000
10/10/2012	3.73	3.78	3.72	3.78	1943449	16053477.000
10/11/2012	3.76	3.77	3.71	3.72	1664341	13670648.000
10/12/2012	3.71	3.75	3.65	3.70	1942678	15795363.000
10/15/2012	3.70	3.70	3.61	3.64	1451479	11643456.000
10/16/2012	3.63	3.68	3.62	3.63	1180999	9495668.000
10/17/2012	3.64	3.67	3.61	3.66	1191423	9564789.000
10/18/2012	3.67	3.74	3.66	3.73	2364139	19353230.000
10/19/2012	3.73	3.75	3.70	3.72	1221889	10015458.000
10/22/2012	3.71	3.74	3.69	3.74	1077188	8826070.000
10/23/2012	3.74	3.74	3.69	3.70	1282190	10480000.000
10/24/2012	3.69	3.70	3.66	3.68	1005513	8153467.000
10/25/2012	3.69	3.71	3.67	3.67	1148937	9321939.000
10/26/2012	3.61	3.66	3.51	3.51	3368888	26561640.000
10/29/2012	3.50	3.54	3.49	3.51	1071600	8333455.000
10/30/2012	3.52	3.56	3.51	3.53	760588	5955354.000
10/31/2012	3.54	3.55	3.51	3.53	594609	4637218.000
11/01/2012	3.52	3.59	3.52	3.57	1678645	13227497.000
11/02/2012	3.60	3.65	3.60	3.63	2235248	17867188.000
11/05/2012	3.61	3.63	3.58	3.59	907597	7198822.000
11/06/2012	3.59	3.60	3.52	3.55	1487936	11649132.000
11/07/2012	3.53	3.56	3.53	3.55	634749	4977366.000
11/08/2012	3.54	3.55	3.46	3.47	1317099	10224586.000
11/09/2012	3.47	3.56	3.44	3.52	1620072	12543474.000
11/12/2012	3.52	3.57	3.49	3.56	1525200	11914321.000
11/13/2012	3.54	3.61	3.49	3.61	2838551	22362720.000
11/14/2012	3.59	3.61	3.55	3.60	1405767	11117782.000
11/15/2012	3.57	3.62	3.48	3.50	1990528	15674535.000
11/16/2012	3.52	3.62	3.49	3.61	2984587	23486376.000
11/19/2012	3.60	3.65	3.56	3.65	2478771	19734544.000
11/20/2012	3.65	3.65	3.57	3.58	1574741	12505932.000
11/21/2012	3.57	3.60	3.52	3.59	1673317	13154978.000
11/22/2012	3.59	3.65	3.55	3.63	2749676	21937808.000
11/23/2012	3.63	3.64	3.57	3.60	1885602	14989107.000
11/26/2012	3.58	3.58	3.49	3.49	1985113	15484830.000
11/27/2012	3.48	3.50	3.36	3.37	1967808	14903596.000
11/28/2012	3.37	3.37	3.29	3.31	1067630	7888055.000
11/29/2012	3.32	3.34	3.24	3.24	923080	6772867.000
11/30/2012	3.26	3.29	3.24	3.27	713908	5192116.000
12/03/2012	3.27	3.28	3.22	3.22	903000	6542557.000
12/04/2012	3.23	3.30	3.20	3.28	1181150	8531508.000
12/05/2012	3.28	3.45	3.23	3.40	3272000	24420424.000
12/06/2012	3.36	3.40	3.34	3.34	1166496	8707106.000
12/07/2012	3.34	3.43	3.33	3.43	2096326	15787993.000
12/10/2012	3.39	3.47	3.39	3.47	2963295	22612512.000
12/11/2012	3.44	3.47	3.41	3.41	1933863	14761038.000
12/12/2012	3.42	3.43	3.34	3.38	1722644	12928021.000
12/13/2012	3.38	3.38	3.33	3.34	1251902	9312218.000
12/14/2012	3.33	3.49	3.33	3.47	5275017	40225280.000
12/17/2012	3.48	3.50	3.42	3.48	3981890	30554832.000
12/18/2012	3.47	3.51	3.45	3.48	3612066	27796796.000
12/19/2012	3.48	3.54	3.48	3.50	4815259	37468460.000
12/20/2012	3.50	3.56	3.48	3.53	3564123	27740878.000
12/21/2012	3.54	3.62	3.50	3.62	6760961	53292216.000
12/24/2012	3.63	3.70	3.57	3.61	6005902	48201776.000
12/25/2012	3.61	3.73	3.57	3.72	6704559	54225280.000
12/26/2012	3.71	3.89	3.69	3.88	8835684	73806248.000
12/27/2012	3.90	3.90	3.73	3.73	6859917	57220144.000
12/28/2012	3.71	3.75	3.65	3.74	4102653	33520788.000
12/31/2012	3.73	3.80	3.72	3.78	3026540	25048490.000
01/04/2013	3.81	3.90	3.71	3.74	3648721	30365272.000
01/07/2013	3.72	3.74	3.67	3.71	3522336	28620402.000
01/08/2013	3.70	3.77	3.69	3.74	2823742	23213328.000
01/09/2013	3.72	3.79	3.71	3.77	4168830	34493116.000
01/10/2013	3.76	3.81	3.73	3.78	2869836	23817928.000
01/11/2013	3.78	3.79	3.65	3.68	3339241	27384940.000
01/14/2013	3.66	3.82	3.65	3.79	4553483	37597112.000
01/15/2013	3.78	3.90	3.78	3.88	6786343	57302116.000
01/16/2013	3.86	3.88	3.79	3.84	4158030	34929876.000
01/17/2013	3.81	3.84	3.76	3.76	2752166	22888688.000
01/18/2013	3.76	3.83	3.74	3.81	3241287	26927204.000
01/21/2013	3.81	3.86	3.81	3.85	3017979	25396616.000
01/22/2013	3.85	3.89	3.79	3.80	3965066	33387636.000
01/23/2013	3.78	3.81	3.75	3.79	2323143	19272148.000
01/24/2013	3.77	3.84	3.68	3.71	3791874	31390356.000
01/25/2013	3.72	3.73	3.69	3.70	1173327	9562707.000
01/28/2013	3.69	3.76	3.69	3.76	1922646	15778969.000
01/29/2013	3.73	3.74	3.66	3.73	4506570	36741028.000
01/30/2013	3.73	3.75	3.68	3.73	2597682	21221750.000
01/31/2013	3.70	3.73	3.68	3.69	2423711	19710142.000
02/01/2013	3.69	3.73	3.67	3.73	2611878	21310320.000
02/04/2013	3.74	3.77	3.70	3.74	2845913	23431770.000
02/05/2013	3.73	3.89	3.71	3.83	4890001	40994576.000
02/06/2013	3.82	3.88	3.78	3.84	3102346	26141976.000
02/07/2013	3.84	3.87	3.78	3.81	1738000	14556054.000
02/08/2013	3.81	4.01	3.81	3.93	5295843	45487288.000
02/18/2013	3.94	3.97	3.89	3.92	2781101	23857520.000
02/19/2013	3.93	3.93	3.82	3.83	2885430	24477840.000
02/20/2013	3.83	3.89	3.83	3.88	1809905	15323710.000
02/21/2013	3.87	3.87	3.75	3.78	2976539	24859864.000
02/22/2013	3.78	3.82	3.77	3.77	2101495	17501426.000
02/25/2013	3.78	3.82	3.77	3.79	1145929	9530529.000
02/26/2013	3.77	3.84	3.73	3.76	2472424	20584854.000
02/27/2013	3.76	3.80	3.71	3.73	1595894	13151911.000
02/28/2013	3.74	3.80	3.73	3.80	1325146	10983235.000
03/01/2013	3.79	3.85	3.79	3.84	2092363	17527358.000
03/04/2013	3.82	3.83	3.70	3.72	2643740	21760452.000
03/05/2013	3.72	3.79	3.71	3.78	1811775	14906560.000
03/06/2013	3.78	3.88	3.76	3.88	3548407	29874596.000
03/07/2013	3.88	3.91	3.84	3.89	3480951	29624136.000
03/08/2013	3.90	3.93	3.88	3.89	2173818	18551928.000
03/11/2013	3.92	4.26	3.92	4.12	14347498	129907928.000
03/12/2013	4.15	4.16	3.99	4.07	6606989	58495064.000
03/13/2013	4.07	4.09	3.94	4.01	2820131	24637748.000
03/14/2013	3.99	4.24	3.97	4.13	6550811	59089076.000
03/15/2013	4.13	4.22	4.05	4.07	4899410	44202320.000
03/18/2013	3.96	4.04	3.88	3.88	3849508	33344696.000
03/19/2013	3.89	3.96	3.87	3.95	3073145	26311892.000
03/20/2013	3.98	4.09	3.94	4.08	4392246	38625064.000
03/21/2013	4.05	4.11	3.99	4.02	4241391	37453504.000
03/22/2013	4.00	4.18	3.99	4.17	4259065	38106592.000
03/25/2013	4.24	4.31	4.18	4.18	6622682	61044032.000
03/26/2013	4.15	4.24	4.08	4.22	4934628	44874088.000
03/27/2013	4.21	4.24	4.13	4.17	2820426	25657360.000
03/28/2013	4.17	4.17	4.03	4.06	2958997	26313352.000
03/29/2013	4.05	4.08	3.95	3.98	2219202	19512418.000
04/01/2013	3.95	4.04	3.94	4.00	1811432	15844917.000
04/02/2013	4.01	4.04	3.90	3.93	1936826	16778424.000
04/03/2013	3.93	3.98	3.88	3.94	1423569	12235191.000
04/08/2013	3.91	3.91	3.73	3.81	3582320	29863572.000
04/09/2013	3.80	3.86	3.80	3.84	1265108	10644318.000
04/10/2013	3.82	3.86	3.67	3.70	3733529	30584588.000
04/11/2013	3.73	3.75	3.71	3.74	1727283	14174375.000
04/12/2013	3.72	3.74	3.72	3.72	1640065	13438448.000
04/15/2013	3.70	3.74	3.70	3.74	1118562	9167623.000
04/16/2013	3.72	3.81	3.72	3.80	1657372	13741828.000
04/17/2013	3.80	3.81	3.77	3.80	704654	5867418.000
04/18/2013	3.77	3.82	3.77	3.80	671097	5606218.000
04/19/2013	3.81	3.83	3.74	3.81	2394882	19994584.000
04/22/2013	3.78	3.80	3.72	3.75	2094094	17309440.000
04/23/2013	3.75	3.77	3.72	3.72	2023030	16630166.000
04/24/2013	3.72	3.77	3.72	3.77	888803	7334208.000
04/25/2013	3.74	3.79	3.70	3.70	1284218	10560279.000
04/26/2013	3.75	3.82	3.74	3.75	2118085	17632618.000
05/02/2013	3.75	3.80	3.74	3.80	1206613	9996094.000
05/03/2013	3.80	3.85	3.78	3.84	2028726	17053976.000
05/06/2013	3.85	3.86	3.81	3.85	1643385	13850593.000
05/07/2013	3.85	3.87	3.84	3.86	1062527	8982346.000
05/08/2013	3.87	4.03	3.86	3.98	3977884	34456000.000
05/09/2013	3.98	3.99	3.88	3.94	2361151	20320004.000
05/10/2013	3.93	3.97	3.90	3.97	1136416	9822056.000
05/13/2013	3.99	4.03	3.95	3.97	1139894	9908936.000
05/14/2013	3.96	3.96	3.87	3.89	1451577	12414462.000
05/15/2013	3.88	3.94	3.86	3.90	1154525	9851572.000
05/16/2013	3.90	4.01	3.88	3.98	2164001	18765226.000
05/17/2013	3.98	4.11	3.98	4.07	4368646	38827536.000
05/20/2013	4.08	4.12	4.06	4.10	3310346	29565192.000
05/21/2013	4.13	4.14	4.07	4.10	2471744	22061458.000
05/22/2013	4.10	4.31	4.08	4.20	7882930	72340888.000
05/23/2013	4.18	4.21	4.08	4.08	3842078	34765716.000
05/24/2013	4.08	4.16	4.06	4.14	2587915	23171194.000
05/27/2013	4.13	4.19	4.13	4.16	2503423	22655856.000
05/28/2013	4.19	4.33	4.16	4.32	6793616	62860524.000
05/29/2013	4.34	4.40	4.27	4.33	4683819	44117056.000
05/30/2013	4.32	4.41	4.29	4.33	4142314	39186868.000
05/31/2013	4.41	4.50	4.33	4.34	6355691	60917944.000
06/03/2013	4.36	4.45	4.31	4.37	4957627	47138672.000
06/04/2013	4.37	4.39	4.14	4.17	5929486	54382780.000
06/05/2013	4.20	4.20	4.10	4.13	2742255	24789602.000
06/06/2013	4.13	4.15	4.08	4.10	1940192	17392700.000
06/07/2013	4.12	4.13	4.03	4.04	2338939	20728868.000
06/13/2013	4.00	4.00	3.83	3.87	2325696	19768356.000
06/14/2013	3.91	3.96	3.87	3.93	2160254	18555550.000
06/17/2013	3.93	4.06	3.92	4.00	2024744	17693892.000
06/18/2013	4.00	4.09	4.00	4.05	2227173	19690754.000
06/19/2013	4.05	4.05	3.95	4.03	1624078	14161634.000
06/20/2013	4.01	4.01	3.90	3.91	1472788	12722630.000
06/21/2013	3.91	3.98	3.83	3.97	1105380	9482810.000
06/24/2013	3.97	3.98	3.69	3.72	2738392	22987852.000
06/25/2013	3.68	3.77	3.34	3.62	3859350	30254732.000
06/26/2013	3.61	3.69	3.50	3.68	2017629	16123023.000
06/27/2013	3.69	3.73	3.47	3.47	2482347	19396154.000
06/28/2013	3.48	3.53	3.39	3.45	3078956	23314112.000
07/01/2013	3.46	3.49	3.43	3.49	1053071	7970785.000
07/02/2013	3.49	3.57	3.49	3.52	2048666	15775683.000
07/03/2013	3.53	3.54	3.38	3.49	2287349	17233880.000
07/04/2013	3.46	3.56	3.43	3.54	1669145	12833977.000
07/05/2013	3.53	3.60	3.53	3.54	1417050	11021563.000
07/08/2013	3.53	3.53	3.43	3.44	1535180	11648477.000
07/09/2013	3.50	3.50	3.45	3.47	707040	5364895.000
07/10/2013	3.47	3.59	3.47	3.58	1532097	11835565.000
07/11/2013	3.58	3.73	3.56	3.69	2968035	23666000.000
07/12/2013	3.70	3.72	3.62	3.63	1316663	10493070.000
07/15/2013	3.64	3.70	3.61	3.69	1070272	8534764.000
07/16/2013	3.68	3.79	3.65	3.77	2138586	17216836.000
07/17/2013	3.73	3.90	3.70	3.76	2485235	20490812.000
07/18/2013	3.88	3.97	3.79	3.82	3950184	33046716.000
07/19/2013	3.88	3.88	3.66	3.67	3723144	30357804.000
07/22/2013	3.64	3.72	3.60	3.72	1128184	9014606.000
07/23/2013	3.74	3.81	3.68	3.76	3773010	30690588.000
07/24/2013	3.74	3.76	3.68	3.72	2159726	17432600.000
07/25/2013	3.71	3.75	3.69	3.70	1573302	12702696.000
07/26/2013	3.70	3.70	3.63	3.65	1196420	9536025.000
07/29/2013	3.65	3.66	3.59	3.61	989299	7809760.000
07/30/2013	3.59	3.64	3.56	3.63	690442	5436013.000
07/31/2013	3.65	3.69	3.64	3.66	820089	6535341.000
08/01/2013	3.66	3.74	3.64	3.74	1363297	11014569.000
08/02/2013	3.74	3.76	3.72	3.74	1344550	10920327.000
08/05/2013	3.75	3.77	3.73	3.77	1234517	10075267.000
08/06/2013	3.77	3.88	3.76	3.88	3459235	28761360.000
08/07/2013	3.88	3.91	3.79	3.83	2285601	19100424.000
08/08/2013	3.83	3.86	3.78	3.85	1195286	9916854.000
08/09/2013	3.84	3.93	3.84	3.92	2393499	20159680.000
08/12/2013	3.93	3.96	3.92	3.96	3046047	25953828.000
08/13/2013	3.97	4.01	3.94	4.00	2070759	17856406.000
08/14/2013	3.99	4.05	3.99	4.05	3463869	30168776.000
08/15/2013	4.02	4.02	3.89	3.90	3638549	31155020.000
08/16/2013	3.87	3.97	3.84	3.84	3119090	26338804.000
08/19/2013	3.83	3.92	3.81	3.91	1216305	10214609.000
08/20/2013	3.91	3.94	3.85	3.88	1375151	11604136.000
08/21/2013	3.88	3.90	3.84	3.89	1095673	9184101.000
08/22/2013	3.88	3.90	3.85	3.86	1384005	11606191.000
08/23/2013	3.88	3.88	3.74	3.78	2067129	17088428.000
08/26/2013	3.78	3.88	3.77	3.87	1478284	12316154.000
08/27/2013	3.87	3.90	3.85	3.89	1440912	12094365.000
08/28/2013	3.86	3.90	3.83	3.87	1625164	13607089.000
