601377 兴业证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.24	5.24	5.14	5.15	17710458	163805408.000
01/05/2012	5.13	5.27	4.98	5.05	26489178	242021520.000
01/06/2012	5.03	5.38	5.03	5.34	38502341	359281696.000
01/09/2012	5.29	5.59	5.23	5.54	36797304	361066720.000
01/10/2012	5.47	5.67	5.43	5.57	30006253	305623200.000
01/11/2012	5.52	5.78	5.48	5.64	30312921	314081216.000
01/12/2012	5.59	5.66	5.52	5.56	17603822	180624320.000
01/13/2012	5.56	5.61	5.40	5.50	17905510	179930560.000
01/16/2012	5.45	5.58	5.37	5.37	13057908	130194384.000
01/17/2012	5.36	5.74	5.28	5.69	25586610	259659920.000
01/18/2012	5.69	6.04	5.64	5.70	30428787	330475616.000
01/19/2012	5.67	5.96	5.66	5.80	23964808	260987424.000
01/20/2012	5.82	5.86	5.71	5.77	16812318	181301760.000
01/30/2012	5.78	5.82	5.68	5.72	11257608	120173360.000
01/31/2012	5.70	5.84	5.70	5.84	12509620	134902320.000
02/01/2012	5.82	5.86	5.63	5.65	15475928	165108800.000
02/02/2012	5.63	5.79	5.56	5.77	19021379	198955424.000
02/03/2012	5.73	5.81	5.65	5.74	15733539	167610736.000
02/06/2012	5.73	5.81	5.67	5.71	14684510	156091744.000
02/07/2012	5.64	5.64	5.46	5.49	26196617	263820032.000
02/08/2012	5.44	5.73	5.44	5.64	23688011	243766656.000
02/09/2012	5.64	5.66	5.58	5.60	17081817	176759920.000
02/10/2012	5.60	5.86	5.56	5.75	34857245	372354112.000
02/13/2012	5.67	5.84	5.64	5.79	25612206	274290848.000
02/14/2012	5.75	5.86	5.68	5.77	20236670	218199824.000
02/15/2012	5.74	6.02	5.73	5.90	34749450	383787200.000
02/16/2012	5.87	5.94	5.81	5.91	19494091	214206576.000
02/17/2012	5.93	5.95	5.85	5.89	17168466	190716960.000
02/20/2012	6.02	6.04	5.83	5.84	17937393	200382304.000
02/21/2012	5.82	5.87	5.76	5.87	13337609	145315920.000
02/22/2012	5.85	6.11	5.83	6.04	31361312	355575968.000
02/23/2012	6.01	6.06	5.96	6.01	20056207	228274192.000
02/24/2012	6.00	6.14	5.97	6.08	29181756	335431008.000
02/27/2012	6.08	6.28	6.08	6.10	42185998	499228864.000
02/28/2012	6.07	6.16	6.03	6.09	27730012	321569408.000
02/29/2012	6.07	6.09	5.95	5.97	15092512	171852384.000
03/01/2012	5.94	6.02	5.92	5.94	10806160	122039560.000
03/02/2012	5.97	6.09	5.96	6.08	19172156	219255456.000
03/05/2012	6.14	6.16	6.02	6.03	20853804	241711792.000
03/06/2012	6.00	6.03	5.92	5.94	15597744	175244480.000
03/07/2012	5.90	6.00	5.87	5.90	14074460	156845504.000
03/08/2012	5.96	6.23	5.94	6.12	35796444	415611648.000
03/09/2012	6.14	6.23	6.11	6.17	23701255	279544608.000
03/12/2012	6.17	6.22	6.10	6.22	18370513	216154784.000
03/13/2012	6.22	6.29	6.17	6.26	19980165	239405840.000
03/14/2012	6.30	6.41	5.98	6.02	36026061	429014976.000
03/15/2012	5.98	6.07	5.91	5.96	17412726	197069232.000
03/16/2012	5.97	6.08	5.95	6.06	18021855	205127632.000
03/19/2012	6.06	6.13	6.00	6.11	12702296	146488528.000
03/20/2012	6.12	6.12	5.91	5.93	16047196	181637712.000
03/21/2012	5.98	6.02	5.79	5.88	18146818	200683728.000
03/22/2012	5.87	5.92	5.80	5.85	12001914	131845912.000
03/23/2012	5.84	5.86	5.75	5.76	10772493	116784512.000
03/26/2012	5.74	5.78	5.72	5.78	6863109	73506960.000
03/27/2012	5.81	5.84	5.75	5.77	10283043	111362648.000
03/28/2012	5.77	5.78	5.42	5.48	18100928	187689216.000
03/29/2012	5.37	5.43	5.21	5.30	17126434	164227680.000
03/30/2012	5.31	5.36	5.26	5.32	10593856	101329792.000
04/05/2012	5.32	5.64	5.28	5.52	18147622	181218336.000
04/06/2012	5.49	5.56	5.47	5.54	12317202	124132608.000
04/09/2012	5.50	5.62	5.44	5.48	12305670	124506304.000
04/10/2012	5.44	5.59	5.37	5.58	12566859	125878648.000
04/11/2012	5.51	5.66	5.49	5.61	15615735	161020592.000
04/12/2012	5.62	5.82	5.60	5.78	22490630	239683920.000
04/13/2012	5.80	5.99	5.77	5.84	24406786	269842560.000
04/16/2012	5.81	6.00	5.80	5.94	20090792	223493792.000
04/17/2012	5.92	5.97	5.75	5.77	17298786	188820288.000
04/18/2012	5.80	6.09	5.78	6.05	31113092	350009536.000
04/19/2012	6.04	6.13	5.99	6.02	22253766	255406336.000
04/20/2012	6.02	6.45	5.99	6.42	62865897	761288384.000
04/23/2012	6.40	6.50	6.31	6.32	42114081	521615168.000
04/24/2012	6.25	6.42	6.10	6.29	33784276	406870464.000
04/25/2012	6.29	6.47	6.19	6.32	30203063	370865408.000
04/26/2012	6.33	6.52	6.19	6.41	39494865	487029088.000
04/27/2012	6.35	6.38	6.25	6.28	19221100	233007728.000
05/02/2012	6.43	6.50	6.35	6.36	26899938	333560672.000
05/03/2012	6.34	6.51	6.29	6.45	24492164	304786784.000
05/04/2012	6.44	6.47	6.31	6.38	22344012	275064832.000
05/07/2012	6.36	6.42	6.21	6.28	21657655	262342096.000
05/08/2012	6.36	6.36	6.21	6.27	15112808	182063904.000
05/09/2012	6.22	6.28	6.16	6.19	13571838	161762320.000
05/10/2012	6.19	6.27	6.11	6.23	13740044	162943520.000
05/11/2012	6.19	6.27	6.11	6.12	11667401	138447536.000
05/14/2012	6.21	6.27	6.12	6.15	14958698	177520528.000
05/15/2012	6.11	6.22	6.04	6.20	14333174	166941296.000
05/16/2012	6.17	6.26	6.09	6.10	12642964	149686080.000
05/17/2012	6.12	6.36	6.10	6.33	26593426	320060992.000
05/21/2012	6.19	6.25	6.12	6.17	17791358	210449920.000
05/22/2012	6.23	6.31	6.17	6.29	16650590	199352112.000
05/23/2012	6.25	6.41	6.24	6.38	27083008	331280224.000
05/24/2012	6.34	6.38	6.23	6.28	18821006	229397152.000
05/25/2012	6.28	6.32	6.13	6.15	15517683	185060752.000
05/28/2012	6.08	6.15	5.88	6.10	15986853	182609856.000
05/29/2012	6.10	6.31	6.06	6.27	21538400	256921312.000
05/30/2012	6.27	6.34	6.22	6.27	16015584	194053072.000
05/31/2012	6.24	6.32	6.16	6.21	20419684	244404800.000
06/01/2012	6.21	6.32	6.19	6.27	21502115	258354736.000
06/04/2012	6.16	6.25	6.03	6.04	22494763	264382368.000
06/05/2012	6.03	6.07	5.89	5.90	15984291	178909824.000
06/06/2012	5.92	5.97	5.88	5.92	8257676	92126024.000
06/07/2012	6.00	6.02	5.83	5.85	12149637	134896160.000
06/08/2012	5.94	5.99	5.86	5.88	14364662	159826144.000
06/11/2012	5.91	5.97	5.86	5.97	9842372	109898344.000
06/12/2012	5.92	5.95	5.87	5.89	7717527	85749312.000
06/13/2012	5.91	6.08	5.91	6.01	18246245	207429488.000
06/14/2012	5.98	6.07	5.97	5.98	13179432	150055360.000
06/15/2012	6.01	6.05	5.94	6.02	11696408	132877136.000
06/18/2012	6.04	6.08	6.01	6.04	11938172	136849168.000
06/19/2012	5.97	5.99	5.83	5.87	22681794	251501184.000
06/20/2012	5.88	5.89	5.78	5.79	13073155	142975344.000
06/21/2012	5.77	5.77	5.63	5.64	12402055	130462096.000
06/25/2012	5.64	5.74	5.52	5.64	15009626	154113888.000
06/26/2012	5.60	5.72	5.59	5.66	11185954	115673104.000
06/27/2012	5.63	5.69	5.58	5.59	7446165	76987504.000
06/28/2012	5.59	5.67	5.58	5.59	9452044	97191992.000
06/29/2012	5.55	5.74	5.55	5.71	15511166	161443328.000
07/02/2012	5.74	5.80	5.69	5.77	13704125	145301280.000
07/03/2012	5.76	5.81	5.63	5.68	12212197	128416336.000
07/04/2012	5.68	5.71	5.59	5.62	10509983	107959448.000
07/05/2012	5.58	5.61	5.45	5.49	12724937	126639784.000
07/06/2012	5.52	5.61	5.45	5.59	11647105	116979808.000
07/09/2012	5.56	5.57	5.44	5.45	9174925	91547936.000
07/10/2012	5.45	5.49	5.42	5.44	5248557	51677224.000
07/11/2012	5.44	5.50	5.41	5.47	4861695	47826516.000
07/12/2012	5.44	5.57	5.36	5.52	14308629	141557984.000
07/13/2012	5.49	5.55	5.46	5.48	6563383	65368704.000
07/16/2012	5.49	5.50	5.41	5.42	6773249	66462936.000
07/17/2012	5.42	5.59	5.41	5.55	11658063	116561968.000
07/18/2012	5.52	5.70	5.51	5.68	18869589	193065136.000
07/19/2012	5.66	5.82	5.62	5.70	21381834	225364624.000
07/20/2012	5.67	5.70	5.62	5.63	9388605	97127856.000
07/23/2012	5.59	5.64	5.54	5.60	7707010	78593240.000
07/24/2012	5.55	5.69	5.55	5.66	9376507	96644248.000
07/25/2012	5.63	5.66	5.58	5.59	6100483	62437400.000
07/26/2012	5.59	5.65	5.54	5.55	7990935	81709112.000
07/27/2012	5.57	5.60	5.48	5.51	7643346	76728480.000
07/30/2012	5.51	5.56	5.46	5.46	4988791	49521752.000
07/31/2012	5.46	5.51	5.44	5.46	4766233	47053060.000
08/01/2012	5.46	5.59	5.44	5.54	6193878	62146828.000
08/02/2012	5.52	5.55	5.41	5.45	5350121	52883912.000
08/03/2012	5.51	5.55	5.46	5.55	5324669	52976880.000
08/06/2012	5.57	5.65	5.56	5.63	13794212	141272576.000
08/07/2012	5.61	5.62	5.57	5.59	9476575	96510928.000
08/08/2012	5.62	5.65	5.58	5.61	8571611	87743320.000
08/09/2012	5.61	5.61	5.52	5.60	9574046	96954448.000
08/10/2012	5.60	5.60	5.50	5.51	8373028	84042288.000
08/13/2012	5.48	5.51	5.26	5.27	15302055	147287680.000
08/14/2012	5.29	5.30	5.14	5.23	11934688	109323096.000
08/15/2012	5.21	5.23	5.17	5.18	6461498	59061956.000
08/21/2012	5.25	5.31	5.20	5.27	11281910	105089192.000
08/22/2012	5.26	5.26	5.22	5.24	6260812	58052132.000
08/23/2012	5.27	5.30	5.21	5.24	6650291	61951688.000
08/24/2012	5.24	5.24	5.17	5.19	4544641	41703032.000
08/27/2012	5.17	5.17	4.98	4.99	7677475	67331432.000
08/28/2012	5.02	5.11	4.97	5.05	5007496	43781012.000
08/29/2012	5.01	5.05	4.97	5.00	3470968	30095274.000
08/30/2012	5.01	5.14	4.99	5.06	13167809	116303576.000
08/31/2012	5.02	5.07	5.02	5.03	4332886	37940160.000
09/03/2012	5.02	5.12	5.00	5.07	8137821	71987152.000
09/04/2012	5.09	5.09	4.97	4.97	7889395	68837024.000
09/05/2012	4.99	5.01	4.94	4.99	7056497	60501468.000
09/06/2012	5.00	5.02	4.97	5.01	8234301	71143024.000
09/07/2012	5.05	5.33	5.04	5.27	29982234	275479648.000
09/10/2012	5.26	5.42	5.24	5.34	21213467	202556384.000
09/11/2012	5.34	5.38	5.26	5.37	13669838	129526944.000
09/12/2012	5.40	5.43	5.29	5.34	12756712	121439280.000
09/13/2012	5.35	5.35	5.26	5.26	7934511	75052928.000
09/14/2012	5.32	5.36	5.26	5.30	10764123	101858624.000
09/17/2012	5.31	5.31	5.16	5.17	12102212	111286784.000
09/18/2012	5.18	5.18	5.09	5.12	4662041	42089368.000
09/19/2012	5.14	5.20	5.12	5.16	11281949	102373600.000
09/20/2012	5.14	5.14	5.06	5.09	7193287	64039476.000
09/21/2012	5.08	5.13	5.06	5.07	6513749	57931036.000
09/24/2012	5.04	5.17	5.01	5.12	6969253	62011696.000
09/25/2012	5.11	5.19	5.10	5.14	8165279	73749224.000
09/26/2012	5.14	5.19	5.08	5.09	4707682	42321016.000
09/27/2012	5.10	5.36	5.09	5.29	18097135	168501776.000
09/28/2012	5.23	5.42	5.22	5.37	19878184	188892064.000
10/08/2012	5.34	5.38	5.29	5.31	8995971	85506856.000
10/09/2012	5.33	5.67	5.32	5.67	36268869	371718656.000
10/10/2012	5.67	5.78	5.64	5.72	46208233	484550016.000
10/11/2012	5.68	5.79	5.59	5.62	30003747	313296992.000
10/12/2012	5.62	5.77	5.61	5.68	23584575	245638960.000
10/15/2012	5.66	5.78	5.63	5.75	24528565	257817632.000
10/16/2012	5.75	5.81	5.64	5.66	22419238	236981984.000
10/17/2012	5.72	5.92	5.64	5.77	36615861	391712992.000
10/18/2012	5.75	5.87	5.72	5.86	34489189	370285184.000
10/19/2012	5.82	5.90	5.80	5.83	18123114	196706560.000
10/22/2012	5.80	5.94	5.80	5.92	24436153	268011904.000
10/23/2012	5.94	5.94	5.71	5.73	25808019	277079104.000
10/24/2012	5.71	5.80	5.68	5.72	19295956	203648496.000
10/25/2012	5.70	5.74	5.60	5.63	14519676	150577232.000
10/26/2012	5.63	5.69	5.55	5.63	15789483	161809520.000
10/29/2012	5.59	5.71	5.58	5.66	13015740	134640992.000
10/30/2012	5.66	5.73	5.59	5.66	16177422	167707712.000
10/31/2012	5.67	5.67	5.52	5.62	15713916	159506176.000
11/01/2012	5.63	5.84	5.63	5.80	31559367	334803552.000
11/02/2012	5.80	5.85	5.75	5.82	15786156	169404624.000
11/05/2012	5.81	5.82	5.71	5.73	13707447	145086160.000
11/06/2012	5.75	5.97	5.64	5.87	39179226	417540704.000
11/07/2012	5.83	5.86	5.72	5.76	21002142	224357056.000
11/08/2012	5.67	5.76	5.59	5.59	15643507	162143136.000
11/09/2012	5.56	5.64	5.56	5.61	10738517	109746576.000
11/12/2012	5.63	5.67	5.56	5.66	10692505	109740920.000
11/13/2012	5.66	5.66	5.47	5.47	14624854	147029456.000
11/14/2012	5.46	5.56	5.44	5.52	11703858	116576704.000
11/15/2012	5.46	5.52	5.42	5.43	9625706	94855200.000
11/16/2012	5.42	5.51	5.39	5.45	9985526	98361152.000
11/19/2012	5.43	5.58	5.43	5.53	13030385	130422416.000
11/20/2012	5.55	5.56	5.47	5.48	7696242	76654232.000
11/21/2012	5.50	5.61	5.48	5.60	19610519	198018640.000
11/22/2012	5.57	5.59	5.54	5.57	11445724	115781728.000
11/23/2012	5.59	5.63	5.56	5.56	12239624	124800664.000
11/26/2012	5.52	5.60	5.48	5.49	12448813	125309504.000
11/27/2012	5.48	5.65	5.48	5.52	22520565	228524064.000
11/28/2012	5.44	5.60	5.42	5.56	17406168	174994368.000
11/29/2012	5.55	5.70	5.18	5.24	39224201	388659520.000
11/30/2012	5.19	5.24	5.09	5.20	21535235	195506912.000
12/03/2012	5.18	5.24	5.15	5.18	11441048	104936968.000
12/04/2012	5.16	5.35	5.16	5.30	13079034	121332896.000
12/05/2012	5.30	5.66	5.26	5.66	43340395	442530432.000
12/06/2012	5.67	5.72	5.63	5.67	36808728	382773056.000
12/07/2012	5.67	5.82	5.62	5.72	45471179	479009152.000
12/10/2012	5.71	5.78	5.66	5.71	34336819	361144352.000
12/11/2012	5.68	5.82	5.66	5.76	33348958	355631552.000
12/12/2012	5.73	5.82	5.69	5.79	24874943	264155264.000
12/13/2012	5.77	5.77	5.68	5.74	18971684	199549184.000
12/14/2012	5.74	6.13	5.73	6.07	58494631	652278784.000
12/17/2012	6.10	6.15	5.98	6.07	41721909	475944320.000
12/18/2012	6.04	6.26	5.97	5.98	40982100	469785920.000
12/19/2012	5.99	6.05	5.97	5.99	14965473	168675088.000
12/20/2012	5.97	6.16	5.92	6.07	24521241	278028672.000
12/21/2012	6.06	6.15	5.97	6.00	20690746	234955520.000
12/24/2012	6.01	6.23	5.99	6.09	20789157	239631552.000
12/25/2012	6.06	6.37	6.00	6.23	36508894	430897120.000
12/26/2012	6.24	6.24	6.14	6.22	17541784	206105088.000
12/27/2012	6.23	6.30	6.14	6.15	24194895	284816544.000
12/28/2012	6.22	6.37	6.17	6.34	33357246	399514016.000
12/31/2012	6.39	6.47	6.33	6.40	26611282	326232320.000
01/04/2013	6.45	6.52	6.37	6.40	31207832	386886272.000
01/07/2013	6.37	6.41	6.34	6.37	12588634	153488128.000
01/08/2013	6.37	6.37	6.21	6.25	24273933	289062272.000
01/09/2013	6.22	6.33	6.15	6.24	16471730	195695664.000
01/10/2013	6.24	6.35	6.15	6.21	21521116	255705584.000
01/11/2013	6.21	6.25	6.02	6.09	21734251	250568064.000
01/14/2013	6.07	6.36	6.05	6.31	35904190	425437696.000
01/15/2013	6.29	6.41	6.29	6.31	25734068	312756192.000
01/16/2013	6.32	6.32	6.13	6.22	23139329	272828352.000
01/17/2013	6.18	6.34	6.14	6.22	26475974	313352032.000
01/18/2013	6.22	6.35	6.22	6.30	23923104	287492384.000
01/21/2013	6.35	6.35	6.24	6.30	16882168	202011824.000
01/22/2013	6.29	6.37	6.22	6.26	22234974	267059360.000
01/23/2013	6.19	6.30	6.16	6.30	16654635	197311984.000
01/24/2013	6.30	6.46	6.19	6.24	43955153	536306400.000
01/25/2013	6.19	6.25	6.12	6.13	21960035	256674784.000
01/28/2013	6.15	6.47	6.15	6.45	45951471	560095680.000
01/29/2013	6.44	6.71	6.42	6.71	51776711	665656448.000
01/30/2013	6.71	6.83	6.63	6.73	29575968	388815520.000
01/31/2013	6.67	6.76	6.65	6.72	15216332	199650672.000
02/01/2013	6.69	7.00	6.66	6.92	29174685	392325024.000
02/04/2013	6.97	7.12	6.78	6.80	29594272	404074784.000
02/05/2013	6.74	6.82	6.67	6.79	20646106	271797792.000
