601566 九牧王 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	18.00	18.50	17.91	18.03	1350134	29326868.000
01/05/2012	17.90	18.38	16.76	17.34	1370275	28428776.000
01/06/2012	17.24	18.00	16.70	17.87	1352050	28021464.000
01/09/2012	17.71	18.92	17.62	18.85	880061	19244956.000
01/10/2012	18.62	19.34	18.62	19.15	1404115	31737168.000
01/11/2012	19.10	19.10	18.36	18.59	1451007	32194768.000
01/12/2012	18.57	18.88	17.58	17.82	2487493	53404508.000
01/13/2012	17.75	17.81	16.83	17.11	3837205	79490184.000
01/16/2012	17.01	17.15	16.35	16.39	1139390	22900200.000
01/17/2012	16.39	17.01	15.00	16.89	2998359	58964300.000
01/18/2012	16.55	16.98	15.16	15.31	3292722	64165248.000
01/19/2012	15.59	16.45	15.03	15.76	951772	18297720.000
01/20/2012	16.14	17.08	15.75	16.99	1916154	38515244.000
01/30/2012	16.90	17.53	16.55	16.83	1220974	25149688.000
01/31/2012	16.83	17.16	16.64	16.81	382123	7763210.000
02/01/2012	16.82	16.98	16.56	16.87	879093	17856452.000
02/02/2012	16.87	16.98	16.53	16.94	1154815	23531376.000
02/07/2012	17.13	17.85	16.59	17.59	5351521	111520624.000
02/08/2012	17.45	17.80	17.20	17.72	2364062	49502160.000
02/09/2012	17.65	18.18	17.52	18.06	2028578	43296076.000
02/10/2012	17.99	18.35	17.73	18.09	1943561	41986748.000
02/13/2012	17.91	18.68	17.76	18.49	1481087	32321172.000
02/14/2012	18.51	18.75	18.21	18.59	1738976	38163956.000
02/15/2012	18.75	18.85	18.35	18.55	1114638	24567586.000
02/16/2012	18.50	18.76	17.93	18.33	1530147	33571920.000
02/17/2012	18.31	18.47	17.85	17.96	987857	21354196.000
02/20/2012	18.12	18.35	17.86	17.95	532995	11532258.000
02/21/2012	17.95	18.59	17.88	18.54	1562220	33993776.000
02/22/2012	18.53	19.29	18.45	19.20	2563845	57801892.000
02/23/2012	19.40	20.27	18.95	19.80	2421142	55593188.000
02/24/2012	19.55	20.48	19.55	20.40	1957158	46370336.000
02/27/2012	20.30	20.49	19.70	20.15	1755287	41465392.000
02/28/2012	20.05	20.05	19.30	19.72	2684047	62001300.000
02/29/2012	19.60	19.95	19.30	19.79	765173	17818398.000
03/01/2012	19.61	19.96	19.45	19.83	301412	7014282.000
03/02/2012	19.89	20.06	19.55	19.88	861126	20021100.000
03/05/2012	19.88	19.90	19.45	19.76	1345093	31217252.000
03/06/2012	19.76	19.76	19.10	19.41	827645	18870162.000
03/07/2012	19.16	19.39	18.95	19.10	628365	14271941.000
03/08/2012	19.23	19.77	18.88	19.12	1503154	34170628.000
03/09/2012	19.16	19.74	19.16	19.65	1297232	29838564.000
03/12/2012	19.65	20.50	19.52	20.38	1399553	33094540.000
03/13/2012	20.28	20.70	20.05	20.32	1058991	25310544.000
03/14/2012	20.30	20.75	19.41	19.52	1579404	37230648.000
03/15/2012	19.60	19.86	19.39	19.58	723867	16755533.000
03/16/2012	19.55	20.60	19.55	20.58	1012638	24022830.000
03/19/2012	20.56	21.29	20.56	20.93	1816425	44422840.000
03/20/2012	21.02	21.05	19.89	19.98	2069423	49519992.000
03/21/2012	20.10	20.20	19.30	19.76	1140630	26420718.000
03/22/2012	19.70	19.75	19.31	19.61	399999	9208581.000
03/23/2012	19.60	19.67	19.39	19.51	392772	9044615.000
03/26/2012	19.48	19.79	19.22	19.74	385430	8870902.000
03/27/2012	19.60	20.34	19.40	19.77	730192	17056628.000
03/28/2012	19.77	19.80	19.21	19.43	649617	14918608.000
03/29/2012	19.15	19.50	18.40	18.99	691090	15490406.000
03/30/2012	18.95	19.20	18.60	19.17	541734	12213969.000
04/05/2012	19.17	20.00	19.17	19.98	707239	16403930.000
04/06/2012	19.99	20.45	19.80	20.10	638765	15083376.000
04/09/2012	19.86	20.40	19.86	20.30	765904	18186914.000
04/10/2012	20.20	20.40	19.56	20.19	420827	9853525.000
04/11/2012	20.10	20.54	19.72	19.82	615828	14590389.000
04/12/2012	19.96	20.07	19.20	19.50	2122706	48869132.000
04/13/2012	19.50	20.00	19.32	19.71	1642678	38020144.000
04/16/2012	19.38	19.80	19.38	19.45	713225	16511049.000
04/17/2012	19.40	19.58	19.24	19.24	527443	12043531.000
04/18/2012	19.29	19.38	19.15	19.26	1843414	41915420.000
04/19/2012	19.50	19.50	17.95	18.31	3574121	78452864.000
04/20/2012	18.28	18.72	18.21	18.66	2394077	52558652.000
04/23/2012	18.75	19.45	18.66	19.10	2748402	62008568.000
04/24/2012	18.85	19.60	18.80	19.52	1217182	27730908.000
04/25/2012	19.60	19.85	19.20	19.43	1660323	38332336.000
