601919 中国远洋 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.70	4.71	4.49	4.50	25823802	118779584.000
01/05/2012	4.45	4.45	4.27	4.30	32089329	139393792.000
01/06/2012	4.29	4.35	4.17	4.32	30464445	129513408.000
01/09/2012	4.30	4.48	4.24	4.47	39995415	174519360.000
01/10/2012	4.46	4.72	4.45	4.68	60136620	275423936.000
01/11/2012	4.63	4.73	4.61	4.63	38174643	178318112.000
01/12/2012	4.62	4.73	4.58	4.69	27918956	130414112.000
01/13/2012	4.69	4.70	4.43	4.48	30385487	137761248.000
01/16/2012	4.41	4.45	4.37	4.38	13395753	59132636.000
01/17/2012	4.37	4.82	4.37	4.82	36503269	171034880.000
01/18/2012	5.30	5.30	5.07	5.10	147778318	775738304.000
01/19/2012	5.07	5.17	4.92	5.08	77733574	393384544.000
01/20/2012	5.05	5.10	4.97	5.05	49253432	248724976.000
01/30/2012	5.06	5.20	4.98	5.00	45057416	228608976.000
01/31/2012	4.98	5.12	4.98	5.08	28482537	144178784.000
02/01/2012	5.07	5.27	5.04	5.10	37834974	195112144.000
02/02/2012	5.13	5.38	5.10	5.33	41993758	219933248.000
02/03/2012	5.30	5.35	5.18	5.31	30224547	159506144.000
02/06/2012	5.31	5.39	5.26	5.30	24324514	129334456.000
02/07/2012	5.28	5.36	5.19	5.28	23878205	125954440.000
02/08/2012	5.25	5.38	5.19	5.37	26287892	139359632.000
02/09/2012	5.38	5.49	5.31	5.41	34764587	187783552.000
02/10/2012	5.40	5.58	5.37	5.47	30953025	170074224.000
02/13/2012	5.40	5.48	5.37	5.43	20656893	111912496.000
02/14/2012	5.41	5.44	5.35	5.39	12062279	65020540.000
02/15/2012	5.37	5.77	5.33	5.58	32820466	182250832.000
02/16/2012	5.54	5.67	5.46	5.51	24414007	135927328.000
02/17/2012	5.54	5.65	5.52	5.58	17358646	97039792.000
02/20/2012	5.65	5.71	5.53	5.60	16003039	89682664.000
02/21/2012	5.59	5.64	5.44	5.56	16312345	90200048.000
02/22/2012	5.52	5.59	5.48	5.58	20040758	111011576.000
02/23/2012	5.57	5.75	5.57	5.62	23136421	130693080.000
02/24/2012	5.61	5.79	5.56	5.78	29757356	169442720.000
02/27/2012	5.80	5.93	5.78	5.80	36463167	214129968.000
02/29/2012	5.86	5.87	5.74	5.75	18091908	104844560.000
03/01/2012	5.72	5.85	5.71	5.74	16970902	98017944.000
03/02/2012	5.75	5.85	5.73	5.79	16748851	96600960.000
03/05/2012	5.80	5.91	5.73	5.73	15819905	91942288.000
03/06/2012	5.74	5.75	5.54	5.64	22920304	128618080.000
03/07/2012	5.55	5.62	5.48	5.49	18993599	105417072.000
03/08/2012	5.51	5.61	5.51	5.60	16851618	93920720.000
03/09/2012	5.61	5.64	5.56	5.63	17847166	99828496.000
03/12/2012	5.60	5.63	5.48	5.56	22841488	126577752.000
03/13/2012	5.54	5.65	5.53	5.62	17995021	100912328.000
03/14/2012	5.68	5.69	5.30	5.39	32452377	179086800.000
03/15/2012	5.38	5.42	5.25	5.32	22852886	121684184.000
03/16/2012	5.30	5.35	5.16	5.21	33469786	175912736.000
03/19/2012	5.22	5.30	5.21	5.28	18995889	99757736.000
03/20/2012	5.21	5.24	5.12	5.14	17413808	90143968.000
03/21/2012	5.17	5.38	5.12	5.29	31750116	167762592.000
03/22/2012	5.26	5.30	5.19	5.23	14111981	74047856.000
03/23/2012	5.20	5.22	5.13	5.17	9733359	50397020.000
03/26/2012	5.17	5.21	5.07	5.10	9240784	47494736.000
03/27/2012	5.13	5.16	5.10	5.12	8361026	42899168.000
03/28/2012	5.10	5.23	4.95	4.95	19419465	99152088.000
03/29/2012	4.92	4.98	4.79	4.89	16012282	78362464.000
03/30/2012	4.81	4.96	4.80	4.95	11913620	57957168.000
04/05/2012	4.92	5.19	4.91	5.08	19891787	100374352.000
04/06/2012	5.06	5.14	5.05	5.11	16116841	82186096.000
04/09/2012	5.10	5.10	4.98	5.00	9127555	45917896.000
04/10/2012	4.98	5.15	4.93	5.14	11392433	57372832.000
04/11/2012	5.10	5.20	5.05	5.16	15569782	79988216.000
04/12/2012	5.15	5.22	5.08	5.19	17409150	89611120.000
04/13/2012	5.18	5.25	5.17	5.22	14883169	77501256.000
04/16/2012	5.20	5.22	5.13	5.18	8082422	41913500.000
04/17/2012	5.20	5.28	5.11	5.13	10529563	54494336.000
04/18/2012	5.16	5.28	5.15	5.25	13054282	68280784.000
04/19/2012	5.25	5.28	5.22	5.23	10677767	56047208.000
04/20/2012	5.21	5.46	5.18	5.45	29166690	155978928.000
04/23/2012	5.44	5.47	5.36	5.39	21964307	118789920.000
04/24/2012	5.39	5.56	5.30	5.43	26280969	142868960.000
04/25/2012	5.41	5.50	5.33	5.46	14733926	79812752.000
04/26/2012	5.45	5.49	5.37	5.39	14335251	77554384.000
04/27/2012	5.38	5.38	5.26	5.31	12297863	65378456.000
05/02/2012	5.40	5.49	5.26	5.46	24848667	133244576.000
