601989 中国重工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.94	4.95	4.82	4.84	22200312	113238336.000
01/05/2012	4.80	4.81	4.33	4.63	27683200	135075584.000
01/06/2012	4.59	4.62	4.38	4.54	21574878	101398592.000
01/09/2012	4.55	4.72	4.48	4.72	25244907	122051016.000
01/10/2012	4.71	5.00	4.69	4.98	46452073	238478672.000
01/11/2012	4.99	5.13	4.98	5.03	32313903	170380800.000
01/12/2012	5.00	5.14	4.99	5.03	24040093	127181680.000
01/13/2012	5.04	5.15	4.85	4.98	26147919	136042144.000
01/16/2012	4.93	4.99	4.84	4.88	13903004	71585976.000
01/17/2012	4.86	5.39	4.80	5.34	43960811	237789440.000
01/18/2012	5.34	5.40	5.17	5.24	32682641	179690192.000
01/19/2012	5.24	5.33	5.14	5.28	28051294	153527872.000
01/30/2012	5.30	5.36	5.14	5.22	21646885	118300072.000
01/31/2012	5.24	5.33	5.23	5.32	23833627	131070296.000
02/01/2012	5.30	5.35	5.20	5.21	14246242	78233352.000
02/02/2012	5.20	5.38	5.19	5.37	22950833	126327944.000
02/03/2012	5.33	5.44	5.27	5.38	26374101	147193280.000
02/06/2012	5.38	5.42	5.27	5.32	24092621	133611656.000
02/07/2012	5.29	5.31	5.10	5.14	20970682	112992912.000
02/08/2012	5.13	5.38	5.10	5.33	27550756	151076256.000
02/09/2012	5.31	5.37	5.26	5.33	24604179	136443744.000
02/10/2012	5.30	5.56	5.24	5.37	37779075	212487888.000
02/13/2012	5.31	5.44	5.29	5.39	28397652	159096704.000
02/14/2012	5.38	5.41	5.28	5.40	27686922	154083328.000
02/15/2012	5.38	5.92	5.34	5.85	81729100	478530304.000
02/16/2012	5.77	5.95	5.64	5.71	82766185	494204000.000
02/17/2012	5.77	5.77	5.66	5.72	37945677	225283040.000
02/20/2012	5.78	5.82	5.69	5.70	26371447	156866992.000
02/21/2012	5.68	5.72	5.56	5.69	22568107	132660264.000
02/22/2012	5.67	5.76	5.64	5.72	27009981	159858256.000
02/23/2012	5.75	5.89	5.72	5.81	47727589	287955744.000
02/24/2012	5.83	5.93	5.73	5.91	69251193	419064864.000
02/27/2012	5.91	6.02	5.88	5.91	83488945	514935872.000
02/28/2012	5.90	5.96	5.88	5.93	41674396	256023632.000
02/29/2012	5.92	5.93	5.78	5.83	33448370	202853536.000
03/01/2012	5.81	5.99	5.78	5.93	65461423	399794176.000
03/02/2012	5.91	6.04	5.90	6.01	58897128	365065600.000
03/05/2012	6.06	6.26	6.01	6.02	62736570	398409568.000
03/06/2012	6.02	6.07	5.88	5.98	40859504	252852736.000
03/07/2012	5.93	6.28	5.90	6.16	84230631	537389824.000
03/08/2012	6.16	6.32	6.12	6.20	54638522	352048128.000
03/09/2012	6.21	6.29	6.18	6.24	37280461	240804432.000
03/12/2012	6.26	6.38	6.15	6.35	63085985	408511904.000
03/13/2012	6.36	6.64	6.34	6.53	71664909	484688256.000
03/14/2012	6.58	6.62	6.08	6.27	91495127	602009856.000
03/15/2012	6.24	6.32	6.00	6.11	52619586	334856992.000
03/16/2012	6.12	6.23	6.05	6.17	37508036	239082592.000
03/19/2012	6.17	6.18	6.00	6.12	34284269	216534272.000
03/20/2012	6.08	6.11	5.95	6.00	27407001	171158208.000
03/21/2012	6.05	6.10	5.96	6.02	26198521	163720448.000
03/22/2012	6.08	6.15	6.01	6.03	43610104	274631552.000
03/23/2012	5.99	6.00	5.78	5.84	32986770	201344160.000
03/26/2012	5.85	5.89	5.67	5.77	26649902	159115824.000
03/27/2012	5.79	5.84	5.73	5.78	17532867	105399448.000
03/28/2012	5.72	5.84	5.56	5.61	27359934	161117456.000
03/29/2012	5.57	5.59	5.23	5.33	36890723	206594272.000
03/30/2012	5.34	5.42	5.29	5.39	20523869	114374160.000
04/05/2012	5.36	5.66	5.34	5.61	31093829	177932992.000
04/06/2012	5.58	5.62	5.50	5.55	19768394	114417456.000
04/09/2012	5.54	5.54	5.36	5.39	18997095	107394272.000
04/10/2012	5.38	5.48	5.27	5.47	21402488	119352272.000
04/11/2012	5.41	5.50	5.35	5.45	26055219	147105600.000
04/12/2012	5.46	5.72	5.44	5.65	41619101	242083616.000
04/13/2012	5.63	5.78	5.62	5.67	25720969	152235520.000
04/16/2012	5.64	5.69	5.59	5.63	18714398	109424232.000
04/17/2012	5.63	5.73	5.57	5.63	23170780	135903040.000
04/18/2012	5.66	5.86	5.66	5.82	36811521	220994032.000
