603015 弘讯科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/03/2015	6.26	7.53	6.26	7.53	42000	638126.000
03/04/2015	8.30	8.30	8.30	8.30	17800	298862.000
03/05/2015	9.14	9.14	9.14	9.14	14300	264121.000
03/06/2015	10.06	10.06	10.06	10.06	60300	1225296.000
03/09/2015	11.08	11.08	11.08	11.08	825801	18456652.000
03/10/2015	11.84	11.84	11.16	11.31	29217480	675128384.000
03/11/2015	10.75	12.34	10.70	11.70	21317847	489618528.000
03/12/2015	11.46	11.65	10.75	10.78	15028708	335853280.000
03/13/2015	10.78	11.06	10.65	10.85	7555311	165454336.000
03/16/2015	10.95	11.30	10.95	11.15	7914406	177316480.000
03/17/2015	11.24	11.33	11.00	11.22	8553427	192110848.000
03/18/2015	11.18	12.35	11.18	12.35	14136434	337416288.000
03/19/2015	13.34	13.37	12.55	12.85	19108485	500615136.000
03/20/2015	12.20	12.68	12.10	12.47	12383084	309960384.000
03/23/2015	12.48	12.75	12.30	12.55	7792510	196938624.000
03/24/2015	12.67	12.93	12.15	12.64	9352311	237425200.000
03/25/2015	12.45	12.85	12.36	12.63	7185525	182194256.000
03/26/2015	12.58	12.86	12.30	12.41	8096599	204553024.000
03/27/2015	12.30	12.52	12.05	12.44	5460392	134729408.000
03/30/2015	12.40	12.53	12.20	12.29	3689759	91626672.000
03/31/2015	12.16	12.45	12.15	12.21	4125207	101676736.000
04/01/2015	12.20	12.45	12.08	12.43	5673770	140345856.000
04/02/2015	12.45	12.74	12.35	12.53	5959605	150550784.000
04/03/2015	12.51	12.98	12.40	12.95	10092058	257831200.000
04/07/2015	12.90	13.29	12.80	13.23	9224804	242242112.000
04/08/2015	13.29	13.90	13.04	13.52	9358366	254075152.000
04/09/2015	13.40	13.62	12.70	12.98	6649555	174569952.000
04/10/2015	12.93	13.24	12.77	13.10	5497917	145215264.000
04/13/2015	13.22	14.04	13.04	13.90	9091145	249282320.000
04/14/2015	13.73	14.65	13.65	14.58	9971111	282469088.000
04/15/2015	14.50	15.02	13.79	14.05	8044994	233013776.000
04/16/2015	14.04	14.57	13.50	14.09	5642197	160660400.000
04/17/2015	14.05	14.20	13.70	13.76	5114136	143197952.000
04/20/2015	13.59	13.60	12.72	12.76	6723525	178431472.000
04/21/2015	12.75	13.33	12.75	13.21	3582622	94450696.000
04/22/2015	13.30	13.59	13.26	13.45	4148279	112443456.000
04/23/2015	13.59	13.65	13.24	13.46	4052002	109450968.000
04/24/2015	13.40	13.41	13.03	13.30	4023799	107395088.000
04/27/2015	13.33	13.78	13.28	13.74	5976562	162938272.000
04/28/2015	13.84	14.28	13.35	13.53	6435271	179172784.000
04/29/2015	13.41	13.84	13.05	13.62	4522804	123745960.000
04/30/2015	13.55	14.15	13.55	13.68	5289502	148107024.000
05/04/2015	13.71	13.82	13.40	13.55	3391744	92705120.000
05/05/2015	13.65	14.24	13.31	14.10	9335271	261490272.000
05/06/2015	13.98	14.90	13.64	14.22	10457964	303918016.000
05/07/2015	14.05	14.10	12.83	12.90	7052729	189216320.000
05/08/2015	12.96	13.40	12.95	13.36	4615578	122430776.000
05/11/2015	13.59	14.70	13.35	14.46	10532383	300726272.000
05/12/2015	14.60	15.33	14.41	15.05	12396416	371092992.000
05/13/2015	14.83	16.38	14.65	15.89	10770248	341350560.000
05/14/2015	15.90	17.49	15.90	17.49	10751283	364102336.000
05/15/2015	17.99	19.25	17.99	19.25	10013037	378607520.000
05/18/2015	20.65	20.88	19.15	20.21	14896186	599610112.000
05/19/2015	20.33	20.64	18.65	19.59	11562561	453423488.000
05/20/2015	19.58	21.56	19.32	21.47	10083517	426195104.000
05/21/2015	21.46	22.40	20.46	21.65	8630847	370461472.000
05/22/2015	21.50	22.20	20.43	21.82	10422674	447670112.000
05/25/2015	21.28	23.89	20.90	23.00	9124796	410263104.000
05/26/2015	22.95	25.31	22.63	25.31	8545124	417292416.000
05/27/2015	26.30	27.85	25.90	27.85	6262140	341895488.000
05/28/2015	30.64	30.65	27.41	27.77	10757151	650684864.000
05/29/2015	27.29	29.63	24.98	26.69	12798959	687664576.000
06/01/2015	26.05	26.88	24.80	25.50	10250282	524860320.000
06/02/2015	25.40	26.49	24.60	25.79	7784256	399751744.000
06/03/2015	26.20	26.65	24.90	25.27	6312873	324213984.000
06/04/2015	24.34	24.90	22.74	22.75	7476250	347860224.000
06/05/2015	23.39	23.54	21.90	22.49	7394743	337163552.000
06/08/2015	22.55	23.65	22.55	22.93	7309892	339146400.000
06/09/2015	23.01	23.90	22.65	23.58	5215040	244106912.000
06/10/2015	23.34	25.40	22.94	24.58	7769306	378067776.000
06/11/2015	24.25	25.40	23.95	24.95	6828812	339762592.000
06/12/2015	24.99	25.10	23.65	23.87	6887387	335656128.000
06/15/2015	23.40	23.40	21.47	21.47	6873831	303550912.000
06/16/2015	20.71	21.14	19.82	20.33	5020112	205188112.000
06/17/2015	20.25	21.60	20.09	21.23	3430082	142677904.000
06/18/2015	21.08	21.08	19.90	19.97	3147095	129836808.000
06/19/2015	19.30	19.84	17.98	18.89	3644792	137373920.000
06/23/2015	19.15	19.85	18.41	19.78	3488483	135373776.000
06/24/2015	20.05	20.58	19.78	20.16	3181606	129164352.000
06/25/2015	20.17	20.20	18.34	18.54	2875341	111280600.000
06/26/2015	17.95	17.99	16.68	16.68	2661862	91315264.000
06/29/2015	16.99	17.12	15.01	15.01	3364930	105084992.000
06/30/2015	14.45	16.45	13.50	16.16	5631552	165271216.000
07/01/2015	15.90	16.61	14.54	14.54	4353808	138926032.000
07/02/2015	14.82	14.95	13.08	13.09	4181815	116637792.000
07/03/2015	13.05	13.70	11.80	12.19	4225256	106207920.000
07/06/2015	13.42	13.42	11.21	12.00	4349641	108530384.000
07/07/2015	11.39	11.90	10.80	10.80	2458587	54433340.000
07/08/2015	9.71	9.71	9.71	9.71	865800	16900416.000
07/09/2015	8.75	10.69	8.75	10.69	5490120	111827664.000
