603018 中设集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2014	18.93	22.80	18.93	22.80	48500	2228831.000
10/14/2014	25.13	25.13	25.13	25.13	25400	1297940.000
10/15/2014	27.68	27.68	27.68	27.68	39500	2220295.000
10/16/2014	30.49	30.49	30.49	30.49	286049	17686410.000
10/17/2014	31.80	31.80	27.83	28.86	12885531	765033536.000
10/20/2014	28.33	28.73	27.90	28.12	5646309	324043776.000
10/21/2014	28.12	29.80	27.97	29.28	6611228	388433024.000
10/22/2014	29.23	29.68	28.39	28.49	4738704	279520928.000
10/23/2014	28.25	28.57	28.02	28.27	2754712	157885728.000
10/24/2014	28.30	28.51	27.96	28.03	2515909	143973392.000
10/27/2014	27.93	27.93	26.55	26.57	3423694	187114240.000
10/28/2014	26.98	27.80	26.98	27.65	2550197	142383664.000
10/29/2014	27.75	28.85	27.65	28.70	3985051	229243040.000
10/30/2014	28.59	29.17	28.43	28.96	3803458	222780832.000
10/31/2014	28.98	31.73	28.83	30.77	5500298	338121536.000
11/03/2014	30.97	32.03	30.58	31.06	4349617	276399968.000
11/04/2014	30.88	33.42	30.65	32.99	5633909	368418368.000
11/05/2014	32.47	33.04	31.83	32.32	3546186	233012768.000
11/06/2014	32.11	34.66	32.11	34.09	4919636	336110272.000
11/07/2014	34.10	35.58	33.08	33.66	5190785	361041088.000
11/10/2014	33.76	35.73	33.76	35.16	3716125	262297232.000
11/11/2014	35.06	35.16	33.62	34.17	3850042	267281248.000
11/12/2014	34.17	36.22	33.91	36.00	4476933	320813312.000
11/13/2014	34.95	36.33	34.78	35.44	3639557	261724960.000
11/14/2014	35.38	35.79	31.99	32.38	5460417	368048256.000
11/17/2014	32.09	33.20	31.73	32.38	2472985	163280320.000
11/18/2014	32.40	33.46	32.12	33.30	2354660	157438528.000
11/19/2014	33.13	33.27	32.33	32.79	1723528	114402384.000
11/20/2014	32.46	33.53	32.20	33.22	1911077	127893120.000
11/21/2014	33.08	33.73	32.98	33.15	2260547	152680512.000
11/24/2014	33.63	33.77	33.08	33.28	2349300	158936992.000
11/25/2014	33.18	33.45	32.08	32.45	2843605	187614064.000
11/26/2014	32.48	33.25	32.43	32.85	1608040	107208456.000
11/27/2014	33.21	35.58	33.13	34.50	3118682	217866096.000
11/28/2014	34.39	34.92	33.94	34.35	2358378	164465760.000
12/01/2014	34.58	35.39	33.92	34.85	2065745	144636640.000
12/02/2014	34.65	37.05	34.63	36.58	4159537	305088352.000
12/03/2014	36.43	37.33	35.58	36.84	3092395	227164448.000
12/04/2014	36.93	36.93	35.98	36.08	2515161	184099664.000
12/05/2014	35.83	35.83	34.17	34.20	3452717	243564416.000
12/08/2014	33.92	33.92	33.08	33.18	2115035	143300000.000
12/09/2014	32.83	33.29	31.13	31.21	2874501	188462768.000
12/10/2014	31.38	32.83	31.08	32.43	1614965	105278264.000
12/11/2014	32.33	32.81	31.87	32.67	1212852	79416376.000
12/12/2014	32.57	32.79	31.98	32.64	892180	58594560.000
12/15/2014	32.47	33.43	32.12	33.23	1359494	90962488.000
12/16/2014	33.18	33.41	32.30	32.57	1264446	83774152.000
12/17/2014	32.52	32.52	31.18	31.54	1581736	101575304.000
12/18/2014	31.49	31.85	30.90	30.92	1124324	71335840.000
12/19/2014	30.58	31.33	29.58	29.83	1519691	92813736.000
12/22/2014	29.50	29.51	27.75	28.04	1305977	74869088.000
12/23/2014	28.23	29.92	28.08	28.95	1318299	77867328.000
12/24/2014	29.17	30.78	29.17	30.49	1614366	98977048.000
12/25/2014	30.45	30.87	29.98	30.58	1014936	62446492.000
12/26/2014	30.53	31.19	30.18	30.65	832979	51867960.000
12/29/2014	30.43	30.43	29.14	29.70	995808	59814172.000
12/30/2014	29.82	29.98	29.02	29.31	744205	44362876.000
12/31/2014	29.58	29.69	28.83	29.55	845121	50269776.000
01/05/2015	29.37	29.37	28.20	28.66	997608	57747256.000
01/06/2015	28.37	29.82	28.37	29.68	1216959	72162368.000
01/07/2015	29.58	29.66	28.88	29.15	865138	51133800.000
01/08/2015	28.97	29.40	28.87	28.88	583419	34489716.000
01/09/2015	28.73	29.16	28.43	28.44	774379	45212812.000
01/12/2015	28.33	28.33	27.13	27.28	1209830	67565296.000
01/13/2015	27.33	28.40	27.32	28.18	1087159	61453640.000
01/14/2015	28.20	28.27	27.63	27.94	937387	52878424.000
01/15/2015	27.98	28.52	27.76	28.13	637201	36384760.000
01/16/2015	28.13	29.30	28.08	29.00	981021	57301136.000
