603077 和邦生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/31/2012	2.56	2.69	2.50	2.63	19818983	322702144.000
08/01/2012	2.56	2.60	2.50	2.55	11462129	182527520.000
08/02/2012	2.55	2.76	2.55	2.68	16047747	268337184.000
08/03/2012	2.65	2.79	2.64	2.73	14167427	239725632.000
08/06/2012	2.69	2.74	2.65	2.72	11503382	193032544.000
08/07/2012	2.73	2.76	2.65	2.70	8951969	150418528.000
08/08/2012	2.68	2.73	2.58	2.61	8724613	143781616.000
08/09/2012	2.61	2.87	2.61	2.79	25977767	450059904.000
08/10/2012	2.76	2.84	2.73	2.77	13571353	234990208.000
08/13/2012	2.78	2.83	2.73	2.78	11701603	203095616.000
08/14/2012	2.78	2.85	2.75	2.82	16596740	290299200.000
08/15/2012	2.82	2.84	2.63	2.65	15459966	261517088.000
08/16/2012	2.62	2.64	2.56	2.60	7724992	125541968.000
08/17/2012	2.64	2.69	2.61	2.65	7042866	116289976.000
08/20/2012	2.61	2.70	2.59	2.68	6330142	105049032.000
08/21/2012	2.66	2.71	2.66	2.68	6921802	115656840.000
08/22/2012	2.67	2.69	2.61	2.65	5594530	92354768.000
08/23/2012	2.64	2.77	2.63	2.74	10710416	181222160.000
08/24/2012	2.73	2.77	2.65	2.65	8448426	142786112.000
08/27/2012	2.59	2.62	2.57	2.57	5025620	81253176.000
08/28/2012	2.55	2.61	2.54	2.58	5190842	83497896.000
08/29/2012	2.56	2.60	2.53	2.55	4757450	76270016.000
08/30/2012	2.53	2.59	2.44	2.50	6266734	98321904.000
08/31/2012	2.47	2.50	2.43	2.45	4521985	69479552.000
09/03/2012	2.44	2.50	2.44	2.49	3632165	56242208.000
09/04/2012	2.49	2.50	2.43	2.49	4475518	69064240.000
09/05/2012	2.47	2.55	2.46	2.52	4742796	74631664.000
09/06/2012	2.50	2.55	2.50	2.53	3224410	51062528.000
09/07/2012	2.57	2.64	2.54	2.60	8038688	130134680.000
09/10/2012	2.60	2.67	2.59	2.61	6094553	100025168.000
09/11/2012	2.59	2.65	2.57	2.63	5326768	86957616.000
09/12/2012	2.65	2.69	2.60	2.66	6727740	111304544.000
09/13/2012	2.64	2.65	2.56	2.56	5042856	82051376.000
09/14/2012	2.59	2.63	2.56	2.60	4756538	77113792.000
09/17/2012	2.59	2.61	2.49	2.50	5012047	79298328.000
09/18/2012	2.49	2.53	2.48	2.50	2445703	38352112.000
09/19/2012	2.50	2.53	2.49	2.51	2221961	34812200.000
09/20/2012	2.51	2.51	2.44	2.45	3648187	56323132.000
09/21/2012	2.45	2.50	2.44	2.47	3049799	47260096.000
09/24/2012	2.44	2.51	2.43	2.51	2822366	43833268.000
09/25/2012	2.50	2.55	2.48	2.49	2754381	43364284.000
09/26/2012	2.48	2.49	2.30	2.32	5921935	88191928.000
09/27/2012	2.30	2.37	2.27	2.35	5992882	87214352.000
09/28/2012	2.31	2.40	2.30	2.39	5085866	75259184.000
10/08/2012	2.39	2.40	2.33	2.34	3604641	53089248.000
10/09/2012	2.35	2.42	2.35	2.41	5238991	78482840.000
10/10/2012	2.39	2.42	2.37	2.42	3798215	57017552.000
10/11/2012	2.39	2.41	2.36	2.36	3321902	49519808.000
10/12/2012	2.36	2.49	2.36	2.44	7162029	109601608.000
10/15/2012	2.41	2.46	2.38	2.42	3707843	55940292.000
10/16/2012	2.42	2.42	2.37	2.38	2999314	44962680.000
10/17/2012	2.39	2.41	2.36	2.38	3177224	47476048.000
10/18/2012	2.38	2.43	2.38	2.42	4402195	66442796.000
10/19/2012	2.52	2.64	2.49	2.50	13608604	216116720.000
10/22/2012	2.46	2.55	2.45	2.54	6702915	105195360.000
10/23/2012	2.52	2.54	2.48	2.49	4217706	65987896.000
10/24/2012	2.46	2.48	2.39	2.39	4973132	75893064.000
10/25/2012	2.39	2.40	2.33	2.34	4617922	68366792.000
10/26/2012	2.34	2.37	2.33	2.36	3047217	44795616.000
10/29/2012	2.36	2.37	2.30	2.32	2256926	32790192.000
10/30/2012	2.31	2.37	2.31	2.37	3050887	45035996.000
10/31/2012	2.25	2.25	2.17	2.22	7553541	105222272.000
11/01/2012	2.21	2.29	2.20	2.25	4977489	70431240.000
11/02/2012	2.25	2.27	2.22	2.25	3302148	46544776.000
11/05/2012	2.24	2.26	2.23	2.25	2070312	29190796.000
11/06/2012	2.25	2.27	2.23	2.27	3251157	46079328.000
11/07/2012	2.27	2.27	2.24	2.25	2231532	31570098.000
11/08/2012	2.23	2.23	2.12	2.12	4255455	58223904.000
11/09/2012	2.12	2.14	2.11	2.11	2003857	26786068.000
11/12/2012	2.11	2.13	2.11	2.13	1671190	22328004.000
11/13/2012	2.12	2.12	2.06	2.06	2731269	35741960.000
11/14/2012	2.06	2.09	2.05	2.08	1688689	22066068.000
11/15/2012	2.07	2.07	2.00	2.00	2119695	27245022.000
11/16/2012	2.00	2.02	2.00	2.02	1906239	24196590.000
11/19/2012	2.02	2.08	2.01	2.07	1796310	23094532.000
11/20/2012	2.08	2.09	2.03	2.04	1520532	19711668.000
11/21/2012	2.05	2.12	2.03	2.11	3414181	44912444.000
11/22/2012	2.09	2.12	2.08	2.09	1919597	25303376.000
11/23/2012	2.09	2.12	2.08	2.08	1858028	24606826.000
11/26/2012	2.08	2.09	2.02	2.03	1735349	22508368.000
11/27/2012	2.01	2.03	1.94	1.95	2343610	29262248.000
11/28/2012	1.94	1.95	1.88	1.90	1989232	23980680.000
11/29/2012	1.93	1.95	1.89	1.89	2096127	25457420.000
11/30/2012	1.88	1.93	1.86	1.92	1507930	18233462.000
12/03/2012	1.91	1.94	1.85	1.86	1342641	16184700.000
12/04/2012	1.84	1.87	1.78	1.85	3651124	42007312.000
12/05/2012	1.84	1.98	1.82	1.94	4808902	58338160.000
12/06/2012	1.92	1.94	1.90	1.91	2227358	27062068.000
12/07/2012	1.92	1.98	1.90	1.98	4500208	55610584.000
12/10/2012	1.98	2.03	1.97	2.02	4776275	60499272.000
12/11/2012	2.01	2.02	1.98	1.99	3397788	42997824.000
12/12/2012	1.99	2.03	1.98	2.01	2890301	36574300.000
12/13/2012	2.01	2.01	1.95	1.96	2736759	34143704.000
12/14/2012	1.95	2.08	1.95	2.06	6593765	84803616.000
12/17/2012	2.06	2.19	2.06	2.12	9060823	121985592.000
12/18/2012	2.13	2.19	2.11	2.14	5364726	72495248.000
12/19/2012	2.11	2.17	2.11	2.14	3323359	44745348.000
12/20/2012	2.13	2.24	2.12	2.21	6291393	86760848.000
12/21/2012	2.21	2.27	2.18	2.24	6904445	96854272.000
12/24/2012	2.23	2.29	2.21	2.23	4737863	66691184.000
12/25/2012	2.22	2.36	2.20	2.31	8641101	123975376.000
12/26/2012	2.29	2.41	2.28	2.40	9446673	139644368.000
12/27/2012	2.42	2.43	2.28	2.29	9005951	132840672.000
12/28/2012	2.28	2.34	2.25	2.32	5866009	84664544.000
12/31/2012	2.33	2.47	2.33	2.46	10551726	160205120.000
01/04/2013	2.52	2.53	2.43	2.45	10059805	155209552.000
01/07/2013	2.43	2.53	2.40	2.53	8221270	128390864.000
01/08/2013	2.52	2.57	2.48	2.53	7559068	119600016.000
01/09/2013	2.53	2.54	2.44	2.47	6580294	102529160.000
01/10/2013	2.46	2.51	2.42	2.49	4602973	71026544.000
01/11/2013	2.49	2.51	2.40	2.41	5809833	89289160.000
01/14/2013	2.41	2.50	2.40	2.49	6887167	106327632.000
01/15/2013	2.49	2.58	2.49	2.56	8272678	131977344.000
01/16/2013	2.58	2.67	2.56	2.62	13446940	220430784.000
01/17/2013	2.61	2.62	2.55	2.57	5959719	96090432.000
01/18/2013	2.59	2.74	2.58	2.73	11118968	185288096.000
01/21/2013	2.74	2.77	2.69	2.75	6915685	117410104.000
01/22/2013	2.73	2.75	2.59	2.62	7812504	129998592.000
01/23/2013	2.62	2.65	2.55	2.61	5636848	91470376.000
01/24/2013	2.61	2.65	2.40	2.48	8219900	130301280.000
01/25/2013	2.45	2.49	2.45	2.46	3042908	47023140.000
01/28/2013	2.48	2.57	2.47	2.56	5361411	85211192.000
01/29/2013	2.57	2.63	2.55	2.59	4584486	74236968.000
01/30/2013	2.59	2.62	2.52	2.60	5379844	86591296.000
01/31/2013	2.56	2.74	2.56	2.70	8917578	147969280.000
02/01/2013	2.67	2.71	2.65	2.71	5118021	85702632.000
02/04/2013	2.74	2.76	2.69	2.73	7346844	124932656.000
02/05/2013	2.71	2.71	2.58	2.64	7495869	123418512.000
02/06/2013	2.63	2.79	2.63	2.68	10299279	174454080.000
02/07/2013	2.48	2.48	2.40	2.41	22599511	342495328.000
02/08/2013	2.39	2.42	2.37	2.39	9297398	139542096.000
02/18/2013	2.40	2.41	2.38	2.41	5971604	89722648.000
02/19/2013	2.41	2.41	2.35	2.35	6773499	100686296.000
02/20/2013	2.36	2.38	2.34	2.38	4642791	68823472.000
02/21/2013	2.37	2.40	2.34	2.36	5517057	82028600.000
02/22/2013	2.36	2.37	2.33	2.33	4222043	61964332.000
