603299 井神股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/31/2015	5.27	5.27	5.27	5.27	51100	271341.000
01/04/2016	5.80	5.80	5.80	5.80	19500	113880.000
01/05/2016	6.38	6.38	6.38	6.38	45400	291468.000
01/06/2016	7.02	7.02	7.02	7.02	15600	110136.000
01/07/2016	7.73	7.73	7.73	7.73	29500	229215.000
01/08/2016	8.51	8.51	8.51	8.51	66800	571140.000
01/11/2016	9.37	9.37	9.37	9.37	78200	735862.000
01/12/2016	10.31	10.31	10.31	10.31	142100	1470735.000
01/13/2016	11.35	11.35	11.35	11.35	175799	2002351.000
01/14/2016	12.49	12.49	12.49	12.49	509289	6381391.000
01/15/2016	13.74	13.74	13.74	13.74	704532	9708451.000
01/18/2016	15.12	15.12	15.12	15.12	1633774	24768014.000
01/19/2016	16.64	16.64	16.64	16.64	634800	10588464.000
01/20/2016	18.31	18.31	18.31	18.31	356300	6538105.000
01/21/2016	20.15	20.15	19.06	19.15	21740261	432847200.000
01/22/2016	17.23	19.84	17.23	17.97	54218506	976961344.000
01/25/2016	18.45	18.92	16.38	18.23	47788812	842917504.000
01/26/2016	17.37	17.62	16.40	16.40	22621589	376319488.000
01/27/2016	14.87	15.52	14.76	14.77	33498849	498430432.000
01/28/2016	14.24	14.51	13.29	13.29	21221399	295461728.000
01/29/2016	13.46	14.62	13.46	14.62	11511239	166882960.000
02/01/2016	15.86	16.09	14.69	15.18	42687211	670494656.000
02/02/2016	14.71	15.85	14.57	15.78	31697466	483816032.000
02/03/2016	15.19	16.95	14.86	16.20	38739820	616943360.000
02/04/2016	15.97	17.82	15.97	17.82	23120251	402095008.000
02/05/2016	18.66	18.78	16.46	16.98	38705709	685473472.000
02/15/2016	15.38	16.80	15.38	16.35	21507778	343336576.000
02/16/2016	16.29	17.95	16.26	16.85	25814281	438022944.000
02/17/2016	16.62	18.54	16.57	18.54	44329806	807182016.000
02/18/2016	18.95	20.40	18.23	19.86	51470528	984164608.000
02/19/2016	19.11	19.43	18.26	18.75	33807332	639346176.000
02/22/2016	18.87	20.05	18.87	19.16	29159869	563239296.000
02/23/2016	19.01	21.08	18.98	21.08	35750074	729559360.000
02/24/2016	21.09	23.16	20.04	21.39	50815395	1089522304.000
02/25/2016	20.41	21.06	19.25	19.25	27833570	558613696.000
02/26/2016	19.14	19.93	17.57	18.59	25556242	484413632.000
02/29/2016	17.96	18.01	16.73	16.73	14113553	240894480.000
03/01/2016	16.96	18.41	16.58	18.41	22430188	392980480.000
03/02/2016	17.96	19.51	17.79	19.14	29278690	551596608.000
03/03/2016	18.84	20.46	18.56	19.05	28626368	563720512.000
03/04/2016	18.76	18.76	17.16	17.43	23056445	414352544.000
03/07/2016	17.46	18.19	16.92	17.49	17544090	308787840.000
03/08/2016	17.09	18.11	15.96	17.58	18587933	313306080.000
03/09/2016	16.86	17.95	16.36	16.97	14509530	249672784.000
03/10/2016	16.96	17.36	16.11	16.34	12567807	210486048.000
03/11/2016	15.96	16.76	15.76	16.25	11982278	193950048.000
03/14/2016	16.47	17.22	16.47	16.84	15414388	261046864.000
03/15/2016	16.56	16.87	16.16	16.26	11294045	186490800.000
03/16/2016	16.51	16.60	15.91	16.00	9850718	159706992.000
03/17/2016	16.06	16.66	15.90	16.53	16490534	270554400.000
03/18/2016	16.51	17.46	16.44	17.10	20997740	357816160.000
03/21/2016	17.36	17.81	16.97	17.72	20278133	354200256.000
03/22/2016	17.46	17.75	17.17	17.31	14589869	254084976.000
03/23/2016	17.03	17.84	17.03	17.74	17956600	314026208.000
03/24/2016	17.44	17.54	16.90	16.94	15239800	263020304.000
03/25/2016	16.84	17.06	16.28	16.61	11213700	187392496.000
03/28/2016	16.66	16.88	16.34	16.39	7808727	130331952.000
03/29/2016	16.45	16.45	15.96	16.19	7195423	116798384.000
03/30/2016	16.40	16.80	16.24	16.75	9201500	152455328.000
03/31/2016	16.81	17.14	16.59	16.77	11395154	192763120.000
04/01/2016	16.84	18.45	16.72	18.45	35072598	632587776.000
04/05/2016	18.39	19.66	18.16	19.25	34350559	658659584.000
04/06/2016	18.81	18.94	18.46	18.75	22384582	418243680.000
04/07/2016	18.75	18.76	17.96	18.34	17653200	323299008.000
