603456 九洲药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/10/2014	9.01	10.86	9.01	10.86	101400	2248668.000
10/13/2014	11.97	11.97	11.97	11.97	42700	1043588.000
10/14/2014	13.19	13.19	13.19	13.19	62600	1682688.000
10/15/2014	14.54	14.54	14.54	14.54	107800	3187646.000
10/16/2014	16.02	16.02	16.02	16.02	266000	8652980.000
10/17/2014	17.64	17.64	15.26	16.93	29795740	1001374336.000
10/20/2014	16.19	16.92	16.11	16.47	12668834	425539200.000
10/21/2014	16.47	18.08	16.47	17.58	18492027	652055872.000
10/22/2014	17.25	18.15	17.25	17.44	13061527	467615744.000
10/23/2014	17.15	17.24	16.25	16.39	10463271	354882432.000
10/24/2014	16.39	16.52	16.02	16.16	7127699	235253440.000
10/27/2014	16.08	16.50	15.86	16.27	6401053	211742656.000
10/28/2014	16.34	16.74	16.16	16.58	6445594	215681408.000
10/29/2014	16.63	17.69	16.62	17.44	9979067	349529600.000
10/30/2014	17.28	18.50	17.18	17.90	10636152	387485952.000
10/31/2014	17.80	19.00	17.69	18.83	9479580	351405824.000
11/03/2014	18.65	19.23	18.45	18.64	9081269	346796800.000
11/04/2014	18.65	20.14	18.55	19.22	8557178	333793248.000
11/05/2014	18.98	19.68	18.90	19.12	5490162	214526720.000
11/06/2014	19.00	20.05	18.98	19.87	6322177	251586640.000
11/07/2014	20.03	20.99	19.33	19.58	8229184	336838496.000
11/10/2014	19.58	19.90	18.92	19.73	7439913	292932192.000
11/11/2014	19.65	19.65	18.46	18.86	7414775	286163040.000
11/12/2014	18.67	20.50	18.54	20.27	9791582	387725824.000
11/13/2014	19.75	20.49	19.26	19.48	8149452	326065696.000
11/14/2014	19.25	19.48	17.70	17.86	8579661	317977056.000
11/17/2014	17.86	18.70	17.54	18.66	6073372	225286128.000
11/18/2014	18.65	18.73	18.08	18.40	3922665	145687744.000
11/19/2014	18.35	18.41	17.88	18.15	3463034	127276048.000
11/20/2014	17.95	18.65	17.83	18.46	3890190	143996560.000
11/21/2014	18.33	18.71	18.25	18.45	3687763	138329568.000
11/24/2014	18.55	18.65	18.23	18.42	3830376	143259488.000
11/25/2014	18.29	18.41	17.65	18.07	4776003	173921040.000
11/26/2014	18.08	18.19	17.80	18.16	3122640	113814944.000
11/27/2014	18.26	18.90	18.26	18.71	4786471	180912560.000
11/28/2014	18.64	19.03	18.28	18.58	3713875	140408176.000
12/01/2014	18.73	18.73	17.99	18.33	3797093	140098736.000
12/02/2014	18.35	19.14	18.27	18.83	4908067	187141568.000
12/03/2014	18.86	19.00	18.31	18.78	3406489	128395552.000
12/04/2014	18.85	19.18	18.65	18.75	4771222	182565168.000
12/05/2014	18.61	18.62	17.84	17.93	4881430	179559840.000
12/08/2014	17.70	17.70	16.93	16.99	5357401	186818032.000
12/09/2014	16.93	16.93	15.55	15.74	5407749	180081600.000
12/10/2014	15.56	16.54	15.56	16.42	2454124	80868848.000
12/11/2014	16.30	16.69	16.19	16.68	1880864	63120872.000
12/12/2014	16.71	16.89	16.54	16.65	1793116	60790380.000
12/15/2014	16.44	17.23	16.44	17.18	2638092	90270616.000
12/16/2014	17.04	17.28	16.98	17.02	1950492	67839472.000
12/17/2014	16.97	17.10	16.35	16.92	2974416	101152984.000
12/18/2014	16.61	16.90	16.60	16.60	1178277	39880496.000
12/19/2014	16.41	16.54	15.61	15.86	2815861	90730912.000
12/22/2014	15.64	15.69	14.71	15.41	3426340	105762376.000
12/23/2014	15.34	16.08	15.01	15.84	1615580	51945400.000
12/24/2014	15.83	16.30	15.83	16.27	1516447	49476868.000
12/25/2014	16.27	16.80	16.15	16.54	1878758	63009784.000
12/26/2014	16.43	16.99	16.25	16.71	1988668	67532160.000
12/29/2014	16.70	16.70	15.76	15.89	1818976	59000568.000
12/30/2014	15.91	16.73	15.75	16.17	2123706	70734608.000
12/31/2014	16.07	16.20	15.66	16.07	1174496	37924584.000
01/05/2015	15.91	16.04	15.66	15.91	860597	27679460.000
01/06/2015	15.80	16.35	15.70	16.27	1500130	48932992.000
01/07/2015	16.15	16.25	15.88	15.93	962920	31326926.000
01/08/2015	15.90	16.09	15.73	15.89	1124534	36329720.000
01/09/2015	15.75	15.93	15.68	15.69	935799	30064736.000
01/12/2015	15.69	15.75	15.00	15.22	1196237	37224588.000
01/13/2015	15.25	15.47	15.12	15.45	790690	24597376.000
01/14/2015	15.34	15.41	15.16	15.32	879954	27312536.000
01/15/2015	15.30	15.59	15.26	15.58	810316	25420104.000
01/16/2015	15.49	15.82	15.15	15.56	1229863	38995568.000
01/19/2015	15.41	16.03	15.06	15.36	2067049	65902960.000
01/20/2015	15.26	16.39	15.26	16.37	4072942	131863144.000
01/21/2015	16.34	16.58	16.16	16.42	2658286	88285264.000
01/22/2015	16.27	17.13	16.27	17.10	3047985	103817184.000
01/23/2015	16.94	17.13	16.46	16.59	1970800	67319432.000
01/26/2015	16.54	16.75	16.43	16.71	1568576	52982556.000
01/27/2015	16.66	16.84	16.43	16.67	1733134	58653580.000
01/28/2015	16.64	16.85	16.51	16.62	1193993	40403460.000
01/29/2015	16.52	16.60	16.20	16.24	910100	30287500.000
01/30/2015	16.18	16.55	16.09	16.22	621751	20556992.000
02/02/2015	16.04	16.50	16.04	16.40	639779	21255284.000
02/03/2015	16.34	16.58	16.20	16.50	1204597	40177204.000
02/04/2015	16.50	16.53	16.22	16.25	754691	25015264.000
02/05/2015	16.39	16.39	15.93	15.94	843977	27723956.000
02/06/2015	15.86	16.33	15.66	16.31	1525709	49930636.000
02/16/2015	17.75	17.97	17.15	17.97	6125850	219337968.000
02/17/2015	18.05	19.73	17.98	18.78	6665945	255209920.000
02/25/2015	18.78	19.10	18.33	18.36	1901503	71676296.000
02/26/2015	18.30	18.30	17.79	17.93	2161200	78756448.000
02/27/2015	17.99	19.15	17.91	18.87	2812219	106502784.000
03/02/2015	18.81	19.65	18.49	19.11	2041825	78731024.000
03/03/2015	18.97	19.74	18.90	18.95	3159262	124301832.000
03/04/2015	18.78	19.83	18.40	19.69	3510126	136977872.000
03/05/2015	19.95	21.18	19.88	20.87	3946028	165244128.000
03/06/2015	20.75	20.99	20.08	20.10	2087379	86276888.000
03/09/2015	20.70	22.11	20.20	21.46	3615630	156370160.000
03/10/2015	21.09	22.59	21.01	22.49	3917761	175044800.000
03/11/2015	22.25	22.26	21.26	21.72	3491928	152917040.000
03/12/2015	21.42	22.14	21.03	21.56	2739242	118406072.000
03/13/2015	21.64	22.10	21.05	22.05	1735139	75601808.000
03/16/2015	21.85	22.59	21.76	22.27	1720264	76752856.000
03/17/2015	21.90	22.50	21.50	21.77	1812624	80053360.000
03/18/2015	21.85	21.85	21.15	21.36	2944605	127051792.000
03/19/2015	21.25	21.53	20.75	21.42	2240932	95680456.000
03/20/2015	21.34	21.38	21.01	21.19	2154932	92400448.000
03/23/2015	21.11	21.25	20.84	21.00	5188141	220651648.000
03/24/2015	21.05	21.55	21.00	21.36	5064124	218736608.000
03/25/2015	21.40	23.36	21.40	22.71	5315341	242567888.000
03/26/2015	22.50	22.50	21.99	22.21	2801155	126087848.000
03/27/2015	22.15	24.00	21.25	23.49	2973481	135168448.000
03/30/2015	23.20	23.44	22.95	23.17	1444768	67599840.000
03/31/2015	23.06	24.20	22.75	23.55	2943436	140807264.000
04/01/2015	23.60	23.83	23.30	23.64	1997829	95362496.000
04/02/2015	23.69	23.76	23.26	23.44	1296289	61324144.000
04/03/2015	23.57	23.57	22.90	23.15	2027614	94601280.000
04/07/2015	23.19	24.76	23.11	24.72	3523656	172846688.000
04/08/2015	24.64	24.64	23.50	23.79	1814917	87947408.000
04/09/2015	23.53	24.08	23.01	23.21	1747866	82370952.000
04/10/2015	23.44	24.37	23.30	24.05	1854636	89553760.000
04/13/2015	23.25	25.70	22.75	25.26	4304377	213626944.000
04/14/2015	25.25	25.51	24.49	24.65	1818669	91965184.000
04/15/2015	24.60	24.60	23.10	23.26	1459120	69843704.000
