603515 欧普照明 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/19/2016	17.93	21.51	17.93	21.51	31300	666103.000
08/22/2016	23.66	23.66	23.66	23.66	3800	89908.000
08/23/2016	26.03	26.03	26.03	26.03	8800	229064.000
08/24/2016	28.63	28.63	28.63	28.63	11992	343331.000
08/25/2016	31.49	31.49	31.49	31.49	28445	895733.000
08/26/2016	34.64	34.64	34.64	34.64	63500	2201580.000
08/29/2016	38.10	38.10	38.10	38.10	64823	2469756.000
08/30/2016	41.91	41.91	41.91	41.91	72000	3017520.000
08/31/2016	46.10	46.10	44.40	46.10	26123681	1189908608.000
09/01/2016	46.10	50.71	46.10	50.71	32560387	1592180736.000
09/02/2016	48.00	53.25	47.60	50.70	26486848	1328908160.000
09/05/2016	50.70	52.86	49.25	51.53	20528899	1054539520.000
09/06/2016	50.80	54.02	50.40	53.37	22160167	1156688000.000
09/07/2016	52.48	52.83	49.95	50.04	20660529	1062300416.000
09/08/2016	49.40	50.50	47.70	48.47	14424508	705912640.000
09/09/2016	48.03	48.88	46.76	46.99	12074700	576912256.000
09/12/2016	45.26	46.68	45.10	45.82	8437569	385781216.000
09/13/2016	46.20	46.38	44.51	45.00	8569114	388263712.000
09/14/2016	44.52	46.75	44.21	45.33	8755466	400800896.000
09/19/2016	45.55	46.12	44.35	45.01	7651466	342881184.000
09/20/2016	44.99	44.99	43.53	43.79	8349555	368357888.000
09/21/2016	43.51	43.78	42.66	42.70	6866643	296005248.000
09/22/2016	42.90	43.15	42.35	43.03	6721621	287600832.000
09/23/2016	42.90	44.32	42.81	43.08	8030544	349650624.000
09/26/2016	43.00	43.00	39.01	39.13	9574999	388376896.000
09/27/2016	38.85	39.45	38.00	39.36	6713313	259575360.000
09/28/2016	39.14	39.19	38.37	38.42	4331371	167203792.000
09/29/2016	38.50	38.99	38.28	38.58	4350934	168337536.000
09/30/2016	38.48	38.87	38.35	38.59	3564770	137544544.000
数据来源:通达信
