603518 维格娜丝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/03/2014	23.76	28.57	23.76	28.57	48000	1379992.000
12/04/2014	31.45	31.45	31.45	31.45	21600	684936.000
12/05/2014	34.62	34.62	34.62	34.62	39500	1377760.000
12/08/2014	38.11	38.11	38.11	38.11	64500	2474865.000
12/09/2014	41.95	41.95	41.95	41.95	235900	9957339.000
12/10/2014	46.17	46.17	37.94	42.43	17725967	752063552.000
12/11/2014	39.74	42.19	38.74	40.44	9727145	395805856.000
12/12/2014	40.43	41.58	39.34	39.36	6803110	274226240.000
12/15/2014	38.44	38.48	37.24	37.47	6292527	238276224.000
12/16/2014	37.24	37.89	37.15	37.31	3604871	135751472.000
12/17/2014	37.14	37.14	35.45	35.54	5846194	211952848.000
12/18/2014	35.59	35.93	34.75	34.86	3853253	136921568.000
12/19/2014	34.87	35.07	32.46	32.82	5331318	178700800.000
12/22/2014	32.61	32.63	29.51	29.51	5266766	161135840.000
12/23/2014	29.38	32.49	28.95	32.49	8298884	267697488.000
12/24/2014	32.44	33.59	31.74	33.01	7640900	251919024.000
12/25/2014	32.70	32.74	31.09	31.98	5271875	169281808.000
12/26/2014	31.64	32.78	31.45	31.73	3238946	104591816.000
12/29/2014	31.48	31.73	30.54	31.01	2907832	90883136.000
12/30/2014	30.76	32.39	30.76	31.36	3005648	95640640.000
12/31/2014	31.23	31.24	30.27	30.76	2458497	76151488.000
01/05/2015	30.74	31.14	30.24	30.93	2062599	63842452.000
01/06/2015	30.66	31.93	30.40	31.66	3275891	103419624.000
01/07/2015	31.66	31.66	30.75	31.07	2255228	70693280.000
01/08/2015	30.82	31.43	30.64	30.71	2036471	63773916.000
01/09/2015	30.54	30.89	30.28	30.35	2010622	61914220.000
01/12/2015	30.21	30.21	29.25	29.26	1966159	58689928.000
01/13/2015	29.29	29.85	29.24	29.62	1310308	39168760.000
01/14/2015	29.54	29.73	29.07	29.14	1476754	43776360.000
01/15/2015	29.17	30.02	29.14	29.48	1582401	47313288.000
01/16/2015	29.44	30.02	29.42	29.91	1777900	53516108.000
01/19/2015	29.54	30.97	29.25	30.26	3451610	105570472.000
01/27/2015	31.89	33.31	31.43	33.31	9340849	306959328.000
