603519 立霸股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/19/2015	7.90	9.54	7.90	9.54	19400	379094.000
03/20/2015	10.52	10.52	10.52	10.52	4700	101896.000
03/23/2015	11.61	11.61	11.61	11.61	13400	319590.000
03/24/2015	12.80	12.80	12.80	12.80	40400	1060096.000
03/25/2015	14.11	14.11	14.11	14.11	74400	2147184.000
03/26/2015	15.56	15.56	15.56	15.56	176300	5597525.000
03/27/2015	17.15	17.15	15.59	15.91	10973903	360469280.000
03/30/2015	15.36	15.82	15.33	15.61	5793432	183245424.000
03/31/2015	15.50	15.85	15.37	15.56	3579558	113599872.000
04/01/2015	15.52	15.91	15.44	15.80	3127489	100371472.000
04/02/2015	15.95	16.63	15.79	16.38	5166327	171212112.000
04/03/2015	16.19	17.68	16.13	17.48	5841984	200991264.000
04/07/2015	17.35	18.86	17.19	17.95	4947337	181105328.000
04/08/2015	17.83	19.77	16.93	19.77	5861328	213338944.000
04/09/2015	19.48	20.63	18.98	19.08	5874559	233398752.000
04/10/2015	18.62	19.98	18.18	19.09	3266737	127088528.000
04/13/2015	19.09	19.31	18.59	19.05	3660306	140845376.000
04/14/2015	18.97	19.26	18.70	18.73	2604587	100308240.000
04/15/2015	18.70	18.73	17.18	17.42	2522388	92147072.000
04/16/2015	17.41	17.76	16.78	17.48	1830713	64760768.000
04/17/2015	17.68	18.07	17.58	17.65	1820296	65910040.000
04/20/2015	17.61	17.61	16.85	16.95	1914443	66927500.000
04/21/2015	16.93	17.71	16.88	17.68	1632038	57875968.000
04/22/2015	17.66	18.16	17.66	18.03	2109913	77000528.000
04/23/2015	18.01	18.22	17.84	18.04	2047079	74996016.000
04/24/2015	17.73	18.03	17.58	17.94	1823624	66100900.000
04/27/2015	18.17	18.70	18.09	18.49	2544182	95229264.000
04/28/2015	18.68	18.68	17.79	17.81	2103136	77367064.000
04/29/2015	17.63	18.56	17.45	18.50	2445704	90600608.000
04/30/2015	18.50	19.77	18.49	18.93	4929167	192242960.000
05/04/2015	19.18	20.03	18.44	19.91	4880640	191928304.000
05/05/2015	19.68	20.48	18.98	19.87	4509303	180174064.000
05/06/2015	19.68	20.39	18.68	19.15	4249511	172006880.000
05/07/2015	18.77	18.92	17.44	17.97	2372300	88592832.000
05/08/2015	18.21	19.51	18.11	19.40	2797584	105988608.000
05/11/2015	19.63	21.37	19.38	21.37	4741631	198630464.000
05/12/2015	22.18	23.43	21.36	22.06	7689705	345250176.000
05/13/2015	21.68	22.03	20.68	21.80	5377914	234096352.000
05/14/2015	21.66	24.01	21.47	24.01	6089814	283921600.000
05/15/2015	24.53	25.40	22.70	24.00	5985923	291598400.000
05/18/2015	23.69	26.33	23.64	25.81	4804038	246756192.000
05/19/2015	25.58	27.18	24.44	25.80	4227645	218410496.000
05/20/2015	25.48	27.33	25.09	25.18	3874416	204553552.000
05/21/2015	24.84	25.57	24.28	25.16	3230093	162736592.000
05/22/2015	25.49	27.71	24.71	27.71	5325987	282482880.000
05/25/2015	27.63	30.37	26.93	29.28	5755415	335984800.000
