603600 永艺股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/23/2015	14.00	14.00	14.00	14.00	44400	653568.000
01/26/2015	15.47	15.47	15.47	15.47	6700	108473.000
01/27/2015	17.09	17.09	17.09	17.09	26000	463060.000
01/28/2015	18.87	18.87	18.87	18.87	54400	1065696.000
01/29/2015	20.83	20.83	20.83	20.83	124199	2676488.000
01/30/2015	22.99	22.99	22.99	22.99	246333	5840555.000
02/02/2015	25.36	25.36	25.36	25.36	314200	8194336.000
02/03/2015	27.97	27.97	27.97	27.97	185800	5330602.000
02/04/2015	30.84	30.84	30.84	30.84	380099	11995924.000
02/05/2015	34.00	34.00	34.00	34.00	335450	11646824.000
02/06/2015	35.28	35.28	30.53	30.53	5562734	185196384.000
02/09/2015	27.41	27.41	27.41	27.41	204800	5761024.000
02/10/2015	24.60	30.21	24.60	26.03	8910327	231646384.000
02/11/2015	25.27	25.94	24.88	25.33	7770653	201781120.000
02/12/2015	25.03	25.41	24.56	24.97	4554403	116884000.000
02/13/2015	24.99	25.39	24.88	25.22	5968961	153955088.000
02/16/2015	25.26	25.26	24.64	24.90	3357436	86064256.000
02/17/2015	24.96	25.01	24.58	24.59	2885318	73467536.000
02/25/2015	24.78	24.78	24.49	24.53	1976149	50047992.000
02/26/2015	24.47	24.78	24.31	24.70	2239110	56689008.000
02/27/2015	24.71	24.97	24.61	24.86	2433078	62028104.000
03/02/2015	24.88	25.92	24.73	25.83	5082368	131840616.000
03/03/2015	25.53	25.53	24.85	24.86	3783567	97817616.000
03/04/2015	24.77	25.24	24.67	25.02	2550477	65417240.000
03/05/2015	25.00	25.14	24.86	24.91	2115434	54366536.000
03/06/2015	24.91	25.00	24.30	24.31	2412755	60969056.000
03/09/2015	24.18	24.18	23.33	23.74	1885330	45896448.000
03/10/2015	23.74	24.22	23.69	24.19	1767112	43689440.000
03/11/2015	24.13	24.27	23.98	24.15	1533155	38079016.000
03/12/2015	24.24	24.29	23.54	23.66	1894558	46496212.000
03/13/2015	23.66	24.28	23.66	24.24	1895948	46998876.000
03/16/2015	24.51	25.54	24.36	25.52	5590415	145019904.000
03/17/2015	25.88	26.13	25.27	25.61	4992511	131393656.000
03/18/2015	25.48	27.89	25.38	27.87	6304226	172217344.000
03/19/2015	27.78	28.24	26.66	27.72	4778847	134576896.000
03/20/2015	27.17	29.16	27.17	28.58	4660349	133809912.000
03/23/2015	28.61	28.73	28.08	28.40	2892758	83868696.000
03/24/2015	28.40	28.63	26.78	27.86	3278149	93626240.000
03/25/2015	27.68	28.58	27.00	28.38	3587749	103197136.000
03/26/2015	27.95	29.16	27.93	27.94	2620797	76399920.000
03/27/2015	27.93	29.38	27.71	28.70	3574538	105654472.000
03/30/2015	28.43	28.76	28.19	28.56	1873000	54581052.000
03/31/2015	28.49	28.65	27.78	27.88	2180449	63020884.000
04/01/2015	27.83	28.48	27.75	28.35	1729900	49832888.000
04/02/2015	28.38	30.27	28.18	29.61	3480802	103738080.000
04/03/2015	29.28	30.07	28.59	29.58	2945622	88595536.000
04/07/2015	29.76	30.88	29.76	30.61	4634792	144557376.000
04/08/2015	30.70	30.96	29.70	30.85	3280538	102053728.000
04/09/2015	30.88	31.06	29.08	30.37	2503428	77125208.000
04/10/2015	29.54	30.31	29.25	30.00	2745092	84128520.000
04/13/2015	30.28	31.23	29.70	30.85	4133521	128640080.000
04/14/2015	30.68	31.04	29.96	30.28	2345653	73363400.000
04/15/2015	30.28	30.36	28.08	28.10	2165301	64350928.000
04/16/2015	28.08	28.73	27.49	28.46	2275803	65351772.000
04/17/2015	28.52	28.92	28.29	28.41	2625110	76880816.000
04/20/2015	28.38	29.84	27.46	29.67	4820401	143013232.000
04/21/2015	29.46	32.71	29.38	32.71	8460416	276432064.000
04/22/2015	33.38	35.16	32.28	33.46	8677541	294506144.000
04/23/2015	33.73	34.48	33.16	33.49	4871073	168062176.000
04/24/2015	32.38	33.42	32.08	32.49	3522767	117321384.000
04/27/2015	32.09	35.81	32.09	35.81	6106256	214932560.000
04/28/2015	36.18	39.46	34.28	39.46	7763312	291428032.000
04/29/2015	39.96	43.48	38.66	43.48	6880269	288069600.000
04/30/2015	44.63	47.90	44.63	46.71	10361470	495143264.000
05/04/2015	45.45	51.45	41.98	51.45	9020271	413108256.000
05/05/2015	51.28	55.29	47.28	49.19	9210738	472481088.000
05/06/2015	48.90	51.67	46.28	51.49	8809841	444474656.000
05/07/2015	49.31	52.93	48.39	52.31	5712118	297924064.000
05/08/2015	51.89	57.58	50.76	51.55	10055163	540879488.000
05/11/2015	49.40	56.78	49.31	56.78	8249042	449883072.000
05/12/2015	57.27	62.53	55.72	62.53	6421919	387886016.000
05/13/2015	63.08	68.86	59.79	68.83	7727554	492012768.000
05/14/2015	66.71	68.26	63.17	63.47	9712599	634736960.000
05/15/2015	61.28	67.23	57.97	64.15	9689252	618614272.000
05/18/2015	62.39	66.16	62.28	65.50	8081871	524428128.000
05/19/2015	65.78	72.12	63.43	72.12	5381770	377175520.000
05/20/2015	70.78	79.40	70.48	76.53	3658236	287882784.000
05/21/2015	77.38	84.26	73.16	84.26	7385053	578929280.000
05/22/2015	83.28	91.28	81.28	83.63	5259216	458229728.000
05/25/2015	79.50	92.04	77.49	92.04	8239165	693172480.000
05/26/2015	92.49	96.30	89.44	92.51	4973282	463769824.000
05/27/2015	91.50	99.50	88.49	98.33	9137428	848463488.000
05/28/2015	95.30	102.30	90.30	90.60	5886227	572345280.000
05/29/2015	84.60	96.50	84.60	95.48	11098494	1019339520.000
06/01/2015	93.40	94.20	88.39	91.38	4875120	448942656.000
06/02/2015	89.40	90.50	86.10	86.18	3000687	266648224.000
06/03/2015	86.20	87.38	79.50	83.30	3864600	317690336.000
06/04/2015	83.30	83.47	76.92	82.51	2427820	198456016.000
06/05/2015	82.60	84.00	79.50	81.11	3773899	308600256.000
06/08/2015	80.50	83.00	78.71	80.82	3869433	315708544.000
06/09/2015	80.00	84.48	77.50	82.88	4157538	340829696.000
06/10/2015	81.60	88.00	80.50	86.76	2936298	252499584.000
06/11/2015	86.47	95.49	83.79	94.73	9182627	844137280.000
06/12/2015	91.38	97.61	88.50	92.70	5258721	486905568.000
06/15/2015	91.10	101.50	89.16	97.92	5529790	527966592.000
06/16/2015	97.55	104.00	94.58	99.31	2965238	296704256.000
