603766 隆鑫通用 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/10/2012	10.19	12.71	10.16	12.55	72393333	844059008.000
08/13/2012	11.79	12.79	11.21	11.21	49175919	616745088.000
08/14/2012	10.30	10.73	10.01	10.18	38720634	428777760.000
08/15/2012	9.85	10.01	9.08	9.11	30926179	316038080.000
08/16/2012	8.82	10.04	8.81	9.37	30539849	315813440.000
08/17/2012	9.09	9.18	8.47	8.82	23185074	222337424.000
08/20/2012	8.59	8.77	8.39	8.60	17153119	161020768.000
08/21/2012	8.69	9.29	8.64	8.84	20850109	203365440.000
08/22/2012	8.64	9.32	8.60	9.08	23465012	230411168.000
08/23/2012	9.02	9.49	8.81	9.08	22156274	221735248.000
08/24/2012	8.91	8.94	8.41	8.43	16960709	160617600.000
08/27/2012	8.24	8.36	7.71	7.74	12963782	113472248.000
08/28/2012	7.79	8.04	7.67	7.91	10232801	88640064.000
08/29/2012	7.82	7.97	7.64	7.72	8672926	74635848.000
08/30/2012	7.71	7.84	7.10	7.31	10500385	86984392.000
08/31/2012	7.34	7.57	7.17	7.42	9159050	74644168.000
09/03/2012	7.34	7.56	7.31	7.48	7896576	65374540.000
09/04/2012	7.49	8.31	7.24	8.28	23715002	205132480.000
09/05/2012	8.07	8.73	7.90	8.41	28245702	258088336.000
09/06/2012	8.22	8.87	8.08	8.56	21424509	200247744.000
09/07/2012	8.51	8.81	8.39	8.56	22820229	214807824.000
09/10/2012	8.47	8.68	8.45	8.53	14752263	138042000.000
09/11/2012	8.45	8.52	8.15	8.47	12686387	116139064.000
09/12/2012	8.46	9.05	8.36	8.76	21439371	204887568.000
09/13/2012	8.67	8.82	8.24	8.27	13292436	124499880.000
09/14/2012	8.37	8.44	7.89	8.22	11939140	107132584.000
09/17/2012	8.24	8.24	7.60	7.61	8728670	75690256.000
09/18/2012	7.52	7.75	7.52	7.61	5007509	42373836.000
09/19/2012	7.64	7.72	7.57	7.69	3694872	31278740.000
09/20/2012	7.71	8.10	7.61	7.87	10548434	91535472.000
09/21/2012	7.72	7.82	7.37	7.42	6217262	51895892.000
09/24/2012	7.31	7.52	7.17	7.40	4418732	36041448.000
09/25/2012	7.40	7.46	7.28	7.31	3100474	25347232.000
09/26/2012	7.22	7.34	6.71	6.84	5426558	42739048.000
09/27/2012	6.79	7.06	6.75	7.02	5927983	45937540.000
09/28/2012	6.97	7.09	6.92	7.07	4436632	34808640.000
10/08/2012	7.06	7.15	7.00	7.06	3203261	25204696.000
10/09/2012	7.03	7.45	7.03	7.34	8064642	65268788.000
10/10/2012	7.29	7.47	7.24	7.46	6967379	57029492.000
10/11/2012	7.41	7.47	7.13	7.15	5683137	46129400.000
10/12/2012	7.15	7.29	7.02	7.05	4360275	34651896.000
10/15/2012	7.04	7.11	6.81	6.91	3675925	28474344.000
10/16/2012	6.91	7.29	6.91	7.08	5623318	44525100.000
10/17/2012	7.08	7.41	7.02	7.28	8782145	70786776.000
10/18/2012	7.27	7.48	7.23	7.42	7854102	64059704.000
10/19/2012	7.39	7.49	7.30	7.35	6867079	56364236.000
10/22/2012	7.24	7.36	7.23	7.31	3018358	24429620.000
10/23/2012	7.31	7.38	7.25	7.30	3723037	30231964.000
10/24/2012	7.22	7.32	7.12	7.13	4461303	35797912.000
10/25/2012	7.15	7.19	6.91	6.92	4103192	32067178.000
10/26/2012	6.86	6.95	6.51	6.55	5173196	38628412.000
10/29/2012	6.55	6.75	6.55	6.62	2884593	21549502.000
10/30/2012	6.66	6.73	6.58	6.61	2112971	15726958.000
10/31/2012	6.59	6.63	6.44	6.59	3762678	27577604.000
11/01/2012	6.61	6.88	6.57	6.85	5710034	43317788.000
11/02/2012	6.83	6.95	6.69	6.79	4448884	33793784.000
11/05/2012	6.76	6.93	6.75	6.86	4755435	36444696.000
11/06/2012	6.82	6.99	6.70	6.84	4450390	34011296.000
11/07/2012	6.80	6.89	6.76	6.82	2591235	19784102.000
11/08/2012	6.76	6.77	6.40	6.42	6195164	45393904.000
11/09/2012	6.45	6.45	6.30	6.33	3410723	24421408.000
11/12/2012	6.39	6.45	6.34	6.39	2887565	20772930.000
11/13/2012	6.38	6.41	6.14	6.16	3251653	22964420.000
11/14/2012	6.18	6.46	6.14	6.41	4993097	35735052.000
