000006 深振业Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.52	2.57	2.46	2.46	1841620	7619286.500
01/05/2012	2.42	2.48	2.41	2.42	1892960	7618016.000
01/06/2012	2.43	2.43	2.35	2.41	1242000	4931845.000
01/09/2012	2.42	2.50	2.39	2.49	2536232	10286214.000
01/10/2012	2.53	2.63	2.50	2.60	4073352	17142000.000
01/11/2012	2.60	2.63	2.57	2.60	3178351	13529932.000
01/12/2012	2.57	2.91	2.57	2.90	29417697	136286896.000
01/13/2012	2.83	2.83	2.64	2.69	19590125	86663640.000
01/16/2012	2.65	2.72	2.57	2.61	6625103	28568552.000
01/17/2012	2.64	2.78	2.59	2.74	8247734	36204008.000
01/18/2012	2.71	2.76	2.65	2.65	6402446	28162302.000
01/19/2012	2.65	2.74	2.64	2.71	5965095	26261226.000
01/20/2012	2.71	2.79	2.68	2.77	6631239	29560438.000
01/30/2012	2.75	2.75	2.65	2.65	4641181	20302734.000
01/31/2012	2.65	2.71	2.65	2.70	2219823	9670061.000
02/01/2012	2.71	2.71	2.61	2.65	2219474	9650891.000
02/02/2012	2.67	2.75	2.63	2.72	4333241	19035546.000
02/03/2012	2.76	2.84	2.73	2.77	7766443	34943880.000
02/06/2012	2.77	2.79	2.71	2.75	4403061	19642176.000
02/07/2012	2.75	2.84	2.73	2.79	9993396	45069112.000
02/08/2012	2.81	2.85	2.72	2.83	7202648	32532630.000
02/09/2012	2.85	2.95	2.80	2.92	10296971	47831276.000
02/10/2012	2.92	3.04	2.87	2.90	9388922	44491876.000
02/13/2012	2.79	2.92	2.77	2.85	6055917	27648762.000
02/14/2012	2.85	2.92	2.80	2.90	4936787	22771868.000
02/15/2012	2.89	2.93	2.85	2.92	5594810	26121670.000
02/16/2012	2.89	2.93	2.85	2.88	4117599	19110874.000
02/17/2012	2.90	2.90	2.82	2.87	3297500	15223668.000
02/20/2012	2.93	2.96	2.89	2.90	4935342	23142318.000
02/21/2012	2.91	2.95	2.85	2.95	6884248	32105584.000
02/22/2012	2.93	3.09	2.92	3.09	16231209	79189184.000
02/23/2012	3.07	3.17	3.04	3.14	10654333	52655932.000
02/24/2012	3.13	3.45	3.11	3.43	23478910	123638152.000
02/27/2012	3.38	3.52	3.38	3.44	20862205	113344896.000
02/28/2012	3.42	3.48	3.34	3.45	9975821	53179400.000
02/29/2012	3.37	3.44	3.34	3.34	8937078	47590720.000
03/01/2012	3.36	3.42	3.34	3.37	5265540	28103964.000
03/02/2012	3.38	3.52	3.36	3.48	9181410	49912032.000
03/05/2012	3.53	3.68	3.48	3.50	13555499	75972488.000
03/06/2012	3.48	3.52	3.41	3.45	4493605	24366168.000
03/07/2012	3.44	3.49	3.37	3.37	7207382	39001116.000
03/08/2012	3.36	3.52	3.36	3.50	7135651	38945036.000
03/12/2012	3.51	3.57	3.38	3.44	5380960	29263048.000
03/13/2012	3.44	3.45	3.34	3.42	7878401	41992692.000
03/14/2012	3.41	3.45	3.15	3.17	15737490	82523744.000
03/15/2012	3.15	3.15	2.92	2.99	9688146	46646112.000
03/16/2012	2.96	3.08	2.96	3.06	7004212	34028676.000
03/19/2012	3.04	3.08	3.01	3.07	4399422	21376878.000
03/20/2012	3.06	3.09	3.01	3.04	6012550	29374908.000
03/21/2012	3.04	3.06	2.92	3.04	5112159	24517162.000
03/22/2012	3.03	3.08	2.98	3.05	6072485	29513042.000
03/23/2012	3.02	3.04	2.97	3.01	5604845	26957934.000
03/26/2012	3.23	3.37	3.15	3.37	30312097	159220112.000
03/27/2012	3.44	3.44	3.23	3.24	22356140	117892440.000
03/28/2012	3.20	3.56	3.17	3.36	26483717	141973136.000
03/29/2012	3.28	3.54	3.06	3.50	36387153	194772256.000
03/30/2012	3.45	3.54	3.37	3.52	18774528	101626112.000
04/05/2012	3.50	3.52	3.42	3.48	17348469	94672024.000
04/06/2012	3.49	3.70	3.39	3.46	20634327	114561944.000
04/09/2012	3.37	3.43	3.26	3.32	10375182	54639704.000
04/10/2012	3.28	3.42	3.20	3.41	11415796	59525564.000
04/11/2012	3.35	3.57	3.33	3.43	14847637	80886480.000
04/12/2012	3.45	3.83	3.40	3.83	38165373	217062800.000
04/13/2012	4.08	4.24	3.97	4.11	90719436	575682112.000
04/16/2012	3.99	4.31	3.91	4.09	65021467	407672800.000
04/17/2012	3.99	4.05	3.66	3.72	43696324	261113632.000
04/18/2012	3.78	3.97	3.75	3.86	30067579	179743760.000
04/19/2012	3.80	3.91	3.73	3.88	17125523	101349632.000
04/20/2012	3.89	4.10	3.80	3.99	30090987	185139360.000
04/23/2012	3.96	4.14	3.91	3.98	21343325	131991248.000
04/24/2012	4.02	4.22	3.94	4.19	35185496	222192048.000
04/25/2012	4.16	4.55	4.08	4.38	54050530	357818112.000
04/26/2012	4.38	4.46	4.16	4.16	34702043	229411840.000
04/27/2012	4.09	4.26	4.04	4.13	20196081	128832744.000
05/02/2012	4.19	4.30	4.15	4.26	19047093	123630520.000
05/03/2012	4.23	4.25	4.11	4.22	17955905	115208184.000
05/04/2012	4.19	4.25	4.02	4.16	22817715	145129200.000
05/07/2012	4.18	4.28	4.08	4.11	15553951	99220696.000
05/08/2012	4.10	4.10	3.97	4.02	11970619	74134072.000
05/09/2012	3.99	4.11	3.99	4.01	9310110	57884812.000
05/10/2012	4.00	4.06	3.97	4.02	7284721	44957496.000
05/11/2012	4.00	4.05	3.92	3.92	6557027	40115532.000
05/15/2012	3.93	3.93	3.72	3.86	13721099	80910976.000
05/16/2012	3.84	3.89	3.75	3.76	5606310	33133852.000
05/17/2012	3.75	3.84	3.73	3.80	5799250	34139192.000
05/18/2012	3.74	3.77	3.57	3.64	10244778	58557400.000
05/21/2012	3.64	3.75	3.59	3.70	6636519	38044564.000
05/22/2012	3.76	3.86	3.73	3.84	8275634	48873340.000
05/23/2012	3.84	4.08	3.79	4.00	18875185	115913400.000
05/24/2012	3.98	4.07	3.90	3.92	10919703	67154280.000
05/25/2012	3.91	4.02	3.90	3.97	7959090	48858900.000
05/28/2012	3.99	3.99	3.67	3.92	13576596	80241272.000
05/29/2012	3.88	3.98	3.84	3.96	9771453	59114968.000
05/30/2012	3.93	4.06	3.91	4.00	9642827	59658192.000
05/31/2012	4.00	4.00	3.90	3.97	6053723	36921832.000
06/01/2012	3.97	3.98	3.84	3.92	5746847	34728496.000
06/04/2012	3.81	3.89	3.76	3.76	5905010	35008436.000
06/05/2012	3.80	3.82	3.74	3.75	3452230	20214016.000
06/06/2012	3.78	3.83	3.73	3.76	2974668	17461774.000
06/07/2012	3.81	3.93	3.78	3.80	7173992	42701124.000
06/08/2012	3.91	3.92	3.77	3.78	7569262	45010260.000
06/11/2012	3.78	3.96	3.69	3.93	9327994	55705960.000
06/12/2012	3.88	4.11	3.86	4.02	14556170	89703168.000
06/13/2012	4.03	4.10	3.97	4.04	12030596	74360688.000
06/14/2012	4.00	4.03	3.89	3.91	5764173	35305412.000
06/15/2012	3.91	3.97	3.78	3.95	7183691	43048564.000
06/18/2012	3.96	3.97	3.90	3.93	3667583	22315546.000
06/19/2012	3.92	3.94	3.85	3.85	4635677	27848446.000
06/20/2012	3.85	3.88	3.80	3.82	3318432	19720568.000
06/21/2012	3.83	3.98	3.81	3.91	9545874	57570860.000
06/25/2012	3.88	4.10	3.83	3.92	21277727	130583824.000
06/26/2012	3.86	3.86	3.48	3.74	16796510	95149024.000
06/27/2012	3.66	3.73	3.60	3.61	6338349	36150416.000
06/28/2012	3.66	3.78	3.61	3.62	6750378	38848928.000
06/29/2012	3.60	3.69	3.52	3.67	4958285	27937044.000
07/02/2012	3.72	3.78	3.67	3.71	4815249	27808052.000
07/03/2012	3.71	3.80	3.67	3.73	7268189	42454416.000
07/04/2012	3.83	3.88	3.78	3.80	7170956	42496072.000
07/05/2012	3.80	3.94	3.78	3.86	13273365	79641136.000
07/06/2012	3.92	4.05	3.92	4.00	15954878	97950704.000
07/09/2012	3.97	4.01	3.78	3.80	9808027	59124848.000
07/10/2012	3.82	3.85	3.65	3.68	6634469	38310376.000
07/11/2012	3.66	3.86	3.61	3.83	6825179	30547678.000
07/12/2012	3.93	4.02	3.83	3.95	14641301	68034256.000
07/13/2012	3.91	3.94	3.85	3.86	5812789	26724188.000
07/16/2012	3.88	3.91	3.66	3.72	7788410	34951836.000
07/17/2012	3.70	3.88	3.68	3.86	10866195	49454700.000
07/18/2012	3.88	3.90	3.66	3.84	8810801	39367164.000
07/19/2012	3.80	4.01	3.74	3.93	10419770	48039260.000
07/20/2012	3.85	4.04	3.82	3.92	9628624	44581616.000
07/23/2012	3.86	3.88	3.78	3.82	5768143	26107220.000
07/24/2012	3.81	3.89	3.78	3.83	4291110	19508454.000
07/25/2012	3.83	3.83	3.70	3.72	6088961	27112582.000
07/26/2012	3.70	3.75	3.54	3.58	11584342	50098428.000
07/27/2012	3.62	3.62	3.41	3.45	9731511	40508496.000
07/30/2012	3.45	3.48	3.39	3.42	3669219	15091258.000
07/31/2012	3.40	3.48	3.36	3.42	4581784	18774802.000
08/01/2012	3.42	3.53	3.40	3.50	5283179	22010868.000
08/02/2012	3.50	3.50	3.31	3.32	7135482	28882560.000
08/03/2012	3.37	3.39	3.34	3.38	4634696	18733908.000
08/06/2012	3.38	3.49	3.36	3.46	5257571	21580930.000
08/07/2012	3.47	3.59	3.47	3.57	7348841	31054288.000
08/08/2012	3.56	3.57	3.48	3.53	4124224	17400632.000
08/09/2012	3.65	3.85	3.61	3.68	16728845	73624152.000
08/10/2012	3.64	3.69	3.59	3.69	9435273	40939172.000
08/13/2012	3.69	3.69	3.54	3.55	9029692	38760144.000
08/14/2012	3.52	3.57	3.44	3.57	5268068	22177632.000
08/15/2012	3.54	3.55	3.44	3.45	4815194	20103708.000
08/16/2012	3.46	3.48	3.43	3.45	3189929	13196479.000
08/17/2012	3.45	3.45	3.40	3.45	3453179	14181420.000
08/20/2012	3.41	3.42	3.35	3.41	4078223	16524584.000
08/21/2012	3.40	3.45	3.36	3.41	7019440	28741462.000
08/22/2012	3.43	3.44	3.37	3.39	4097840	16687669.000
08/23/2012	3.42	3.47	3.40	3.45	5426390	22368890.000
08/24/2012	3.41	3.46	3.36	3.43	6855434	28020822.000
08/27/2012	3.39	3.56	3.36	3.44	10657491	44256488.000
08/28/2012	3.40	3.43	3.27	3.37	6703324	27066506.000
08/29/2012	3.34	3.40	3.32	3.32	4181389	16846794.000
08/30/2012	3.30	3.35	3.25	3.29	4327996	17244806.000
08/31/2012	3.27	3.35	3.27	3.33	2119460	8468273.000
09/03/2012	3.32	3.43	3.31	3.40	4828827	19694526.000
09/04/2012	3.40	3.41	3.32	3.32	4183960	16910592.000
09/05/2012	3.31	3.38	3.30	3.34	2840034	11424837.000
09/06/2012	3.34	3.38	3.34	3.36	1839035	7424713.000
09/07/2012	3.40	3.53	3.39	3.50	10189927	42297632.000
09/10/2012	3.50	3.56	3.46	3.50	5704643	23939240.000
09/11/2012	3.48	3.49	3.43	3.45	5606845	23182774.000
09/12/2012	3.45	3.52	3.44	3.50	6895915	28705050.000
09/13/2012	3.52	3.52	3.44	3.45	4814055	20079678.000
09/14/2012	3.48	3.50	3.41	3.45	5633735	23369828.000
09/17/2012	3.45	3.47	3.32	3.35	5292851	21498886.000
09/18/2012	3.37	3.41	3.33	3.36	2836464	11481644.000
09/19/2012	3.38	3.38	3.33	3.36	3212043	12967947.000
09/20/2012	3.37	3.37	3.25	3.25	4709114	18688796.000
09/21/2012	3.26	3.29	3.21	3.26	3999924	15716308.000
09/24/2012	3.25	3.28	3.18	3.26	4456272	17368150.000
09/25/2012	3.29	3.30	3.23	3.26	2911800	11466483.000
09/26/2012	3.25	3.25	3.14	3.17	3858561	14892464.000
09/27/2012	3.18	3.26	3.16	3.24	4068097	15816292.000
09/28/2012	3.24	3.34	3.24	3.33	5761500	22877610.000
10/08/2012	3.34	3.36	3.25	3.27	3006849	11904510.000
10/09/2012	3.31	3.35	3.28	3.34	3821234	15302924.000
10/10/2012	3.34	3.39	3.30	3.37	4974642	20025424.000
10/11/2012	3.35	3.38	3.30	3.31	3183231	12790848.000
10/12/2012	3.31	3.35	3.28	3.31	3158306	12617172.000
10/15/2012	3.35	3.35	3.29	3.35	3125831	12519874.000
10/16/2012	3.35	3.38	3.32	3.34	3021172	12186087.000
10/17/2012	3.36	3.36	3.28	3.31	2702910	10790082.000
10/18/2012	3.32	3.45	3.31	3.42	10591708	43327352.000
10/19/2012	3.42	3.58	3.40	3.48	13078312	54660620.000
10/22/2012	3.45	3.54	3.40	3.51	8784159	36441744.000
10/23/2012	3.51	3.62	3.47	3.48	14518893	61715296.000
10/24/2012	3.43	3.50	3.43	3.47	6348497	26434636.000
10/25/2012	3.48	3.52	3.40	3.40	5953847	24611626.000
10/26/2012	3.42	3.43	3.32	3.36	5293412	21334456.000
10/29/2012	3.34	3.38	3.31	3.34	2885671	11600050.000
10/30/2012	3.34	3.52	3.34	3.45	8919524	36824648.000
10/31/2012	3.43	3.48	3.38	3.46	6063808	24957790.000
11/01/2012	3.45	3.73	3.44	3.61	28508570	122674296.000
11/02/2012	3.70	3.80	3.58	3.78	35920855	157734160.000
11/05/2012	3.75	3.75	3.65	3.68	18897366	83093696.000
11/06/2012	3.68	3.68	3.51	3.59	12991080	55527104.000
11/07/2012	3.58	3.63	3.53	3.58	6814711	29048688.000
11/08/2012	3.55	3.65	3.48	3.51	8964932	38127356.000
11/09/2012	3.51	3.55	3.47	3.49	6250997	26230174.000
11/12/2012	3.45	3.60	3.45	3.58	10954953	46121364.000
11/13/2012	3.57	3.57	3.38	3.41	11071124	45776856.000
11/14/2012	3.40	3.41	3.31	3.34	7710064	31085040.000
11/15/2012	3.31	3.39	3.30	3.30	4466979	17945036.000
11/16/2012	3.30	3.36	3.29	3.35	3590135	14372565.000
11/19/2012	3.33	3.37	3.31	3.36	2776160	11140199.000
11/20/2012	3.37	3.40	3.31	3.32	3634213	14659539.000
11/21/2012	3.31	3.40	3.29	3.40	5819970	23447158.000
11/22/2012	3.37	3.37	3.32	3.33	4119192	16565092.000
11/23/2012	3.31	3.38	3.31	3.34	3341364	13458636.000
11/26/2012	3.35	3.37	3.31	3.33	2826820	11334928.000
11/27/2012	3.31	3.31	3.16	3.18	7576990	29461254.000
11/28/2012	3.18	3.18	3.06	3.08	4874231	18402392.000
11/29/2012	3.08	3.12	3.06	3.07	2709225	10188620.000
11/30/2012	3.08	3.23	3.08	3.19	6131572	23632986.000
12/03/2012	3.19	3.26	3.10	3.13	5116516	19788582.000
12/04/2012	3.13	3.20	3.07	3.20	3659706	13922429.000
12/05/2012	3.21	3.42	3.18	3.38	12900277	51851288.000
12/06/2012	3.38	3.43	3.33	3.41	8161883	33210406.000
12/07/2012	3.49	3.63	3.44	3.53	21389211	89777528.000
12/10/2012	3.50	3.56	3.46	3.51	13587691	57005032.000
12/11/2012	3.50	3.70	3.46	3.54	22414397	96344712.000
12/12/2012	3.51	3.56	3.46	3.52	10452116	43813432.000
12/13/2012	3.52	3.60	3.48	3.49	8981995	38013268.000
12/14/2012	3.49	3.71	3.47	3.66	21426414	92689184.000
12/17/2012	3.67	3.85	3.66	3.67	23047033	102395840.000
12/18/2012	3.65	3.71	3.57	3.58	14585838	63258980.000
12/19/2012	3.59	3.99	3.57	3.99	31490142	143436960.000
12/20/2012	4.05	4.05	3.86	3.99	51701399	242309696.000
12/21/2012	3.95	4.05	3.85	3.88	26306750	122196768.000
12/24/2012	3.87	4.04	3.80	3.98	23186452	107252472.000
