000010 美丽生态 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2012	3.48	3.48	3.48	3.48	121600	1690240.000
03/19/2012	3.30	3.30	3.30	3.30	187600	2478196.000
03/20/2012	3.14	3.14	3.14	3.14	319800	4013490.000
03/21/2012	2.98	2.98	2.98	2.98	1128200	13448144.000
03/22/2012	2.83	2.96	2.83	2.88	8408712	96375960.000
03/23/2012	2.82	2.99	2.78	2.92	5065582	58381380.000
03/26/2012	2.88	2.91	2.79	2.82	2700463	30891978.000
03/27/2012	2.84	2.89	2.81	2.84	2054764	23507846.000
03/28/2012	2.84	2.84	2.70	2.70	2094515	23087000.000
03/29/2012	2.62	2.63	2.56	2.56	2470323	25428156.000
03/30/2012	2.53	2.58	2.45	2.56	3333398	33279132.000
04/06/2012	2.60	2.65	2.58	2.61	2584985	27052018.000
04/09/2012	2.55	2.74	2.55	2.73	3221224	34669808.000
04/10/2012	2.71	2.87	2.71	2.84	4141500	46642516.000
04/11/2012	2.81	2.94	2.80	2.84	3082135	35368944.000
04/12/2012	2.84	2.87	2.78	2.85	2006813	22623974.000
04/13/2012	2.87	3.00	2.80	3.00	2942592	34505332.000
04/16/2012	3.00	3.12	2.98	3.03	3005445	36631708.000
04/17/2012	3.00	3.03	2.88	2.91	1797827	21334060.000
04/18/2012	2.91	2.99	2.84	2.97	1844762	21497478.000
04/19/2012	2.95	3.04	2.94	2.96	1769025	21115440.000
04/20/2012	2.96	2.99	2.94	2.96	1447145	17145934.000
04/23/2012	2.95	2.97	2.82	2.82	1566603	18080228.000
04/24/2012	2.76	2.78	2.68	2.69	2993419	32497276.000
04/25/2012	2.72	2.82	2.68	2.82	2012527	22248710.000
04/26/2012	2.86	2.92	2.82	2.83	1719309	19744326.000
04/27/2012	2.83	2.98	2.69	2.97	3518110	39788268.000
05/02/2012	2.84	2.95	2.83	2.83	4155782	47382504.000
05/03/2012	2.81	2.81	2.69	2.75	2865172	31244898.000
05/04/2012	2.73	2.85	2.73	2.77	1717057	19256298.000
05/07/2012	2.76	2.82	2.76	2.81	1233080	13790247.000
05/08/2012	2.82	2.85	2.78	2.81	953547	10729672.000
05/09/2012	2.80	2.85	2.78	2.81	1167283	13138017.000
05/10/2012	2.81	2.85	2.80	2.83	844927	9572803.000
05/11/2012	2.82	2.94	2.80	2.89	1997412	23069630.000
05/14/2012	2.92	2.92	2.85	2.87	1522159	17495232.000
05/15/2012	2.85	2.94	2.84	2.92	1777969	20638492.000
05/16/2012	2.92	2.98	2.89	2.94	1903142	22448686.000
05/18/2012	2.93	3.08	2.92	3.02	3374665	40860936.000
05/21/2012	3.02	3.04	2.96	3.00	1769145	21199376.000
05/22/2012	3.00	3.03	2.95	2.98	1268610	15109120.000
05/23/2012	2.98	3.01	2.96	2.99	885915	10579520.000
05/24/2012	2.99	2.99	2.94	2.94	789201	9318707.000
05/25/2012	2.94	3.01	2.94	2.99	1061929	12655608.000
05/28/2012	2.98	2.99	2.88	2.98	1064060	12476415.000
05/29/2012	3.00	3.04	2.97	3.03	879697	10637090.000
05/30/2012	3.02	3.05	3.01	3.04	936843	11349074.000
05/31/2012	3.05	3.19	3.05	3.16	2239991	28085016.000
06/01/2012	3.17	3.21	3.13	3.17	1714632	21740676.000
06/04/2012	3.16	3.32	3.15	3.32	5943522	78289432.000
06/05/2012	3.32	3.49	3.28	3.49	4645074	63164580.000
06/13/2012	3.31	3.42	3.31	3.31	2146402	28517316.000
06/14/2012	3.20	3.48	3.18	3.40	4940782	65807404.000
06/15/2012	3.38	3.49	3.35	3.48	2067491	28204726.000
06/18/2012	3.46	3.66	3.46	3.66	3170013	46105436.000
06/19/2012	3.66	3.68	3.54	3.57	2311537	33186854.000
06/20/2012	3.58	3.62	3.54	3.58	1180623	16862162.000
06/21/2012	3.60	3.62	3.40	3.51	2010506	28032870.000
06/25/2012	3.49	3.49	3.33	3.33	1927263	26272618.000
06/26/2012	3.30	3.47	3.29	3.43	1144262	15552141.000
06/27/2012	3.43	3.47	3.31	3.32	1158874	15697051.000
06/28/2012	3.32	3.43	3.30	3.38	1176652	15954335.000
06/29/2012	3.38	3.49	3.32	3.45	1167616	16045691.000
07/02/2012	3.45	3.59	3.45	3.59	1061636	15063622.000
07/03/2012	3.60	3.62	3.53	3.54	984834	14050736.000
07/04/2012	3.53	3.59	3.50	3.51	726622	10301046.000
07/05/2012	3.51	3.51	3.41	3.46	786609	10870026.000
07/06/2012	3.47	3.58	3.43	3.51	1049926	14705118.000
07/09/2012	3.48	3.57	3.42	3.43	731111	10170574.000
07/10/2012	3.41	3.49	3.35	3.37	883984	12089619.000
07/11/2012	3.35	3.46	3.26	3.44	734293	10060974.000
07/12/2012	3.43	3.61	3.41	3.59	1610385	23010048.000
07/13/2012	3.59	3.65	3.57	3.64	815226	11779660.000
07/16/2012	3.64	3.64	3.46	3.46	1475854	20707670.000
07/17/2012	3.42	3.55	3.42	3.55	1111536	15500709.000
07/18/2012	3.58	3.58	3.53	3.58	867710	12346838.000
07/19/2012	3.59	3.64	3.56	3.62	808458	11667023.000
07/20/2012	3.60	3.61	3.54	3.59	485170	6934841.000
07/23/2012	3.53	3.56	3.46	3.51	1153814	16114674.000
07/24/2012	3.47	3.54	3.46	3.51	401281	5609396.000
07/25/2012	3.49	3.58	3.47	3.55	923936	13053250.000
07/26/2012	3.52	3.73	3.52	3.73	2493810	36763628.000
07/27/2012	3.75	3.86	3.68	3.71	2255625	33954992.000
07/30/2012	3.52	3.53	3.52	3.52	1489100	20982322.000
07/31/2012	3.35	3.35	3.35	3.35	443900	5943821.000
