000018 神州长城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	1.23	1.23	1.17	1.18	223257	1027249.188
01/05/2012	1.17	1.18	1.12	1.13	489303	2105802.750
01/06/2012	1.12	1.16	1.09	1.14	294662	1266715.500
01/09/2012	1.15	1.20	1.13	1.19	436355	1948154.000
01/10/2012	1.19	1.25	1.14	1.24	611361	2811538.750
01/11/2012	1.24	1.25	1.22	1.24	342749	1609976.875
01/12/2012	1.24	1.26	1.22	1.23	351208	1660848.875
01/13/2012	1.22	1.24	1.18	1.19	430022	1980378.750
01/16/2012	1.18	1.19	1.14	1.17	171605	765579.500
01/17/2012	1.17	1.23	1.16	1.22	568029	2592171.500
01/18/2012	1.21	1.28	1.21	1.23	463772	2193967.000
01/19/2012	1.22	1.25	1.19	1.24	265102	1230635.375
01/20/2012	1.26	1.27	1.24	1.26	232103	1105628.000
01/30/2012	1.26	1.28	1.24	1.26	266389	1280169.500
01/31/2012	1.26	1.33	1.25	1.33	1348108	6746846.000
02/01/2012	1.37	1.37	1.29	1.31	908700	4580739.500
02/02/2012	1.31	1.35	1.28	1.33	703583	3504140.750
02/03/2012	1.34	1.39	1.34	1.39	1266496	6677385.500
02/06/2012	1.41	1.46	1.37	1.46	1467087	7877850.000
02/07/2012	1.45	1.45	1.39	1.40	1318840	6999697.500
02/08/2012	1.37	1.42	1.34	1.41	744191	3946137.750
02/09/2012	1.40	1.43	1.39	1.40	881395	4734618.000
02/10/2012	1.40	1.43	1.39	1.41	826584	4427255.500
02/13/2012	1.40	1.48	1.39	1.48	1231305	6802041.000
02/14/2012	1.49	1.55	1.49	1.55	2105375	12398820.000
02/15/2012	1.56	1.63	1.56	1.63	1373180	8484190.000
02/16/2012	1.66	1.71	1.55	1.63	2469531	15398583.000
02/17/2012	1.59	1.61	1.56	1.56	1199508	7189648.000
02/20/2012	1.56	1.63	1.56	1.60	1432148	8748389.000
02/21/2012	1.58	1.59	1.54	1.57	912798	5429160.000
02/22/2012	1.56	1.60	1.56	1.59	581425	3481327.000
02/23/2012	1.58	1.59	1.55	1.57	499760	2989406.000
02/24/2012	1.57	1.64	1.55	1.64	1196882	7359487.000
02/27/2012	1.71	1.73	1.68	1.73	549295	3593294.000
02/28/2012	1.81	1.81	1.81	1.81	587384	4047075.750
02/29/2012	1.90	1.90	1.77	1.80	2225591	15585840.000
03/01/2012	1.79	1.80	1.74	1.78	773513	5177617.000
03/02/2012	1.76	1.84	1.76	1.83	606397	4128770.250
03/05/2012	1.81	1.92	1.80	1.90	2447712	17823690.000
03/06/2012	1.89	1.91	1.83	1.87	1011050	7159166.000
03/07/2012	1.83	1.87	1.83	1.83	527706	3699144.750
03/08/2012	1.83	1.86	1.81	1.85	435501	3040318.500
03/09/2012	1.83	1.87	1.82	1.84	426037	2977975.000
03/12/2012	1.83	1.86	1.80	1.83	463245	3223617.500
03/13/2012	1.84	1.93	1.84	1.86	1311658	9474764.000
