000023 深天地Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.54	5.57	5.27	5.27	350380	1982875.375
01/05/2012	5.28	5.28	4.94	5.01	589138	3111460.500
01/06/2012	5.00	5.03	4.85	5.00	413319	2119443.750
01/09/2012	5.01	5.25	4.96	5.24	609490	3258617.500
01/10/2012	5.21	5.51	5.20	5.48	1062948	5937950.500
01/11/2012	5.41	5.58	5.41	5.51	637556	3628486.000
01/12/2012	5.47	5.76	5.47	5.51	957973	5561860.500
01/13/2012	5.45	5.50	5.22	5.36	874111	4848873.500
01/16/2012	5.29	5.33	5.11	5.13	415600	2251222.500
01/17/2012	5.19	5.45	5.14	5.43	536381	2940087.000
01/18/2012	5.40	5.68	5.40	5.51	1143107	6549720.000
01/19/2012	5.42	5.65	5.41	5.61	791844	4561684.500
01/20/2012	5.57	5.71	5.51	5.71	753811	4351248.000
01/30/2012	5.64	5.77	5.59	5.59	474001	2777090.500
01/31/2012	5.56	5.63	5.48	5.55	458691	2622802.000
02/01/2012	5.50	5.60	5.49	5.54	505335	2895956.750
02/02/2012	5.56	5.69	5.53	5.69	500842	2908254.000
02/03/2012	5.73	5.97	5.73	5.85	1621183	9830094.000
02/06/2012	5.81	5.87	5.75	5.86	1056951	6348098.500
02/07/2012	5.85	5.85	5.63	5.69	641100	3772977.000
02/08/2012	5.69	5.85	5.67	5.81	795315	4752131.500
02/09/2012	5.81	5.95	5.78	5.84	933021	5657438.500
02/10/2012	5.90	5.98	5.83	5.88	915285	5577041.000
02/13/2012	5.88	5.97	5.79	5.93	769037	4670753.500
02/14/2012	5.90	6.01	5.87	5.98	803302	4931999.000
02/15/2012	5.97	6.10	5.93	6.08	916951	5720912.500
02/16/2012	6.09	6.15	6.00	6.10	810732	5080214.500
02/17/2012	6.10	6.17	5.96	6.12	641736	4010015.000
02/20/2012	6.16	6.19	6.07	6.12	701946	4435682.500
02/21/2012	6.12	6.19	6.05	6.14	805616	5095081.500
02/22/2012	6.17	6.31	6.15	6.28	1232429	7933336.000
02/23/2012	6.25	6.30	6.21	6.23	1057671	6805419.500
02/24/2012	6.23	6.50	6.17	6.43	2790263	18339372.000
02/27/2012	6.41	6.48	6.37	6.38	1922060	12715821.000
02/28/2012	6.37	6.43	6.25	6.35	1159391	7593142.500
02/29/2012	6.31	6.33	6.21	6.21	619267	3995799.500
03/01/2012	6.20	6.49	6.19	6.34	1265998	8309674.000
03/02/2012	6.32	6.49	6.29	6.45	1317757	8697263.000
03/05/2012	6.47	6.60	6.44	6.47	1211938	8132201.500
03/06/2012	6.44	6.51	6.33	6.41	873359	5769206.000
03/07/2012	6.35	6.46	6.31	6.32	672153	4419253.000
03/08/2012	6.36	6.49	6.35	6.44	725047	4801221.500
03/09/2012	6.44	6.56	6.39	6.53	659373	4402148.500
03/12/2012	6.52	6.56	6.45	6.52	416900	2788896.000
03/13/2012	6.51	6.65	6.51	6.61	1029497	6967808.000
03/14/2012	6.69	6.78	6.23	6.26	1423816	9616667.000
03/15/2012	6.26	6.35	6.01	6.06	1072469	6772540.000
03/16/2012	6.05	6.26	6.05	6.24	626599	3972115.750
03/19/2012	6.24	6.39	6.21	6.38	735117	4771210.500
03/20/2012	6.38	6.52	6.31	6.31	1783187	11814243.000
03/21/2012	6.25	6.36	6.12	6.35	701228	4524918.000
03/22/2012	6.35	6.43	6.26	6.39	613153	4006649.000
03/23/2012	6.29	6.38	6.16	6.21	556729	3596367.000
03/26/2012	6.21	6.26	6.14	6.24	422861	2705346.750
03/27/2012	6.24	6.37	6.24	6.25	743336	4821365.500
03/28/2012	6.20	6.24	5.85	5.91	1052238	6534590.000
03/29/2012	5.91	6.00	5.69	5.77	786257	4746074.500
03/30/2012	5.76	5.83	5.69	5.78	473541	2822477.750
04/05/2012	5.78	6.04	5.74	6.01	672710	4095175.500
04/06/2012	6.02	6.13	5.96	6.05	496777	3095085.500
04/09/2012	6.05	6.08	5.94	5.95	391191	2425262.500
04/10/2012	5.94	6.03	5.77	6.01	416800	2535635.000
04/11/2012	5.93	6.29	5.93	6.14	1007370	6390798.000
04/12/2012	6.06	6.77	6.06	6.77	4937064	33099946.000
04/13/2012	7.47	7.47	7.47	7.47	2356466	18050530.000
04/16/2012	7.78	8.24	7.57	8.24	19067862	154981440.000
04/17/2012	7.86	7.98	7.51	7.60	15135886	119720512.000
04/18/2012	7.64	8.06	7.44	7.59	12972066	102620120.000
04/19/2012	7.41	7.46	7.14	7.41	10192422	76067040.000
04/20/2012	7.36	7.75	7.27	7.49	9370444	72036240.000
04/23/2012	7.31	7.41	7.01	7.12	7352665	54493376.000
04/24/2012	7.01	7.46	6.77	7.35	8769947	64099108.000
04/25/2012	7.24	7.67	7.10	7.43	11300589	86566136.000
04/26/2012	7.28	7.78	7.14	7.14	8788857	66558924.000
04/27/2012	6.84	7.05	6.78	6.79	4533506	32097418.000
05/02/2012	6.81	6.92	6.56	6.70	4687625	32376144.000
05/03/2012	6.68	6.79	6.66	6.75	2498271	17308748.000
05/04/2012	6.77	6.78	6.62	6.73	2254666	15558185.000
05/07/2012	6.71	6.90	6.65	6.89	2479501	17345774.000
05/08/2012	6.84	6.91	6.76	6.82	2404187	16839302.000
05/09/2012	6.81	6.90	6.63	6.86	3561374	24791924.000
05/10/2012	6.86	6.94	6.76	6.92	2995480	21077314.000
05/11/2012	6.91	6.96	6.84	6.86	2134824	15105569.000
05/14/2012	6.89	6.96	6.82	6.96	2462971	17491774.000
05/15/2012	6.95	7.08	6.91	7.02	3645564	26204124.000
05/16/2012	7.02	7.14	6.90	7.07	3144594	22776526.000
05/17/2012	7.07	7.20	6.93	7.16	3777045	27530694.000
05/18/2012	7.14	7.14	6.97	7.06	2453967	17702034.000
05/21/2012	7.09	7.79	6.60	6.62	10022980	74560360.000
05/22/2012	6.32	6.74	6.32	6.67	6234156	41426988.000
05/23/2012	6.53	7.04	6.50	6.84	7130623	50143688.000
05/24/2012	6.77	6.84	6.59	6.65	3361958	23208914.000
05/25/2012	6.69	6.91	6.67	6.73	3172492	22138684.000
05/28/2012	6.73	6.82	6.36	6.76	3289496	22292294.000
05/29/2012	6.73	6.80	6.65	6.72	3518653	24345844.000
05/30/2012	6.70	6.80	6.67	6.71	2278929	15760310.000
05/31/2012	6.66	6.78	6.66	6.76	1827780	12671137.000
06/01/2012	6.76	6.78	6.64	6.69	1446500	9992222.000
06/04/2012	6.58	6.58	6.36	6.36	1611374	10749939.000
06/05/2012	6.38	6.46	6.33	6.40	980905	6454526.500
06/06/2012	6.45	6.47	6.32	6.38	904016	5946222.500
06/07/2012	6.46	6.61	6.37	6.42	1879784	12567016.000
06/08/2012	6.50	6.59	6.37	6.40	1302001	8672621.000
06/11/2012	6.40	6.54	6.37	6.50	1145840	7609860.500
06/12/2012	6.48	6.54	6.39	6.43	1134856	7541553.500
06/13/2012	6.41	6.55	6.41	6.53	1179202	7891525.500
06/14/2012	6.51	6.57	6.44	6.47	1165952	7826493.500
06/15/2012	6.49	6.54	6.33	6.47	942232	6258229.500
06/18/2012	6.48	6.57	6.47	6.57	1414269	9511304.000
06/19/2012	6.54	6.66	6.54	6.62	1896133	12910873.000
