000038 深大通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/08/2013	11.00	13.20	11.00	13.00	3342838	41794348.000
02/18/2013	12.35	12.35	12.35	12.35	305800	3776630.000
02/19/2013	11.73	12.34	11.73	11.73	4510163	53238740.000
02/20/2013	11.35	11.55	11.14	11.15	3773305	42225656.000
02/21/2013	11.17	11.29	10.62	10.62	2613478	28522566.000
02/22/2013	10.54	10.76	10.45	10.60	1876545	19848450.000
02/25/2013	10.55	10.65	10.16	10.19	2139594	22122618.000
02/26/2013	10.05	10.43	9.97	10.18	1722881	17649398.000
02/27/2013	10.14	10.69	10.14	10.69	1891136	19942216.000
02/28/2013	10.95	11.10	10.62	10.71	2950511	31948890.000
03/01/2013	10.70	11.25	10.60	11.24	3232607	35669636.000
03/04/2013	10.90	10.90	10.68	10.68	1688130	18066856.000
03/05/2013	10.18	11.21	10.15	11.01	2702039	28560966.000
03/06/2013	11.00	11.20	10.88	10.97	1659675	18317558.000
03/07/2013	11.00	11.00	10.61	10.69	1915832	20743550.000
03/08/2013	11.00	11.00	10.16	10.28	1429590	15176873.000
03/11/2013	10.24	10.34	10.02	10.15	1026472	10432606.000
03/12/2013	10.14	10.27	9.64	9.64	1504496	14836459.000
03/13/2013	9.65	9.77	9.16	9.25	1621161	15100683.000
03/14/2013	9.17	9.37	9.12	9.24	979964	9076022.000
03/15/2013	9.16	9.32	8.98	9.14	869618	7980208.000
03/18/2013	9.13	9.19	9.00	9.02	521956	4744470.500
03/19/2013	9.02	9.47	8.91	9.37	1533303	14148738.000
03/20/2013	9.33	9.59	9.27	9.52	1428426	13514655.000
03/21/2013	9.52	9.57	9.35	9.40	1052945	9956262.000
03/22/2013	9.39	9.60	9.25	9.59	1704834	16126691.000
03/25/2013	9.51	9.89	9.50	9.61	1408033	13652790.000
03/26/2013	9.60	9.70	9.43	9.57	948406	9032757.000
03/27/2013	9.54	9.64	9.38	9.46	1108152	10522338.000
03/28/2013	9.40	9.42	8.99	8.99	1565970	14259717.000
03/29/2013	9.05	9.20	8.92	9.03	724595	6569798.500
04/01/2013	9.04	9.18	9.01	9.09	665316	6042009.000
04/02/2013	9.09	9.29	9.05	9.12	862045	7901384.000
04/03/2013	9.14	9.17	8.74	8.83	811350	7237376.000
04/08/2013	8.74	8.75	8.39	8.56	911732	7725804.000
04/09/2013	8.56	8.75	8.51	8.68	570450	4925976.500
04/10/2013	8.66	8.75	8.60	8.69	558869	4841000.500
04/11/2013	8.73	9.11	8.64	8.95	1506774	13505435.000
04/12/2013	8.90	9.23	8.84	9.09	899406	8130139.000
04/15/2013	9.03	9.27	9.03	9.13	931608	8517366.000
04/16/2013	9.00	9.03	8.67	8.92	770113	6802215.000
04/17/2013	9.08	9.25	8.98	9.16	943783	8621035.000
04/18/2013	9.07	9.17	9.00	9.02	788232	7163278.000
04/19/2013	9.06	9.32	9.02	9.31	1054878	9733620.000
04/22/2013	9.30	9.74	9.26	9.60	1404002	13437205.000
04/23/2013	9.60	9.67	9.37	9.41	1167015	11094760.000
04/24/2013	9.41	9.41	9.01	9.24	1480748	13545420.000
04/25/2013	9.18	9.31	9.08	9.13	811528	7447353.500
04/26/2013	9.10	9.35	9.06	9.13	594616	5446193.000
05/02/2013	9.05	9.25	8.68	8.72	875485	7778430.500
05/03/2013	8.93	9.16	8.91	9.16	853288	7741601.500
05/06/2013	9.21	9.58	9.21	9.39	1205065	11379986.000
05/07/2013	9.35	9.77	9.35	9.71	1246080	11916205.000
05/08/2013	9.70	9.86	9.48	9.62	1222277	11832971.000
05/09/2013	9.70	9.95	9.46	9.93	1369181	13293078.000
05/10/2013	9.89	10.38	9.81	10.34	1513279	15319770.000
05/14/2013	10.50	11.37	10.36	11.37	5592907	61372488.000
05/15/2013	11.90	12.44	11.43	12.10	8489920	101145816.000
05/16/2013	11.65	11.86	11.46	11.70	4984473	58230760.000
05/17/2013	11.60	11.94	11.50	11.81	4374197	51283736.000
05/20/2013	11.67	11.67	11.13	11.29	4637077	52294220.000
05/21/2013	11.33	11.45	11.16	11.32	2700716	30508152.000
05/22/2013	11.43	11.85	11.22	11.82	3980026	45699416.000
05/23/2013	11.70	11.82	11.43	11.53	2406973	27863796.000
05/24/2013	11.47	11.56	11.19	11.38	1979589	22391950.000
05/27/2013	11.41	11.43	11.24	11.39	1627601	18436716.000
05/28/2013	11.34	12.53	11.34	12.21	6761265	82317536.000
05/29/2013	12.00	12.00	11.65	11.73	4068441	47897440.000
05/30/2013	11.66	11.72	11.30	11.41	2727316	31226710.000
05/31/2013	11.41	11.52	11.26	11.42	1683887	19199508.000
06/03/2013	11.42	11.70	11.28	11.52	1839430	21199974.000
06/04/2013	11.49	11.51	10.42	10.56	2278819	24653662.000
06/05/2013	10.51	10.64	10.32	10.35	1341752	14065212.000
06/06/2013	10.36	10.49	10.14	10.14	957406	9899423.000
06/07/2013	10.18	10.30	9.98	10.16	930351	9424485.000
06/13/2013	10.06	10.06	9.40	9.47	1611089	15363457.000
06/14/2013	9.56	9.82	9.48	9.68	843505	8131358.500
06/17/2013	9.69	9.83	9.55	9.60	825143	8005932.500
06/18/2013	9.60	9.80	9.60	9.71	513178	4984454.500
06/19/2013	9.75	9.75	9.45	9.68	635671	6074808.500
06/20/2013	9.60	10.60	9.56	10.30	2408787	24414242.000
06/21/2013	10.03	10.57	9.90	10.40	1835476	18938328.000
06/24/2013	10.42	10.45	9.36	9.37	1285889	12707912.000
06/25/2013	9.03	9.25	8.43	8.82	1631508	14312459.000
06/26/2013	8.84	9.05	8.73	9.03	960535	8576852.000
06/27/2013	9.16	9.25	8.85	8.86	1215519	10997851.000
06/28/2013	8.76	9.17	8.76	8.94	801226	7206950.500
07/01/2013	8.94	9.08	8.80	9.05	677368	6029856.000
07/02/2013	9.05	9.14	8.94	9.10	605463	5479860.500
07/03/2013	9.12	9.12	8.78	8.96	672402	6011643.000
07/04/2013	8.97	9.23	8.81	9.12	980941	8940889.000
07/05/2013	9.10	9.57	9.08	9.31	1371971	12881183.000
07/08/2013	9.18	9.23	8.45	8.72	812998	7215878.500
07/09/2013	8.80	8.80	8.56	8.78	444701	3866411.250
07/10/2013	8.78	9.17	8.72	9.10	821146	7364874.000
07/11/2013	9.05	9.50	9.05	9.33	1166985	10918359.000
07/12/2013	9.39	9.44	9.19	9.20	859410	8025724.500
07/15/2013	9.10	9.31	9.02	9.25	781194	7186904.500
07/16/2013	9.11	9.37	9.11	9.34	809637	7496114.500
07/17/2013	9.28	9.65	9.28	9.38	971616	9164781.000
07/18/2013	9.26	9.42	9.09	9.18	829305	7641548.000
07/19/2013	9.18	9.24	8.85	8.88	570083	5172156.000
07/22/2013	8.85	9.08	8.76	8.97	453010	4017079.500
07/23/2013	8.97	9.20	8.92	9.19	564228	5158456.500
07/24/2013	9.15	9.36	9.15	9.34	923685	8577387.000
07/25/2013	9.39	9.39	9.13	9.13	784129	7237730.000
07/26/2013	9.05	9.15	9.00	9.11	534074	4838324.000
07/29/2013	9.10	9.29	8.96	9.24	691257	6348277.500
07/30/2013	9.25	9.30	9.00	9.16	426495	3903092.000
07/31/2013	9.23	9.50	9.20	9.23	768826	7149103.500
08/01/2013	9.17	9.45	9.17	9.42	997763	9302542.000
08/02/2013	9.46	9.86	9.36	9.78	2051999	19893280.000
08/05/2013	9.79	9.81	9.56	9.79	1124790	10925876.000
08/06/2013	9.78	9.93	9.62	9.84	1095788	10712481.000
08/07/2013	9.81	9.96	9.66	9.70	973837	9523156.000
08/08/2013	9.68	9.76	9.59	9.64	768726	7411956.500
08/09/2013	9.65	9.85	9.55	9.79	1079284	10480109.000
08/12/2013	9.75	10.20	9.75	10.11	1778845	17745160.000
08/13/2013	10.18	10.94	10.10	10.80	3108599	32689004.000
08/14/2013	10.84	10.84	10.41	10.48	1955730	20629770.000
08/15/2013	10.48	10.60	10.00	10.07	1569913	16085468.000
08/16/2013	10.00	10.24	9.68	9.74	1302237	12999104.000
08/19/2013	9.63	10.00	9.63	9.85	815858	8073174.500
08/20/2013	9.81	10.14	9.78	10.10	1318852	13235109.000
08/21/2013	10.09	10.23	9.91	10.15	875150	8808976.000
08/22/2013	10.10	10.45	10.03	10.41	1778662	18279348.000
08/23/2013	10.33	10.35	9.89	10.25	1363792	13795025.000
08/26/2013	10.20	10.30	10.04	10.26	867313	8832578.000
08/27/2013	10.27	10.49	10.21	10.32	1061056	10949431.000
08/28/2013	10.20	10.30	10.03	10.08	1139739	11529507.000
08/29/2013	10.05	10.18	10.02	10.12	699692	7071949.500
08/30/2013	10.12	10.48	10.00	10.25	1247935	12800427.000
09/02/2013	10.09	10.19	9.78	9.97	1125510	11147297.000
09/03/2013	9.94	10.29	9.94	10.27	1087321	11001015.000
09/04/2013	10.27	10.35	10.10	10.17	695234	7103844.000
09/05/2013	10.12	10.21	10.10	10.15	511557	5186236.000
09/06/2013	10.08	10.24	10.03	10.16	760674	7677935.000
09/09/2013	10.16	10.36	10.10	10.30	981484	10067008.000
09/10/2013	10.24	10.99	9.27	10.62	2488357	26489340.000
09/11/2013	10.55	10.55	10.30	10.46	1281712	13343215.000
09/12/2013	10.47	10.57	10.27	10.47	709146	7402280.500
09/13/2013	10.40	10.68	10.31	10.58	936807	9832666.000
09/16/2013	10.55	10.78	10.49	10.63	1055203	11243240.000
09/17/2013	10.63	10.72	10.42	10.42	695700	7318667.500
09/18/2013	10.35	10.45	10.32	10.40	527988	5479959.500
09/23/2013	11.44	11.44	11.44	11.44	961008	10993932.000
09/24/2013	12.58	12.58	12.58	12.58	584479	7352746.000
09/25/2013	13.84	13.84	13.80	13.84	4690236	64912056.000
09/26/2013	13.83	15.22	13.61	15.08	12730134	187023024.000
09/27/2013	13.98	14.70	13.57	13.80	7301860	102195264.000
09/30/2013	13.46	13.96	13.11	13.86	4940577	67119440.000
10/08/2013	13.72	13.94	13.31	13.86	4755170	64969964.000
10/09/2013	13.74	15.25	13.61	15.25	8003825	114495024.000
10/10/2013	14.80	14.94	13.90	14.29	5905420	85699280.000
10/11/2013	14.30	14.58	14.12	14.49	3462118	49661956.000
10/14/2013	14.49	14.49	14.00	14.21	2618418	37149652.000
10/15/2013	14.26	14.92	13.61	14.50	5314200	75483696.000
10/16/2013	14.29	14.30	13.20	13.39	2439410	33504320.000
10/17/2013	13.56	13.70	12.50	12.98	2466686	32447786.000
10/18/2013	13.02	13.06	12.72	12.78	1536015	19789740.000
10/21/2013	12.78	13.29	12.73	13.20	2016562	26266434.000
10/22/2013	13.21	13.21	12.76	12.82	1533273	19802618.000
10/23/2013	12.88	12.88	12.38	12.49	1359530	17057054.000
10/24/2013	12.41	12.73	12.37	12.57	844128	10626506.000
10/25/2013	12.50	12.63	11.68	11.86	1298403	15721296.000
10/28/2013	11.80	12.00	11.75	11.91	811251	9633581.000
10/29/2013	11.94	12.03	11.04	11.40	1192420	13643787.000
10/30/2013	11.45	12.08	11.29	11.80	1131695	13224723.000
10/31/2013	11.71	11.92	11.42	11.60	784798	9145847.000
11/01/2013	11.55	11.57	11.21	11.35	603196	6885391.000
11/04/2013	11.36	11.46	11.29	11.42	692467	7884394.500
11/05/2013	11.28	11.70	11.28	11.70	802135	9208012.000
11/06/2013	11.60	12.42	11.60	11.93	1490176	17881716.000
11/07/2013	11.87	11.93	11.45	11.50	941915	11007787.000
11/08/2013	11.47	11.63	11.25	11.25	651590	7429214.500
11/11/2013	11.25	11.44	11.08	11.35	477422	5369926.000
11/12/2013	11.27	11.47	11.27	11.44	485677	5528174.500
11/13/2013	11.30	11.42	11.00	11.10	566659	6348919.500
11/14/2013	11.05	11.26	10.90	11.26	591788	6595475.500
11/15/2013	11.23	11.68	11.20	11.48	787224	9046639.000
11/18/2013	11.67	12.14	11.46	12.07	1633891	19488178.000
11/19/2013	12.06	12.22	11.85	12.20	1022459	12300081.000
11/20/2013	12.20	12.24	11.96	12.18	634610	7673014.000
11/21/2013	12.12	12.20	11.95	12.13	863087	10416789.000
11/22/2013	12.38	12.45	12.10	12.18	596773	7303410.000
11/25/2013	12.12	12.27	12.02	12.10	477959	5795640.500
11/26/2013	12.05	12.19	12.04	12.12	424209	5138095.500
11/27/2013	12.04	12.38	12.04	12.30	868996	10630607.000
11/28/2013	12.17	12.53	12.17	12.35	935566	11619676.000
11/29/2013	12.36	13.37	12.30	12.75	2122522	27351232.000
12/02/2013	12.50	12.51	11.57	11.63	1805587	21658320.000
12/03/2013	11.54	12.14	11.45	12.06	699031	8302475.000
12/04/2013	12.01	12.34	12.00	12.22	690369	8447237.000
12/05/2013	12.25	12.34	12.08	12.25	466129	5698044.000
12/06/2013	12.16	12.38	12.12	12.36	526011	6478147.000
12/09/2013	12.36	12.70	12.30	12.48	523741	6571573.500
12/10/2013	12.49	12.65	12.47	12.58	627175	7882961.500
12/11/2013	12.63	12.65	12.37	12.47	734324	9211095.000
12/12/2013	12.40	12.80	12.38	12.63	807178	10164074.000
12/13/2013	12.62	12.68	12.37	12.42	591448	7404320.000
12/16/2013	12.57	12.76	12.30	12.41	613517	7647245.000
12/17/2013	12.41	12.41	12.08	12.12	510905	6203664.500
12/18/2013	12.29	12.29	11.98	12.11	375701	4534864.000
12/19/2013	12.35	12.35	12.04	12.12	264005	3204230.250
12/20/2013	12.06	12.35	11.80	11.87	352189	4216542.000
12/23/2013	11.87	11.95	11.46	11.95	291130	3423572.500
12/24/2013	11.98	12.08	11.70	12.03	373864	4488051.000
12/25/2013	12.06	12.40	12.00	12.40	455501	5565626.500
12/26/2013	12.38	12.38	12.08	12.28	306030	3725385.750
