000042 中洲控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.96	5.98	5.74	5.78	318303	4345133.500
01/05/2012	5.75	5.77	5.57	5.65	269583	3574248.000
01/06/2012	5.58	5.73	5.58	5.73	280801	3732996.000
01/09/2012	5.78	5.91	5.62	5.90	836500	11346122.000
01/10/2012	5.91	6.18	5.87	6.18	1396304	19505682.000
01/11/2012	6.13	6.16	6.00	6.06	917277	12886199.000
01/12/2012	6.00	6.52	5.90	6.25	1360359	19672270.000
01/13/2012	6.25	6.25	5.90	5.97	830338	11622367.000
01/16/2012	5.84	5.97	5.80	5.83	368624	5049491.500
01/17/2012	5.84	6.15	5.64	6.14	968936	13423269.000
01/18/2012	6.17	6.18	5.94	6.03	835601	11739421.000
01/19/2012	5.99	6.20	5.95	6.15	759456	10769144.000
01/20/2012	6.16	6.32	6.12	6.29	1064287	15345789.000
01/30/2012	6.29	6.34	6.09	6.10	569644	8181390.500
01/31/2012	6.14	6.18	6.04	6.17	284659	4028936.500
02/01/2012	6.10	6.21	6.06	6.13	343761	4878214.500
02/02/2012	6.19	6.74	6.13	6.49	1203350	17792332.000
02/03/2012	6.52	6.72	6.43	6.53	1196485	18051726.000
02/06/2012	6.54	6.60	6.45	6.50	648732	9677199.000
02/07/2012	6.48	6.51	6.31	6.33	531273	7801715.000
02/08/2012	6.39	6.59	6.34	6.56	958605	14347471.000
02/09/2012	6.47	6.83	6.47	6.60	1074610	16417343.000
02/10/2012	6.64	6.88	6.64	6.73	1137937	17603360.000
02/13/2012	6.54	6.63	6.46	6.57	1117785	16785870.000
02/14/2012	6.56	6.62	6.44	6.62	940845	14120751.000
02/15/2012	6.60	6.66	6.50	6.63	1049688	15878624.000
02/16/2012	6.64	6.73	6.54	6.58	749944	11394020.000
02/17/2012	6.66	6.67	6.50	6.58	549367	8286317.000
02/20/2012	6.70	6.76	6.61	6.62	1062221	16228100.000
02/21/2012	6.59	6.68	6.52	6.67	585261	8851175.000
02/22/2012	6.69	6.95	6.69	6.89	1598243	25056818.000
02/23/2012	6.85	7.15	6.83	6.97	1512208	24110864.000
02/24/2012	6.97	7.49	6.92	7.38	2921041	48063120.000
02/27/2012	7.29	7.46	7.27	7.27	2168984	36085464.000
02/28/2012	7.21	7.30	7.11	7.21	1080694	17636210.000
02/29/2012	7.08	7.08	6.92	6.93	1165739	18518176.000
03/01/2012	6.89	7.03	6.89	6.94	769663	12202431.000
03/02/2012	7.00	7.36	6.93	7.25	1595396	26016468.000
03/05/2012	7.29	7.51	7.25	7.36	1529115	25535316.000
03/06/2012	7.32	7.46	7.14	7.18	912290	14971127.000
03/07/2012	7.13	7.20	7.03	7.04	862737	13901225.000
03/08/2012	7.03	7.22	7.03	7.16	852061	13839290.000
03/09/2012	7.20	7.24	7.13	7.16	912509	14862558.000
03/12/2012	7.31	7.85	7.31	7.61	2824934	48584472.000
03/13/2012	7.49	7.84	7.49	7.84	1945969	33606016.000
03/14/2012	7.84	8.47	7.63	7.84	4437683	80623728.000
03/15/2012	7.74	7.97	7.24	7.49	2248295	38326328.000
03/16/2012	7.54	8.03	7.46	8.03	1760476	30657676.000
03/19/2012	8.08	8.26	7.87	8.09	1805079	32856730.000
03/20/2012	8.08	8.12	7.80	7.92	931656	16645286.000
03/21/2012	7.94	8.04	7.70	7.84	911557	16004622.000
03/22/2012	7.84	8.26	7.75	8.16	1040720	18769386.000
03/23/2012	8.16	8.16	7.69	7.96	1018689	18134308.000
03/26/2012	8.16	8.28	7.93	7.95	1576470	28601126.000
03/27/2012	7.95	8.00	7.61	7.69	1091272	19131860.000
03/28/2012	7.58	7.80	7.24	7.24	1077002	18250128.000
03/29/2012	7.19	7.39	6.99	7.20	967969	15726832.000
03/30/2012	7.25	7.36	7.09	7.24	493669	8086763.500
04/05/2012	7.25	7.53	7.24	7.46	590014	9914011.000
04/06/2012	7.46	7.67	7.34	7.57	538869	9189259.000
04/09/2012	7.43	7.54	7.40	7.42	457360	7707899.500
04/10/2012	7.43	7.55	7.14	7.54	679425	11316581.000
04/11/2012	7.39	7.91	7.34	7.77	1138423	19852770.000
04/12/2012	7.63	8.55	7.54	8.44	3343894	59977236.000
04/13/2012	8.86	9.10	8.54	8.64	6960902	135983104.000
04/16/2012	8.48	8.52	8.18	8.31	3141135	58438436.000
04/17/2012	8.32	8.32	7.79	7.81	2807324	50027692.000
04/18/2012	7.81	8.28	7.79	8.17	3033644	54986124.000
04/19/2012	8.06	8.37	7.93	8.31	1981662	36076772.000
04/20/2012	8.26	8.45	8.15	8.28	1839512	34231288.000
04/23/2012	8.64	9.08	8.54	8.73	2965999	57937600.000
04/24/2012	8.57	9.70	8.54	9.70	4901341	101416728.000
04/25/2012	9.79	10.29	9.52	9.54	7594889	165203920.000
04/26/2012	9.39	10.04	9.39	9.46	4535389	96266864.000
04/27/2012	9.29	9.30	8.96	9.07	2586015	52235132.000
05/02/2012	9.23	9.94	9.22	9.59	3029050	64093948.000
05/03/2012	9.61	9.81	9.44	9.74	2180667	46257288.000
05/04/2012	9.62	9.77	9.34	9.54	2026691	42644412.000
05/07/2012	9.44	9.78	9.34	9.74	1896482	40115076.000
05/08/2012	9.63	9.77	9.48	9.58	1425681	30095310.000
