000069 华侨城Ａ 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.17	5.22	5.03	5.03	16351248	115730032.000
01/05/2012	5.03	5.10	4.70	4.78	22292195	150557120.000
01/06/2012	4.81	4.86	4.58	4.79	20572640	133881728.000
01/09/2012	4.77	4.93	4.65	4.93	21208071	141921120.000
01/10/2012	4.93	5.17	4.90	5.12	31627752	221167920.000
01/11/2012	5.11	5.14	5.00	5.06	16561877	116019096.000
01/12/2012	5.07	5.21	5.03	5.10	16708568	118529920.000
01/13/2012	5.14	5.15	4.97	5.00	9697004	67629888.000
01/16/2012	4.98	5.10	4.86	4.87	10743914	73761720.000
01/17/2012	4.90	5.14	4.73	5.09	20302922	140140224.000
01/18/2012	5.07	5.13	4.99	5.02	15349120	108082608.000
01/19/2012	5.05	5.20	5.01	5.20	22579159	160450912.000
01/20/2012	5.20	5.46	5.16	5.43	36456604	269453184.000
01/30/2012	5.44	5.46	5.27	5.27	15071736	110888120.000
01/31/2012	5.29	5.44	5.24	5.41	15246302	112159928.000
02/01/2012	5.39	5.44	5.24	5.27	15037623	110664568.000
02/02/2012	5.28	5.37	5.20	5.37	15016886	109278888.000
02/03/2012	5.37	5.53	5.31	5.48	30706566	230491072.000
02/06/2012	5.48	5.48	5.31	5.34	25572787	189228992.000
02/07/2012	5.29	5.30	5.14	5.18	21487562	153783808.000
02/08/2012	5.14	5.36	5.14	5.24	25907570	188193840.000
02/09/2012	5.27	5.43	5.20	5.33	44230627	325810208.000
02/10/2012	5.36	5.56	5.16	5.23	86489810	635976704.000
02/13/2012	5.14	5.22	5.06	5.15	37957700	269429280.000
02/14/2012	5.16	5.17	5.07	5.15	21609525	152842320.000
02/15/2012	5.13	5.25	5.10	5.17	33187566	237149056.000
02/16/2012	5.16	5.20	5.12	5.14	20460023	145642080.000
02/17/2012	5.18	5.25	5.12	5.20	24758078	177298752.000
02/20/2012	5.26	5.31	5.18	5.19	36373710	263579088.000
02/21/2012	5.24	5.24	5.10	5.18	32661778	233466320.000
02/22/2012	5.17	5.48	5.17	5.41	91457992	677502400.000
02/23/2012	5.41	5.49	5.34	5.37	38484175	287027520.000
02/24/2012	5.40	5.70	5.34	5.60	76718230	587896768.000
02/27/2012	5.60	5.68	5.49	5.55	49904081	383268512.000
02/28/2012	5.54	5.64	5.50	5.53	27244493	208721632.000
02/29/2012	5.44	5.54	5.39	5.40	25485645	191872176.000
03/01/2012	5.40	5.48	5.39	5.45	18114759	135687168.000
03/02/2012	5.44	5.72	5.44	5.60	40427893	311412384.000
03/05/2012	5.64	5.77	5.53	5.55	40899252	317802272.000
03/06/2012	5.56	5.59	5.37	5.43	28847460	217329168.000
03/07/2012	5.37	5.52	5.34	5.48	23156108	174282352.000
03/08/2012	5.49	5.66	5.46	5.57	34504366	264877392.000
03/09/2012	5.58	5.64	5.50	5.57	15731653	120313128.000
03/12/2012	5.52	5.56	5.42	5.44	25839502	194595760.000
03/13/2012	5.44	5.51	5.40	5.51	29948156	224880384.000
03/14/2012	5.52	5.60	5.07	5.19	39435848	293946656.000
03/15/2012	5.24	5.28	5.04	5.06	53772612	381462432.000
03/16/2012	5.07	5.20	5.05	5.17	35767053	253856624.000
03/19/2012	5.19	5.37	5.19	5.34	36594520	267153952.000
03/20/2012	5.37	5.37	5.22	5.27	17978284	131376312.000
03/21/2012	5.31	5.34	5.10	5.17	23997853	172511664.000
03/22/2012	5.21	5.24	5.14	5.17	12874307	92410648.000
03/23/2012	5.16	5.17	5.03	5.07	18999356	133543248.000
03/26/2012	5.11	5.13	5.04	5.08	11971452	83960584.000
03/27/2012	5.11	5.14	5.02	5.06	10560924	74319024.000
03/28/2012	5.05	5.11	4.97	5.05	20983579	146704848.000
03/29/2012	5.04	5.24	4.97	5.07	30752422	217569792.000
03/30/2012	5.09	5.18	5.06	5.07	17025638	120317504.000
04/05/2012	5.05	5.29	5.04	5.24	24183800	172904592.000
04/06/2012	5.21	5.31	5.14	5.25	17903512	129542496.000
04/09/2012	5.25	5.25	5.13	5.21	11783218	84615576.000
04/10/2012	5.19	5.24	5.07	5.24	25901787	184748256.000
04/11/2012	5.17	5.41	5.14	5.25	34948435	255130944.000
04/12/2012	5.25	5.43	5.23	5.42	31110384	229238304.000
04/13/2012	5.52	5.64	5.43	5.44	50404552	383140768.000
04/16/2012	5.37	5.48	5.33	5.39	31748287	235448208.000
04/17/2012	5.37	5.39	5.22	5.28	30281160	220287872.000
04/18/2012	5.27	5.44	5.25	5.41	24243044	179057264.000
04/19/2012	5.40	5.43	5.34	5.41	13049336	96855368.000
04/20/2012	5.38	5.43	5.30	5.41	23921243	176754960.000
04/23/2012	5.42	5.44	5.31	5.36	19185699	141892144.000
04/24/2012	5.33	5.46	5.28	5.37	30413176	225052304.000
04/25/2012	5.37	5.54	5.34	5.47	46980552	354407776.000
04/27/2012	5.44	5.59	5.41	5.51	38051020	289165792.000
05/02/2012	5.60	5.75	5.53	5.64	56783205	441939232.000
05/03/2012	5.64	5.69	5.56	5.63	29264638	226257248.000
05/04/2012	5.63	5.71	5.56	5.67	24674972	191505360.000
05/07/2012	5.65	5.70	5.54	5.67	40119117	308819904.000
05/08/2012	5.64	5.67	5.55	5.66	28219380	217943184.000
05/09/2012	5.59	5.60	5.47	5.51	21866216	166181088.000
05/10/2012	5.52	5.53	5.41	5.42	16455515	124049216.000
05/11/2012	5.41	5.48	5.33	5.34	18220046	135679408.000
05/14/2012	5.40	5.54	5.35	5.43	33293247	250197520.000
05/15/2012	5.42	5.56	5.40	5.55	22083903	167555168.000
05/16/2012	5.54	5.55	5.37	5.37	13711308	102743968.000
05/17/2012	5.39	5.50	5.36	5.45	11836308	88522112.000
05/18/2012	5.42	5.45	5.37	5.37	11316555	84258056.000
05/21/2012	5.35	5.42	5.30	5.33	12346259	91008112.000
05/22/2012	5.37	5.48	5.37	5.48	21013749	157369344.000
05/23/2012	5.46	5.54	5.37	5.44	40597578	304868896.000
05/24/2012	5.39	5.53	5.38	5.40	24336948	182879728.000
05/25/2012	5.42	5.44	5.29	5.33	21665685	159563552.000
05/28/2012	5.31	5.55	5.20	5.52	41698936	236036032.000
05/29/2012	5.53	5.66	5.48	5.61	44003084	257959104.000
05/30/2012	5.62	5.92	5.60	5.86	126871205	772470656.000
05/31/2012	5.88	5.93	5.76	5.90	49213762	302604608.000
06/01/2012	5.87	5.94	5.80	5.81	31019975	190389792.000
