000089 深圳机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.94	4.00	3.88	3.92	2066102	8575945.000
01/05/2012	3.89	3.93	3.87	3.89	1825399	7504548.500
01/06/2012	3.88	3.94	3.86	3.93	2878191	11812661.000
01/09/2012	3.93	4.04	3.90	4.03	3048331	12805452.000
01/10/2012	4.03	4.14	4.00	4.13	4161429	17880476.000
01/11/2012	4.12	4.12	4.06	4.08	3078990	13224897.000
01/12/2012	4.07	4.13	4.07	4.08	1960469	8437713.000
01/13/2012	4.08	4.09	3.98	4.01	2390134	10119570.000
01/16/2012	4.00	4.01	3.96	3.98	1334402	5590826.500
01/17/2012	3.95	4.17	3.95	4.17	3042492	13094903.000
01/18/2012	4.14	4.17	4.07	4.08	1964389	8503541.000
01/19/2012	4.08	4.20	4.08	4.16	3046187	13293949.000
01/20/2012	4.15	4.21	4.13	4.20	2297642	10076452.000
01/30/2012	4.20	4.21	4.15	4.18	1703772	7483360.500
01/31/2012	4.18	4.20	4.13	4.16	1231249	5385632.500
02/01/2012	4.16	4.17	4.09	4.12	1323738	5744629.000
02/02/2012	4.12	4.17	4.07	4.16	1559037	6757267.500
02/03/2012	4.16	4.20	4.14	4.19	2143852	9389827.000
02/06/2012	4.18	4.21	4.15	4.17	2009598	8811284.000
02/07/2012	4.16	4.17	4.08	4.10	2018795	8705886.000
02/08/2012	4.10	4.18	4.04	4.18	2637312	11435719.000
02/09/2012	4.18	4.20	4.16	4.18	4317117	18957278.000
02/10/2012	4.19	4.21	4.16	4.18	3349746	14727900.000
02/13/2012	4.16	4.20	4.13	4.19	3579362	15695075.000
02/14/2012	4.19	4.19	4.14	4.17	1992278	8707320.000
02/15/2012	4.16	4.23	4.14	4.23	4002987	17669694.000
02/16/2012	4.22	4.24	4.18	4.20	7945008	35095516.000
02/17/2012	4.22	4.23	4.18	4.21	2497358	11026098.000
02/20/2012	4.24	4.25	4.20	4.20	3578028	15871146.000
02/21/2012	4.19	4.22	4.18	4.22	1615050	7116192.500
02/22/2012	4.22	4.26	4.20	4.26	7660973	34083136.000
02/23/2012	4.24	4.28	4.22	4.27	11801100	52721316.000
02/24/2012	4.28	4.35	4.26	4.33	10033308	45262184.000
02/27/2012	4.33	4.45	4.33	4.38	14470262	66652528.000
02/28/2012	4.36	4.38	4.29	4.35	8178811	37171260.000
02/29/2012	4.35	4.35	4.28	4.28	3708001	16753494.000
03/01/2012	4.29	4.32	4.26	4.29	2812610	12669768.000
03/02/2012	4.29	4.45	4.29	4.42	9281411	42536192.000
03/05/2012	4.43	4.46	4.37	4.38	5238966	24183614.000
03/06/2012	4.38	4.38	4.29	4.31	6445220	29207936.000
03/07/2012	4.27	4.33	4.27	4.31	3480087	15704252.000
03/08/2012	4.32	4.44	4.31	4.39	5983293	27441394.000
03/09/2012	4.44	4.44	4.36	4.41	3582800	16499828.000
03/12/2012	4.40	4.41	4.36	4.39	2538174	11665913.000
03/13/2012	4.39	4.41	4.36	4.41	4288996	19732352.000
03/14/2012	4.41	4.44	4.25	4.27	13089685	60020436.000
03/15/2012	4.27	4.28	4.19	4.21	4764564	21106170.000
03/16/2012	4.21	4.28	4.21	4.28	4127853	18371318.000
03/19/2012	4.26	4.32	4.25	4.31	3929641	17660056.000
03/20/2012	4.32	4.33	4.22	4.23	3753446	16837014.000
03/21/2012	4.25	4.29	4.22	4.29	3441245	15355361.000
03/22/2012	4.26	4.37	4.24	4.37	5253454	23773518.000
03/23/2012	4.36	4.36	4.27	4.29	2256773	10187309.000
03/26/2012	4.26	4.28	4.19	4.26	3408254	15121183.000
03/27/2012	4.26	4.31	4.25	4.29	4424412	19893900.000
03/28/2012	4.29	4.31	4.14	4.14	4245744	18787510.000
03/29/2012	4.13	4.14	4.03	4.07	2483458	10631062.000
03/30/2012	4.07	4.11	4.06	4.09	2190727	9409751.000
04/05/2012	4.07	4.15	4.07	4.14	1852999	8024887.000
04/06/2012	4.13	4.15	4.10	4.15	1533996	6652967.500
04/09/2012	4.14	4.16	4.11	4.12	1602676	6964454.000
04/10/2012	4.11	4.12	4.04	4.12	1929521	8267280.500
04/11/2012	4.07	4.16	4.06	4.15	2690687	11654725.000
04/12/2012	4.14	4.24	4.13	4.24	6436790	28342756.000
04/13/2012	4.30	4.40	4.24	4.29	14464081	65449284.000
04/16/2012	4.24	4.30	4.20	4.27	6247592	27770356.000
04/17/2012	4.26	4.28	4.18	4.20	3799175	16891732.000
04/18/2012	4.21	4.28	4.17	4.27	4552606	20219314.000
04/19/2012	4.24	4.27	4.22	4.25	3096946	13785158.000
04/20/2012	4.25	4.32	4.22	4.27	5303815	23769320.000
04/23/2012	4.27	4.32	4.26	4.28	6054840	27274604.000
04/24/2012	4.27	4.30	4.18	4.24	5784993	25738030.000
04/25/2012	4.23	4.33	4.21	4.32	7939152	35784356.000
04/26/2012	4.31	4.34	4.29	4.32	5025175	22741598.000
04/27/2012	4.31	4.33	4.27	4.28	3462554	15595233.000
05/02/2012	4.34	4.37	4.29	4.36	9503807	43159132.000
05/03/2012	4.33	4.40	4.33	4.36	5819930	26643548.000
05/04/2012	4.33	4.40	4.33	4.37	4433774	20270906.000
