000156 华数传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/19/2012	11.97	14.39	11.97	14.39	31664808	429241280.000
10/22/2012	14.63	15.83	13.49	15.17	32778657	492058368.000
10/23/2012	13.95	14.73	13.65	13.65	24882354	348939744.000
10/24/2012	13.16	13.36	12.63	12.97	16444261	213710624.000
10/25/2012	12.77	13.07	11.82	11.85	16130607	199671744.000
10/26/2012	11.74	12.22	11.52	11.75	9783597	116298288.000
10/29/2012	11.56	11.56	10.94	11.17	10954067	122910928.000
10/30/2012	11.23	11.39	11.05	11.23	7574520	85357408.000
10/31/2012	11.25	11.25	10.62	10.84	10054400	109095824.000
11/01/2012	10.86	11.14	10.72	10.95	11211944	123168640.000
11/02/2012	10.84	11.41	10.77	11.01	14749998	165147232.000
11/05/2012	10.85	10.85	10.26	10.39	13204607	138445312.000
11/06/2012	10.34	10.76	10.23	10.66	11728185	123533488.000
11/07/2012	10.54	10.63	10.32	10.63	8023530	84425408.000
11/08/2012	10.67	11.70	10.57	11.70	25433038	287498176.000
11/09/2012	11.36	12.10	11.23	11.75	20607674	240544096.000
11/12/2012	11.92	12.34	11.42	11.63	14261626	169587424.000
11/13/2012	11.57	11.75	10.85	11.00	11895984	134747536.000
11/14/2012	10.69	11.26	10.65	11.18	11741795	129984624.000
11/15/2012	10.87	12.30	10.82	11.58	21793902	260160528.000
11/16/2012	11.54	11.54	10.42	10.56	18129074	193009920.000
11/19/2012	10.17	10.33	9.80	10.02	8572435	86171552.000
11/20/2012	10.17	10.27	9.75	9.75	7929882	79562736.000
11/21/2012	9.58	9.80	9.41	9.80	7087943	68255568.000
11/22/2012	9.67	9.67	9.44	9.47	5352830	51156876.000
11/23/2012	9.50	9.62	9.47	9.51	4144724	39716176.000
11/26/2012	9.60	9.92	9.51	9.60	8659808	84915672.000
11/27/2012	9.56	9.56	8.64	8.64	9121010	81175328.000
11/28/2012	8.47	8.54	8.16	8.22	6276921	52187300.000
11/29/2012	8.27	8.45	8.11	8.14	5818767	48234712.000
11/30/2012	8.05	8.42	8.03	8.30	5192179	42973176.000
12/03/2012	8.30	8.30	7.70	7.74	5934006	47555512.000
12/04/2012	7.62	8.11	7.61	8.06	5786284	45805808.000
12/05/2012	7.97	8.52	7.93	8.34	8524693	70969896.000
12/06/2012	8.27	8.56	8.14	8.37	7161425	59805552.000
12/07/2012	8.40	8.80	8.25	8.69	9777675	83905360.000
12/10/2012	8.69	9.14	8.49	9.14	10690931	94660344.000
12/11/2012	8.97	9.04	8.75	8.76	7151407	63753192.000
12/12/2012	8.67	8.94	8.60	8.82	4942193	43468984.000
12/13/2012	8.73	9.03	8.61	8.64	4191903	37103528.000
12/14/2012	8.62	9.15	8.62	9.02	8220754	74285488.000
12/17/2012	8.97	9.72	8.80	9.45	10386311	96559144.000
12/31/2012	10.37	10.40	9.88	10.40	16305853	168873792.000
01/04/2013	10.97	11.44	10.66	11.44	19312052	216336304.000
01/07/2013	11.68	12.59	11.63	12.59	19951327	244271968.000
01/08/2013	13.02	13.85	13.02	13.85	11212427	152880048.000
01/09/2013	14.57	14.57	12.58	13.00	27595629	367119104.000
01/10/2013	13.02	14.30	12.67	14.30	27555168	370855552.000
01/11/2013	13.97	15.57	13.58	14.47	31470043	460530400.000
01/14/2013	14.37	15.23	13.68	14.67	22930561	333441888.000
01/15/2013	14.55	15.07	14.34	14.37	18872456	276344544.000
01/16/2013	13.96	14.05	13.39	13.57	16780110	230921776.000
01/17/2013	13.57	13.82	13.22	13.44	10916078	148027712.000
01/18/2013	13.42	13.69	13.32	13.57	7342815	99186408.000
01/21/2013	13.62	13.65	13.32	13.43	6797778	91692240.000
01/22/2013	13.47	14.54	12.92	14.31	20464533	283051328.000
01/23/2013	13.89	15.74	13.83	15.74	27720105	421122176.000
01/24/2013	16.14	17.22	16.05	16.24	26544888	441226560.000
01/25/2013	15.47	17.87	15.40	17.87	28965548	501865440.000
01/28/2013	17.56	18.08	16.70	17.37	23635206	409673568.000
01/29/2013	17.11	18.78	16.87	17.23	21267650	378306336.000
01/30/2013	16.85	17.12	16.08	16.34	15825008	260727008.000
01/31/2013	16.12	16.70	15.96	16.02	10337914	168337664.000
02/01/2013	16.04	16.97	16.04	16.57	13217063	219139664.000
02/04/2013	16.49	16.99	15.14	15.63	11168845	178138016.000
02/05/2013	15.48	15.48	14.54	14.98	10922407	163218784.000
02/06/2013	14.96	15.57	14.69	15.22	9183907	140191424.000
02/07/2013	15.17	15.35	14.70	15.08	6511311	97701320.000
02/08/2013	15.10	15.25	14.87	15.08	5781178	87477224.000
02/18/2013	15.15	16.59	15.15	16.59	15989099	260044368.000
02/19/2013	16.65	17.96	16.65	17.36	19554494	341718112.000
02/20/2013	17.31	17.55	16.32	17.28	12314319	208394064.000
02/21/2013	17.06	18.28	16.63	17.97	16989163	298908000.000
02/22/2013	17.75	18.47	16.81	16.93	14201426	251100704.000
02/25/2013	16.33	16.92	16.31	16.50	8363943	138549680.000
02/26/2013	16.33	17.27	15.95	16.41	9311964	154887024.000
02/27/2013	16.33	16.66	16.00	16.52	6723206	110193184.000
02/28/2013	16.47	17.31	16.42	17.06	9790035	167290112.000
03/01/2013	17.07	17.42	16.72	17.22	9492558	162250704.000
03/04/2013	16.89	17.15	16.00	16.11	7832413	129613048.000
03/05/2013	16.11	16.63	16.02	16.33	5076516	82822064.000
03/06/2013	16.28	16.62	16.26	16.60	5246719	86513008.000
03/07/2013	16.75	17.17	16.37	16.67	7547727	127349384.000
03/08/2013	16.67	18.25	16.49	17.47	16218356	285404768.000
03/11/2013	17.47	17.69	16.57	16.67	9090369	153830752.000
03/12/2013	16.58	16.67	15.09	15.61	9566724	151249696.000
03/13/2013	15.36	16.47	15.18	16.00	6195030	98358040.000
03/14/2013	15.92	16.22	15.78	15.84	3089302	49355644.000
03/15/2013	15.32	15.86	15.14	15.38	4659230	72025368.000
03/18/2013	15.17	15.54	15.09	15.10	3108436	47615140.000
03/19/2013	15.12	15.35	14.35	14.69	4267042	63003156.000
03/20/2013	14.62	15.56	14.62	15.30	5392677	82488936.000
03/21/2013	15.37	15.61	15.22	15.49	4131966	63930376.000
03/22/2013	15.55	15.62	15.27	15.47	3609681	55778384.000
03/25/2013	15.53	15.55	15.08	15.24	2517085	38541272.000
03/26/2013	15.18	15.76	15.18	15.74	5673118	88410584.000
03/27/2013	15.67	15.95	15.36	15.54	4381067	68587496.000
03/28/2013	15.37	15.37	14.47	14.47	4726779	69993744.000
03/29/2013	14.47	14.93	14.47	14.62	3562730	52626960.000
04/01/2013	14.76	14.97	14.53	14.87	2493605	37007172.000
04/02/2013	14.88	15.56	14.88	15.39	6065745	93022648.000
04/03/2013	15.40	15.52	15.01	15.25	2496523	38067448.000
04/08/2013	15.27	16.78	15.27	16.34	13834255	225362240.000
04/09/2013	16.10	16.97	16.00	16.13	12570696	205340144.000
04/10/2013	15.88	15.91	14.86	15.27	7188250	110416792.000
04/11/2013	15.42	15.51	14.97	15.12	3012236	46003744.000
04/12/2013	15.03	15.38	15.03	15.17	2600694	39666748.000
04/15/2013	15.23	15.27	14.56	14.65	3159301	46733300.000
04/16/2013	14.65	14.87	14.38	14.77	2187299	32074100.000
04/17/2013	14.77	14.88	14.68	14.87	2182484	32361772.000
04/18/2013	14.87	15.15	14.78	14.89	2613001	39131532.000
04/19/2013	14.89	15.28	14.89	15.14	3454985	52475844.000
04/22/2013	15.12	15.61	14.97	15.59	5521688	85517488.000
04/23/2013	15.66	15.66	14.80	14.84	4768663	72162672.000
04/24/2013	14.85	15.51	14.85	15.18	4427640	67691632.000
04/25/2013	15.08	15.34	14.75	14.75	3611740	54081820.000
04/26/2013	14.62	14.94	14.55	14.57	2060316	30328782.000
05/02/2013	14.48	14.77	14.48	14.64	1287475	18881026.000
05/03/2013	14.57	14.96	14.57	14.80	2075044	30776418.000
05/06/2013	14.85	15.56	14.74	15.38	6106143	93997168.000
05/07/2013	15.24	15.30	14.99	15.10	4010182	60566316.000
05/08/2013	15.12	16.57	15.12	16.46	13976468	222850720.000
05/09/2013	16.37	16.37	15.72	15.96	9684704	154878736.000
05/10/2013	16.61	17.47	16.20	16.21	13964478	235095392.000
05/13/2013	15.47	16.13	15.37	15.86	6417560	101434376.000
05/14/2013	15.65	15.95	15.22	15.36	4531209	70291416.000
05/15/2013	15.42	16.13	15.29	16.01	6479312	102636576.000
05/16/2013	15.97	16.25	15.67	15.85	6581215	105088856.000
05/17/2013	16.01	17.12	15.98	16.77	13196821	220478544.000
05/20/2013	18.08	18.45	17.65	18.45	14580913	266357616.000
05/21/2013	19.35	20.07	19.10	19.77	25106586	490386944.000
05/22/2013	19.14	19.52	18.47	18.97	11863338	225672080.000
05/23/2013	19.02	19.12	18.13	18.18	11235519	208045984.000
05/24/2013	18.17	19.12	18.14	18.65	10183856	189933664.000
05/27/2013	18.44	18.85	17.97	18.78	8759304	161148048.000
05/28/2013	18.48	18.56	18.07	18.20	5742625	105138592.000
05/29/2013	18.50	19.07	18.40	18.62	8095729	152330352.000
05/30/2013	18.23	18.47	18.01	18.22	6417106	117037240.000
05/31/2013	18.23	18.47	17.83	17.84	5099663	92687688.000
06/03/2013	17.87	18.47	17.87	18.30	5798327	106019344.000
06/04/2013	18.18	18.27	17.36	17.45	5295057	94265584.000
06/05/2013	17.43	17.60	17.07	17.31	3227908	55816064.000
06/06/2013	17.37	17.74	17.15	17.15	3612968	63324160.000
06/07/2013	17.06	17.34	16.28	16.42	4276980	71394152.000
06/13/2013	16.23	16.35	14.99	16.32	3758119	59008956.000
06/14/2013	16.47	17.87	16.38	17.61	7871250	135859568.000
06/17/2013	17.47	18.85	17.44	17.68	10433820	190145264.000
06/18/2013	17.57	18.13	17.02	17.77	4923671	86816912.000
06/19/2013	17.48	18.08	17.10	17.66	3260737	57707036.000
06/20/2013	17.36	18.33	17.14	17.67	7271225	131375312.000
06/21/2013	17.12	18.49	16.57	18.34	7283071	130537240.000
06/24/2013	18.57	18.95	16.67	16.87	8181419	146074784.000
06/25/2013	16.17	17.26	15.18	16.98	7198632	117257384.000
06/26/2013	16.98	18.23	16.60	17.79	7856943	137518768.000
06/27/2013	17.67	18.07	16.32	16.32	9131658	157371104.000
06/28/2013	15.97	16.83	15.45	16.07	7039924	114042280.000
07/01/2013	15.79	16.84	15.79	16.65	4981312	82496096.000
07/02/2013	16.77	17.68	16.57	17.19	7557696	130082832.000
07/03/2013	17.17	17.92	16.74	17.75	9271507	161898128.000
07/04/2013	17.48	19.53	17.48	19.25	17693374	336014528.000
07/05/2013	18.95	19.22	17.85	17.87	13616728	252492256.000
07/08/2013	17.67	17.67	16.57	16.88	6918651	118294600.000
07/09/2013	16.69	17.49	16.69	17.25	4503989	77578312.000
07/10/2013	17.27	18.25	17.25	17.91	6209027	110365376.000
07/11/2013	17.91	18.27	17.33	17.84	7505596	133918288.000
07/12/2013	17.87	18.91	17.87	18.19	10129012	186588432.000
07/15/2013	17.97	19.21	17.89	19.07	10714664	200847248.000
07/16/2013	19.05	20.97	18.57	20.44	17033186	340935072.000
07/17/2013	20.39	22.49	20.06	22.49	23094837	497183936.000
07/18/2013	24.73	24.74	24.21	24.74	7680872	189867856.000
07/19/2013	26.94	27.22	25.98	27.22	25413338	685184256.000
07/22/2013	26.98	29.95	26.59	29.82	27941625	785075456.000
07/23/2013	28.97	29.95	28.17	29.32	21432172	621444672.000
07/24/2013	30.32	32.26	29.27	32.24	29186642	917116800.000
07/25/2013	31.55	31.64	29.77	29.77	19958791	610285376.000
07/26/2013	30.09	30.66	27.78	28.77	19057258	555536128.000
07/29/2013	28.02	29.08	27.58	27.72	12463955	350869728.000
07/30/2013	27.97	28.27	25.85	26.80	13871565	372023712.000
07/31/2013	27.02	27.49	26.52	26.60	12060495	326052128.000
08/01/2013	26.46	28.85	26.41	28.35	16091376	446380160.000
08/02/2013	28.17	28.61	26.68	26.85	13286571	368711104.000
08/05/2013	27.15	27.67	26.47	27.46	10128873	274493504.000
08/06/2013	27.08	29.14	27.08	28.66	15687181	446141696.000
08/07/2013	28.37	28.37	26.95	27.11	10607804	293182432.000
08/08/2013	26.67	27.53	26.47	26.89	6385569	172689616.000
08/09/2013	27.13	27.45	25.02	25.87	10284360	268411328.000
08/12/2013	25.88	26.06	24.84	25.86	8143234	207155568.000
08/13/2013	25.85	27.94	25.58	27.01	13210550	357567296.000
