000413 东旭光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.45	3.46	3.09	3.26	2895627	29892346.000
01/05/2012	3.19	3.29	3.13	3.21	2178358	22209282.000
01/06/2012	3.21	3.55	3.16	3.52	2197869	23339248.000
01/09/2012	3.49	3.66	3.45	3.63	2419416	27196346.000
01/10/2012	3.63	3.79	3.59	3.66	2087583	23989390.000
01/11/2012	3.66	3.68	3.60	3.65	1044844	11955265.000
01/12/2012	3.65	3.70	3.61	3.68	1192137	13693120.000
01/13/2012	3.68	3.71	3.50	3.58	1237979	13857328.000
01/16/2012	3.58	3.58	3.50	3.53	703500	7822749.000
01/17/2012	3.56	3.76	3.55	3.72	1411950	16223464.000
01/18/2012	3.72	3.74	3.61	3.65	768770	8855458.000
01/19/2012	3.65	3.69	3.61	3.64	641299	7315960.500
01/20/2012	3.64	3.68	3.61	3.63	761677	8701654.000
01/30/2012	3.67	3.67	3.62	3.63	493643	5644195.500
01/31/2012	3.68	3.69	3.52	3.55	533206	5973937.000
02/01/2012	3.61	3.61	3.52	3.56	392157	4398929.000
02/02/2012	3.56	3.64	3.54	3.62	971354	10939597.000
02/03/2012	3.62	3.66	3.58	3.64	1243426	14114297.000
02/06/2012	3.66	3.70	3.60	3.64	1362799	15626855.000
02/07/2012	3.66	3.71	3.59	3.64	1001709	11456947.000
02/08/2012	3.64	3.82	3.59	3.77	3350675	38796440.000
02/09/2012	3.76	3.82	3.70	3.75	1979210	23383790.000
02/10/2012	3.75	3.88	3.75	3.78	1926951	22931702.000
02/13/2012	3.75	3.88	3.70	3.82	1908886	22633020.000
02/14/2012	3.95	3.95	3.79	3.80	1665649	20037092.000
02/15/2012	3.80	3.98	3.78	3.95	3361199	41086336.000
02/16/2012	3.95	3.98	3.87	3.93	1767803	21658428.000
02/17/2012	3.93	3.96	3.83	3.90	1788046	21754538.000
02/20/2012	3.91	3.95	3.89	3.90	1106332	13539842.000
02/21/2012	3.90	3.93	3.87	3.90	769601	9383441.000
02/22/2012	3.90	4.02	3.90	3.97	2116001	26267398.000
02/23/2012	3.97	4.05	3.93	3.98	1429885	17765816.000
02/24/2012	4.02	4.03	3.95	4.02	1681083	20958976.000
02/27/2012	4.02	4.16	3.99	4.04	1908256	24263504.000
02/28/2012	4.04	4.15	4.01	4.14	2143936	27336432.000
02/29/2012	4.09	4.13	3.98	3.99	1410978	17886164.000
03/01/2012	4.01	4.11	3.96	4.04	1332245	16766317.000
03/02/2012	4.04	4.11	4.02	4.08	1260966	16054677.000
03/05/2012	4.08	4.20	4.08	4.10	1044414	13435106.000
03/06/2012	4.20	4.25	4.03	4.19	3176428	41201832.000
03/07/2012	4.16	4.24	4.12	4.20	3546118	46354936.000
03/08/2012	4.20	4.30	4.18	4.21	2879785	38197648.000
03/09/2012	4.20	4.29	4.18	4.23	2450486	32422684.000
03/12/2012	4.23	4.25	4.13	4.17	2042648	26575230.000
03/13/2012	4.17	4.26	4.11	4.24	3768611	49567676.000
03/15/2012	4.05	4.16	3.96	3.99	2527482	32056272.000
03/16/2012	3.94	4.05	3.94	4.04	1533132	19221668.000
03/19/2012	4.04	4.46	3.96	4.34	7338610	97665208.000
03/20/2012	4.34	4.36	4.22	4.24	2409900	32031554.000
03/21/2012	4.24	4.33	4.16	4.20	3745499	49764360.000
03/22/2012	4.18	4.28	4.01	4.20	2726044	35590360.000
03/23/2012	4.20	4.26	4.13	4.19	2198878	28867222.000
03/26/2012	4.21	4.28	4.17	4.25	2499840	32939454.000
03/27/2012	4.27	4.43	4.27	4.37	4237592	57602112.000
03/28/2012	4.31	4.42	4.17	4.20	3240446	43550792.000
03/29/2012	4.18	4.22	3.95	3.96	3489287	44319804.000
03/30/2012	4.00	4.03	3.92	4.00	2246080	27962690.000
04/05/2012	3.99	4.28	3.92	4.20	2782656	35107112.000
04/06/2012	4.16	4.30	4.14	4.23	2648781	34998836.000
04/09/2012	4.26	4.30	4.19	4.25	2499000	33191012.000
04/10/2012	4.29	4.30	4.20	4.29	2559038	33997052.000
04/11/2012	4.31	4.40	4.26	4.34	2268315	30741346.000
04/12/2012	4.48	4.49	4.30	4.38	3707184	50657644.000
04/13/2012	4.33	4.39	4.27	4.32	2092171	28222044.000
04/16/2012	4.33	4.33	4.21	4.24	3399807	45083032.000
04/17/2012	4.20	4.34	4.05	4.30	3112765	41166700.000
04/18/2012	4.27	4.38	4.24	4.38	2193350	29550370.000
04/19/2012	4.36	4.46	4.34	4.40	1776926	24360660.000
