000420 吉林化纤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.70	3.77	3.64	3.64	4179253	15494196.000
01/05/2012	3.60	3.73	3.40	3.44	5533235	19810572.000
01/06/2012	3.44	3.47	3.30	3.46	3286475	11182328.000
01/09/2012	3.41	3.63	3.41	3.63	5872296	20766602.000
01/10/2012	3.62	3.88	3.60	3.84	9854203	37175276.000
01/11/2012	3.85	3.89	3.78	3.86	6733013	25806424.000
01/12/2012	3.86	4.25	3.83	4.02	12359293	50504492.000
01/13/2012	3.97	4.02	3.79	3.79	7178001	27924460.000
01/16/2012	3.79	3.84	3.70	3.73	3427531	12931958.000
01/17/2012	3.79	4.02	3.73	4.01	6734690	26300236.000
01/18/2012	4.00	4.09	3.90	3.92	6351271	25383808.000
01/19/2012	3.98	4.07	3.90	4.03	4697856	18788280.000
01/20/2012	4.06	4.06	3.96	3.99	3902566	15619067.000
01/30/2012	4.03	4.04	3.94	3.94	2929614	11679250.000
01/31/2012	3.69	3.90	3.69	3.77	5701598	21457320.000
02/02/2012	3.72	3.77	3.65	3.76	5556795	20612942.000
02/03/2012	3.74	3.93	3.73	3.89	6355000	24510130.000
02/06/2012	3.88	4.03	3.87	4.03	7484157	29674686.000
02/07/2012	4.00	4.01	3.87	3.90	4608591	18101310.000
02/08/2012	3.88	4.03	3.88	4.02	5479349	21883034.000
02/09/2012	4.03	4.12	4.00	4.05	5967158	24197366.000
02/10/2012	4.04	4.08	4.01	4.05	5672254	22951028.000
02/13/2012	4.00	4.14	3.98	4.08	7135797	28934088.000
02/14/2012	4.08	4.22	4.05	4.13	8213911	33923332.000
02/15/2012	4.14	4.23	4.08	4.21	8540802	35559224.000
02/16/2012	4.22	4.38	4.18	4.26	12165314	51942480.000
02/17/2012	4.25	4.26	4.13	4.15	6961096	29134784.000
02/20/2012	4.21	4.28	4.17	4.21	7883223	33333870.000
02/21/2012	4.19	4.21	4.11	4.19	6999554	29091242.000
02/22/2012	4.21	4.41	4.17	4.35	15242648	65673796.000
02/23/2012	4.39	4.56	4.30	4.38	16118366	71375768.000
02/24/2012	4.33	4.40	4.31	4.38	7588631	33070992.000
02/28/2012	4.16	4.16	4.16	4.16	2368000	9850880.000
02/29/2012	4.01	4.12	3.95	3.95	29723874	118845728.000
03/01/2012	3.89	4.03	3.84	3.96	14416733	56945032.000
03/02/2012	3.96	4.01	3.93	3.99	10741529	42685604.000
03/05/2012	3.99	4.19	3.99	4.11	14008713	57636576.000
03/06/2012	4.09	4.19	4.04	4.11	8425541	34558536.000
03/07/2012	4.06	4.08	3.98	4.01	8237792	33211360.000
03/08/2012	4.03	4.09	3.99	4.04	7752589	31384372.000
03/09/2012	4.04	4.05	4.01	4.04	8638100	34766072.000
03/12/2012	4.02	4.04	3.92	3.95	13013398	51602616.000
03/13/2012	3.95	4.01	3.93	3.99	9074135	36006208.000
03/14/2012	4.03	4.07	3.79	3.79	17378434	68539064.000
03/15/2012	3.69	3.76	3.61	3.67	11003076	40402728.000
03/16/2012	3.67	3.74	3.64	3.74	6744813	24902400.000
03/19/2012	3.74	3.83	3.72	3.79	7333718	27756176.000
03/21/2012	3.73	3.77	3.60	3.65	11912032	43418660.000
03/22/2012	3.63	3.67	3.60	3.65	6479958	23554136.000
03/23/2012	3.64	3.79	3.61	3.70	8128455	30149734.000
03/26/2012	3.88	3.89	3.88	3.89	6767718	26318726.000
03/27/2012	4.07	4.08	3.90	3.95	19571856	78276504.000
03/28/2012	3.90	3.95	3.75	3.75	8149918	31000536.000
03/29/2012	3.65	3.68	3.56	3.58	6484056	23335992.000
03/30/2012	3.57	3.76	3.53	3.72	7537569	27787096.000
04/05/2012	3.72	3.78	3.66	3.76	5767540	21498320.000
04/06/2012	3.73	3.90	3.72	3.82	5516544	21112968.000
04/09/2012	3.82	3.94	3.72	3.87	6583946	25350994.000
04/10/2012	3.87	3.91	3.68	3.90	5359856	20425564.000
04/11/2012	3.81	3.99	3.81	3.94	6089730	23765616.000
04/12/2012	3.94	3.99	3.90	3.95	5692432	22430266.000
04/13/2012	3.97	3.98	3.90	3.94	5552755	21850364.000
