000430 张家界 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.60	9.72	9.34	9.37	2228482	21113706.000
01/05/2012	9.30	9.36	8.90	8.90	4505490	40260808.000
01/06/2012	8.51	8.70	8.46	8.46	3479500	29457902.000
01/09/2012	8.35	8.74	8.04	8.68	4354033	36624964.000
01/10/2012	8.60	8.86	8.52	8.85	4851516	42153116.000
01/11/2012	8.75	8.85	8.67	8.72	3139180	27473618.000
01/12/2012	8.66	8.81	8.62	8.67	2002626	17392800.000
01/13/2012	8.67	8.77	8.24	8.24	3071098	25622906.000
01/16/2012	8.25	8.36	8.14	8.20	1221324	10091412.000
01/17/2012	8.20	8.56	8.16	8.54	1445029	12122304.000
01/18/2012	8.45	8.59	8.19	8.19	1988299	16694188.000
01/19/2012	8.20	8.32	8.16	8.17	1570837	12899175.000
01/20/2012	8.25	8.41	8.20	8.36	2103430	17577402.000
01/30/2012	8.43	8.74	8.39	8.47	2333279	19992744.000
01/31/2012	8.43	8.71	8.43	8.67	2060143	17794346.000
02/01/2012	8.62	8.86	8.53	8.53	3552902	31023240.000
02/02/2012	8.60	8.80	8.52	8.75	1487552	12895284.000
02/03/2012	8.73	8.93	8.68	8.83	1929597	16998482.000
02/06/2012	8.79	8.90	8.74	8.84	1518617	13401892.000
02/07/2012	8.84	8.84	8.51	8.58	1961646	16855690.000
02/08/2012	8.54	8.75	8.53	8.72	3535276	30553694.000
02/09/2012	8.70	8.80	8.66	8.66	2487541	21696532.000
02/10/2012	8.66	8.72	8.59	8.69	2360570	20432048.000
02/13/2012	8.63	8.78	8.53	8.78	3977444	34572968.000
02/14/2012	8.78	8.89	8.70	8.85	3188999	28097486.000
02/15/2012	8.86	9.08	8.84	9.06	4424112	39793668.000
02/16/2012	9.03	9.07	8.81	8.93	4455288	39834456.000
02/17/2012	9.00	9.14	8.91	8.97	4799523	43223812.000
02/20/2012	9.05	9.08	8.86	8.86	3467471	31103618.000
02/21/2012	8.89	8.93	8.79	8.92	2919166	25897140.000
02/22/2012	8.93	9.14	8.93	9.10	3957431	35828644.000
02/23/2012	9.10	9.13	9.02	9.06	2681356	24324522.000
02/24/2012	9.03	9.16	9.03	9.16	2848011	25916226.000
02/27/2012	9.22	9.24	9.10	9.11	4474715	41084176.000
02/28/2012	9.05	9.11	8.89	9.02	4306032	38759288.000
02/29/2012	8.99	9.47	8.96	9.14	7290153	67221688.000
03/01/2012	9.11	9.30	9.11	9.21	3208408	29558300.000
03/02/2012	9.23	9.34	9.19	9.32	3320823	30764496.000
03/05/2012	9.37	9.45	9.28	9.41	4172551	39044076.000
03/06/2012	9.40	9.59	9.28	9.45	4611409	43546888.000
03/07/2012	9.40	9.67	9.34	9.46	4302275	41018496.000
03/08/2012	9.51	9.61	9.44	9.49	3438215	32670386.000
03/09/2012	9.53	9.95	9.49	9.85	6246852	61043812.000
03/12/2012	9.85	9.98	9.73	9.97	4349316	42816400.000
03/13/2012	9.95	10.05	9.86	9.95	3581799	35707604.000
03/14/2012	9.99	10.00	9.45	9.50	6675369	64879796.000
03/15/2012	9.47	9.73	9.28	9.64	5186301	49307548.000
03/16/2012	9.60	9.95	9.60	9.94	4752904	46586784.000
03/19/2012	10.20	10.44	10.04	10.10	17153704	176625648.000
03/20/2012	10.08	10.28	9.83	9.93	7686000	77561888.000
03/21/2012	9.93	10.00	9.50	9.74	5939536	57802196.000
