000504 *ST生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.77	4.99	4.71	4.99	4034271	19895212.000
01/05/2012	4.99	5.22	4.88	5.19	10896789	54906088.000
01/06/2012	5.11	5.16	4.93	5.04	5283931	26482536.000
01/09/2012	4.98	5.20	4.98	5.19	5725824	29391170.000
01/10/2012	5.13	5.30	5.12	5.29	6205016	32398652.000
01/11/2012	5.24	5.31	5.14	5.22	5996260	31312542.000
01/12/2012	5.17	5.20	5.04	5.04	3860165	19763380.000
01/13/2012	5.03	5.10	4.79	4.80	4158260	20315924.000
01/16/2012	4.75	4.75	4.61	4.61	2144454	10064708.000
01/17/2012	4.61	4.84	4.61	4.84	3160710	15062445.000
01/18/2012	4.84	4.91	4.70	4.74	2717580	13051689.000
01/19/2012	4.74	4.80	4.69	4.78	1892068	8987956.000
01/20/2012	4.78	5.00	4.78	5.00	3441250	16889838.000
01/30/2012	5.03	5.18	4.91	5.15	3940098	20076316.000
01/31/2012	5.13	5.41	5.06	5.41	6316164	33615356.000
02/01/2012	5.49	5.68	5.49	5.68	7323344	41400852.000
02/02/2012	5.68	5.96	5.46	5.80	11772545	67438800.000
02/03/2012	5.82	6.09	5.67	6.09	7464917	44757144.000
02/06/2012	6.26	6.39	5.98	6.02	14121730	86963048.000
02/07/2012	5.95	6.02	5.72	5.99	11590021	67277080.000
02/08/2012	5.91	5.96	5.81	5.95	7247557	42793716.000
02/09/2012	5.96	6.22	5.96	6.07	6319755	38531044.000
02/10/2012	6.03	6.20	5.92	6.14	5071281	30863332.000
02/13/2012	6.07	6.34	6.07	6.20	5329399	33167190.000
02/14/2012	6.18	6.51	6.15	6.51	5938054	37756176.000
02/15/2012	6.68	6.82	6.50	6.53	10558297	70218248.000
02/16/2012	6.59	6.70	6.36	6.45	7255793	47326180.000
02/17/2012	6.45	6.49	6.31	6.38	3531942	22557712.000
02/20/2012	6.42	6.49	6.35	6.45	3743080	24006068.000
02/21/2012	6.42	6.69	6.39	6.67	5157477	33798184.000
02/22/2012	6.67	6.68	6.57	6.65	4074691	26985216.000
02/23/2012	6.64	6.64	6.43	6.53	5227340	34112880.000
02/24/2012	6.54	6.68	6.44	6.60	4964187	32640992.000
02/27/2012	6.60	6.69	6.56	6.56	4882672	32367180.000
02/28/2012	6.55	6.55	6.32	6.38	4253665	27274502.000
02/29/2012	6.40	6.57	6.40	6.43	3166580	20531044.000
03/01/2012	6.39	6.39	6.23	6.26	3030109	19057868.000
03/02/2012	6.32	6.35	6.24	6.34	2278152	14379787.000
03/05/2012	6.35	6.54	6.35	6.53	3888187	25194228.000
03/06/2012	6.53	6.58	6.41	6.44	2931404	19000408.000
03/07/2012	6.37	6.42	6.25	6.26	2990439	18873004.000
03/08/2012	6.26	6.43	6.26	6.38	2010678	12775351.000
03/09/2012	6.34	6.55	6.34	6.49	3566958	23139368.000
03/12/2012	6.56	6.65	6.48	6.53	3493604	22937096.000
03/13/2012	6.58	6.58	6.50	6.53	2589467	16925308.000
03/14/2012	6.55	6.60	6.20	6.20	4023789	25741358.000
03/15/2012	6.20	6.23	5.89	6.01	4316985	26009910.000
03/16/2012	6.01	6.14	5.91	6.13	1630696	9893583.000
03/19/2012	6.12	6.19	6.07	6.16	1779725	10946083.000
03/20/2012	6.16	6.17	5.91	5.92	2120620	12733792.000
03/21/2012	5.97	6.08	5.85	6.04	2174527	12977413.000
03/22/2012	6.02	6.06	5.91	5.98	1279545	7658706.000
03/23/2012	5.98	6.18	5.90	6.02	3840913	23218786.000
03/26/2012	6.01	6.01	5.86	5.91	1458024	8637153.000
03/27/2012	5.92	5.98	5.86	5.87	901360	5321243.000
03/28/2012	5.87	5.87	5.58	5.58	1784038	10067101.000
03/29/2012	5.45	5.48	5.30	5.33	2231947	11884530.000
03/30/2012	5.31	5.49	5.31	5.37	1810044	9773876.000
04/05/2012	5.36	5.64	5.35	5.64	2067453	11400661.000
04/06/2012	5.68	5.92	5.68	5.92	3427753	20042192.000
04/09/2012	5.93	5.97	5.84	5.89	1705160	10071215.000
04/10/2012	5.87	5.97	5.78	5.93	1333126	7836015.000
04/11/2012	5.93	6.18	5.86	6.14	2065429	12483538.000
04/12/2012	6.18	6.32	6.11	6.22	2550930	15886581.000
04/13/2012	6.23	6.35	6.16	6.21	2125878	13338347.000
04/16/2012	6.10	6.32	6.07	6.19	2171724	13525727.000
04/17/2012	6.18	6.25	6.14	6.17	1797396	11123045.000
04/18/2012	6.18	6.35	6.13	6.23	2071798	12965643.000
04/19/2012	6.28	6.35	6.20	6.30	2071322	13002361.000
04/20/2012	6.30	6.62	6.30	6.62	4774311	31073674.000
04/23/2012	6.65	6.67	6.46	6.62	3050436	19984916.000
04/24/2012	6.57	6.57	6.29	6.29	2426259	15434740.000
04/25/2012	6.01	6.32	6.01	6.27	2604753	16058009.000
04/26/2012	6.22	6.37	6.20	6.23	1403412	8804214.000
04/27/2012	6.19	6.25	5.92	5.92	4364304	25997106.000
05/02/2012	5.62	5.62	5.62	5.62	1009200	5671704.000
05/03/2012	5.36	5.54	5.34	5.54	6228009	33499480.000
05/04/2012	5.52	5.65	5.48	5.65	2420102	13491203.000
05/07/2012	5.61	5.90	5.56	5.85	2992697	17046186.000
05/08/2012	5.88	6.08	5.80	5.97	2866891	17107260.000
05/09/2012	5.93	6.04	5.87	5.90	1557668	9282455.000
05/10/2012	5.87	6.13	5.80	6.11	2414508	14477687.000
05/11/2012	6.10	6.26	6.07	6.19	2053126	12726178.000
05/14/2012	6.19	6.24	6.07	6.10	1483151	9103757.000
05/15/2012	6.06	6.09	5.84	5.96	1858092	11042745.000
05/16/2012	5.96	5.98	5.86	5.86	874401	5175829.500
05/17/2012	5.86	5.98	5.82	5.95	732200	4324723.500
05/18/2012	5.88	5.99	5.86	5.87	516600	3054973.000
05/21/2012	5.87	5.91	5.82	5.89	599863	3518824.250
05/23/2012	5.92	6.07	5.90	6.05	1469205	8842544.000
05/24/2012	6.05	6.05	5.96	5.97	712800	4270963.000
05/25/2012	6.03	6.03	5.86	5.89	644522	3826382.750
05/28/2012	5.92	5.92	5.61	5.74	1629458	9295523.000
05/29/2012	5.74	5.83	5.73	5.83	896116	5193896.000
05/30/2012	5.83	5.86	5.78	5.83	776751	4520190.000
05/31/2012	5.80	5.88	5.76	5.86	611740	3557670.750
06/01/2012	5.84	5.88	5.76	5.79	764403	4446149.500
06/04/2012	5.71	5.87	5.66	5.67	1300884	7511955.000
06/05/2012	5.67	5.75	5.65	5.72	505033	2875247.250
06/06/2012	5.74	5.81	5.70	5.79	563511	3241106.250
06/07/2012	5.81	5.83	5.73	5.79	682688	3958171.750
06/08/2012	5.81	5.83	5.75	5.82	631449	3658902.500
06/11/2012	5.82	5.98	5.82	5.92	1560646	9244902.000
06/12/2012	5.86	5.97	5.86	5.94	1196281	7079559.000
06/13/2012	5.91	6.11	5.91	6.07	1694533	10235612.000
06/14/2012	6.03	6.09	5.92	5.98	1183980	7116824.500
06/15/2012	5.96	6.05	5.93	6.03	771953	4635298.000
06/18/2012	6.01	6.06	6.01	6.05	831599	5020043.500
06/19/2012	6.05	6.05	5.96	6.00	835021	5004983.000
06/20/2012	6.01	6.02	5.89	5.90	987867	5856434.500
06/21/2012	5.89	5.91	5.70	5.79	1665496	9622494.000
06/25/2012	5.78	5.78	5.68	5.75	677100	3876334.000
06/26/2012	5.68	5.77	5.63	5.75	621330	3527284.250
06/27/2012	5.71	5.81	5.71	5.73	740600	4287943.000
06/28/2012	5.72	5.81	5.52	5.59	712121	4035342.000
06/29/2012	5.51	5.62	5.46	5.60	893414	4954892.000
07/02/2012	5.60	5.64	5.56	5.57	630699	3521878.500
07/03/2012	5.57	5.62	5.52	5.53	759649	4234693.000
07/04/2012	5.53	5.57	5.39	5.43	1118510	6096464.500
07/05/2012	5.43	5.43	5.17	5.21	1120370	5885694.000
07/06/2012	5.25	5.47	5.18	5.47	870707	4680099.500
07/09/2012	5.51	5.51	5.31	5.35	812175	4418175.000
07/10/2012	5.33	5.55	5.29	5.50	863798	4701015.000
07/11/2012	5.49	5.55	5.42	5.46	404704	2221337.250
07/12/2012	5.42	5.53	5.40	5.47	766617	4175228.750
07/13/2012	5.42	5.47	5.38	5.44	486449	2635302.250
07/16/2012	5.40	5.44	5.21	5.27	577398	3066135.750
07/17/2012	5.29	5.34	5.22	5.33	740209	3908626.500
07/18/2012	5.28	5.33	5.23	5.29	574404	3035145.000
07/19/2012	5.30	5.55	5.28	5.43	900016	4845760.500
07/20/2012	5.43	5.45	5.34	5.34	421402	2267888.750
07/23/2012	5.34	5.34	5.22	5.29	589990	3109292.500
07/24/2012	5.25	5.32	5.24	5.29	266970	1410785.375
07/25/2012	5.30	5.34	5.25	5.27	487109	2579792.750
07/26/2012	5.27	5.33	5.26	5.32	461515	2444656.750
07/27/2012	5.33	5.33	5.22	5.32	500029	2645369.250
07/30/2012	5.05	5.05	5.05	5.05	229500	1158975.000
07/31/2012	4.80	4.80	4.80	4.80	26700	128160.000
08/01/2012	4.56	4.56	4.56	4.56	196000	893760.000
08/02/2012	4.33	4.45	4.33	4.33	6023181	26154088.000
08/03/2012	4.33	4.38	4.17	4.37	3397071	14612326.000
08/06/2012	4.34	4.50	4.30	4.48	2114594	9298975.000
08/07/2012	4.52	4.60	4.45	4.48	1927607	8706535.000
08/08/2012	4.49	4.54	4.42	4.54	2224796	9973775.000
08/09/2012	4.55	4.61	4.50	4.59	1655361	7540398.500
08/10/2012	4.56	4.79	4.56	4.77	2743711	12908461.000
08/13/2012	4.76	4.77	4.53	4.53	1305099	6027352.500
08/14/2012	4.52	4.57	4.39	4.55	1184525	5311585.000
08/15/2012	4.55	4.59	4.49	4.57	662441	3023986.500
08/16/2012	4.60	4.60	4.52	4.57	617956	2821346.750
08/17/2012	4.56	4.61	4.52	4.60	1058792	4847550.500
08/20/2012	4.61	4.62	4.53	4.60	684094	3133257.500
08/21/2012	4.61	4.82	4.59	4.80	1871722	8898976.000
08/22/2012	4.84	5.00	4.76	4.93	2084796	10215211.000
08/23/2012	4.93	5.18	4.93	5.18	2881949	14539968.000
08/24/2012	5.18	5.26	4.96	5.00	2607135	13205645.000
08/27/2012	4.93	5.05	4.88	4.98	833401	4145838.000
08/28/2012	4.98	5.21	4.98	5.14	1549113	7929298.000
08/29/2012	5.09	5.27	5.08	5.22	1840288	9620030.000
08/30/2012	5.20	5.27	5.00	5.12	1529068	7882410.500
08/31/2012	5.14	5.18	5.08	5.18	580501	2984886.750
09/03/2012	5.16	5.19	4.92	5.10	1745267	8791550.000
09/04/2012	5.05	5.12	5.00	5.10	741230	3760465.250
09/05/2012	5.08	5.09	5.01	5.04	552292	2786266.500
09/06/2012	5.08	5.12	5.04	5.08	465690	2363381.750
09/07/2012	5.13	5.20	5.05	5.20	1937703	9937550.000
09/10/2012	5.16	5.23	5.11	5.20	1264702	6534529.500
09/11/2012	5.19	5.45	5.16	5.39	1954361	10421654.000
09/12/2012	5.40	5.42	5.32	5.36	876919	4704210.500
09/13/2012	5.38	5.39	5.26	5.26	403011	2151631.750
09/14/2012	5.29	5.35	5.20	5.32	664755	3513069.250
09/17/2012	5.35	5.42	5.27	5.29	1374080	7342730.500
09/18/2012	5.26	5.26	5.06	5.17	566066	2916898.750
09/19/2012	5.16	5.27	5.14	5.27	461534	2388642.250
09/20/2012	5.22	5.27	5.12	5.20	710188	3698217.250
09/21/2012	5.20	5.28	5.16	5.20	1052634	5493826.000
09/24/2012	5.16	5.21	5.07	5.20	710801	3660415.250
09/25/2012	5.16	5.28	5.16	5.24	763218	4005991.250
09/26/2012	5.24	5.29	5.24	5.28	783640	4117648.250
09/27/2012	5.29	5.40	5.27	5.40	1282739	6849901.500
09/28/2012	5.42	5.67	5.39	5.67	2373246	13175033.000
10/08/2012	5.69	5.69	5.57	5.60	994130	5566447.500
10/09/2012	5.59	5.69	5.59	5.68	1703517	9591971.000
10/10/2012	5.68	5.72	5.62	5.72	1115223	6321943.500
10/11/2012	5.69	5.69	5.59	5.66	1024199	5775764.000
10/12/2012	5.69	5.77	5.63	5.77	1738766	9935229.000
10/15/2012	5.76	5.76	5.62	5.70	1014098	5751180.000
10/16/2012	5.65	5.71	5.56	5.60	1021836	5749295.500
10/17/2012	5.60	5.64	5.58	5.61	475580	2664379.000
10/18/2012	5.61	5.64	5.56	5.64	748130	4198290.000
10/19/2012	5.64	5.92	5.60	5.92	2767085	16188811.000
10/22/2012	5.89	5.92	5.78	5.91	1386235	8118135.000
