000524 岭南控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.01	6.05	5.73	5.74	1000913	6088043.000
01/05/2012	5.73	5.75	5.34	5.35	1142493	6527028.000
01/06/2012	5.34	5.48	5.22	5.46	960771	5338272.500
01/09/2012	5.42	5.78	5.41	5.76	1339454	7801995.000
01/10/2012	5.77	6.01	5.71	5.99	1906713	11618346.000
01/11/2012	5.98	6.13	5.94	6.05	1744909	10840576.000
01/12/2012	6.03	6.25	5.98	6.06	1622263	10207319.000
01/13/2012	6.11	6.17	5.86	5.92	1398330	8599789.000
01/16/2012	5.83	5.88	5.67	5.67	937141	5561366.500
01/17/2012	5.78	6.11	5.63	6.05	1306236	7921865.000
01/18/2012	6.06	6.12	5.96	6.01	1574196	9781458.000
01/19/2012	6.00	6.13	6.00	6.10	1186990	7428690.000
01/20/2012	6.10	6.14	5.98	6.11	1258210	7853378.000
01/30/2012	6.13	6.20	6.03	6.03	725743	4550497.500
01/31/2012	6.03	6.13	5.98	6.13	738638	4590005.500
02/01/2012	6.07	6.18	5.98	6.05	734818	4589721.000
02/02/2012	6.01	6.24	6.01	6.23	1280545	8102820.500
02/03/2012	6.23	6.43	6.15	6.35	1840435	11940360.000
02/06/2012	6.41	6.41	6.23	6.32	2391040	15458769.000
02/07/2012	6.23	6.29	6.11	6.14	1203300	7645850.000
02/08/2012	6.14	6.31	6.04	6.28	1923832	12265364.000
02/09/2012	6.32	6.45	6.25	6.37	2364463	15437758.000
02/10/2012	6.38	6.55	6.28	6.46	2226348	14704029.000
02/13/2012	6.39	6.63	6.33	6.58	2540312	16987634.000
02/14/2012	6.56	7.26	6.56	7.26	10780042	78869064.000
02/15/2012	7.31	7.61	7.31	7.58	10032759	76428496.000
02/16/2012	7.51	7.51	7.31	7.44	6143479	46531056.000
02/17/2012	7.40	7.49	7.21	7.31	4205081	31598622.000
02/20/2012	7.44	7.49	7.34	7.37	4557760	34577692.000
02/21/2012	7.31	7.42	7.17	7.36	3340500	24855862.000
02/22/2012	7.33	7.55	7.27	7.45	4326951	32952856.000
02/23/2012	7.46	7.61	7.35	7.49	3236854	24782090.000
02/24/2012	7.53	7.82	7.41	7.69	5268063	40932312.000
02/27/2012	7.69	7.76	7.53	7.53	4613416	35965844.000
02/28/2012	7.53	7.53	7.30	7.34	3033527	22927070.000
02/29/2012	7.33	7.39	7.26	7.37	1870342	14072055.000
03/01/2012	7.41	7.44	7.30	7.42	1476369	11157606.000
03/02/2012	7.43	7.51	7.39	7.51	3560303	27111004.000
03/05/2012	7.51	7.56	7.40	7.42	2572179	19633860.000
03/06/2012	7.41	7.41	7.24	7.27	2496011	18647576.000
03/07/2012	7.21	7.51	7.15	7.35	2642868	19956764.000
03/08/2012	7.37	7.82	7.37	7.62	5965695	46645172.000
03/12/2012	7.65	7.81	7.51	7.61	4058502	31699718.000
03/13/2012	7.67	7.72	7.53	7.71	2958537	23098196.000
03/14/2012	7.76	7.78	7.07	7.18	4659108	35880564.000
03/15/2012	7.13	7.23	6.67	6.88	3858886	27338922.000
03/16/2012	6.92	7.09	6.79	7.08	2119282	15196061.000
03/19/2012	7.07	7.48	6.99	7.37	3651353	27381278.000
03/20/2012	7.33	7.33	7.09	7.09	2319733	17064174.000
03/21/2012	7.11	7.26	7.03	7.15	1569186	11506079.000
03/22/2012	7.17	7.52	6.98	7.31	3643383	27183052.000
03/23/2012	7.19	7.29	7.10	7.15	1842787	13565108.000
03/26/2012	7.15	7.38	7.15	7.33	2157608	16106388.000
03/27/2012	7.35	7.57	7.32	7.44	3824000	29190984.000
03/28/2012	7.45	7.51	6.83	6.93	2926818	21599002.000
03/29/2012	6.89	6.89	6.58	6.66	2249001	15533157.000
03/30/2012	6.66	6.76	6.33	6.54	1737904	11689553.000
04/05/2012	6.57	6.76	6.55	6.74	1302959	8928661.000
04/06/2012	6.74	6.85	6.63	6.78	1296901	9004510.000
04/10/2012	6.93	7.48	6.91	7.48	3925857	29518590.000
04/11/2012	8.13	8.25	7.89	8.25	19077875	157416736.000
04/12/2012	8.28	9.09	8.13	8.98	24846328	219347936.000
04/18/2012	8.07	9.53	8.07	8.62	27867086	243513792.000
04/19/2012	8.26	8.27	7.95	8.04	15967389	131819568.000
04/20/2012	8.03	8.31	7.83	8.09	14389688	118079504.000
04/23/2012	8.09	8.09	7.81	7.97	9952655	80738064.000
04/24/2012	7.93	8.01	7.51	7.87	9776584	77579376.000
04/25/2012	7.82	8.23	7.73	8.22	14985100	122889984.000
04/26/2012	8.23	8.32	7.89	8.03	9774539	80507056.000
04/27/2012	8.00	8.00	7.66	7.78	5568093	44454872.000
05/02/2012	7.88	7.93	7.58	7.66	5435246	42667668.000
05/03/2012	7.68	7.78	7.62	7.70	4054766	31897390.000
05/04/2012	7.66	7.71	7.51	7.61	4686977	36383992.000
05/07/2012	7.58	7.58	7.42	7.58	3815327	29219620.000
05/08/2012	7.61	7.77	7.49	7.76	5307577	41543332.000
05/09/2012	7.68	8.02	7.61	7.94	9873748	79334688.000
05/10/2012	7.88	8.01	7.75	7.83	5200795	41771104.000
05/11/2012	7.84	7.84	7.58	7.60	3763719	29556908.000
05/14/2012	7.68	7.72	7.49	7.52	2988889	23147950.000
05/15/2012	7.43	7.64	7.27	7.63	3710133	28230716.000
05/16/2012	7.56	7.64	7.44	7.44	1739127	13400689.000
05/17/2012	7.39	7.59	7.39	7.51	2032204	15635728.000
