000526 紫光学大 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.58	6.75	6.50	6.52	823059	5449332.000
01/05/2012	6.45	6.48	6.13	6.16	800699	5084372.500
01/06/2012	6.14	6.22	5.91	6.16	562780	3428316.250
01/09/2012	6.15	6.53	6.10	6.50	1586312	10180922.000
01/10/2012	6.50	6.86	6.36	6.80	2389573	15920890.000
01/11/2012	6.75	6.83	6.66	6.75	1373396	9264062.000
01/12/2012	6.73	6.92	6.73	6.82	1764536	12066971.000
01/13/2012	6.80	6.85	6.51	6.54	1039320	6907990.000
01/16/2012	6.49	6.61	6.34	6.34	688223	4472743.500
01/17/2012	6.34	6.66	6.09	6.65	1310528	8531129.000
01/18/2012	6.65	6.81	6.50	6.51	1458965	9746407.000
01/19/2012	6.51	6.62	6.44	6.55	653035	4265987.500
01/20/2012	6.54	6.77	6.54	6.75	1538281	10248174.000
01/30/2012	6.75	6.78	6.50	6.62	1138821	7625398.000
01/31/2012	6.64	6.79	6.52	6.76	1599299	10719717.000
02/01/2012	6.72	6.82	6.64	6.68	1288242	8667420.000
02/02/2012	6.68	6.93	6.66	6.90	1270761	8617921.000
02/03/2012	6.89	7.18	6.82	7.10	2207293	15633507.000
02/06/2012	7.08	7.20	7.03	7.17	1191195	8473061.000
02/07/2012	7.11	7.14	6.98	7.09	1508927	10644215.000
02/08/2012	7.09	7.29	7.05	7.27	1124762	8094753.500
02/09/2012	7.26	7.46	7.20	7.36	1701533	12538030.000
02/10/2012	7.36	7.54	7.33	7.50	1692988	12583864.000
02/13/2012	7.39	7.56	7.32	7.44	1090848	8117639.000
02/14/2012	7.46	7.67	7.42	7.59	1398981	10569097.000
02/15/2012	7.56	7.89	7.56	7.82	1824213	14191959.000
02/16/2012	7.79	7.87	7.66	7.85	1464969	11409024.000
02/17/2012	7.86	7.95	7.63	7.70	991606	7675816.500
02/20/2012	7.83	7.85	7.62	7.68	1187342	9186953.000
02/21/2012	7.68	7.80	7.59	7.77	759263	5847077.000
