000545 金浦钛业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.38	2.42	2.27	2.27	872650	5395060.000
01/05/2012	2.24	2.30	2.16	2.16	540000	3160409.000
01/06/2012	2.16	2.21	2.13	2.20	466016	2658595.250
01/09/2012	2.21	2.31	2.17	2.31	641111	3851495.250
01/10/2012	2.31	2.39	2.29	2.37	862844	5347070.000
01/11/2012	2.37	2.37	2.31	2.34	769694	4728926.500
01/12/2012	2.34	2.39	2.32	2.35	723961	4484080.500
01/13/2012	2.33	2.35	2.24	2.26	527490	3175960.750
01/16/2012	2.20	2.23	2.15	2.15	656501	3747451.750
01/17/2012	2.15	2.25	2.15	2.25	582585	3410927.250
01/18/2012	2.25	2.30	2.23	2.24	493707	2944186.500
01/19/2012	2.24	2.30	2.23	2.30	720737	4289880.000
01/20/2012	2.41	2.41	2.35	2.41	1192889	7556009.000
01/30/2012	2.42	2.49	2.37	2.42	959563	6136328.500
01/31/2012	2.39	2.53	2.38	2.50	1214678	7863844.000
02/01/2012	2.50	2.52	2.43	2.46	1057496	6900400.500
02/02/2012	2.47	2.54	2.45	2.53	717456	4709325.500
02/03/2012	2.50	2.55	2.50	2.54	968134	6464223.500
02/06/2012	2.54	2.59	2.50	2.53	1261467	8425816.000
02/07/2012	2.51	2.52	2.40	2.42	1332399	8570481.000
02/08/2012	2.41	2.49	2.40	2.49	946120	6115236.500
02/09/2012	2.49	2.54	2.45	2.51	1114219	7334928.000
02/10/2012	2.48	2.58	2.48	2.53	1118570	7441211.000
02/13/2012	2.51	2.58	2.49	2.55	1551395	10378979.000
02/14/2012	2.55	2.65	2.55	2.61	1067352	7319276.500
02/15/2012	2.64	2.74	2.59	2.72	2004912	14144382.000
02/16/2012	2.70	2.73	2.61	2.69	2433171	16947694.000
02/17/2012	2.66	2.70	2.60	2.64	1729080	12000096.000
02/20/2012	2.65	2.69	2.62	2.64	1166059	8111075.000
02/21/2012	2.64	2.65	2.57	2.64	1092575	7520818.500
02/22/2012	2.63	2.68	2.61	2.67	1173023	8163828.500
02/23/2012	2.66	2.67	2.62	2.64	1005820	6969068.500
02/24/2012	2.64	2.68	2.62	2.67	1397026	9735651.000
02/27/2012	2.66	2.69	2.65	2.65	1903572	13368731.000
02/28/2012	2.65	2.75	2.62	2.75	1737870	12229724.000
02/29/2012	2.71	2.75	2.66	2.66	1415177	10056526.000
03/01/2012	2.64	2.69	2.64	2.64	1068416	7468137.000
03/02/2012	2.65	2.78	2.65	2.78	1649174	11863977.000
03/05/2012	2.79	2.82	2.72	2.75	1989648	14416838.000
03/06/2012	2.75	2.77	2.68	2.70	1819474	12992950.000
03/07/2012	2.66	2.75	2.65	2.68	1403429	9970100.000
03/08/2012	2.67	2.72	2.67	2.68	1305091	9246181.000
03/09/2012	2.68	2.71	2.67	2.71	1804883	12742739.000
03/12/2012	2.69	2.71	2.65	2.71	1383678	9735209.000
03/13/2012	2.71	2.82	2.70	2.79	2400384	17530136.000
03/14/2012	2.80	2.80	2.65	2.65	2295748	16403554.000
03/15/2012	2.62	2.69	2.57	2.65	1408751	9722270.000
03/19/2012	2.66	2.78	2.66	2.78	2160644	15666244.000
03/20/2012	2.79	2.84	2.67	2.68	1348858	9665486.000
03/21/2012	2.68	2.72	2.58	2.68	1913985	13401123.000
03/22/2012	2.63	2.70	2.62	2.67	749606	5259783.000
03/23/2012	2.65	2.80	2.64	2.72	1555370	11192379.000
03/26/2012	2.72	2.84	2.68	2.82	1670279	12160617.000
03/27/2012	2.81	2.84	2.77	2.81	1180005	8695573.000
03/28/2012	2.79	2.93	2.72	2.75	2937448	21965000.000
03/29/2012	2.77	2.77	2.61	2.61	1712730	11868065.000
03/30/2012	2.61	2.71	2.57	2.65	1242182	8630643.000
04/05/2012	2.65	2.71	2.57	2.68	1561810	10962537.000
04/06/2012	2.72	2.72	2.68	2.69	833580	5898387.500
04/09/2012	2.67	2.67	2.57	2.65	1488930	10260869.000
04/10/2012	2.64	2.68	2.59	2.68	751323	5182109.000
04/11/2012	2.66	2.70	2.61	2.70	918839	6466412.000
04/12/2012	2.70	2.84	2.70	2.82	2204934	16242084.000
04/13/2012	2.68	2.68	2.68	2.68	1110500	7817920.000
04/16/2012	2.54	2.54	2.54	2.54	808900	5411541.000
04/17/2012	2.43	2.55	2.42	2.42	17539952	113057008.000
04/18/2012	2.40	2.46	2.34	2.42	7252876	45959384.000
04/19/2012	2.42	2.52	2.41	2.45	6639231	43022120.000
04/20/2012	2.43	2.57	2.43	2.55	9925720	65745324.000
04/23/2012	2.51	2.64	2.49	2.57	8964912	60523552.000
04/24/2012	2.55	2.60	2.44	2.44	9855477	63934664.000
04/25/2012	2.40	2.47	2.32	2.35	15475606	96935568.000
07/26/2013	3.66	4.40	3.66	4.40	46736149	501897376.000
07/29/2013	4.59	4.77	4.13	4.24	37342976	435205568.000
07/30/2013	4.32	4.66	4.21	4.66	31424306	369543104.000
07/31/2013	4.74	4.79	4.28	4.39	33912380	399325440.000
08/01/2013	4.35	4.35	4.14	4.31	28014329	311065888.000
08/02/2013	4.20	4.34	4.17	4.20	22584719	250533616.000
08/05/2013	4.12	4.29	4.09	4.16	16636779	182483712.000
08/06/2013	4.24	4.41	4.16	4.31	29529816	331963808.000
08/07/2013	4.25	4.25	3.94	3.95	24995353	269219264.000
08/08/2013	3.90	4.02	3.87	3.91	14293621	147485104.000
08/09/2013	3.94	4.07	3.90	4.05	18288454	191578240.000
08/12/2013	3.99	4.42	3.93	4.26	28486037	312301728.000
08/13/2013	4.23	4.66	4.18	4.52	35678527	415590848.000
08/14/2013	4.44	4.56	4.35	4.48	25468145	296407744.000
08/15/2013	4.65	4.93	4.64	4.93	21554767	271757696.000
08/16/2013	5.07	5.19	4.44	4.45	39860389	505875072.000
08/19/2013	4.28	4.48	4.15	4.38	23156810	262147776.000
08/20/2013	4.31	4.69	4.25	4.66	25967932	305771264.000
08/21/2013	4.55	4.65	4.44	4.58	16369953	194807696.000
08/22/2013	4.74	4.77	4.47	4.53	19945239	238858592.000
08/23/2013	4.55	4.76	4.39	4.60	22732821	273766208.000
08/26/2013	4.51	4.63	4.47	4.59	17184017	204334416.000
08/27/2013	4.62	4.66	4.51	4.54	14856924	177526048.000
08/28/2013	4.45	4.45	4.24	4.26	19701071	223948128.000
08/29/2013	4.21	4.31	4.20	4.25	9218314	102654448.000
08/30/2013	4.21	4.25	4.01	4.04	12936755	139981568.000
09/02/2013	4.02	4.20	3.99	4.19	8678376	93295992.000
09/03/2013	4.20	4.38	4.20	4.27	11602275	130483560.000
09/04/2013	4.24	4.50	4.21	4.43	17873629	204834864.000
09/05/2013	4.37	4.41	4.24	4.28	11770100	132619480.000
09/06/2013	4.27	4.30	4.12	4.16	9765003	107196472.000
09/09/2013	4.16	4.40	4.13	4.29	12235311	136610240.000
09/10/2013	4.26	4.35	4.17	4.21	10880106	121486448.000
09/11/2013	4.20	4.30	4.11	4.13	8678618	95465632.000
09/12/2013	4.21	4.21	4.10	4.14	6364047	69122864.000
09/13/2013	4.10	4.19	4.09	4.15	5622263	60862752.000
09/16/2013	4.15	4.23	4.09	4.12	5241096	56985408.000
09/17/2013	4.12	4.15	4.09	4.09	5066443	54546808.000
09/18/2013	4.07	4.10	3.92	3.97	7771191	81061928.000
09/23/2013	3.95	4.10	3.94	4.09	7262907	76646016.000
09/24/2013	4.15	4.22	4.09	4.10	9293680	100913376.000
09/25/2013	4.05	4.08	3.97	3.98	6228343	65583680.000
09/26/2013	3.95	3.98	3.86	3.87	4983096	51149792.000
09/27/2013	3.90	3.97	3.89	3.92	3601382	37107864.000
09/30/2013	4.02	4.04	3.92	3.96	3913306	40654880.000
10/08/2013	3.92	4.19	3.90	4.14	8894683	95261968.000
10/09/2013	4.12	4.21	4.09	4.17	8097487	88159880.000
10/10/2013	4.19	4.47	4.17	4.38	19698180	221500192.000
10/11/2013	4.44	4.50	4.32	4.40	17637887	203744400.000
10/14/2013	4.39	4.45	4.32	4.35	10797258	123278728.000
10/15/2013	4.35	4.49	4.33	4.42	11325480	130719256.000
10/16/2013	4.39	4.39	4.06	4.09	11269498	123425440.000
10/17/2013	4.14	4.15	4.07	4.09	5464549	58759008.000
10/18/2013	4.09	4.20	4.09	4.19	4591370	49926600.000
10/21/2013	4.17	4.43	4.08	4.42	12737086	142009296.000
10/22/2013	4.54	4.86	4.51	4.62	28517685	351444896.000
10/23/2013	4.63	4.73	4.37	4.49	19064537	226390544.000
