000572 海马汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.16	3.19	3.01	3.03	4516586	14330247.000
01/05/2012	3.00	3.14	2.98	3.07	13124226	40873600.000
01/06/2012	3.04	3.10	3.00	3.09	5373281	16666343.000
01/09/2012	3.10	3.24	3.07	3.23	17836750	57236468.000
01/10/2012	3.22	3.37	3.19	3.34	15456825	51360344.000
01/11/2012	3.32	3.35	3.29	3.35	16987336	57269660.000
01/12/2012	3.33	3.40	3.31	3.32	8783673	29857866.000
01/13/2012	3.31	3.32	3.18	3.20	7721422	25352842.000
01/16/2012	3.19	3.23	3.06	3.08	6940254	22138860.000
01/17/2012	3.12	3.30	3.08	3.28	10132830	33003684.000
01/18/2012	3.28	3.33	3.20	3.21	7581177	25243920.000
01/19/2012	3.23	3.31	3.19	3.27	6095574	20171890.000
01/20/2012	3.28	3.32	3.25	3.29	7349682	24521860.000
01/30/2012	3.29	3.30	3.24	3.25	4561660	15172240.000
01/31/2012	3.23	3.27	3.21	3.26	3392728	11183088.000
02/01/2012	3.26	3.29	3.22	3.23	4380328	14507680.000
02/02/2012	3.24	3.30	3.23	3.30	4487936	14916589.000
02/03/2012	3.30	3.35	3.28	3.32	7526355	25354588.000
02/06/2012	3.33	3.35	3.30	3.33	5991568	20206256.000
02/07/2012	3.32	3.32	3.23	3.25	5205504	17253474.000
02/08/2012	3.24	3.32	3.23	3.31	6284343	20947754.000
02/09/2012	3.31	3.43	3.30	3.40	14691656	50326524.000
02/10/2012	3.39	3.43	3.35	3.38	8076814	27765252.000
02/13/2012	3.37	3.42	3.34	3.40	6245029	21477726.000
02/14/2012	3.42	3.46	3.38	3.40	8460992	29334920.000
02/15/2012	3.40	3.47	3.38	3.45	7753826	27035590.000
02/16/2012	3.44	3.59	3.44	3.50	14425386	51445092.000
02/17/2012	3.49	3.54	3.43	3.48	7207419	25361836.000
02/20/2012	3.52	3.54	3.47	3.47	5900015	20981296.000
02/21/2012	3.47	3.50	3.43	3.49	7402751	25984308.000
02/22/2012	3.50	3.57	3.48	3.55	10601012	37990700.000
02/23/2012	3.55	3.60	3.51	3.55	12819891	46108056.000
02/24/2012	3.53	3.62	3.50	3.62	16125381	58198440.000
02/27/2012	3.75	3.92	3.65	3.69	41217134	158615184.000
02/28/2012	3.65	3.81	3.65	3.79	23774748	90394200.000
02/29/2012	3.75	3.76	3.63	3.63	14634196	54501812.000
03/02/2012	3.65	3.76	3.65	3.74	13021625	48908576.000
03/05/2012	3.73	3.87	3.73	3.83	23805380	92224376.000
03/06/2012	3.81	3.81	3.70	3.75	13004669	49382872.000
03/07/2012	3.71	3.78	3.67	3.68	10371643	39019324.000
03/08/2012	3.68	3.74	3.68	3.70	7880729	29622012.000
03/09/2012	3.72	3.74	3.68	3.74	8181152	30783566.000
03/12/2012	3.75	3.77	3.69	3.73	8514705	32127148.000
03/13/2012	3.72	3.74	3.69	3.73	7568910	28550930.000
