000582 北部湾港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.98	7.03	6.79	6.80	288340	2187254.000
01/05/2012	6.77	6.77	6.45	6.45	431400	3132923.000
01/06/2012	6.50	6.55	6.35	6.55	219287	1549113.875
01/09/2012	6.57	6.86	6.51	6.83	352129	2596521.000
01/10/2012	6.83	7.16	6.82	7.12	523509	4014754.500
01/11/2012	7.12	7.13	7.01	7.05	445850	3445575.000
01/12/2012	7.05	7.20	6.96	7.10	408387	3158448.500
01/13/2012	7.10	7.12	6.88	6.92	300969	2293205.250
01/16/2012	6.36	6.85	6.36	6.62	209980	1546206.000
01/17/2012	6.73	6.99	6.65	6.99	423259	3186508.000
01/18/2012	7.11	7.23	6.77	6.82	439604	3373899.250
01/19/2012	6.85	6.97	6.77	6.92	308524	2321839.500
01/20/2012	6.95	7.04	6.90	7.00	210850	1607828.000
07/25/2012	7.77	7.77	7.77	7.77	149534	1259076.250
07/26/2012	8.61	8.61	8.61	8.61	290744	2692289.500
07/27/2012	9.54	9.54	9.54	9.54	1099826	11207227.000
07/30/2012	9.63	9.65	8.64	9.05	8167079	79713016.000
07/31/2012	8.85	8.88	8.35	8.50	4103395	37898656.000
08/01/2012	8.50	9.17	8.44	8.92	5274673	50226688.000
08/02/2012	8.70	9.23	8.48	9.05	4693500	44738336.000
08/03/2012	8.86	9.22	8.70	9.08	3933962	37892272.000
08/06/2012	8.95	10.05	8.82	10.05	8877581	92816488.000
08/07/2012	10.05	11.03	9.71	10.75	8672943	94293400.000
08/08/2012	10.55	10.57	10.05	10.08	5634764	61512400.000
08/09/2012	9.96	10.65	9.78	10.26	5851647	63663252.000
08/10/2012	10.26	10.50	9.95	10.05	3346706	35959804.000
08/13/2012	10.05	10.05	9.42	9.42	2901301	30060130.000
08/14/2012	9.44	9.54	8.96	9.41	2711599	26864296.000
08/15/2012	9.37	9.64	9.16	9.29	1966845	19857988.000
08/16/2012	9.17	9.44	9.06	9.09	1325284	13063585.000
08/17/2012	9.43	9.85	9.15	9.49	3311775	33704904.000
08/20/2012	9.35	9.45	9.03	9.36	2255695	22279378.000
08/21/2012	9.20	9.45	9.20	9.28	2131524	21214000.000
08/22/2012	9.23	9.28	8.98	8.99	2133979	20690184.000
08/23/2012	9.00	9.09	8.77	9.02	1846331	17673174.000
08/24/2012	8.98	8.98	8.77	8.83	1354180	12878494.000
08/27/2012	8.80	8.96	8.69	8.86	1558886	14776668.000
08/28/2012	8.83	9.67	8.81	9.35	3195572	31517762.000
08/29/2012	9.36	9.40	9.05	9.05	1557542	15349144.000
08/30/2012	9.05	9.33	8.73	8.83	1561082	15034160.000
08/31/2012	8.74	8.95	8.66	8.77	891245	8419873.000
09/03/2012	8.73	8.89	8.65	8.78	1024372	9663500.000
09/04/2012	8.68	8.85	8.41	8.45	1776928	16437275.000
09/05/2012	8.41	8.51	8.26	8.51	1077757	9726388.000
09/06/2012	8.45	8.55	8.34	8.48	955432	8675997.000
09/07/2012	8.53	9.00	8.48	8.91	2784383	26322994.000
09/10/2012	8.91	8.98	8.82	8.98	1335329	12765897.000
09/11/2012	9.00	9.00	8.83	8.86	827691	7908032.500
09/12/2012	8.86	9.20	8.86	9.15	1396262	13513948.000
09/13/2012	9.21	9.22	8.85	8.85	1595654	15477211.000
09/14/2012	8.91	9.00	8.77	8.91	844796	8023594.000
09/17/2012	8.91	8.91	8.54	8.57	714711	6666848.500
09/18/2012	8.74	8.74	8.55	8.73	495094	4617526.500
09/19/2012	8.70	8.82	8.61	8.76	412716	3862129.250
09/20/2012	8.75	8.75	8.38	8.44	559199	5115818.500
09/21/2012	8.48	8.59	8.33	8.38	539805	4903733.000
09/24/2012	8.35	8.35	7.86	8.10	936322	8120610.000
09/25/2012	8.09	8.19	7.94	7.95	576537	4991715.500
09/26/2012	7.95	8.11	7.63	7.64	558058	4773069.500
09/27/2012	7.69	7.94	7.55	7.92	758010	6395775.000
09/28/2012	7.85	8.10	7.84	8.08	574692	4953033.500
10/08/2012	8.09	8.13	7.91	7.95	383340	3307736.750
10/09/2012	8.08	8.18	7.97	8.17	590160	5159396.000
10/10/2012	8.18	8.42	8.06	8.36	655108	5866695.000
10/11/2012	8.25	8.41	8.20	8.21	561750	5029647.000
10/12/2012	8.25	8.33	8.06	8.13	447792	3945070.250
10/15/2012	8.11	8.11	7.96	8.08	257132	2232705.000
10/16/2012	8.13	8.28	8.02	8.26	329742	2910630.000
10/17/2012	8.20	8.33	8.18	8.26	296600	2635845.000
10/18/2012	8.21	8.40	8.21	8.38	455641	4094501.500
10/19/2012	8.52	8.52	8.22	8.25	462109	4144718.750
10/22/2012	8.14	9.14	8.05	8.96	2088884	19847620.000
10/23/2012	8.83	8.87	8.66	8.69	1229408	11586334.000
10/24/2012	8.61	8.80	8.61	8.72	710609	6654675.000
10/25/2012	8.70	8.83	8.61	8.62	669600	6265366.500
10/26/2012	8.60	8.66	8.27	8.28	592502	5345786.000
10/29/2012	8.23	8.32	8.13	8.15	318905	2830323.750
10/30/2012	8.15	8.20	8.10	8.13	272461	2399700.250
10/31/2012	8.21	8.23	8.15	8.17	161447	1425450.750
11/01/2012	8.28	8.60	8.18	8.53	587393	5349022.500
11/02/2012	8.53	8.59	8.40	8.43	368613	3356602.500
11/05/2012	8.43	8.61	8.34	8.46	271748	2473904.000
11/06/2012	8.49	8.49	8.15	8.23	604103	5364039.000
11/07/2012	8.21	8.30	8.05	8.15	376262	3321932.500
11/08/2012	8.15	8.25	7.97	8.06	412982	3641602.000
11/09/2012	8.05	8.12	7.95	8.01	237454	2059622.625
11/12/2012	8.00	8.25	8.00	8.22	267467	2349493.250
11/13/2012	8.13	8.49	8.08	8.29	643073	5771663.500
11/14/2012	8.18	8.27	7.98	8.10	289814	2541619.000
11/15/2012	8.03	8.15	7.85	7.85	311750	2693120.500
11/16/2012	7.85	7.95	7.78	7.95	385856	3281855.000
11/19/2012	7.99	8.00	7.81	8.00	309170	2650681.000
11/20/2012	8.04	8.04	7.73	7.73	419653	3565190.250
11/21/2012	7.70	7.82	7.65	7.79	629905	5269861.000
11/22/2012	7.72	7.75	7.63	7.67	328091	2732481.000
11/23/2012	7.67	7.82	7.65	7.78	300913	2523968.750
11/26/2012	7.82	7.84	7.68	7.70	179200	1501470.000
11/27/2012	7.66	7.70	7.41	7.42	384370	3148262.750
11/28/2012	7.42	7.43	7.18	7.20	260591	2062104.125
11/29/2012	7.28	7.38	7.05	7.09	282732	2235601.250
11/30/2012	7.02	7.32	6.95	7.30	314479	2453760.250
12/03/2012	7.30	7.45	7.18	7.23	272286	2164578.000
12/04/2012	7.17	7.35	6.99	7.31	314904	2448797.250
12/05/2012	7.35	7.63	7.28	7.53	394900	3215216.250
12/06/2012	7.53	8.35	7.51	7.98	1570940	13802280.000
12/07/2012	7.94	8.07	7.68	8.03	948681	8114244.000
12/10/2012	8.11	8.13	7.97	8.12	730009	6364632.500
12/11/2012	8.12	8.15	7.97	8.06	678273	5912797.500
12/12/2012	8.05	8.05	7.77	7.88	471697	4035178.500
12/13/2012	7.88	7.98	7.78	7.80	213219	1812057.125
12/14/2012	7.90	8.21	7.80	8.14	801105	6999830.500
12/17/2012	8.14	8.33	8.13	8.18	441922	3906591.750
12/18/2012	8.20	8.20	8.05	8.07	438706	3847437.250
12/19/2012	8.31	8.94	8.31	8.94	2737683	26028058.000
12/20/2012	9.24	9.25	8.67	8.74	3686789	35327472.000
12/21/2012	8.67	8.82	8.57	8.58	1542565	14314733.000
12/24/2012	8.57	8.65	8.47	8.59	1059388	9764757.000
12/25/2012	8.68	8.81	8.53	8.70	1427595	13340935.000
12/26/2012	8.69	8.70	8.58	8.63	1408497	13065887.000
12/27/2012	8.60	8.78	8.60	8.71	1293297	12038176.000
12/28/2012	8.69	8.70	8.53	8.67	634998	5893857.000
12/31/2012	8.81	8.90	8.67	8.69	1090676	10238157.000
01/04/2013	8.71	8.79	8.63	8.65	508574	4738637.000
01/07/2013	8.65	8.70	8.60	8.70	636195	5918773.500
01/08/2013	8.70	8.71	8.63	8.71	994042	9262305.000
01/09/2013	8.73	9.02	8.72	8.77	1675935	15917033.000
01/10/2013	8.77	8.84	8.71	8.76	861734	8113826.000
01/11/2013	8.74	8.80	8.47	8.49	949586	8816389.000
01/14/2013	8.35	8.59	7.87	8.50	3588563	32003368.000
01/15/2013	8.40	8.73	8.34	8.66	2503461	22988166.000
01/16/2013	8.58	8.71	8.48	8.52	1751404	16199050.000
01/17/2013	8.48	8.62	8.47	8.59	906036	8338985.500
01/18/2013	8.61	8.90	8.58	8.83	1935935	18252758.000
01/21/2013	8.77	8.97	8.67	8.88	1831639	17387100.000
01/22/2013	8.88	8.95	8.60	8.66	1349726	12741295.000
01/23/2013	8.63	8.80	8.60	8.79	880668	8225637.000
01/24/2013	8.77	8.83	8.41	8.64	1034050	9621346.000
01/25/2013	8.53	8.59	8.47	8.57	696062	6387477.000
01/28/2013	8.55	8.78	8.51	8.73	810867	7560898.500
01/29/2013	8.75	9.15	8.69	9.04	2988019	28726172.000
01/30/2013	9.07	9.67	8.92	9.49	3812736	37872636.000
01/31/2013	9.85	9.92	9.51	9.92	4635710	48187272.000
02/01/2013	9.83	10.05	9.46	9.85	2386728	24667806.000
02/04/2013	9.75	10.04	9.64	9.75	1177035	12223175.000
02/05/2013	9.72	9.72	9.50	9.61	784072	8017749.500
02/06/2013	9.55	9.82	9.55	9.67	869970	8956912.000
02/07/2013	9.67	9.73	9.52	9.65	573100	5889457.000
02/08/2013	9.65	9.67	9.54	9.64	974215	9984012.000
02/18/2013	9.64	9.65	9.41	9.45	772240	7835496.000
02/19/2013	9.45	9.49	9.31	9.47	1177844	11818634.000
02/20/2013	9.38	9.60	9.38	9.59	953482	9701858.000
02/21/2013	9.50	9.58	9.36	9.54	1018751	10330577.000
02/22/2013	9.55	10.27	9.45	9.94	1826977	19290476.000
02/25/2013	9.80	10.25	9.76	10.00	1300509	13819691.000
02/26/2013	9.95	10.13	9.81	10.02	1578932	16724558.000
02/27/2013	10.03	10.51	10.03	10.36	2111436	23207754.000
02/28/2013	10.42	10.55	10.18	10.40	1440157	15755259.000
03/01/2013	10.36	10.47	10.25	10.30	862072	9479162.000
03/04/2013	10.20	10.23	9.90	9.98	1231397	13147867.000
03/05/2013	9.98	10.32	9.87	10.32	1030623	11147389.000
03/06/2013	10.33	10.53	10.17	10.51	2424292	26789716.000
03/07/2013	10.46	10.46	10.13	10.37	2718850	29832376.000
03/08/2013	10.39	10.42	10.15	10.16	1303953	14209396.000
03/11/2013	10.07	10.31	9.96	10.27	1366269	14748309.000
03/12/2013	10.27	10.27	9.95	10.05	1414025	15145857.000
03/13/2013	10.05	10.20	10.00	10.18	429849	4630496.000
03/14/2013	10.25	10.56	10.13	10.50	2429608	26867000.000
03/15/2013	10.49	10.85	10.40	10.62	2099898	23701552.000
03/18/2013	10.63	10.95	10.20	10.37	2311849	25625324.000
03/19/2013	10.26	10.48	10.25	10.38	1130549	12433948.000
03/20/2013	10.33	10.59	10.33	10.58	1787341	19912328.000
03/21/2013	10.55	10.83	10.43	10.81	2608805	29523830.000
03/22/2013	10.74	10.94	10.61	10.89	1566867	17877150.000
03/25/2013	10.86	11.05	10.53	10.70	2055774	23433430.000
03/26/2013	10.72	10.72	10.51	10.65	1273320	14347095.000
03/27/2013	10.57	11.08	10.57	10.93	2577197	29751820.000
03/28/2013	10.91	11.25	10.62	11.15	4490432	51796204.000
03/29/2013	11.15	11.33	10.99	11.19	4568688	53850932.000
04/01/2013	11.05	12.15	11.05	11.89	6141862	76008952.000
04/02/2013	12.10	12.10	11.68	11.88	3895360	48536768.000
04/03/2013	11.84	13.13	11.48	11.86	5677398	72506096.000
04/08/2013	11.75	11.75	10.96	11.25	4657045	55709260.000
04/09/2013	11.06	11.60	11.05	11.45	4051528	48910804.000
04/10/2013	11.41	11.63	11.18	11.52	3972847	47855336.000
04/11/2013	11.50	11.68	11.33	11.48	3510800	42635128.000
04/12/2013	11.48	11.48	11.19	11.39	3035155	36218316.000
04/15/2013	11.26	11.32	10.87	11.24	2545016	29970376.000
04/16/2013	11.13	11.62	11.06	11.55	2022112	24305146.000
04/17/2013	11.43	11.81	11.31	11.73	2917245	35540608.000
04/18/2013	11.65	12.03	11.58	11.93	4623335	57465628.000
04/19/2013	11.85	12.04	11.71	11.89	4703699	58889580.000
04/22/2013	11.78	11.78	11.26	11.45	4700043	56819620.000
04/23/2013	11.55	11.74	11.24	11.44	3761231	45453736.000
04/24/2013	11.37	11.83	11.31	11.81	5236135	64273544.000
04/25/2013	11.77	11.93	11.48	11.72	4908131	60903040.000
04/26/2013	11.60	12.09	11.46	11.68	4459344	55156048.000
05/02/2013	11.68	11.68	10.80	10.88	4915983	57919396.000
05/03/2013	10.87	11.04	10.59	10.61	3556680	40667080.000
05/06/2013	10.70	10.70	10.10	10.43	4406085	48403336.000
05/07/2013	10.43	10.56	10.28	10.56	3699804	41093852.000
