000587 金洲慈航 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.94	9.17	8.90	9.15	9725156	88874944.000
01/05/2012	9.08	9.28	8.69	8.73	8790631	79186360.000
01/06/2012	8.62	8.77	8.35	8.74	5816720	50078088.000
01/09/2012	9.03	9.18	8.92	9.18	8728013	80272600.000
01/10/2012	9.22	9.64	9.15	9.54	10492100	99773992.000
01/11/2012	9.53	9.80	9.45	9.69	7235154	70066432.000
01/12/2012	9.64	9.81	9.50	9.66	7553579	73434256.000
01/13/2012	9.67	10.15	9.66	10.01	14967709	150796432.000
01/16/2012	9.94	10.22	9.55	9.60	9941198	99089664.000
01/17/2012	9.63	10.08	9.50	10.08	11901225	118673936.000
01/18/2012	10.19	10.38	9.97	10.04	9526221	97495296.000
01/19/2012	10.01	10.55	9.94	10.52	14323745	149991536.000
01/20/2012	10.52	11.03	10.47	10.97	12783596	138959696.000
01/30/2012	11.36	11.52	11.20	11.22	20843110	239782016.000
02/01/2012	11.32	11.70	10.92	10.92	19718155	224403136.000
02/02/2012	11.01	11.20	10.93	11.12	12079146	134053040.000
02/03/2012	11.16	11.54	11.09	11.29	12841411	146218000.000
02/06/2012	11.14	11.28	10.97	11.08	11066723	123327792.000
02/07/2012	10.95	11.39	10.85	11.27	12453713	139870784.000
02/08/2012	11.27	11.84	11.27	11.84	20085294	236149296.000
02/09/2012	11.86	12.20	11.69	11.84	19226558	230807072.000
02/10/2012	11.74	12.44	11.73	12.44	18566141	226663968.000
02/13/2012	12.44	13.07	12.29	13.07	23015867	297672128.000
02/14/2012	13.12	13.41	12.85	13.41	22053676	291202624.000
02/15/2012	13.44	13.56	13.16	13.18	15892098	213869520.000
02/16/2012	13.29	13.84	13.25	13.84	20547137	283784640.000
02/17/2012	13.94	14.54	13.81	14.54	25457825	364180384.000
02/21/2012	13.81	14.28	13.81	13.81	22665844	315504736.000
02/22/2012	13.95	14.40	13.45	13.56	33814137	470312480.000
02/23/2012	13.45	13.74	12.88	13.17	33512816	447107456.000
03/05/2012	12.87	13.18	12.57	12.86	24574898	317810112.000
03/06/2012	12.79	13.18	12.79	12.91	17943262	233959408.000
03/07/2012	12.70	12.80	12.47	12.62	12682584	161057872.000
03/08/2012	12.67	13.19	12.67	13.00	15790230	204648560.000
03/09/2012	13.04	13.23	12.97	13.01	12626138	165824880.000
03/13/2012	12.97	13.04	12.36	12.39	25816635	323246144.000
03/14/2012	12.36	12.53	11.77	11.78	25580092	313148576.000
03/15/2012	11.72	11.92	11.36	11.92	16027029	187160976.000
03/16/2012	11.87	12.50	11.87	12.38	18779866	230346192.000
03/19/2012	12.30	12.48	11.99	12.23	10541808	129442008.000
03/20/2012	12.25	12.54	12.15	12.17	11529550	142919104.000
03/21/2012	12.17	12.27	11.58	11.89	12021956	143951264.000
03/22/2012	11.81	12.41	11.74	12.31	14703652	180760864.000
03/23/2012	12.22	12.36	11.97	12.35	10983278	134599136.000
03/26/2012	12.34	12.77	12.05	12.70	16985652	213411872.000
03/27/2012	12.71	12.89	12.48	12.61	12653883	161374592.000
03/28/2012	12.47	12.80	11.98	11.98	15950648	198891936.000
03/29/2012	11.68	11.84	11.38	11.38	14456204	166710352.000
03/30/2012	11.24	11.42	10.89	11.19	8911801	99504064.000
04/05/2012	11.23	11.49	10.90	11.44	8350880	94979536.000
04/06/2012	11.39	11.73	11.35	11.55	6662687	77423168.000
04/09/2012	11.47	11.67	11.22	11.35	5645592	64941724.000
04/10/2012	11.21	11.62	11.16	11.58	6885817	78884608.000
04/11/2012	11.47	12.01	11.47	11.88	9097016	108143240.000
04/12/2012	11.92	11.97	11.72	11.93	7910717	94327016.000
04/13/2012	11.92	11.99	11.71	11.87	8560920	101627704.000
04/16/2012	11.46	11.60	11.27	11.27	13248755	151552528.000
04/17/2012	11.16	11.44	11.14	11.28	7168145	81191760.000
04/18/2012	11.32	11.48	11.25	11.42	6134606	70258792.000
04/19/2012	11.40	11.41	11.18	11.25	4710865	53515776.000
04/20/2012	11.19	11.48	11.18	11.39	4956437	56680996.000
04/23/2012	11.34	11.34	10.82	11.11	10981646	121822504.000
04/24/2012	10.95	11.02	10.55	10.55	9191249	98590616.000
04/25/2012	10.46	10.77	10.34	10.62	5333083	56977988.000
04/26/2012	10.54	10.75	10.52	10.62	4598461	49109708.000
04/27/2012	10.70	11.01	10.65	10.87	5064430	55504500.000
05/02/2012	10.87	11.09	10.75	10.88	6349208	69863288.000
05/03/2012	10.88	10.97	10.50	10.94	7275594	78124608.000
05/04/2012	11.49	11.49	11.41	11.49	5766178	66577848.000
05/07/2012	12.03	12.07	11.70	12.07	18932198	228080176.000
05/08/2012	12.07	12.60	11.97	12.38	16662795	206494560.000
05/09/2012	12.19	12.70	12.09	12.38	14428010	180592528.000
